session_id,prev_request_id,request_id,policy,turn_index,total_tokens,schema_tokens,byte_lcp,token_lcp,reusable_blocks,reusable_block_tokens,reuse_ratio,earliest_mutation_token,earliest_mutation_block,invalidated_suffix_tokens,first_changed_segment,n_tools_original,n_tools_universe,n_tools_thin
add41972933fbfdf,92b8951b88159b4f1b1e4116b3f8e80c,46416569378bfce2f330ee1b996f15f6,Original,1,20606,5128,83798,20416,1276,20416,0.990779384645249,20416,1276,190,messages,10,10,1
add41972933fbfdf,92b8951b88159b4f1b1e4116b3f8e80c,46416569378bfce2f330ee1b996f15f6,Stable Full,1,20587,5109,83798,20397,1274,20384,0.9901394083645019,20397,1274,203,messages,10,10,1
add41972933fbfdf,92b8951b88159b4f1b1e4116b3f8e80c,46416569378bfce2f330ee1b996f15f6,Shuffled Full,1,20587,5109,62327,15237,952,15232,0.7398843930635838,15237,952,5355,tools,10,10,1
add41972933fbfdf,92b8951b88159b4f1b1e4116b3f8e80c,46416569378bfce2f330ee1b996f15f6,Frozen Thin,1,15958,480,64392,15768,985,15760,0.9875924301290888,15768,985,198,messages,10,10,1
b635c28b273b8d3d,1bd17147da3b449a267511e3a004382d,fdbb1fab71ec2f219480410082aaa700,Original,1,20652,5128,83789,20418,1276,20416,0.9885725353476661,20418,1276,236,messages,10,10,1
b635c28b273b8d3d,fdbb1fab71ec2f219480410082aaa700,a84addf55839616eda694c16b68310a0,Original,2,20893,5128,84563,20652,1290,20640,0.9878906810893601,20652,1290,253,messages,10,10,1
b635c28b273b8d3d,a84addf55839616eda694c16b68310a0,eb9453e7437651807ba8f12d7460448f,Original,3,20982,5128,85649,20893,1305,20880,0.9951386903059766,20893,1305,102,messages,10,10,1
b635c28b273b8d3d,eb9453e7437651807ba8f12d7460448f,0cca76cc3ca0d6e890c548195f267bcc,Original,4,21179,5128,86100,20982,1311,20976,0.9904150337598565,20982,1311,203,messages,10,10,1
b635c28b273b8d3d,1bd17147da3b449a267511e3a004382d,fdbb1fab71ec2f219480410082aaa700,Stable Full,1,20633,5109,83789,20399,1274,20384,0.9879319536664567,20399,1274,249,messages,10,10,1
b635c28b273b8d3d,fdbb1fab71ec2f219480410082aaa700,a84addf55839616eda694c16b68310a0,Stable Full,2,20874,5109,84563,20633,1289,20624,0.9880233783654306,20633,1289,250,messages,10,10,1
b635c28b273b8d3d,a84addf55839616eda694c16b68310a0,eb9453e7437651807ba8f12d7460448f,Stable Full,3,20963,5109,85649,20874,1304,20864,0.9952773935028383,20874,1304,99,messages,10,10,1
b635c28b273b8d3d,eb9453e7437651807ba8f12d7460448f,0cca76cc3ca0d6e890c548195f267bcc,Stable Full,4,21160,5109,86100,20963,1310,20960,0.9905482041587902,20963,1310,200,messages,10,10,1
b635c28b273b8d3d,1bd17147da3b449a267511e3a004382d,fdbb1fab71ec2f219480410082aaa700,Shuffled Full,1,20633,5109,62327,15241,952,15232,0.7382348664760335,15241,952,5401,tools,10,10,1
b635c28b273b8d3d,fdbb1fab71ec2f219480410082aaa700,a84addf55839616eda694c16b68310a0,Shuffled Full,2,20874,5109,62327,15242,952,15232,0.7297116029510395,15242,952,5642,tools,10,10,1
b635c28b273b8d3d,a84addf55839616eda694c16b68310a0,eb9453e7437651807ba8f12d7460448f,Shuffled Full,3,20963,5109,66225,16107,1006,16096,0.7678290321041835,16107,1006,4867,tools,10,10,1
b635c28b273b8d3d,eb9453e7437651807ba8f12d7460448f,0cca76cc3ca0d6e890c548195f267bcc,Shuffled Full,4,21160,5109,62327,15241,952,15232,0.7198487712665407,15241,952,5928,tools,10,10,1
b635c28b273b8d3d,1bd17147da3b449a267511e3a004382d,fdbb1fab71ec2f219480410082aaa700,Frozen Thin,1,16395,871,66509,16161,1010,16160,0.9856663616956389,16161,1010,235,messages,10,10,1
b635c28b273b8d3d,fdbb1fab71ec2f219480410082aaa700,a84addf55839616eda694c16b68310a0,Frozen Thin,2,16636,871,67283,16395,1024,16384,0.9848521279153643,16395,1024,252,messages,10,10,1
b635c28b273b8d3d,a84addf55839616eda694c16b68310a0,eb9453e7437651807ba8f12d7460448f,Frozen Thin,3,16725,871,68369,16636,1039,16624,0.9939611360239163,16636,1039,101,messages,10,10,1
b635c28b273b8d3d,eb9453e7437651807ba8f12d7460448f,0cca76cc3ca0d6e890c548195f267bcc,Frozen Thin,4,16922,871,68820,16725,1045,16720,0.9880628767285191,16725,1045,202,messages,10,10,1
41b8c68f96977436,13bb600e64d52b8b04f167d8df85507c,38ce90a921739308e8dcb305e874b076,Original,1,4574,2725,16492,4323,270,4320,0.9444687363358111,4323,270,254,messages,5,5,2
41b8c68f96977436,38ce90a921739308e8dcb305e874b076,2e43416311c97a10ecafb221a80e4947,Original,2,5102,2725,17495,4574,285,4560,0.8937671501372011,4574,285,542,messages,5,5,2
41b8c68f96977436,2e43416311c97a10ecafb221a80e4947,59457a3b339fbd612c7a15e28fddc630,Original,3,5246,2725,19081,5102,318,5088,0.9698818147159741,5102,318,158,messages,5,5,2
41b8c68f96977436,13bb600e64d52b8b04f167d8df85507c,38ce90a921739308e8dcb305e874b076,Stable Full,1,4565,2716,16492,4314,269,4304,0.9428258488499452,4314,269,261,messages,5,5,2
41b8c68f96977436,38ce90a921739308e8dcb305e874b076,2e43416311c97a10ecafb221a80e4947,Stable Full,2,5093,2716,17495,4565,285,4560,0.8953465540938543,4565,285,533,messages,5,5,2
41b8c68f96977436,2e43416311c97a10ecafb221a80e4947,59457a3b339fbd612c7a15e28fddc630,Stable Full,3,5237,2716,19081,5093,318,5088,0.9715485965247279,5093,318,149,messages,5,5,2
41b8c68f96977436,13bb600e64d52b8b04f167d8df85507c,38ce90a921739308e8dcb305e874b076,Shuffled Full,1,4565,2716,5370,1547,96,1536,0.33647316538882804,1547,96,3029,tools,5,5,2
41b8c68f96977436,38ce90a921739308e8dcb305e874b076,2e43416311c97a10ecafb221a80e4947,Shuffled Full,2,5093,2716,5370,1546,96,1536,0.3015904182210878,1546,96,3557,tools,5,5,2
