session_id,prev_request_id,request_id,policy,turn_index,total_tokens,schema_tokens,byte_lcp,token_lcp,reusable_blocks,reusable_block_tokens,reuse_ratio,earliest_mutation_token,earliest_mutation_block,invalidated_suffix_tokens,first_changed_segment,n_tools_original,n_tools_universe,n_tools_thin
2f945485ae18a796,row0001,row0002,Original,1,55640,37964,217899,55506,3469,55504,0.9975557153127247,55506,3469,136,messages,170,170,1
2f945485ae18a796,row0002,row0003,Original,2,55774,37964,218279,55640,3477,55632,0.9974540108294188,55640,3477,142,messages,170,170,1
2f945485ae18a796,row0001,row0002,Stable Full,1,55549,37873,217899,55415,3463,55408,0.9974617004806567,55415,3463,141,messages,170,170,1
2f945485ae18a796,row0002,row0003,Stable Full,2,55683,37873,218279,55549,3471,55536,0.9973600560314638,55549,3471,147,messages,170,170,1
2f945485ae18a796,row0001,row0002,Shuffled Full,1,55549,37873,70625,17494,1093,17488,0.31482114889556967,17494,1093,38061,tools,170,170,1
2f945485ae18a796,row0002,row0003,Shuffled Full,2,55683,37873,70625,17494,1093,17488,0.31406353824326994,17494,1093,38195,tools,170,170,1
2f945485ae18a796,row0001,row0002,Frozen Thin,1,17947,271,72048,17813,1113,17808,0.9922549729759849,17813,1113,139,messages,170,170,1
2f945485ae18a796,row0002,row0003,Frozen Thin,2,18081,271,72428,17947,1121,17936,0.9919805320502184,17947,1121,145,messages,170,170,1
999e6975a8612b07,row0005,row0006,Original,1,55571,37964,217645,55437,3464,55424,0.9973547353835633,55437,3464,147,messages,170,170,1
999e6975a8612b07,row0006,row0007,Original,2,55705,37964,218025,55571,3473,55568,0.9975406157436496,55571,3473,137,messages,170,170,1
999e6975a8612b07,row0005,row0006,Stable Full,1,55480,37873,217645,55346,3459,55344,0.997548666186013,55346,3459,136,messages,170,170,1
999e6975a8612b07,row0006,row0007,Stable Full,2,55614,37873,218025,55480,3467,55472,0.9974466860862373,55480,3467,142,messages,170,170,1
999e6975a8612b07,row0005,row0006,Shuffled Full,1,55480,37873,70385,17426,1089,17424,0.3140591204037491,17426,1089,38056,tools,170,170,1
999e6975a8612b07,row0006,row0007,Shuffled Full,2,55614,37873,70387,17426,1089,17424,0.3133024058690258,17426,1089,38190,tools,170,170,1
999e6975a8612b07,row0005,row0006,Frozen Thin,1,17878,271,71794,17744,1109,17744,0.9925047544468061,17744,1109,134,messages,170,170,1
999e6975a8612b07,row0006,row0007,Frozen Thin,2,18012,271,72174,17878,1117,17872,0.9922274039529203,17878,1117,140,messages,170,170,1
7869a427dc73d66e,row0009,row0010,Original,1,55547,37964,217653,55413,3463,55408,0.9974976146326534,55413,3463,139,messages,170,170,1
7869a427dc73d66e,row0010,row0011,Original,2,55681,37964,218033,55547,3471,55536,0.9973958801027281,55547,3471,145,messages,170,170,1
7869a427dc73d66e,row0009,row0010,Stable Full,1,55456,37873,217653,55322,3457,55312,0.997403346797461,55322,3457,144,messages,170,170,1
7869a427dc73d66e,row0010,row0011,Stable Full,2,55590,37873,218033,55456,3466,55456,0.9975894945134017,55456,3466,134,messages,170,170,1
7869a427dc73d66e,row0009,row0010,Shuffled Full,1,55456,37873,70383,17400,1087,17392,0.31361800346220425,17400,1087,38064,tools,170,170,1
7869a427dc73d66e,row0010,row0011,Shuffled Full,2,55590,37873,70383,17400,1087,17392,0.3128620255441626,17400,1087,38198,tools,170,170,1
7869a427dc73d66e,row0009,row0010,Frozen Thin,1,17854,271,71802,17720,1107,17712,0.9920466002016355,17720,1107,142,messages,170,170,1
7869a427dc73d66e,row0010,row0011,Frozen Thin,2,17988,271,72182,17854,1115,17840,0.9917722926395375,17854,1115,148,messages,170,170,1
150ed338ede92bd3,row0013,row0014,Original,1,20513,5128,83664,20376,1273,20368,0.9929313118510213,20376,1273,145,messages,10,10,1
150ed338ede92bd3,row0014,row0015,Original,2,20650,5128,84052,20513,1282,20512,0.993317191283293,20513,1282,138,messages,10,10,1
150ed338ede92bd3,row0013,row0014,Stable Full,1,20494,5109,83664,20357,1272,20352,0.9930711427734947,20357,1272,142,messages,10,10,1
150ed338ede92bd3,row0014,row0015,Stable Full,2,20631,5109,84052,20494,1280,20480,0.9926809170665504,20494,1280,151,messages,10,10,1
150ed338ede92bd3,row0013,row0014,Shuffled Full,1,20494,5109,62202,15200,950,15200,0.7416804918512735,15200,950,5294,tools,10,10,1
150ed338ede92bd3,row0014,row0015,Shuffled Full,2,20631,5109,62202,15200,950,15200,0.7367553681353304,15200,950,5431,tools,10,10,1
150ed338ede92bd3,row0013,row0014,Frozen Thin,1,15656,271,63625,15519,969,15504,0.9902912621359223,15519,969,152,messages,10,10,1
150ed338ede92bd3,row0014,row0015,Frozen Thin,2,15793,271,64013,15656,978,15648,0.9908187171531692,15656,978,145,messages,10,10,1
a5e75c7fcd80edde,row0017,row0018,Original,1,20538,5128,83773,20401,1275,20400,0.9932807478819748,20401,1275,138,messages,10,10,1
a5e75c7fcd80edde,row0018,row0019,Original,2,20675,5128,84161,20538,1283,20528,0.9928899637243047,20538,1283,147,messages,10,10,1
a5e75c7fcd80edde,row0017,row0018,Stable Full,1,20519,5109,83773,20382,1273,20368,0.9926409669087187,20382,1273,151,messages,10,10,1
a5e75c7fcd80edde,row0018,row0019,Stable Full,2,20656,5109,84161,20519,1282,20512,0.9930286599535244,20519,1282,144,messages,10,10,1
a5e75c7fcd80edde,row0017,row0018,Shuffled Full,1,20519,5109,62325,15225,951,15216,0.7415566060724207,15225,951,5303,tools,10,10,1
a5e75c7fcd80edde,row0018,row0019,Shuffled Full,2,20656,5109,62325,15226,951,15216,0.7366382649109218,15226,951,5440,tools,10,10,1
a5e75c7fcd80edde,row0017,row0018,Frozen Thin,1,15681,271,63734,15544,971,15536,0.990753140743575,15544,971,145,messages,10,10,1
a5e75c7fcd80edde,row0018,row0019,Frozen Thin,2,15818,271,64122,15681,980,15680,0.9912757617903654,15681,980,138,messages,10,10,1
1dbcf11d9f016d38,row0021,row0022,Original,1,20805,5099,85098,20668,1291,20656,0.9928382600336457,20668,1291,149,messages,10,10,1
1dbcf11d9f016d38,row0022,row0023,Original,2,20942,5099,85486,20805,1300,20800,0.9932193677776716,20805,1300,142,messages,10,10,1
1dbcf11d9f016d38,row0021,row0022,Stable Full,1,20786,5080,85098,20649,1290,20640,0.9929760415664389,20649,1290,146,messages,10,10,1
1dbcf11d9f016d38,row0022,row0023,Stable Full,2,20923,5080,85486,20786,1299,20784,0.9933565932227691,20786,1299,139,messages,10,10,1
1dbcf11d9f016d38,row0021,row0022,Shuffled Full,1,20786,5080,62318,15227,951,15216,0.732031174829212,15227,951,5570,tools,10,10,1
1dbcf11d9f016d38,row0022,row0023,Shuffled Full,2,20923,5080,63370,15474,967,15472,0.7394733068871576,15474,967,5451,tools,10,10,1
1dbcf11d9f016d38,row0021,row0022,Frozen Thin,1,15977,271,65221,15840,990,15840,0.9914251736871753,15840,990,137,messages,10,10,1
1dbcf11d9f016d38,row0022,row0023,Frozen Thin,2,16114,271,65609,15977,998,15968,0.9909395556658807,15977,998,146,messages,10,10,1
2cf9dff03beff5d0,row0025,row0026,Original,1,55821,37964,219014,55687,3480,55680,0.9974740688988015,55687,3480,141,messages,170,170,1
2cf9dff03beff5d0,row0026,row0027,Original,2,55955,37964,219394,55821,3488,55808,0.9973728889286033,55821,3488,147,messages,170,170,1
2cf9dff03beff5d0,row0025,row0026,Stable Full,1,55730,37873,219014,55596,3474,55584,0.9973802260900771,55596,3474,146,messages,170,170,1
2cf9dff03beff5d0,row0026,row0027,Stable Full,2,55864,37873,219394,55730,3483,55728,0.9975655162537591,55730,3483,136,messages,170,170,1
2cf9dff03beff5d0,row0025,row0026,Shuffled Full,1,55730,37873,70260,17381,1086,17376,0.31178898259465276,17381,1086,38354,tools,170,170,1
2cf9dff03beff5d0,row0026,row0027,Shuffled Full,2,55864,37873,70260,17381,1086,17376,0.3110410998138336,17381,1086,38488,tools,170,170,1
2cf9dff03beff5d0,row0025,row0026,Frozen Thin,1,18128,271,73163,17994,1124,17984,0.9920564872021183,17994,1124,144,messages,170,170,1
2cf9dff03beff5d0,row0026,row0027,Frozen Thin,2,18262,271,73543,18128,1133,18128,0.992662358996824,18128,1133,134,messages,170,170,1
