request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,519.2396595375612,1155.7392235845327,43,20.0,518.7509650131688,1155.2505290601403,0.4886945243924856,block1:s1,gated_rule_c,mixed,1785136750.4526966,1785136750.4531858,1785136750.9719467,1785136751.608446,
block1-000001,230.22388305980712,3807.895004050806,173,25.0,229.15106697473675,3806.822187965736,1.0728160850703716,block1:zero_tool,gated_rule_c,mixed,1785136750.4532466,1785136750.4543195,1785136750.683474,1785136754.2611454,
block1-000002,329.2241321178153,851.7096471041441,36,572.5,327.3090380243957,849.7945530107245,1.9150940934196115,block1:s1,gated_rule_c,mixed,1785136750.6802254,1785136750.6821418,1785136751.0094702,1785136751.531956,
block1-000003,56.1256610089913,8151.12167398911,401,25.0,55.94173294957727,8150.937745929696,0.18392805941402912,block1:zero_tool,gated_rule_c,mixed,1785136751.0144577,1785136751.014642,1785136751.0705924,1785136759.1655884,
block1-000004,124.38448774628341,3122.6825637277216,149,177.5,123.59096494037658,3121.8890409218147,0.7935228059068322,block1:zero_tool,gated_rule_c,mixed,1785136751.0819728,1785136751.0827668,1785136751.2063708,1785136754.2046688,
block1-000005,118.17073659040034,1457.5328105129302,67,15.0,117.37950099632144,1456.7415749188513,0.7912355940788984,block1:s1,gated_rule_c,mixed,1785136751.0885139,1785136751.089306,1785136751.2066977,1785136752.54606,
block1-000006,63.80314962007105,4266.06013556011,209,85.0,62.59169499389827,4264.848680933937,1.211454626172781,block1:zero_tool,gated_rule_c,mixed,1785136751.3349907,1785136751.3362029,1785136751.3988066,1785136755.6010635,
block1-000007,55.99805747624487,3387.92588445358,163,287.5,55.7337140198797,3387.6615409972146,0.2643434563651681,block1:zero_tool,gated_rule_c,mixed,1785136751.3426788,1785136751.3429437,1785136751.3986878,1785136754.7306154,
block1-000008,58.85272251907736,3066.809772513807,145,412.5,58.055007946677506,3066.012057941407,0.7977145723998547,block1:zero_tool,gated_rule_c,mixed,1785136751.9822388,1785136751.983037,1785136752.0411012,1785136755.0490582,
block1-000009,380.7055341312662,973.710892139934,44,145.0,380.45734900515527,973.4627070138231,0.24818512611091137,block1:s2,gated_rule_c,mixed,1785136752.052018,1785136752.0522661,1785136752.4327316,1785136753.025737,
block1-000010,93.00798492040485,3396.826355950907,164,117.5,92.0336979907006,3395.8520690212026,0.9742869297042489,block1:zero_tool,gated_rule_c,mixed,1785136752.0919774,1785136752.092952,1785136752.1849935,1785136755.488812,
block1-000011,333.3742474205792,912.0950134238228,43,287.5,332.7895440161228,911.5103100193664,0.584703404456377,block1:s2,gated_rule_c,mixed,1785136752.364989,1785136752.3655741,1785136752.6983712,1785136753.2770917,
block1-000012,62.68520362209529,3193.1083196541294,156,15.0,61.51251797564328,3191.9356340076774,1.1726856464520097,block1:zero_tool,gated_rule_c,mixed,1785136753.156195,1785136753.1573682,1785136753.2188888,1785136756.3493118,
block1-000013,401.404470205307,1015.3953431872651,44,20.0,401.23042406048626,1015.2212970424443,0.17404614482074976,block1:s2,gated_rule_c,mixed,1785136753.3956223,1785136753.3957968,1785136753.7970357,1785136754.4110265,
block1-000014,298.7167180981487,795.8608490880579,36,12.5,298.27856505289674,795.4226960428059,0.4381530452519655,block1:s2,gated_rule_c,mixed,1785136753.6342318,1785136753.6346703,1785136753.9329576,1785136754.4301019,
block1-000015,275.4198519978672,765.4477310134098,34,545.0,275.10472596623003,765.1326049817726,0.3151260316371918,block1:s2,gated_rule_c,mixed,1785136754.19183,1785136754.1921453,1785136754.4672582,1785136754.957286,
block1-000016,404.86582985613495,1011.8023719405755,48,155.0,403.7770269205794,1010.71356900502,1.0888029355555773,block1:s3,gated_rule_c,mixed,1785136754.589371,1785136754.5904598,1785136754.9942443,1785136755.6011806,
block1-000017,57.855232269503176,3087.7537622582167,152,287.5,57.630188995972276,3087.528718984686,0.22504327353090048,block1:zero_tool,gated_rule_c,mixed,1785136754.9962025,1785136754.9964278,1785136755.054066,1785136758.0839643,
block1-000018,70.68199280183762,2853.997731814161,139,12.5,68.58947000000626,2851.9052090123296,2.0925228018313646,block1:zero_tool,gated_rule_c,mixed,1785136755.211162,1785136755.213255,1785136755.281852,1785136758.0651677,
block1-000019,406.1061335960403,1039.3716755788773,48,100.0,405.779151013121,1039.044692995958,0.3269825829192996,block1:s3,gated_rule_c,mixed,1785136755.6627116,1785136755.6630387,1785136756.068826,1785136756.7020915,
block1-000020,66.77529367152601,2993.976142606698,147,572.5,65.99439703859389,2993.195245973766,0.7808966329321265,block1:zero_tool,gated_rule_c,mixed,1785136755.9274452,1785136755.9282262,1785136755.994229,1785136758.9214299,
block1-000021,346.093122032471,986.2241260707378,43,10.0,345.37100000306964,985.5020040413365,0.7221220294013619,block1:s3,gated_rule_c,mixed,1785136756.4114754,1785136756.4121978,1785136756.7575755,1785136757.3977063,
block1-000022,500.7677642861381,1112.3951533809304,49,412.5,499.586915015243,1111.2143041100353,1.1808492708951235,block1:s3,gated_rule_c,mixed,1785136756.9153335,1785136756.9165149,1785136757.4161096,1785136758.0277371,
block1-000023,313.4460855508223,963.0732336081564,43,15.0,312.35409795772284,961.981246015057,1.091987593099475,block1:s3,gated_rule_c,mixed,1785136757.0269008,1785136757.0279932,1785136757.340355,1785136757.989982,
block1-000024,60.61067874543369,3911.0602147411555,173,10.0,59.56272303592414,3910.012259031646,1.0479557095095515,block1:zero_tool,gated_rule_c,mixed,1785136757.2227654,1785136757.2238135,1785136757.283385,1785136761.133835,
block1-000025,393.6730510322377,1035.5805299477652,48,152.5,392.80268503353,1034.7101639490575,0.8703659987077117,block1:s4,gated_rule_c,mixed,1785136757.4578276,1785136757.4586983,1785136757.851508,1785136758.4934156,
block1-000026,56.57262250315398,4328.295427490957,189,132.5,56.30849197041243,4328.0312969582155,0.26413053274154663,block1:zero_tool,gated_rule_c,mixed,1785136757.8367343,1785136757.836999,1785136757.8933165,1785136762.165039,
block1-000027,400.5544459214434,998.6682698363438,48,320.0,399.8458570567891,997.9596809716895,0.7085888646543026,block1:s4,gated_rule_c,mixed,1785136758.222693,1785136758.223402,1785136758.6232557,1785136759.2213695,
block1-000028,513.5841518640518,1443.8890408491716,48,17.5,513.0987280281261,1443.4036170132458,0.4854238359257579,block1:s4,gated_rule_c,mixed,1785136759.3933818,1785136759.3938675,1785136759.9069743,1785136760.8372793,
