request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,291.24599299393594,898.3466289937496,43,20.0,290.1809369213879,897.2815729212016,1.0650560725480318,block1:s1,policy_fcfs,mixed,1785136086.522877,1785136086.523942,1785136086.8141282,1785136087.4212286,
block1-000001,56.34316161740571,3410.9508766559884,171,25.0,56.10877403523773,3410.7164890738204,0.23438758216798306,block1:zero_tool,policy_fcfs,mixed,1785136086.6471705,1785136086.647405,1785136086.7035193,1785136090.0581272,
block1-000002,317.99626315478235,770.4261362086982,36,572.5,316.14818901289254,768.5780620668083,1.8480741418898106,block1:s1,policy_fcfs,mixed,1785136087.1211808,1785136087.123029,1785136087.4391851,1785136087.891615,
block1-000003,57.629512157291174,7506.149237160571,370,25.0,57.00895097106695,7505.528675974347,0.6205611862242222,block1:zero_tool,policy_fcfs,mixed,1785136087.3067605,1785136087.3073812,1785136087.3643975,1785136094.8129175,
block1-000004,54.49726362712681,2914.239037549123,147,177.5,53.56150004081428,2913.3032739628106,0.9357635863125324,block1:zero_tool,policy_fcfs,mixed,1785136087.817824,1785136087.81876,1785136087.8723295,1785136090.7320714,
block1-000005,127.54460924770683,1372.9248172603548,67,15.0,125.77157700434327,1371.1517850169912,1.7730322433635592,block1:s1,policy_fcfs,mixed,1785136087.9179957,1785136087.9197688,1785136088.045548,1785136089.2909284,
block1-000006,55.79685897100717,4035.1974699879065,204,85.0,55.0507070729509,4034.4513180898502,0.7461518980562687,block1:zero_tool,policy_fcfs,mixed,1785136088.3129911,1785136088.3137374,1785136088.3687975,1785136092.348198,
block1-000007,60.52498857025057,2866.0124426241964,143,287.5,59.77849499322474,2865.2659490471706,0.7464935770258307,block1:zero_tool,policy_fcfs,mixed,1785136088.793962,1785136088.7947085,1785136088.8544948,1785136091.659983,
block1-000008,53.3937809523195,2394.847339950502,121,412.5,53.28113108407706,2394.7346900822595,0.11264986824244261,block1:zero_tool,policy_fcfs,mixed,1785136088.898786,1785136088.8988988,1785136088.9521866,1785136091.29364,
block1-000009,349.3633302859962,919.8407562216744,44,145.0,348.5502360854298,919.027662021108,0.813094200566411,block1:s2,policy_fcfs,mixed,1785136089.3450034,1785136089.3458166,1785136089.6943736,1785136090.2648509,
block1-000010,62.879640609025955,3105.3901966661215,155,117.5,62.38267000298947,3104.893226060085,0.49697060603648424,block1:zero_tool,policy_fcfs,mixed,1785136089.8810823,1785136089.8815796,1785136089.9439726,1785136092.9864836,
block1-000011,320.5670273164287,935.7304112054408,43,287.5,319.2279210779816,934.3913049669936,1.3391062384471297,block1:s2,policy_fcfs,mixed,1785136090.7247055,1785136090.7260447,1785136091.04528,1785136091.6604433,
block1-000012,67.32342997565866,3291.8884229147807,156,15.0,66.6527389548719,3291.217731893994,0.6706910207867622,block1:zero_tool,policy_fcfs,mixed,1785136091.0753627,1785136091.0760336,1785136091.142695,1785136094.36726,
block1-000013,381.9176162360236,944.448308320716,44,20.0,380.4310529958457,942.9617450805381,1.4865632401779294,block1:s2,policy_fcfs,mixed,1785136091.5525985,1785136091.554085,1785136091.9345229,1785136092.4970536,
block1-000014,301.1149256490171,750.7216735975817,36,12.5,299.99454296194017,749.6012909105048,1.1203826870769262,block1:s2,policy_fcfs,mixed,1785136091.821212,1785136091.8223326,1785136092.122335,1785136092.5719416,
block1-000015,298.3735407469794,789.9986527627334,34,545.0,297.4841189570725,789.1092309728265,0.889421789906919,block1:s2,policy_fcfs,mixed,1785136092.893486,1785136092.8943756,1785136093.1918674,1785136093.6834924,
block1-000016,409.31720240041614,1148.1151963816956,48,155.0,408.3511190256104,1147.1491130068898,0.9660833748057485,block1:s3,policy_fcfs,mixed,1785136092.9321308,1785136092.933097,1785136093.3414552,1785136094.0802531,
block1-000017,109.49665890075266,3638.1629389943555,161,287.5,108.4943349706009,3637.1606150642037,1.0023239301517606,block1:zero_tool,policy_fcfs,mixed,1785136092.9484503,1785136092.9494529,1785136093.0579531,1785136096.5866194,
block1-000018,59.834328247234225,3098.7101432401687,139,12.5,58.79295791964978,3097.6687729125842,1.0413703275844455,block1:zero_tool,policy_fcfs,mixed,1785136093.1134677,1785136093.1145093,1785136093.17331,1785136096.212186,
block1-000019,486.93622823338956,1181.932071223855,48,100.0,486.77348310593516,1181.7693260964006,0.16274512745440006,block1:s3,policy_fcfs,mixed,1785136093.477142,1785136093.4773052,1785136093.9640872,1785136094.659083,
block1-000020,82.3642322793603,3477.829080191441,147,572.5,82.12662499863654,3477.591472910717,0.2376072807237506,block1:zero_tool,policy_fcfs,mixed,1785136093.5626485,1785136093.5628862,1785136093.6450202,1785136097.0404851,
block1-000021,428.1344913179055,1047.7338433265686,43,10.0,427.77023499365896,1047.369587002322,0.36425632424652576,block1:s3,policy_fcfs,mixed,1785136093.7657235,1785136093.7660878,1785136094.1938655,1785136094.8134649,
block1-000022,523.5875120852143,1140.3717111097649,49,412.5,522.7721310220659,1139.5563300466165,0.8153810631483793,block1:s3,policy_fcfs,mixed,1785136093.8047025,1785136093.8055184,1785136094.3282986,1785136094.945083,
block1-000023,306.48398550692946,960.9857595060021,43,15.0,306.31056905258447,960.8123430516571,0.17341645434498787,block1:s3,policy_fcfs,mixed,1785136094.002611,1785136094.0027843,1785136094.309102,1785136094.963604,
block1-000024,65.33929496072233,4005.632079904899,173,10.0,64.40558505710214,4004.698370001279,0.9337099036201835,block1:zero_tool,policy_fcfs,mixed,1785136094.3686035,1785136094.3695374,1785136094.4339504,1785136098.374243,
block1-000025,415.00113054644316,1134.1448575258255,48,152.5,414.60100503172725,1133.7447320111096,0.40012551471590996,block1:s4,policy_fcfs,mixed,1785136094.3982742,1785136094.3986745,1785136094.8132837,1785136095.5324273,
block1-000026,57.15676280669868,4372.745235799812,190,132.5,56.19325302541256,4371.781726018526,0.9635097812861204,block1:zero_tool,policy_fcfs,mixed,1785136095.1691558,1785136095.1701195,1785136095.226319,1785136099.5419078,
block1-000027,559.084078297019,1273.143916274421,48,320.0,558.9585489360616,1273.0183869134635,0.12552936095744371,block1:s4,policy_fcfs,mixed,1785136095.2366116,1785136095.2367373,1785136095.795703,1785136096.5097628,
block1-000028,575.9409067686647,1289.7969057084993,48,17.5,574.905583052896,1288.7615819927305,1.0353237157687545,block1:s4,policy_fcfs,mixed,1785136095.2392824,1785136095.2403176,1785136095.8152297,1785136096.5290859,
block1-000029,529.1142708156258,1243.0352288065478,48,322.5,528.0701190931723,1241.9910770840943,1.0441517224535346,block1:s4,policy_fcfs,mixed,1785136095.30542,1785136095.3064642,1785136095.8345425,1785136096.5484633,
block1-000030,472.3000193480402,1196.0204454371706,48,95.0,471.28872701432556,1195.009153103456,1.011292333714664,block1:s4,policy_fcfs,mixed,1785136095.495917,1785136095.4969285,1785136095.968224,1785136096.6919444,
block1-000031,469.2928835283965,1214.594159508124,48,132.5,467.76210505049676,1213.0633810302243,1.5307784778997302,block1:s4,policy_fcfs,mixed,1785136095.5469835,1785136095.5485146,1785136096.0162838,1785136096.761585,
block1-000032,315.8595599234104,1125.4346629139036,43,280.0,315.3092480497435,1124.8843510402367,0.5503118736669421,block1:s1,policy_fcfs,mixed,1785136095.9148722,1785136095.9154224,1785136096.230741,1785136097.0403163,
block1-000033,116.64818285498768,1798.029295867309,71,10.0,115.88704900350422,1797.2681620158255,0.7611338514834642,block1:s1,policy_fcfs,mixed,1785136096.2915683,1785136096.2923295,1785136096.4082246,1785136098.0896056,
block1-000034,135.50580071751028,4171.735490788706,189,15.0,134.45251598022878,4170.682206051424,1.0532847372815013,block1:zero_tool,policy_fcfs,mixed,1785136096.2951095,1785136096.296163,1785136096.4306228,1785136100.4668524,
block1-000035,128.93707084003836,1816.2208897992969,75,10.0,127.2959130583331,1814.5797320175916,1.6411577817052603,block1:s1,policy_fcfs,mixed,1785136096.613872,1785136096.615513,1785136096.7428155,1785136098.4300995,
block1-000036,383.1092230975628,964.9291990790516,36,105.0,381.30453892517835,963.1245149066672,1.804684172384441,block1:s1,policy_fcfs,mixed,1785136096.7884812,1785136096.7902863,1785136097.1715977,1785136097.753418,
block1-000037,327.0805315114558,908.5579785751179,34,170.0,326.53059193398803,908.0080389976501,0.5499395774677396,block1:s1,policy_fcfs,mixed,1785136096.8257558,1785136096.8263059,1785136097.152843,1785136097.7343206,
