request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,495.9076875820756,1142.387772561051,43,20.0,495.5712310038507,1142.051315982826,0.3364565782248974,block1:s1,policy_fcfs,mixed,1785135511.5618584,1785135511.562195,1785135512.0577724,1785135512.7042525,
block1-000001,239.29389705881476,3906.789467087947,176,25.0,238.28370997216552,3905.7792800012976,1.010187086649239,block1:zero_tool,policy_fcfs,mixed,1785135511.5624084,1785135511.5634189,1785135511.8017094,1785135515.469205,
block1-000002,324.62793914601207,857.36442822963,36,572.5,324.315158999525,857.0516480831429,0.3127801464870572,block1:s1,policy_fcfs,mixed,1785135511.7893872,1785135511.7897005,1785135512.1140304,1785135512.6467674,
block1-000003,69.25895111635327,8125.102428137325,397,25.0,68.67602199781686,8124.519499018788,0.5829291185364127,block1:zero_tool,policy_fcfs,mixed,1785135512.1236196,1785135512.1242027,1785135512.1928875,1785135520.248731,
block1-000004,118.40254196431488,3089.9713169783354,147,177.5,117.68032400868833,3089.249099022709,0.7222179556265473,block1:zero_tool,policy_fcfs,mixed,1785135512.1911347,1785135512.1918573,1785135512.3095467,1785135515.2811153,
block1-000005,111.9431717088446,1463.1854856852442,67,15.0,111.30862403661013,1462.5509380130097,0.6345476722344756,block1:s1,policy_fcfs,mixed,1785135512.1976757,1785135512.1983104,1785135512.309628,1785135513.6608703,
block1-000006,85.1722665829584,3879.6894035767764,188,85.0,84.46768496651202,3878.98482196033,0.7045816164463758,block1:zero_tool,policy_fcfs,mixed,1785135512.4441526,1785135512.4448574,1785135512.5293336,1785135516.3238504,
block1-000007,80.24653454776853,5985.686100553721,291,287.5,80.05743799731135,5985.497004003264,0.18909655045717955,block1:zero_tool,policy_fcfs,mixed,1785135512.4518406,1785135512.4520302,1785135512.532098,1785135518.437538,
block1-000008,64.45558462291956,3912.4299206305295,188,412.5,63.75817698426545,3911.7325129918754,0.6974076386541128,block1:zero_tool,policy_fcfs,mixed,1785135513.0914006,1785135513.0920982,1785135513.155864,1785135517.0038388,
block1-000009,367.08657117560506,960.4311871808022,44,145.0,366.2404529750347,959.5850689802319,0.8461182005703449,block1:s2,policy_fcfs,mixed,1785135513.1611798,1785135513.162026,1785135513.5282745,1785135514.1216192,
block1-000010,79.86957801040262,3390.8344369847327,164,117.5,78.99901201017201,3389.963870984502,0.8705660002306104,block1:zero_tool,policy_fcfs,mixed,1785135513.2011392,1785135513.2020102,1785135513.2810168,1785135516.5919814,
block1-000011,320.3945094719529,898.0014025000855,43,287.5,319.8301530210301,897.4370460491627,0.5643564509227872,block1:s2,policy_fcfs,mixed,1785135513.474151,1785135513.4747157,1785135513.7945547,1785135514.3721616,
