request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,295.54759606253356,902.9169301502407,43,20.0,294.0774839371443,901.4468180248514,1.470112125389278,block1:s1,prompt_sjf,mixed,1785141052.9429674,1785141052.9444377,1785141053.2385206,1785141053.8458898,
block1-000001,60.9166695503518,3510.969099588692,176,25.0,59.86389296595007,3509.9163230042905,1.0527765844017267,block1:zero_tool,prompt_sjf,mixed,1785141053.067261,1785141053.0683143,1785141053.1281877,1785141056.57824,
block1-000002,322.7009242400527,775.3595812246203,36,572.5,320.56085602380335,773.219513008371,2.1400682162493467,block1:s1,prompt_sjf,mixed,1785141053.5412712,1785141053.543412,1785141053.8639815,1785141054.3166401,
block1-000003,62.433929182589054,7513.007637229748,370,25.0,61.74353393726051,7512.3172419844195,0.6903952453285456,block1:zero_tool,prompt_sjf,mixed,1785141053.726851,1785141053.7275417,1785141053.789293,1785141061.2398667,
block1-000004,59.37483150046319,2991.226502461359,149,177.5,58.67329798638821,2990.524968947284,0.7015335140749812,block1:zero_tool,prompt_sjf,mixed,1785141054.2379143,1785141054.2386165,1785141054.2972977,1785141057.229149,
block1-000005,113.72246535029262,1359.259179327637,67,15.0,113.12425404321402,1358.6609680205584,0.5982113070785999,block1:s1,prompt_sjf,mixed,1785141054.3380861,1785141054.3386846,1785141054.4518168,1785141055.6973534,
block1-000006,61.06006191112101,4041.190617950633,204,85.0,60.37933996412903,4040.509896003641,0.6807219469919801,block1:zero_tool,prompt_sjf,mixed,1785141054.7330816,1785141054.7337625,1785141054.794149,1785141058.774279,
block1-000007,65.74189465027303,2871.541893691756,143,287.5,64.01217402890325,2869.812173070386,1.729720621369779,block1:zero_tool,prompt_sjf,mixed,1785141055.2140524,1785141055.2157826,1785141055.279803,1785141058.0856025,
block1-000008,58.61217970959842,2401.1487377574667,121,412.5,58.2869698991999,2400.823527947068,0.32520981039851904,block1:zero_tool,prompt_sjf,mixed,1785141055.3188765,1785141055.3192024,1785141055.3774965,1785141057.7200327,
block1-000009,355.01501127146184,925.941871246323,44,145.0,353.3850210951641,924.3118810700253,1.6299901762977242,block1:s2,prompt_sjf,mixed,1785141055.7650938,1785141055.7667243,1785141056.1201172,1785141056.691044,
block1-000010,68.59252764843404,3110.2637206204236,155,117.5,68.46507405862212,3110.1362670306116,0.12745358981192112,block1:zero_tool,prompt_sjf,mixed,1785141056.3011727,1785141056.3013008,1785141056.3697736,1785141059.4114444,
block1-000011,308.2338973181322,904.0869373129681,43,287.5,307.80680605676025,903.6598460515961,0.4270912613719702,block1:s2,prompt_sjf,mixed,1785141057.144796,1785141057.1452231,1785141057.4530365,1785141058.0488899,
block1-000012,55.03247492015362,3279.344719951041,156,15.0,54.05386898200959,3278.366114012897,0.9786059381440282,block1:zero_tool,prompt_sjf,mixed,1785141057.4954531,1785141057.4964325,1785141057.550496,1785141060.7748075,
block1-000013,387.9172482993454,950.7486063521355,44,20.0,387.5047010369599,950.33605908975,0.41254726238548756,block1:s2,prompt_sjf,mixed,1785141057.972689,1785141057.973102,1785141058.3606153,1785141058.9234464,
block1-000014,307.3295917129144,756.8898457102478,36,12.5,307.1695090038702,756.7297630012035,0.16008270904421806,block1:s2,prompt_sjf,mixed,1785141058.2413025,1785141058.2414632,1785141058.5486412,1785141058.9982011,
block1-000015,303.9545288775116,795.836164848879,34,545.0,303.78871504217386,795.6703510135412,0.16581383533775806,block1:s2,prompt_sjf,mixed,1785141059.3135765,1785141059.3137429,1785141059.6175394,1785141060.109421,
block1-000016,414.9771893862635,1154.9999794224277,48,155.0,413.8818539213389,1153.9046439575031,1.095335464924574,block1:s3,prompt_sjf,mixed,1785141059.3522213,1785141059.3533173,1785141059.767207,1785141060.5072303,
block1-000017,114.84421277418733,3468.6173828085884,152,287.5,114.38467993866652,3468.1578499730676,0.45953283552080393,block1:zero_tool,prompt_sjf,mixed,1785141059.3685408,1785141059.3690012,1785141059.4833946,1785141062.8371675,
block1-000018,65.25769736617804,2910.754392389208,129,12.5,64.41368197556585,2909.910376998596,0.844015390612185,block1:zero_tool,prompt_sjf,mixed,1785141059.5335581,1785141059.5344026,1785141059.5988245,1785141062.4443214,
block1-000019,475.11312121059746,1169.4635661551729,48,100.0,474.79596303310245,1169.1464079776779,0.31715817749500275,block1:s3,prompt_sjf,mixed,1785141059.8972325,1785141059.8975503,1785141060.372354,1785141061.0667038,
block1-000020,69.4818221963942,4103.149958187714,174,572.5,68.38375492952764,4102.051890920848,1.0980672668665648,block1:zero_tool,prompt_sjf,mixed,1785141059.982739,1785141059.9838376,1785141060.05223,1785141064.0858977,
block1-000021,434.7497553098947,1053.913454292342,43,10.0,433.64839698188007,1052.8120959643275,1.1013583280146122,block1:s3,prompt_sjf,mixed,1785141060.185814,1785141060.1869156,1785141060.6205719,1785141061.2397356,
block1-000022,530.4146980633959,1146.2922230130062,49,412.5,530.1182660041377,1145.995790953748,0.2964320592582226,block1:s3,prompt_sjf,mixed,1785141060.224793,1785141060.2250903,1785141060.7552187,1785141061.3710964,
block1-000023,313.079695450142,966.9305104762316,43,15.0,311.5463210269809,965.3971360530704,1.533374423161149,block1:s3,prompt_sjf,mixed,1785141060.4227014,1785141060.424235,1785141060.73579,1785141061.389641,
block1-000024,70.13196696061641,4014.4427969353274,173,10.0,69.68355900608003,4013.994388980791,0.4484079545363784,block1:zero_tool,prompt_sjf,mixed,1785141060.788694,1785141060.7891428,1785141060.858835,1785141064.803146,
block1-000025,421.2628814857453,1141.8784494744614,48,152.5,420.6632849527523,1141.2788529414684,0.5995965329930186,block1:s4,prompt_sjf,mixed,1785141060.8183646,1785141060.8189647,1785141061.2396355,1785141061.960251,
block1-000026,63.548493664711714,4437.305269762874,193,132.5,63.05655895266682,4436.813335050829,0.4919347120448947,block1:zero_tool,prompt_sjf,mixed,1785141061.5892463,1785141061.5897386,1785141061.6528032,1785141066.02656,
block1-000027,567.1079903841019,1277.2348064463586,48,320.0,566.8887339998037,1277.0155500620604,0.21925638429820538,block1:s4,prompt_sjf,mixed,1785141061.656702,1785141061.6569214,1785141062.223816,1785141062.9339426,
block1-000028,564.3873427761719,1274.4364896789193,48,17.5,564.2363760853186,1274.285522988066,0.1509666908532381,block1:s4,prompt_sjf,mixed,1785141061.6593728,1785141061.6595242,1785141062.2237656,1785141062.9338145,
block1-000029,536.7161587346345,1246.0107987280935,48,322.5,535.3758750716224,1244.6705150650814,1.3402836630120873,block1:s4,prompt_sjf,mixed,1785141061.7255104,1785141061.7268512,1785141062.2622378,1785141062.9715323,
block1-000030,443.5863853432238,1150.7968143559992,48,95.0,442.53324903547764,1149.743678048253,1.053136307746172,block1:s4,prompt_sjf,mixed,1785141061.9160075,1785141061.917061,1785141062.359602,1785141063.0668123,
block1-000031,457.88182655815035,1199.7077215928584,48,132.5,457.4396020034328,1199.265497038141,0.44222455471754074,block1:s4,prompt_sjf,mixed,1785141061.967074,1785141061.9675167,1785141062.4249642,1785141063.1667895,
block1-000032,322.343542939052,1129.6219769865274,43,280.0,322.0280359964818,1129.3064700439572,0.3155069425702095,block1:s1,prompt_sjf,mixed,1785141062.3349626,1785141062.3352785,1785141062.6573136,1785141063.4645922,
block1-000033,125.25867484509945,1806.2013698508963,71,10.0,124.317936017178,1805.2606310229748,0.9407388279214501,block1:s1,prompt_sjf,mixed,1785141062.7116587,1785141062.7126,1785141062.8369274,1785141064.5178704,
block1-000034,121.87170377001166,3255.7979926932603,143,15.0,121.67158804368228,3255.597876966931,0.20011572632938623,block1:zero_tool,prompt_sjf,mixed,1785141062.7152,1785141062.7154005,1785141062.8370779,1785141065.9710042,
block1-000035,132.73527985438704,1825.0428058672696,75,10.0,131.70008303131908,1824.0076090442017,1.0351968230679631,block1:s1,prompt_sjf,mixed,1785141063.0339625,1785141063.0349982,1785141063.1667051,1785141064.8590124,
block1-000036,388.63207399845123,973.6864380538464,36,105.0,387.9470028914511,973.0013669468462,0.6850711070001125,block1:s1,prompt_sjf,mixed,1785141063.2085717,1785141063.2092571,1785141063.5972118,1785141064.182266,
block1-000037,332.2050357237458,916.9299516361207,34,170.0,331.6108740400523,916.3357899524271,0.5941616836935282,block1:s1,prompt_sjf,mixed,1785141063.2458463,1785141063.2464411,1785141063.5780609,1785141064.1627858,
block1-000038,424.12740364670753,1046.0858256556094,43,12.5,423.5392839182168,1045.4977059271187,0.5881197284907103,block1:s1,prompt_sjf,mixed,1785141063.6999812,1785141063.70057,1785141064.124118,1785141064.7460766,
block1-000039,168.4610960073769,1523.6470330273733,68,145.0,166.73097806051373,1521.91691508051,1.7301179468631744,block1:s1,prompt_sjf,mixed,1785141063.743071,1785141063.744802,1785141063.9115424,1785141065.266728,
block1-000040,53.551730467006564,7943.414054461755,364,10.0,53.329122019931674,7943.19144601468,0.22260844707489014,block1:zero_tool,prompt_sjf,mixed,1785141064.2264283,1785141064.2266512,1785141064.279989,1785141072.1698508,
block1-000041,311.03302689734846,795.932849869132,36,17.5,310.152678983286,795.0525019550696,0.8803479140624404,block1:s2,prompt_sjf,mixed,1785141064.3961804,1785141064.3970613,1785141064.7072208,1785141065.1921203,
block1-000042,96.2315087672323,1347.024253802374,64,145.0,94.30122002959251,1345.0939650647342,1.9302887376397848,block1:s2,prompt_sjf,mixed,1785141064.9081178,1785141064.9100485,1785141065.0043578,1785141066.25515,
block1-000043,103.34963258355856,1628.0536506092176,78,17.5,102.28146496228874,1626.9854829879478,1.0681676212698221,block1:s2,prompt_sjf,mixed,1785141065.3470418,1785141065.3481107,1785141065.4504,1785141066.9751039,
block1-000044,319.8586030630395,770.1336400350556,35,412.5,318.9555910648778,769.2306280368939,0.9030119981616735,block1:s2,prompt_sjf,mixed,1785141065.3691237,1785141065.370027,1785141065.6889904,1785141066.1392655,
block1-000045,53.39209001976997,3030.591496033594,143,572.5,52.617914974689484,3029.8173209885135,0.774175045080483,block1:zero_tool,prompt_sjf,mixed,1785141066.126045,1785141066.1268194,1785141066.1794443,1785141069.156644,
block1-000046,69.47041803505272,7483.397556003183,336,107.5,68.2219360023737,7482.149073970504,1.2484820326790214,block1:zero_tool,prompt_sjf,mixed,1785141066.5066178,1785141066.5078666,1785141066.5760968,1785141073.9900239,
block1-000047,267.0851512812078,759.6155921928585,34,10.0,266.9471630360931,759.4776039477438,0.1379882451146841,block1:s2,prompt_sjf,mixed,1785141066.6285405,1785141066.6286786,1785141066.8956323,1785141067.3881629,
block1-000048,59.92668936960399,3105.4375543026254,142,10.0,59.58372505847365,3105.094589991495,0.34296431113034487,block1:zero_tool,prompt_sjf,mixed,1785141066.7237623,1785141066.724106,1785141066.7836993,1785141069.8292098,
block1-000049,66.89909379929304,2804.915495798923,126,17.5,65.25200000032783,2803.268401999958,1.6470937989652157,block1:zero_tool,prompt_sjf,mixed,1785141066.9081097,1785141066.909757,1785141066.975016,1785141069.7130325,
block1-000050,444.7738848393783,1133.933400735259,48,160.0,443.8728870591149,1133.0324029549956,0.9009977802634239,block1:s3,prompt_sjf,mixed,1785141067.1484735,1785141067.1493747,1785141067.5932546,1785141068.2824142,
block1-000051,261.7121054790914,913.5167185449973,39,17.5,261.38612802606076,913.1907410919666,0.32597745303064585,block1:s3,prompt_sjf,mixed,1785141067.3692262,1785141067.3695529,1785141067.6309469,1785141068.2827516,
block1-000052,456.6592766204849,1115.7797276973724,48,170.0,456.41899097245187,1115.5394420493394,0.24028564803302288,block1:s3,prompt_sjf,mixed,1785141067.7672858,1785141067.7675264,1785141068.2239535,1785141068.8830736,
block1-000053,55.978043004870415,3842.2094769775867,166,160.0,54.940785048529506,3841.172219021246,1.037257956340909,block1:zero_tool,prompt_sjf,mixed,1785141067.9384012,1785141067.939439,1785141067.9943879,1785141071.7806194,
block1-000054,508.9309266768396,1019.4298577262089,43,282.5,508.10042198281735,1018.5993530321866,0.8305046940222383,block1:s3,prompt_sjf,mixed,1785141068.0951614,1785141068.0959923,1785141068.6041014,1785141069.1146004,
block1-000055,429.2604628717527,1201.2168838409707,48,282.5,428.32612607162446,1200.2825470408425,0.9343368001282215,block1:s3,prompt_sjf,mixed,1785141068.4144022,1785141068.4153368,1785141068.8436706,1785141069.6156273,
block1-000056,54.562894511036575,3598.1154994806275,154,115.0,54.2052990058437,3597.7579039754346,0.35759550519287586,block1:zero_tool,prompt_sjf,mixed,1785141068.6110039,1785141068.6113617,1785141068.6655743,1785141072.209127,
block1-000057,75.42337395716459,3749.128441908397,158,15.0,74.6465380070731,3748.3516059583053,0.7768359500914812,block1:zero_tool,prompt_sjf,mixed,1785141068.6517262,1785141068.6525035,1785141068.7271566,1785141072.400862,
