request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,473.93738955724984,1127.3011005250737,43,20.0,473.4251060290262,1126.78881699685,0.5122835282236338,block1:s1,prompt_sjf,mixed,1785140480.9136574,1785140480.9141698,1785140481.3876019,1785140482.0409653,
block1-000001,216.0717291990295,3890.871873125434,176,25.0,215.19235603045672,3889.992499956861,0.8793731685727835,block1:zero_tool,prompt_sjf,mixed,1785140480.9142075,1785140480.9150867,1785140481.1302826,1785140484.8050826,
block1-000002,321.55503518879414,860.8958842232823,36,572.5,321.29471097141504,860.6355600059032,0.26032421737909317,block1:s1,prompt_sjf,mixed,1785140481.1411862,1785140481.1414466,1785140481.4627562,1785140482.0020974,
block1-000003,66.0263350000605,8128.7147550610825,397,25.0,64.51203289907426,8127.200452960096,1.5143021009862423,block1:zero_tool,prompt_sjf,mixed,1785140481.4754186,1785140481.476933,1785140481.5414567,1785140489.604145,
block1-000004,104.54582201782614,3132.427552016452,149,177.5,103.85796707123518,3131.739697069861,0.68785494659096,block1:zero_tool,prompt_sjf,mixed,1785140481.5429337,1785140481.5436218,1785140481.6474912,1785140484.675373,
block1-000005,132.30208971071988,1485.9324246644974,67,15.0,131.80649699643254,1485.43683195021,0.49559271428734064,block1:s1,prompt_sjf,mixed,1785140481.5494747,1785140481.5499706,1785140481.6817858,1785140483.0354164,
block1-000006,89.24961171578616,3886.74123166129,188,85.0,88.73108506668359,3886.2227050121874,0.5185266491025686,block1:zero_tool,prompt_sjf,mixed,1785140481.7959516,1785140481.7964702,1785140481.8852134,1785140485.6827047,
block1-000007,84.09923361614347,5989.281433518045,291,287.5,83.79527810029685,5988.977478002198,0.30395551584661007,block1:zero_tool,prompt_sjf,mixed,1785140481.8036397,1785140481.8039436,1785140481.8877468,1785140487.792929,
block1-000008,67.88980669807643,3915.2263086289167,188,412.5,67.55979300942272,3914.896294940263,0.3300136886537075,block1:zero_tool,prompt_sjf,mixed,1785140482.4431996,1785140482.4435303,1785140482.5110974,1785140486.3584337,
block1-000009,370.0665241340175,963.9110452262685,44,145.0,369.6391099365428,963.4836310287938,0.4274141974747181,block1:s2,prompt_sjf,mixed,1785140482.5129788,1785140482.5134063,1785140482.8830512,1785140483.4768956,
block1-000010,83.23093899525702,3394.157510017976,164,117.5,82.15062902309,3393.077200045809,1.080309972167015,block1:zero_tool,prompt_sjf,mixed,1785140482.5529382,1785140482.5540185,1785140482.6361759,1785140485.9471023,
block1-000011,324.0403514355421,901.5241505112499,43,287.5,322.62668397743255,900.1104830531403,1.4136674581095576,block1:s2,prompt_sjf,mixed,1785140482.82595,1785140482.8273642,1785140483.1499999,1785140483.7274835,
block1-000012,71.216078591533,3214.3741416512057,156,15.0,69.29542194120586,3212.4534850008786,1.920656650327146,block1:zero_tool,prompt_sjf,mixed,1785140483.6171558,1785140483.6190765,1785140483.68838,1785140486.8315382,
block1-000013,391.6125912219286,1005.8816162636504,44,20.0,390.5913069611415,1004.8603320028633,1.0212842607870698,block1:s2,prompt_sjf,mixed,1785140483.856583,1785140483.8576045,1785140484.2482042,1785140484.8624732,
block1-000014,307.75018816348165,805.2946070674807,36,12.5,307.326766080223,804.871184984222,0.42342208325862885,block1:s2,prompt_sjf,mixed,1785140484.0951927,1785140484.0956166,1785140484.4029512,1785140484.9004955,
block1-000015,266.14155794959515,757.5470480369404,34,545.0,264.9855389026925,756.3910289900377,1.1560190469026566,block1:s2,prompt_sjf,mixed,1785140484.6527908,1785140484.6539469,1785140484.91894,1785140485.4103458,
block1-000016,416.4440999738872,1028.0797859886661,48,155.0,415.74486799072474,1027.3805540055037,0.6992319831624627,block1:s3,prompt_sjf,mixed,1785140485.0503318,1785140485.0510318,1785140485.466786,1785140486.0784214,
block1-000017,69.4105742732063,3306.4626363338903,161,287.5,68.95561597775668,3306.0076780384406,0.4549582954496145,block1:zero_tool,prompt_sjf,mixed,1785140485.4571633,1785140485.4576185,1785140485.5265827,1785140488.7636344,
block1-000018,66.97986391372979,3298.4608558472246,160,12.5,65.70186605677009,3297.182857990265,1.2779978569597006,block1:zero_tool,prompt_sjf,mixed,1785140485.672123,1785140485.673401,1785140485.7391095,1785140488.9705908,
block1-000019,406.7209366476163,1045.2390826540068,48,100.0,405.127389007248,1043.6455350136384,1.5935476403683424,block1:s3,prompt_sjf,mixed,1785140486.1236725,1785140486.125266,1785140486.530401,1785140487.1689196,
block1-000020,66.73996464814991,3009.496505605057,147,572.5,66.54565094504505,3009.302191901952,0.19431370310485363,block1:zero_tool,prompt_sjf,mixed,1785140486.388406,1785140486.3886006,1785140486.455154,1785140489.3979106,
block1-000021,351.6947900643572,996.2247810326517,43,10.0,350.8080909959972,995.3380819642916,0.8866990683600307,block1:s3,prompt_sjf,mixed,1785140486.8724363,1785140486.8733232,1785140487.2241392,1785140487.8686695,
block1-000022,511.118276277557,1122.9567802511156,49,412.5,510.02874702680856,1121.867251000367,1.0895292507484555,block1:s3,prompt_sjf,mixed,1785140487.3762944,1785140487.377384,1785140487.8874204,1785140488.499259,
block1-000023,323.74975562561303,973.3165357029065,43,15.0,322.5547329057008,972.1215129829943,1.195022719912231,block1:s3,prompt_sjf,mixed,1785140487.4878616,1785140487.4890573,1785140487.8116198,1785140488.461187,
block1-000024,70.33276988659054,3928.2728898106143,173,10.0,69.73280105739832,3927.672920981422,0.5999688291922212,block1:zero_tool,prompt_sjf,mixed,1785140487.6837263,1785140487.684327,1785140487.7540698,1785140491.6120098,
block1-000025,403.8272489560768,1051.5082629863173,48,152.5,402.6173789752647,1050.2983930055052,1.2098699808120728,block1:s4,prompt_sjf,mixed,1785140487.9187884,1785140487.9199984,1785140488.322623,1785140488.970304,
block1-000026,66.91093160770833,4377.535033621825,190,132.5,65.92568603809923,4376.549788052216,0.9852455696091056,block1:zero_tool,prompt_sjf,mixed,1785140488.2976952,1785140488.2986808,1785140488.3646138,1785140492.6752381,
block1-000027,397.5197089603171,995.3023169655353,48,320.0,396.9107980374247,994.6934060426429,0.6089109228923917,block1:s4,prompt_sjf,mixed,1785140488.6836538,1785140488.6842632,1785140489.0811815,1785140489.678964,
block1-000028,511.44508295692503,1442.3989568604156,48,17.5,510.39889198727906,1441.3527658907697,1.046190969645977,block1:s4,prompt_sjf,mixed,1785140489.8543427,1785140489.855389,1785140490.3657959,1785140491.2967496,
block1-000029,472.97101630829275,1406.3238753005862,48,322.5,472.39473601803184,1405.7475950103253,0.576280290260911,block1:s4,prompt_sjf,mixed,1785140489.930413,1785140489.9309897,1785140490.4033923,1785140491.336746,
block1-000030,433.822060469538,1429.4225904159248,48,95.0,433.1491580232978,1428.7496879696846,0.6729024462401867,block1:s4,prompt_sjf,mixed,1785140490.0259788,1785140490.026652,1785140490.459809,1785140491.455409,
block1-000031,485.99224514327943,1396.8634301563725,48,132.5,485.31574301887304,1396.186928031966,0.6765021244063973,block1:s4,prompt_sjf,mixed,1785140490.2145913,1785140490.2152681,1785140490.7005951,1785140491.6114664,
block1-000032,483.1088063074276,1251.609266269952,43,280.0,482.7951800543815,1251.295640016906,0.31362625304609537,block1:s1,prompt_sjf,mixed,1785140490.440628,1785140490.4409418,1785140490.9237442,1785140491.6922445,
block1-000033,114.65116369072348,1838.4912746259943,71,10.0,114.35579601675272,1838.1959069520235,0.2953676739707589,block1:s1,prompt_sjf,mixed,1785140490.5250728,1785140490.5253682,1785140490.639732,1785140492.3635716,
block1-000034,89.50230688787997,4565.578407840803,204,15.0,88.84129009675235,4564.917391049676,0.6610167911276221,block1:zero_tool,prompt_sjf,mixed,1785140490.572775,1785140490.5734367,1785140490.6622877,1785140495.1383638,
block1-000035,124.01916109956801,1928.8991750217974,75,10.0,123.11389006208628,1927.9939039843157,0.9052710374817252,block1:s1,prompt_sjf,mixed,1785140490.715053,1785140490.7159586,1785140490.8390794,1785140492.6439595,
block1-000036,468.8620241358876,1047.0080050872639,36,105.0,467.87197701632977,1046.017957967706,0.9900471195578575,block1:s1,prompt_sjf,mixed,1785140490.7881355,1785140490.7891262,1785140491.2570071,1785140491.8351536,
block1-000037,351.70196555554867,930.5730116320774,34,170.0,350.9837680030614,929.8548140795901,0.7181975524872541,block1:s1,prompt_sjf,mixed,1785140490.905167,1785140490.9058857,1785140491.2568786,1785140491.8357494,
block1-000038,427.0079236011952,1053.9281135424972,43,12.5,426.34682508651167,1053.2670150278136,0.6610985146835446,block1:s1,prompt_sjf,mixed,1785140491.0863779,1785140491.0870392,1785140491.5133965,1785140492.1403167,
block1-000039,125.87034329771996,1578.568069380708,68,145.0,124.85528993420303,1577.553016017191,1.0150533635169268,block1:s1,prompt_sjf,mixed,1785140491.3101323,1785140491.3111475,1785140491.4360116,1785140492.8887093,
block1-000040,65.06937381345779,8193.773869774304,384,10.0,64.12396894302219,8192.828464903869,0.9454048704355955,block1:zero_tool,prompt_sjf,mixed,1785140491.5881224,1785140491.589068,1785140491.6532009,1785140499.7819052,
block1-000041,310.31364446971565,872.1751434495673,36,17.5,309.9973819917068,871.8588809715584,0.3162624780088663,block1:s2,prompt_sjf,mixed,1785140491.7146428,1785140491.7149594,1785140492.0249646,1785140492.5868266,
block1-000042,90.42878239415586,1404.4343433342874,64,145.0,89.52813607174903,1403.5336970118806,0.9006463224068284,block1:s2,prompt_sjf,mixed,1785140492.120247,1785140492.1211474,1785140492.2106843,1785140493.5246902,
block1-000043,83.18556554149836,1626.418880536221,78,17.5,82.19827304128557,1625.4315880360082,0.9872925002127886,block1:s2,prompt_sjf,mixed,1785140492.3697956,1785140492.370783,1785140492.4529886,1785140493.996222,
block1-000044,321.32739562075585,832.2718115523458,35,412.5,320.84359403233975,831.7880099639297,0.48380158841609955,block1:s2,prompt_sjf,mixed,1785140492.379,1785140492.379484,1785140492.7003338,1785140493.2112777,
block1-000045,69.13010135758668,3013.532244367525,143,572.5,67.85292597487569,3012.255068984814,1.2771753827109933,block1:zero_tool,prompt_sjf,mixed,1785140492.5179794,1785140492.5192566,1785140492.5871153,1785140495.5315177,
block1-000046,58.0836544977501,6587.641408434138,314,107.5,57.508541038259864,6587.0662949746475,0.5751134594902396,block1:zero_tool,prompt_sjf,mixed,1785140492.8347328,1785140492.8353083,1785140492.8928256,1785140499.4223833,
block1-000047,282.53134642727673,728.8454984081909,34,10.0,281.19217802304775,727.5063300039619,1.3391684042289853,block1:s2,prompt_sjf,mixed,1785140492.9283872,1785140492.9297264,1785140493.2109277,1785140493.6572416,
block1-000048,54.241073434241116,2928.4166754223406,142,10.0,53.95625496748835,2928.131856955588,0.28481846675276756,block1:zero_tool,prompt_sjf,mixed,1785140493.161511,1785140493.161796,1785140493.2157614,1785140496.089937,
block1-000049,59.35094889719039,2663.7970968149602,128,17.5,58.805232984013855,2663.2513809017837,0.5457159131765366,block1:zero_tool,prompt_sjf,mixed,1785140493.3499916,1785140493.3505378,1785140493.4093525,1785140496.0137985,
block1-000050,438.8913830043748,1094.0686920657754,48,160.0,438.2985749980435,1093.475884059444,0.5928080063313246,block1:s3,prompt_sjf,mixed,1785140494.005883,1785140494.006476,1785140494.4447832,1785140495.0999606,
block1-000051,279.7853872179985,896.9549993053079,39,17.5,278.9603649871424,896.1299770744517,0.8250222308561206,block1:s3,prompt_sjf,mixed,1785140494.2828896,1785140494.283715,1785140494.5626836,1785140495.179853,
block1-000052,405.2176772383973,1094.8583082063124,48,170.0,405.04112804774195,1094.681759015657,0.17654919065535069,block1:s3,prompt_sjf,mixed,1785140494.520478,1785140494.5206547,1785140494.9257028,1785140495.6153436,
block1-000053,54.194639320485294,3051.5078232856467,139,160.0,53.18759998772293,3050.5007839528844,1.0070393327623606,block1:zero_tool,prompt_sjf,mixed,1785140494.7944663,1785140494.7954736,1785140494.8486693,1785140497.8459823,
