request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,485.94914050772786,1120.1104385545477,43,20.0,485.43568793684244,1119.5969859836623,0.5134525708854198,block1:s1,pure_ltr,mixed,1785137984.9728699,1785137984.9733832,1785137985.4588263,1785137986.0929875,
block1-000001,227.18629916198552,3885.4394091758877,176,25.0,226.391504984349,3884.644614998251,0.7947941776365042,block1:zero_tool,pure_ltr,mixed,1785137984.97342,1785137984.9742146,1785137985.2006104,1785137988.8588629,
block1-000002,314.83695714268833,950.3663301002234,42,572.5,314.5483409753069,950.077713932842,0.28861616738140583,block1:s1,pure_ltr,mixed,1785137985.2003987,1785137985.2006872,1785137985.5152512,1785137986.1507802,
block1-000003,59.356919140554965,10625.977845164016,500,25.0,58.90524806454778,10625.526174088009,0.45167107600718737,block1:zero_tool,pure_ltr,mixed,1785137985.534631,1785137985.5350828,1785137985.5940013,1785137996.1606224,
block1-000004,127.04849883448333,3127.129207830876,149,177.5,125.01770397648215,3125.098412972875,2.0307948580011725,block1:zero_tool,pure_ltr,mixed,1785137985.6021461,1785137985.6041772,1785137985.7292037,1785137988.7292843,
block1-000005,120.19971967674792,1460.6381746707484,67,15.0,119.61712001357228,1460.0555750075728,0.5825996631756425,block1:s1,pure_ltr,mixed,1785137985.6086872,1785137985.6092699,1785137985.7288961,1785137987.0693343,
block1-000006,66.93743460346013,4266.232548630796,209,85.0,66.57919590361416,4265.87430993095,0.3582386998459697,block1:zero_tool,pure_ltr,mixed,1785137985.855164,1785137985.8555224,1785137985.9221141,1785137990.1214092,
block1-000007,59.198771603405476,3390.3751756297424,163,287.5,58.84437798522413,3390.020782011561,0.35439361818134785,block1:zero_tool,pure_ltr,mixed,1785137985.862852,1785137985.8632066,1785137985.9220634,1785137989.2532394,
block1-000008,62.29392171371728,2564.9021057179198,121,412.5,61.40331004280597,2564.0114940470085,0.8906116709113121,block1:zero_tool,pure_ltr,mixed,1785137986.502412,1785137986.5033028,1785137986.5647144,1785137989.0673227,
block1-000009,400.1763971755281,977.1905532106757,44,145.0,399.27340601570904,976.2875620508566,0.9029911598190665,block1:s2,pure_ltr,mixed,1785137986.5721912,1785137986.5730941,1785137986.972374,1785137987.5493882,
block1-000010,96.56109497882426,3398.4121900284663,164,117.5,95.5915559316054,3397.4426509812474,0.9695390472188592,block1:zero_tool,pure_ltr,mixed,1785137986.6121507,1785137986.6131208,1785137986.7087238,1785137990.0105746,
block1-000011,317.9216436110437,895.459747640416,43,287.5,317.6482720300555,895.1863760594279,0.2733715809881687,block1:s2,pure_ltr,mixed,1785137986.8851624,1785137986.8854358,1785137987.203093,1785137987.7806315,
block1-000012,65.60391967650503,3193.357455660589,156,15.0,64.49204101227224,3192.2455769963562,1.1118786642327905,block1:zero_tool,pure_ltr,mixed,1785137987.6763682,1785137987.6774802,1785137987.7419794,1785137990.8697324,
block1-000013,385.7255222974345,1000.1494542229921,44,20.0,385.5382250621915,999.962156987749,0.18729723524302244,block1:s2,pure_ltr,mixed,1785137987.9157956,1785137987.9159832,1785137988.3015294,1785137988.915953,
