request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,290.7212722348049,897.960216156207,43,20.0,289.0966960694641,896.3356399908662,1.6245761653408408,block1:s1,pure_ltr,mixed,1785138554.1036375,1785138554.1052625,1785138554.3943684,1785138555.0016074,
block1-000001,55.94736954662949,3411.360000493005,171,25.0,54.140893975272775,3409.553524921648,1.8064755713567138,block1:zero_tool,pure_ltr,mixed,1785138554.227931,1785138554.2297373,1785138554.283885,1785138557.6392975,
block1-000002,317.74134817533195,770.2757531078532,36,572.5,316.3979019736871,768.9323069062084,1.3434462016448379,block1:s1,pure_ltr,mixed,1785138554.7019413,1785138554.7032847,1785138555.019691,1785138555.4722252,
block1-000003,57.27972416207194,7506.731459172443,370,25.0,56.774287950247526,7506.226022960618,0.5054362118244171,block1:zero_tool,pure_ltr,mixed,1785138554.887521,1785138554.8880265,1785138554.9448085,1785138562.3942604,
block1-000004,54.36533153988421,2915.9758125897497,147,177.5,53.450774983502924,2915.0612560333684,0.9145565563812852,block1:zero_tool,pure_ltr,mixed,1785138555.3985844,1785138555.399499,1785138555.452957,1785138558.3145673,
block1-000005,127.51295231282711,1373.1782363029197,67,15.0,125.91607600916177,1371.5813599992543,1.59687630366534,block1:s1,pure_ltr,mixed,1785138555.4987562,1785138555.500353,1785138555.6262763,1785138556.8719416,
block1-000006,56.13002402242273,4035.2825350128114,204,85.0,55.21805107127875,4034.3705620616674,0.91197295114398,block1:zero_tool,pure_ltr,mixed,1785138555.8937516,1785138555.8946636,1785138555.949889,1785138559.9290411,
block1-000007,60.65705348737538,2866.0536744864658,143,287.5,59.79668989311904,2865.1933108922094,0.8603635942563415,block1:zero_tool,pure_ltr,mixed,1785138556.3747225,1785138556.375583,1785138556.4353874,1785138559.2407842,
block1-000008,53.237397922202945,2395.1462409459054,121,412.5,52.935036015696824,2394.8438790393993,0.30236190650612116,block1:zero_tool,pure_ltr,mixed,1785138556.4795465,1785138556.4798489,1785138556.5327923,1785138558.874701,
block1-000009,349.86196423415095,920.1088132103905,44,145.0,348.33644703030586,918.5832960065454,1.5255172038450837,block1:s2,pure_ltr,mixed,1785138556.9257638,1785138556.9272895,1785138557.2756329,1785138557.8458796,
