request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,731.4717894187197,1936.1057744827121,43,20.0,731.0433149104938,1935.6772999744862,0.4284745082259178,block1:s1,fcfs,mixed,1785134245.1993804,1785134245.199809,1785134245.9308605,1785134247.1354942,
block1-000001,210.73800011072308,7322.436996153556,176,25.0,209.93804500903934,7321.637041051872,0.7999551016837358,block1:zero_tool,fcfs,mixed,1785134245.1999304,1785134245.2007303,1785134245.4106724,1785134252.522371,
block1-000002,574.3663951288909,1542.5392200704664,36,572.5,573.4010220039636,1541.5738469455391,0.9653731249272823,block1:s1,fcfs,mixed,1785134245.4269092,1785134245.4278748,1785134246.0012915,1785134246.9694648,
block1-000003,66.91215897444636,21540.7827970339,510,25.0,65.25313598103821,21539.12377404049,1.6590229934081435,block1:zero_tool,fcfs,mixed,1785134245.7611415,1785134245.762801,1785134245.828064,1785134267.3019345,
block1-000004,102.31232480145991,5953.650826821104,147,177.5,101.78124695084989,5953.119748970494,0.5310778506100178,block1:zero_tool,fcfs,mixed,1785134245.8286567,1785134245.8291879,1785134245.930977,1785134251.7823157,
block1-000005,129.36320761218667,2778.4384195692837,67,15.0,128.22226097341627,2777.2974729305133,1.1409466387704015,block1:s1,fcfs,mixed,1785134245.8351977,1785134245.836339,1785134245.9645689,1785134248.6136446,
block1-000006,87.09400752559304,7557.392083574086,188,85.0,85.9918559435755,7556.289931992069,1.102151582017541,block1:zero_tool,fcfs,mixed,1785134246.0816746,1785134246.082777,1785134246.16878,1785134253.639078,
block1-000007,82.33125146944076,12224.285881500691,291,287.5,81.4505749149248,12223.405204946175,0.8806765545159578,block1:zero_tool,fcfs,mixed,1785134246.0893626,1785134246.0902438,1785134246.1717067,1785134258.3136613,
block1-000008,59.875080711208284,6571.384644601494,162,412.5,59.23357210122049,6570.743135991506,0.6415086099877954,block1:zero_tool,fcfs,mixed,1785134246.7289226,1785134246.7295644,1785134246.7888315,1785134253.3003404,
block1-000009,629.802719107829,1833.1620951648802,44,145.0,629.5360999647528,1832.895476021804,0.266619143076241,block1:s2,fcfs,mixed,1785134246.7987018,1785134246.7989686,1785134247.4285135,1785134248.6318727,
