request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,433.9091060683131,1639.8775040870532,43,20.0,432.055267971009,1638.0236659897491,1.8538380973041058,block1:s1,fcfs,mixed,1785134835.4708843,1785134835.4727383,1785134835.9047976,1785134837.1107662,
block1-000001,49.6323995757848,6722.958411672153,171,25.0,49.3013639934361,6722.627376089804,0.33103558234870434,block1:zero_tool,fcfs,mixed,1785134835.595178,1785134835.595509,1785134835.6448166,1785134842.3181427,
block1-000002,514.117531129159,1472.9126400779933,36,572.5,512.4731679679826,1471.2682769168168,1.644363161176443,block1:s1,fcfs,mixed,1785134836.069188,1785134836.070833,1785134836.5833151,1785134837.5421104,
block1-000003,52.46553919278085,16901.96536818985,401,25.0,51.49797594640404,16900.997804943472,0.9675632463768125,block1:zero_tool,fcfs,mixed,1785134836.254768,1785134836.2557359,1785134836.3072422,1785134853.1567419,
block1-000004,60.52270857617259,5871.675569564104,147,177.5,58.980173082090914,5870.133034070022,1.542535494081676,block1:zero_tool,fcfs,mixed,1785134836.7658312,1785134836.767374,1785134836.8263617,1785134842.6375146,
block1-000005,113.878317293711,2640.7997412607074,67,15.0,113.62432804889977,2640.545752015896,0.25398924481123686,block1:s1,fcfs,mixed,1785134836.866003,1785134836.8662572,1785134836.9798892,1785134839.5068107,
block1-000006,57.262827875092626,7747.147051966749,188,85.0,56.75617896486074,7746.640403056517,0.5066489102318883,block1:zero_tool,fcfs,mixed,1785134837.2609985,1785134837.2615056,1785134837.3182693,1785134845.0081534,
block1-000007,62.66721640713513,12314.710720442235,291,287.5,61.691102921031415,12313.734606956132,0.9761134861037135,block1:zero_tool,fcfs,mixed,1785134837.7419693,1785134837.742946,1785134837.8046443,1785134850.0566878,
block1-000008,53.580885753035545,5891.272773733363,145,412.5,52.47530294582248,5890.1671909261495,1.105582807213068,block1:zero_tool,fcfs,mixed,1785134837.8467934,1785134837.8478994,1785134837.900382,1785134843.7380738,
block1-000009,597.4239122588187,1751.7621462466195,44,145.0,596.640867064707,1750.9791010525078,0.7830451941117644,block1:s2,fcfs,mixed,1785134838.2930107,1785134838.2937944,1785134838.8904421,1785134840.044781,
block1-000010,61.650722520425916,6496.586102526635,155,117.5,60.84509601350874,6495.780476019718,0.8056265069171786,block1:zero_tool,fcfs,mixed,1785134838.8290896,1785134838.8298957,1785134838.8907475,1785134845.325683,
block1-000011,542.4205921590328,1744.2954391008243,43,287.5,541.4452319964767,1743.3200789382681,0.9753601625561714,block1:s2,fcfs,mixed,1785134839.6727128,1785134839.6736884,1785134840.2151399,1785134841.4170148,
block1-000012,61.38130300678313,6857.702889945358,156,15.0,61.13045499660075,6857.452041935176,0.2508480101823807,block1:zero_tool,fcfs,mixed,1785134840.02337,1785134840.023621,1785134840.0847588,1785134846.8810806,
block1-000013,616.7801162227988,1818.0193762527779,44,20.0,616.1356819793582,1817.3749420093372,0.644434243440628,block1:s2,fcfs,mixed,1785134840.5006058,1785134840.5012505,1785134841.117395,1785134842.318634,
block1-000014,497.8362476686016,1473.4270736807957,36,12.5,497.6191900204867,1473.2100160326809,0.21705764811486006,block1:s2,fcfs,mixed,1785134840.7692194,1785134840.7694368,1785134841.2670634,1785134842.2426543,
block1-000015,476.9897348014638,1544.3391848821193,34,545.0,475.91950302012265,1543.2689531007782,1.0702317813411355,block1:s2,fcfs,mixed,1785134841.8414934,1785134841.842564,1785134842.3184922,1785134843.3858414,
block1-000016,739.1491442685947,2105.59043136891,48,155.0,737.8156249178573,2104.2569120181724,1.3335193507373333,block1:s3,fcfs,mixed,1785134841.8801382,1785134841.881472,1785134842.6192946,1785134843.9857361,
block1-000017,116.23283685185015,7139.00043675676,161,287.5,115.10251404251903,7137.870113947429,1.130322809331119,block1:zero_tool,fcfs,mixed,1785134841.8964577,1785134841.8975885,1785134842.0126982,1785134849.0354655,
block1-000018,67.9925843141973,7051.264517242089,160,12.5,67.55264301318675,7050.824575941078,0.43994130101054907,block1:zero_tool,fcfs,mixed,1785134842.061475,1785134842.0619152,1785134842.1294744,1785134849.112746,
block1-000019,796.9453420955688,2250.0349890906364,48,100.0,796.1051299935207,2249.1947769885883,0.840212102048099,block1:s3,fcfs,mixed,1785134842.4251494,1785134842.42599,1785134843.222103,1785134844.6751926,
block1-000020,71.24206435400993,6524.604253354482,147,572.5,70.50758402328938,6523.869773023762,0.7344803307205439,block1:zero_tool,fcfs,mixed,1785134842.5106559,1785134842.5113904,1785134842.5819056,1785134849.0352676,
block1-000021,656.9615843473002,2018.5893683228642,43,10.0,656.2610280234367,2017.8888119990006,0.7005563238635659,block1:s3,fcfs,mixed,1785134842.7137308,1785134842.7144315,1785134843.3706992,1785134844.7323272,
block1-000022,909.1158921364695,2275.3418411593884,49,412.5,908.5382120683789,2274.764161091298,0.577680068090558,block1:s3,fcfs,mixed,1785134842.7527099,1785134842.753288,1785134843.6618328,1785134845.0280588,
block1-000023,540.7139945309609,1972.8372124955058,43,15.0,539.3545810366049,1971.4777990011498,1.3594134943559766,block1:s3,fcfs,mixed,1785134842.9506183,1785134842.951978,1785134843.4913404,1785134844.9234633,
block1-000024,69.14442882407457,7577.23486283794,173,10.0,68.2965909363702,7576.387024950236,0.8478378877043724,block1:zero_tool,fcfs,mixed,1785134843.3166108,1785134843.317459,1785134843.3857644,1785134850.8938546,
block1-000025,696.9153855461627,2201.0934124700725,48,152.5,696.1429649963975,2200.3209919203073,0.7724205497652292,block1:s4,fcfs,mixed,1785134843.3462815,1785134843.347054,1785134844.043204,1785134845.5473814,
block1-000026,60.50743872765452,8392.986568622291,190,132.5,59.734579059295356,8392.213708953932,0.7728596683591604,block1:zero_tool,fcfs,mixed,1785134844.1171632,1785134844.1179361,1785134844.1776807,1785134852.5101597,
block1-000027,881.0458623338491,2463.3230093168095,48,320.0,880.8607159880921,2463.1378629710525,0.185146345756948,block1:s4,fcfs,mixed,1785134844.184619,1785134844.1848042,1785134845.0656714,1785134846.6479487,
block1-000028,878.3047846518457,2460.474782739766,48,17.5,878.1918449094519,2460.361842997372,0.11293974239379168,block1:s4,fcfs,mixed,1785134844.1872897,1785134844.1874027,1785134845.065601,1785134846.647771,
block1-000029,849.7753156116232,2432.619020692073,48,322.5,849.5809519663453,2432.424657046795,0.19436364527791739,block1:s4,fcfs,mixed,1785134844.2534273,1785134844.2536218,1785134845.1032119,1785134846.686056,
block1-000030,774.2944011697546,2374.002469237894,48,95.0,774.0553249605,2373.7633930286393,0.23907620925456285,block1:s4,fcfs,mixed,1785134844.4439244,1785134844.4441636,1785134845.2182255,1785134846.8179336,
block1-000031,741.3260424509645,2332.638569525443,48,132.5,740.3683679876849,2331.6808950621635,0.9576744632795453,block1:s4,fcfs,mixed,1785134844.4949908,1785134844.495949,1785134845.2363234,1785134846.827636,
block1-000032,607.4062498519197,2055.951174814254,43,280.0,607.1464950218797,2055.691419984214,0.25975483004003763,block1:s1,fcfs,mixed,1785134844.8628795,1785134844.8631394,1785134845.4702926,1785134846.9188375,
block1-000033,136.3414687803015,3255.6791168171912,71,10.0,135.41526603512466,3254.7529140720144,0.9262027451768517,block1:s1,fcfs,mixed,1785134845.2395756,1785134845.240502,1785134845.3759253,1785134848.4952629,
