request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,360.1196025265381,911.2549434648827,43,20.0,359.6562830498442,910.7916239881888,0.46331947669386864,block1:s1,policy_fcfs,mixed,1785126117.815195,1785126117.8156586,1785126118.1753216,1785126118.7264574,
block1-000001,72.38082576077431,3695.169752696529,176,25.0,72.00354104861617,3694.792467984371,0.3772847121581435,block1:zero_tool,policy_fcfs,mixed,1785126117.8351552,1785126117.8355336,1785126117.9075472,1785126121.530336,
block1-000002,322.08742457441986,772.8798245079815,36,572.5,321.4462590403855,772.2386589739472,0.6411655340343714,block1:s1,policy_fcfs,mixed,1785126117.9906464,1785126117.991288,1785126118.312743,1785126118.7635353,
block1-000003,57.59900843258947,9942.904283409007,450,25.0,56.877358932979405,9942.182633909397,0.7216494996100664,block1:zero_tool,policy_fcfs,mixed,1785126118.12329,1785126118.124012,1785126118.1808972,1785126128.0662026,
block1-000004,55.48677535261959,3102.8886293061078,149,177.5,54.63855608832091,3102.040410041809,0.8482192642986774,block1:zero_tool,policy_fcfs,mixed,1785126118.3922727,1785126118.3931212,1785126118.447768,1785126121.49517,
block1-000005,125.3117750165984,1384.1377940261737,67,15.0,124.50932303909212,1383.3353420486674,0.80245197750628,block1:s1,policy_fcfs,mixed,1785126119.1664975,1785126119.1673,1785126119.2918174,1785126120.550644,
block1-000006,88.58785545453429,4539.324000477791,200,85.0,88.33962306380272,4539.075768087059,0.2482323907315731,block1:zero_tool,policy_fcfs,mixed,1785126119.22439,1785126119.2246385,1785126119.3129852,1785126123.7637215,
block1-000007,56.40833138022572,5497.990027302876,240,287.5,55.46817707363516,5497.049872996286,0.9401543065905571,block1:zero_tool,policy_fcfs,mixed,1785126120.0213122,1785126120.0222528,1785126120.0777297,1785126125.5193114,
block1-000008,66.0120960092172,3487.366840010509,145,412.5,64.34535002335906,3485.7000940246508,1.6667459858581424,block1:zero_tool,policy_fcfs,mixed,1785126120.2767146,1785126120.2783816,1785126120.342734,1785126123.764089,
block1-000009,456.9039950147271,1150.0354930758476,44,145.0,456.37709193397313,1149.5085899950936,0.5269030807539821,block1:s2,policy_fcfs,mixed,1785126120.6125457,1785126120.6130729,1785126121.0694578,1785126121.7625892,
block1-000010,135.1331186015159,3739.2525045434013,155,117.5,134.94068710133433,3739.0600730432197,0.19243150018155575,block1:zero_tool,policy_fcfs,mixed,1785126120.648304,1785126120.6484969,1785126120.7834466,1785126124.387566,
block1-000011,402.7814542641863,1095.6673012115061,43,287.5,402.2831270704046,1095.1689740177244,0.4983271937817335,block1:s2,policy_fcfs,mixed,1785126120.6671596,1785126120.6676583,1785126121.0699487,1785126121.7628348,
block1-000012,67.90317816194147,3684.938049176708,156,15.0,66.84272293932736,3683.8775939540938,1.0604552226141095,block1:zero_tool,policy_fcfs,mixed,1785126120.7790368,1785126120.780098,1785126120.84695,1785126124.4639847,
block1-000013,369.6036619367078,1065.4155829688534,44,20.0,369.4589609513059,1065.2708819834515,0.14470098540186882,block1:s2,policy_fcfs,mixed,1785126120.836927,1785126120.8370726,1785126121.2065415,1785126121.9023535,
block1-000014,391.18902175687253,907.4666437227279,36,12.5,391.03235001675785,907.3099719826132,0.15667174011468887,block1:s2,policy_fcfs,mixed,1785126121.2725194,1785126121.272676,1785126121.6637168,1785126122.1799948,
block1-000015,308.4253694396466,824.5023394702002,34,545.0,307.75489599909633,823.83186602965,0.6704734405502677,block1:s2,policy_fcfs,mixed,1785126121.4727368,1785126121.4734077,1785126121.7811716,1785126122.2972486,
block1-000016,462.70241669844836,1284.014736651443,48,155.0,461.74258703831583,1283.0549069913104,0.9598296601325274,block1:s3,policy_fcfs,mixed,1785126121.4811566,1785126121.4821167,1785126121.9438653,1785126122.7651775,
block1-000017,61.54703127685934,3517.5953542347997,152,287.5,60.966663993895054,3517.0149869518355,0.5803672829642892,block1:zero_tool,policy_fcfs,mixed,1785126121.8202906,1785126121.820871,1785126121.8818462,1785126125.3378947,
