request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,292.34856413677335,899.7483931016177,43,20.0,291.44428006839007,898.8441090332344,0.9042840683832765,block1:s1,prompt_sjf,mixed,1785129185.4984655,1785129185.49937,1785129185.7908194,1785129186.398219,
block1-000001,57.75669764261693,3412.1297945966944,171,25.0,57.27385706268251,3411.64695401676,0.4828405799344182,block1:zero_tool,prompt_sjf,mixed,1785129185.622759,1785129185.623242,1785129185.6805246,1785129189.0348976,
block1-000002,319.3155381595716,771.7151591787115,36,572.5,318.4000439941883,770.7996650133282,0.9154941653832793,block1:s1,prompt_sjf,mixed,1785129186.0967693,1785129186.097685,1785129186.4160936,1785129186.8684933,
block1-000003,58.964651194401085,7506.623357185163,370,25.0,57.94755497481674,7505.606260965578,1.0170962195843458,block1:zero_tool,prompt_sjf,mixed,1785129186.282349,1785129186.2833664,1785129186.3413222,1785129193.7889807,
block1-000004,55.80198753159493,2914.873646455817,147,177.5,55.561432032845914,2914.633090957068,0.24055549874901772,block1:zero_tool,prompt_sjf,mixed,1785129186.7934124,1785129186.7936532,1785129186.849222,1785129189.7082937,
block1-000005,128.61738028004766,1374.2669932544231,67,15.0,127.56215699482709,1373.2117699692026,1.0552232852205634,block1:s1,prompt_sjf,mixed,1785129186.8935843,1785129186.8946397,1785129187.0222087,1785129188.2678587,
block1-000006,56.82165699545294,4035.401251981966,204,85.0,56.07350100763142,4034.6530959941447,0.7481559878215194,block1:zero_tool,prompt_sjf,mixed,1785129187.2885797,1785129187.2893279,1785129187.3454096,1785129191.3239892,
block1-000007,61.91302463412285,2868.045487557538,143,287.5,60.905916034244,2867.038378957659,1.0071085998788476,block1:zero_tool,prompt_sjf,mixed,1785129187.7695506,1785129187.7705584,1785129187.8314757,1785129190.6376076,
block1-000008,54.159649764187634,2395.366345765069,121,412.5,53.12716891057789,2394.3338649114594,1.0324808536097407,block1:zero_tool,prompt_sjf,mixed,1785129187.8743746,1785129187.8754075,1785129187.9285452,1785129190.2697518,
block1-000009,350.68885621149093,920.7170432200655,44,145.0,350.0822139903903,920.1104009989649,0.6066422211006284,block1:s2,prompt_sjf,mixed,1785129188.320592,1785129188.321199,1785129188.6712894,1785129189.2413177,
block1-000010,64.0069175278768,3105.145253473893,155,117.5,63.39531997218728,3104.5336559182033,0.6115975556895137,block1:zero_tool,prompt_sjf,mixed,1785129188.8566709,1785129188.8572826,1785129188.920688,1785129191.9618263,
block1-000011,321.12711132504046,937.1742183575407,43,287.5,320.6861780490726,936.7332850815728,0.4409332759678364,block1:s2,prompt_sjf,mixed,1785129189.700294,1785129189.700735,1785129190.0214293,1785129190.6374767,
block1-000012,68.09941492974758,3291.6350059676915,156,15.0,67.81782594043761,3291.3534169783816,0.28158898930996656,block1:zero_tool,prompt_sjf,mixed,1785129190.0509512,1785129190.051233,1785129190.1190581,1785129193.342594,
block1-000013,382.170123164542,944.9100121855736,44,20.0,381.62389397621155,944.3637829972431,0.5462291883304715,block1:s2,prompt_sjf,mixed,1785129190.528187,1785129190.5287335,1785129190.9103656,1785129191.4731057,
block1-000014,301.57579155638814,751.027092570439,36,12.5,300.9404839249328,750.3917849389836,0.6353076314553618,block1:s2,prompt_sjf,mixed,1785129190.7968006,1785129190.7974362,1785129191.0983853,1785129191.5478368,
block1-000015,297.6315978448838,789.1966499155387,34,545.0,297.44927398860455,789.0143260592595,0.18232385627925396,block1:s2,prompt_sjf,mixed,1785129191.8690746,1785129191.8692572,1785129192.1667142,1785129192.65828,
block1-000016,408.71930040884763,1148.1857274193317,48,155.0,408.28753798268735,1147.7539649931714,0.43176242616027594,block1:s3,prompt_sjf,mixed,1785129191.9077194,1785129191.9081514,1785129192.316446,1785129193.0559125,
block1-000017,108.98173379246145,3637.0125338435173,161,287.5,108.23145194444805,3636.262251995504,0.750281848013401,block1:zero_tool,prompt_sjf,mixed,1785129191.924039,1785129191.9247894,1785129192.0330305,1785129195.5610614,
block1-000018,58.99449635762721,2904.8667242750525,129,12.5,58.69839305523783,2904.570620972663,0.2961033023893833,block1:zero_tool,prompt_sjf,mixed,1785129192.0890563,1785129192.0893524,1785129192.1480582,1785129194.9939303,
block1-000019,486.904178163968,1181.9988721981645,48,100.0,486.42450699117035,1181.5192010253668,0.4796711727976799,block1:s3,prompt_sjf,mixed,1785129192.4527307,1785129192.4532106,1785129192.9396422,1785129193.6347373,
block1-000020,81.47739223204553,3476.2606512522325,147,572.5,80.8439499232918,3475.6272089434788,0.6334423087537289,block1:zero_tool,prompt_sjf,mixed,1785129192.538237,1785129192.5388706,1785129192.6197214,1785129196.014505,
