request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,359.5971694448963,911.2038045423105,43,20.0,358.6244269972667,910.231062094681,0.972742447629571,block1:s1,prompt_sjf,mixed,1785129751.121325,1785129751.122298,1785129751.4809303,1785129752.032537,
block1-000001,73.22215975727886,3598.9443886792287,173,25.0,72.17053207568824,3597.892760997638,1.0516276815906167,block1:zero_tool,prompt_sjf,mixed,1785129751.1412852,1785129751.1423373,1785129751.214515,1785129754.7402372,
block1-000002,322.0951105467975,772.8034775936976,36,572.5,320.6794960424304,771.3878630893305,1.4156145043671131,block1:s1,prompt_sjf,mixed,1785129751.2967763,1785129751.298192,1785129751.6188786,1785129752.0695872,
block1-000003,57.59388150181621,10205.697732511908,466,25.0,57.001662091352046,10205.105513101444,0.5922194104641676,block1:zero_tool,prompt_sjf,mixed,1785129751.42942,1785129751.4300125,1785129751.4870207,1785129761.635125,
block1-000004,55.278161307796836,3080.348423216492,149,177.5,54.34528808109462,3079.4155499897897,0.9328732267022133,block1:zero_tool,prompt_sjf,mixed,1785129751.6984026,1785129751.699336,1785129751.7536888,1785129754.7787592,
block1-000005,125.10005699004978,1364.4345140783116,67,15.0,124.1258269874379,1363.4602840756997,0.9742300026118755,block1:s1,prompt_sjf,mixed,1785129752.4726274,1785129752.473602,1785129752.597736,1785129753.83707,
block1-000006,88.34716340061277,4488.364610355347,199,85.0,88.15558010246605,4488.173027057201,0.1915832981467247,block1:zero_tool,prompt_sjf,mixed,1785129752.53052,1785129752.530712,1785129752.6188748,1785129757.0188923,
block1-000007,55.789157282561064,3491.1261432571337,148,287.5,55.27738598175347,3490.614371956326,0.5117713008075953,block1:zero_tool,prompt_sjf,mixed,1785129753.3274422,1785129753.3279545,1785129753.3832395,1785129756.8185763,
block1-000008,65.70364395156503,3454.7018798766658,145,412.5,64.46905201300979,3453.4672879381105,1.2345919385552406,block1:zero_tool,prompt_sjf,mixed,1785129753.5828445,1785129753.5840795,1785129753.6485577,1785129757.0375557,
block1-000009,456.1283979564905,1147.066341014579,44,145.0,455.6093650171533,1146.5473080752417,0.519032939337194,block1:s2,prompt_sjf,mixed,1785129753.9186757,1785129753.9191952,1785129754.3748121,1785129755.0657501,
block1-000010,134.0299224248156,3721.8899114523083,155,117.5,133.04964394774288,3720.9096329752356,0.9802784770727158,block1:zero_tool,prompt_sjf,mixed,1785129753.954434,1785129753.9554145,1785129754.0884721,1785129757.676332,
block1-000011,401.41092613339424,1092.2246990958229,43,287.5,400.3739079926163,1091.187680955045,1.0370181407779455,block1:s2,prompt_sjf,mixed,1785129753.9732895,1785129753.9743268,1785129754.3747373,1785129755.0655508,
block1-000012,64.30892425123602,3667.7610431797802,156,15.0,63.25787503737956,3666.709993965924,1.0510492138564587,block1:zero_tool,prompt_sjf,mixed,1785129754.0851667,1785129754.0862184,1785129754.1494834,1785129757.7529356,
block1-000013,367.875320953317,1061.3850279478356,44,20.0,367.46934393886477,1060.9790509333834,0.405977014452219,block1:s2,prompt_sjf,mixed,1785129754.1430569,1785129754.1434631,1785129754.510969,1785129755.2044785,
block1-000014,388.09497375041246,904.2522817617282,36,12.5,387.27900199592113,903.4363100072369,0.8159717544913292,block1:s2,prompt_sjf,mixed,1785129754.5786493,1785129754.5794656,1785129754.966753,1785129755.4829102,
block1-000015,305.25551340542734,820.8374724490568,34,545.0,304.1151190409437,819.6970780845731,1.1403943644836545,block1:s2,prompt_sjf,mixed,1785129754.7788668,1785129754.7800074,1785129755.0841303,1785129755.5997124,
block1-000016,459.2740145744756,1279.438211582601,48,155.0,458.80149700678885,1278.9656940149143,0.4725175676867366,block1:s3,prompt_sjf,mixed,1785129754.7872865,1785129754.7877595,1785129755.2465675,1785129756.066732,
block1-000017,58.11658629681915,3696.3371763704345,161,287.5,57.90051899384707,3696.1211090674624,0.21606730297207832,block1:zero_tool,prompt_sjf,mixed,1785129755.1264205,1785129755.1266367,1785129755.1845443,1785129758.822765,
block1-000018,59.87637315411121,2946.056448156014,128,12.5,58.773237047716975,2944.95331204962,1.1031361063942313,block1:zero_tool,prompt_sjf,mixed,1785129755.1865609,1785129755.187664,1785129755.2464433,1785129758.1326234,
