request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,473.1501474743709,1124.27909753751,43,20.0,472.7863729931414,1123.9153230562806,0.3637744812294841,block1:s1,pure_ltr,mixed,1785126784.3785262,1785126784.3788905,1785126784.8516855,1785126785.5028145,
block1-000001,215.75785311870277,3849.2172891274095,174,25.0,214.76424508728087,3848.2236810959876,0.9936080314218998,block1:zero_tool,pure_ltr,mixed,1785126784.3790762,1785126784.38007,1785126784.5948377,1785126788.228297,
block1-000002,320.6994420615956,857.4535740772262,36,572.5,319.7294089477509,856.4835409633815,0.9700331138446927,block1:s1,pure_ltr,mixed,1785126784.606055,1785126784.6070254,1785126784.9267662,1785126785.4635203,
block1-000003,65.15418202616274,8323.049405007623,408,25.0,64.38071897719055,8322.275941958651,0.7734630489721894,block1:zero_tool,pure_ltr,mixed,1785126784.9402874,1785126784.9410613,1785126785.0054505,1785126793.2633455,
block1-000004,102.46614995412529,3129.394717863761,149,177.5,101.67222609743476,3128.6007940070704,0.793923856690526,block1:zero_tool,pure_ltr,mixed,1785126785.0078025,1785126785.008597,1785126785.11028,1785126788.1372085,
block1-000005,129.28048870526254,1482.2878156555817,67,15.0,128.7608890561387,1481.7682160064578,0.5195996491238475,block1:s1,pure_ltr,mixed,1785126785.0143435,1785126785.0148633,1785126785.1436322,1785126786.4966395,
block1-000006,85.66531061660498,3875.5240126047283,188,85.0,85.1308770943433,3874.9895790824667,0.5344335222616792,block1:zero_tool,pure_ltr,mixed,1785126785.2608204,1785126785.2613552,1785126785.3464937,1785126789.1363523,
block1-000007,80.82873548846692,5977.767455508001,291,287.5,80.15133999288082,5977.090060012415,0.6773954955860972,block1:zero_tool,pure_ltr,mixed,1785126785.2685084,1785126785.269186,1785126785.3493447,1785126791.2462835,
block1-000008,65.34850865136832,2567.440014681779,121,412.5,64.67868003528565,2566.770186065696,0.6698286160826683,block1:zero_tool,pure_ltr,mixed,1785126785.9080684,1785126785.9087386,1785126785.9734244,1785126788.4755158,
block1-000009,402.5159830925986,979.6806591330096,44,145.0,401.7796160187572,978.9442920591682,0.736367073841393,block1:s2,pure_ltr,mixed,1785126785.9778476,1785126785.9785843,1785126786.3803709,1785126786.9575362,
