request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,306.8293931428343,914.1932821366936,43,20.0,305.0256420392543,912.3895310331136,1.803751103579998,block1:s1,pure_ltr,mixed,1785127357.6933708,1785127357.6951747,1785127358.0002055,1785127358.6075695,
block1-000001,53.48819959908724,3447.3844825988635,173,25.0,51.95104004815221,3445.8473230479285,1.53715955093503,block1:zero_tool,pure_ltr,mixed,1785127357.8176644,1785127357.8192017,1785127357.8711627,1785127361.265059,
block1-000002,334.0135660255328,786.6222111042589,36,572.5,333.2957999082282,785.9044449869543,0.7177661173045635,block1:s1,pure_ltr,mixed,1785127358.2916746,1785127358.2923927,1785127358.6257122,1785127359.078321,
block1-000003,54.56442420836538,7792.290666140616,384,25.0,53.675559000112116,7791.401800932363,0.8888652082532644,block1:zero_tool,pure_ltr,mixed,1785127358.4772544,1785127358.4781437,1785127358.5318274,1785127366.2695534,
block1-000004,51.87437741551548,2914.0232844511047,147,177.5,51.43595195841044,2913.5848589939997,0.43842545710504055,block1:zero_tool,pure_ltr,mixed,1785127358.9883177,1785127358.9887564,1785127359.0402007,1785127361.9023495,
block1-000005,126.15936435759068,1370.8891053684056,67,15.0,125.09794707875699,1369.827688089572,1.0614172788336873,block1:s1,pure_ltr,mixed,1785127359.0884895,1785127359.0895512,1785127359.2146566,1785127360.4593863,
block1-000006,53.949152934364974,4172.613695845939,211,85.0,53.109929081983864,4171.774471993558,0.8392238523811102,block1:zero_tool,pure_ltr,mixed,1785127359.483485,1785127359.4843245,1785127359.5374424,1785127363.6561072,
block1-000007,58.89737152028829,5983.58805058524,291,287.5,58.738121995702386,5983.428801060654,0.1592495245859027,block1:zero_tool,pure_ltr,mixed,1785127359.9644558,1785127359.964615,1785127360.0233612,1785127365.948052,
block1-000008,70.03153080586344,2413.7568178121,121,412.5,68.68840102106333,2412.4136880273,1.3431297848001122,block1:zero_tool,pure_ltr,mixed,1785127360.06928,1785127360.0706232,1785127360.1393187,1785127362.4830441,
block1-000009,348.16538519226015,918.6515351757407,44,145.0,347.9834330501035,918.4695830335841,0.18195214215666056,block1:s2,pure_ltr,mixed,1785127360.5154972,1785127360.5156796,1785127360.8636699,1785127361.434156,
block1-000010,61.58698245417327,3113.6650204425678,155,117.5,60.79614092595875,3112.8741789143533,0.7908415282145143,block1:zero_tool,pure_ltr,mixed,1785127361.0515761,1785127361.0523674,1785127361.1131732,1785127364.1652513,
block1-000011,320.0299621094018,934.6827612025663,43,287.5,319.54118493013084,934.1939840232953,0.48877717927098274,block1:s2,pure_ltr,mixed,1785127361.8951993,1785127361.8956883,1785127362.2152371,1785127362.82989,
block1-000012,66.86856388114393,3312.5170189887285,156,15.0,64.71924600191414,3310.3677011094987,2.149317879229784,block1:zero_tool,pure_ltr,mixed,1785127362.2458565,1785127362.248006,1785127362.312733,1785127365.5583816,
block1-000013,384.13604721426964,951.6697282670066,44,20.0,383.0549030099064,950.5885840626433,1.081144204363227,block1:s2,pure_ltr,mixed,1785127362.7230923,1785127362.7241735,1785127363.107236,1785127363.6747694,
block1-000014,304.71733456943184,757.4844475602731,36,12.5,303.5513439681381,756.3184569589794,1.1659906012937427,block1:s2,pure_ltr,mixed,1785127362.991706,1785127362.992872,1785127363.2964306,1785127363.7491975,
block1-000015,306.8799327593297,802.9575757682323,34,545.0,306.257760967128,802.3354039760306,0.6221717922016978,block1:s2,pure_ltr,mixed,1785127364.0639799,1785127364.0646024,1785127364.370868,1785127364.8669455,
block1-000016,419.37160841189325,1184.3965253792703,48,155.0,418.7529820483178,1183.7778990156949,0.6186263635754585,block1:s3,pure_ltr,mixed,1785127364.1026247,1785127364.1032436,1785127364.522003,1785127365.2870276,
block1-000017,117.32334294356406,3644.112702924758,160,287.5,117.10056709125638,3643.8899270724505,0.22277585230767727,block1:zero_tool,pure_ltr,mixed,1785127364.1189442,1785127364.1191673,1785127364.2362776,1785127367.7630665,
block1-000018,68.6080283485353,3126.1255553690717,139,12.5,68.10138199944049,3125.618909019977,0.5066463490948081,block1:zero_tool,pure_ltr,mixed,1785127364.2839615,1785127364.2844684,1785127364.3525784,1785127367.410096,
block1-000019,484.54128112643957,1184.7122621256858,48,100.0,483.32522704731673,1183.496208046563,1.2160540791228414,block1:s3,pure_ltr,mixed,1785127364.647636,1785127364.648852,1785127365.132186,1785127365.8323567,
block1-000020,75.82984433975071,3485.6372183421627,147,572.5,75.07893408183008,3484.886308084242,0.7509102579206228,block1:zero_tool,pure_ltr,mixed,1785127364.7331424,1785127364.7338936,1785127364.808984,1785127368.2187912,
