request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,362.3868845170364,913.4641535347328,43,20.0,361.8494459660724,912.9267149837688,0.5374385509639978,block1:s1,pure_ltr,mixed,1785127933.2655177,1785127933.2660553,1785127933.6279137,1785127934.178991,
block1-000001,76.1705907061696,3599.4814266450703,173,25.0,75.67874900996685,3598.9895849488676,0.491841696202755,block1:zero_tool,pure_ltr,mixed,1785127933.2854779,1785127933.28597,1785127933.3616521,1785127936.8849628,
block1-000002,324.0791285643354,774.7899955138564,36,572.5,322.9388289619237,773.6496959114447,1.1402996024116874,block1:s1,pure_ltr,mixed,1785127933.440969,1785127933.4421096,1785127933.7650585,1785127934.2157695,
block1-000003,59.83674549497664,10244.15008048527,468,25.0,59.19736996293068,10243.510704953223,0.6393755320459604,block1:zero_tool,pure_ltr,mixed,1785127933.5736127,1785127933.5742524,1785127933.6334605,1785127943.8177736,
block1-000004,58.036504429765046,3081.700326409191,149,177.5,57.883599074557424,3081.5474210539833,0.15290535520762205,block1:zero_tool,pure_ltr,mixed,1785127933.8425953,1785127933.8427486,1785127933.9006429,1785127936.9243062,
block1-000005,126.86257704626769,1366.1357840755954,67,15.0,126.2044080067426,1365.4776150360703,0.6581690395250916,block1:s1,pure_ltr,mixed,1785127934.61682,1785127934.6174786,1785127934.7436914,1785127935.9829645,
block1-000006,89.88487743772566,4491.304362425581,199,85.0,89.3752770498395,4490.794762037694,0.5096003878861666,block1:zero_tool,pure_ltr,mixed,1785127934.6747127,1785127934.6752229,1785127934.7646067,1785127939.1660264,
block1-000007,56.793959345668554,3494.1288373665884,148,287.5,56.2727099750191,3493.607587995939,0.521249370649457,block1:zero_tool,pure_ltr,mixed,1785127935.4716349,1785127935.4721568,1785127935.5284388,1785127938.9657736,
block1-000008,66.63844897411764,3457.7094349078834,145,412.5,64.54081495758146,3455.6118008913472,2.097634016536176,block1:zero_tool,pure_ltr,mixed,1785127935.7270372,1785127935.729135,1785127935.793684,1785127939.1847546,
block1-000009,455.9233201434836,1149.6248041512445,44,145.0,455.6285230210051,1149.330007028766,0.2947971224784851,block1:s2,pure_ltr,mixed,1785127936.0628684,1785127936.0631638,1785127936.5187993,1785127937.212501,
block1-000010,133.44030955340713,3725.4298916086555,155,117.5,132.5077279470861,3724.4973100023344,0.9325816063210368,block1:zero_tool,pure_ltr,mixed,1785127936.0986266,1785127936.0995593,1785127936.2320735,1785127939.824063,
block1-000011,401.5312761766836,1095.5952681833878,43,287.5,401.3578579761088,1095.421849982813,0.17341820057481527,block1:s2,pure_ltr,mixed,1785127936.1174822,1785127936.1176558,1785127936.5191157,1785127937.2131798,
block1-000012,64.66675328556448,3671.262048301287,156,15.0,63.91509994864464,3670.510394964367,0.7516533369198442,block1:zero_tool,pure_ltr,mixed,1785127936.2293594,1785127936.2301118,1785127936.2940366,1785127939.9006321,
block1-000013,368.3442770270631,1064.5296750590205,44,20.0,367.6393259083852,1063.8247239403427,0.7049511186778545,block1:s2,pure_ltr,mixed,1785127936.2872496,1785127936.2879555,1785127936.6557531,1785127937.3519378,
block1-000014,390.938242780976,907.4822617694736,36,12.5,389.6266990341246,906.1707180226222,1.3115437468513846,block1:s2,pure_ltr,mixed,1785127936.722842,1785127936.7241538,1785127937.1137903,1785127937.6303341,
block1-000015,308.4202875616029,824.8023554915562,34,545.0,308.1592890666798,824.5413569966331,0.2609984949231148,block1:s2,pure_ltr,mixed,1785127936.9230595,1785127936.923321,1785127937.23149,1785127937.7478724,
block1-000016,462.29386958293617,1283.1796726677567,48,155.0,462.0127249509096,1282.8985280357301,0.28114463202655315,block1:s3,pure_ltr,mixed,1785127936.9314792,1785127936.9317605,1785127937.39378,1785127938.214666,
block1-000017,61.77331239450723,3700.322093325667,161,287.5,60.72656100150198,3699.275341932662,1.0467513930052519,block1:zero_tool,pure_ltr,mixed,1785127937.2706132,1785127937.27166,1785127937.3325276,1785127940.9710763,
block1-000018,62.73972918279469,2949.610316194594,128,12.5,62.09933198988438,2948.9699190016836,0.6403971929103136,block1:zero_tool,pure_ltr,mixed,1785127937.3307536,1785127937.331395,1785127937.3935041,1785127940.2803748,
block1-000019,443.0313156917691,1333.9117136783898,48,100.0,442.28289707098156,1333.1632950576022,0.7484186207875609,block1:s3,pure_ltr,mixed,1785127937.4012003,1785127937.401949,1785127937.844375,1785127938.735255,
block1-000020,77.38900370895863,3366.266292752698,147,572.5,76.62988500669599,3365.5071740504354,0.75911870226264,block1:zero_tool,pure_ltr,mixed,1785127937.5128884,1785127937.5136478,1785127937.5904205,1785127940.8792975,
block1-000021,473.08334324043244,1204.7116211615503,43,10.0,471.9034400768578,1203.5317179979756,1.179903163574636,block1:s3,pure_ltr,mixed,1785127937.7609224,1785127937.7621026,1785127938.234014,1785127938.9656425,
block1-000022,565.4099873499945,1293.213082361035,49,412.5,564.4827700452879,1292.2858650563285,0.9272173047065735,block1:s3,pure_ltr,mixed,1785127937.8726382,1785127937.8735654,1785127938.4380577,1785127939.1658607,
block1-000023,392.6507794531062,1165.0844844989479,43,15.0,392.1829559840262,1164.6166610298678,0.4678234690800309,block1:s3,pure_ltr,mixed,1785127937.9009438,1785127937.9014127,1785127938.293638,1785127939.0660715,
block1-000024,95.74413928203285,4030.284367268905,173,10.0,95.21814004983753,4029.7583680367097,0.5259992321953177,block1:zero_tool,pure_ltr,mixed,1785127938.0698042,1785127938.0703304,1785127938.1655571,1785127942.1000974,
block1-000025,429.84141025226563,1191.4477691752836,48,152.5,428.95784007851034,1190.5641990015283,0.8835701737552881,block1:s4,pure_ltr,mixed,1785127938.0715938,1785127938.0724776,1785127938.5014422,1785127939.2630482,
block1-000026,66.65873061865568,4346.1249026004225,190,132.5,65.56099001318216,4345.027161994949,1.0977406054735184,block1:zero_tool,pure_ltr,mixed,1785127938.351682,1785127938.352781,1785127938.4183552,1785127942.6978211,
block1-000027,521.6896309284493,1187.4796269694343,48,320.0,521.3444089749828,1187.1344050159678,0.3452219534665346,block1:s4,pure_ltr,mixed,1785127938.4440062,1785127938.4443517,1785127938.9658453,1785127939.6316354,
block1-000028,477.7682003332302,1145.6095923203975,48,17.5,477.2471570177004,1145.0885490048677,0.5210433155298233,block1:s4,pure_ltr,mixed,1785127938.547462,1785127938.5479834,1785127939.0252404,1785127939.6930819,
