request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,333.6390171898529,1036.1432591453195,43,20.0,332.9572380753234,1035.46148003079,0.6817791145294905,block1:s1,fcfs,mixed,1785132858.024378,1785132858.0250602,1785132858.3580258,1785132859.06053,
block1-000001,63.02609550766647,5627.370822592638,173,25.0,62.10288591682911,5626.447613001801,0.9232095908373594,block1:zero_tool,fcfs,mixed,1785132858.1486716,1785132858.149595,1785132858.211708,1785132863.776053,
block1-000002,351.4950441895053,943.798931199126,36,572.5,350.3454979509115,942.6493849605322,1.1495462385937572,block1:s1,fcfs,mixed,1785132858.6226819,1785132858.6238317,1785132858.9741855,1785132859.5664895,
block1-000003,58.974703191779554,20983.56967116706,511,25.0,58.23277495801449,20982.827742933296,0.7419282337650657,block1:zero_tool,fcfs,mixed,1785132858.8082616,1785132858.8090038,1785132858.8672445,1785132879.7918398,
block1-000004,55.12195953633636,5545.953634544276,149,177.5,54.802812985144556,5545.634487993084,0.3191465511918068,block1:zero_tool,fcfs,mixed,1785132859.319325,1785132859.3196445,1785132859.374455,1785132864.8652866,
block1-000005,103.97740022744983,2338.06583925616,67,15.0,103.29101094976068,2337.379449978471,0.6863892776891589,block1:s1,fcfs,mixed,1785132859.4194968,1785132859.4201832,1785132859.523483,1785132861.7575717,
block1-000006,50.13083585072309,7383.504541940056,181,85.0,49.405075958929956,7382.778782048263,0.7257598917931318,block1:zero_tool,fcfs,mixed,1785132859.8144922,1785132859.8152184,1785132859.8646321,1785132867.198006,
block1-000007,61.38753762934357,12267.942990642041,291,287.5,60.29575003776699,12266.851203050464,1.0917875915765762,block1:zero_tool,fcfs,mixed,1785132860.295463,1785132860.2965553,1785132860.356859,1785132872.5634143,
block1-000008,68.13205988146365,5867.340565891936,145,412.5,67.65909306704998,5866.867599077523,0.4729668144136667,block1:zero_tool,fcfs,mixed,1785132860.4002872,1785132860.4007604,1785132860.4684265,1785132866.2676346,
block1-000009,586.6033431375399,1726.181770209223,44,145.0,585.7127719791606,1725.2911990508437,0.8905711583793163,block1:s2,fcfs,mixed,1785132860.8465044,1785132860.8473954,1785132861.4331174,1785132862.572696,
