request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,553.4643344581127,1735.9932215185836,43,20.0,552.5598300155252,1735.088717075996,0.9045044425874949,block1:s1,fcfs,mixed,1785133436.3421175,1785133436.3430223,1785133436.8955884,1785133438.0781171,
block1-000001,69.75080166012049,7334.942851681262,171,25.0,69.40976798068732,7334.601818001829,0.341033679433167,block1:zero_tool,fcfs,mixed,1785133436.3620777,1785133436.362419,1785133436.4318326,1785133443.6970243,
block1-000002,510.4247855488211,1467.1213135588914,36,572.5,509.90571500733495,1466.6022430174053,0.5190705414861441,block1:s1,fcfs,mixed,1785133436.5175688,1785133436.5180879,1785133437.0280018,1785133437.9846983,
block1-000003,61.0878795851022,17606.366607593372,409,25.0,60.411571059376,17605.690299067646,0.6763085257261992,block1:zero_tool,fcfs,mixed,1785133436.6502125,1785133436.6508892,1785133436.7113082,1785133454.2565868,
block1-000004,53.5289243562147,6286.69767442625,147,177.5,52.843129029497504,6286.011879099533,0.6857953267171979,block1:zero_tool,fcfs,mixed,1785133436.9191952,1785133436.919881,1785133436.9727316,1785133443.2059004,
block1-000005,119.84571197535843,2863.5517469374463,67,15.0,119.5069239474833,2863.212958909571,0.3387880278751254,block1:s1,fcfs,mixed,1785133437.69342,1785133437.693759,1785133437.8132737,1785133440.5569801,
block1-000006,82.71131129004061,9216.096615302376,209,85.0,82.13180594611913,9215.517109958455,0.5795053439214826,block1:zero_tool,fcfs,mixed,1785133437.7513125,1785133437.7518923,1785133437.8340313,1785133446.9674165,
block1-000007,52.85490129608661,12732.826543273404,291,287.5,52.16669000219554,12732.138331979513,0.6882112938910723,block1:zero_tool,fcfs,mixed,1785133438.5482347,1785133438.5489233,1785133438.6010978,1785133451.2810693,
block1-000008,61.16324395406991,7063.665914000012,156,412.5,60.54897990543395,7063.051649951376,0.6142640486359596,block1:zero_tool,fcfs,mixed,1785133438.803637,1785133438.8042517,1785133438.8648071,1785133445.8673098,
block1-000009,677.8440149500966,2130.5936209391803,44,145.0,676.8580419011414,2129.607647890225,0.9859730489552021,block1:s2,fcfs,mixed,1785133439.1394682,1785133439.1404543,1785133439.8173199,1785133441.2700698,
block1-000010,121.91363458987325,7479.0308135561645,164,117.5,121.51875905692577,7478.635938023217,0.3948755329474807,block1:zero_tool,fcfs,mixed,1785133439.1752264,1785133439.1756217,1785133439.2971497,1785133446.6542668,
block1-000011,603.6551411962137,2048.476598225534,43,287.5,602.8909049928188,2047.7123620221391,0.7642362033948302,block1:s2,fcfs,mixed,1785133439.194082,1785133439.1948464,1785133439.7977557,1785133441.242577,
block1-000012,69.563890225254,7036.0918692313135,156,15.0,68.18211998324841,7034.710098989308,1.3817702420055866,block1:zero_tool,fcfs,mixed,1785133439.3059592,1785133439.3073413,1785133439.3755305,1785133446.3420584,
block1-000013,638.2996530737728,2060.8377651078627,44,20.0,637.8717080224305,2060.4098200565204,0.4279450513422489,block1:s2,fcfs,mixed,1785133439.3638494,1785133439.3642776,1785133440.0021648,1785133441.424703,
block1-000014,577.5042218156159,1705.849063815549,36,12.5,577.0674380473793,1705.4122800473124,0.4367837682366371,block1:s2,fcfs,mixed,1785133439.7994418,1785133439.7998786,1785133440.376953,1785133441.5052977,
block1-000015,479.8331424826756,1641.123792505823,34,545.0,478.4325930522755,1639.723243075423,1.4005494304001331,block1:s2,fcfs,mixed,1785133439.9996593,1785133440.00106,1785133440.4795032,1785133441.6407936,
block1-000016,761.1194676719606,2269.9170446721837,48,155.0,760.5092040030286,2269.3067810032517,0.6102636689320207,block1:s3,fcfs,mixed,1785133440.008079,1785133440.0086896,1785133440.7692068,1785133442.2780042,
block1-000017,72.2978652920574,7246.320207370445,162,287.5,70.32750500366092,7244.349847082049,1.9703602883964777,block1:zero_tool,fcfs,mixed,1785133440.347213,1785133440.3491838,1785133440.4195278,1785133447.5935497,
