request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,706.2236076453701,1910.934723680839,43,20.0,705.4757690057158,1910.1868850411847,0.7478386396542192,block1:s1,fcfs,mixed,1785132270.8875608,1785132270.888309,1785132271.5937953,1785132272.7985067,
block1-000001,204.96912428643554,7330.742193269543,176,25.0,203.71241308748722,7329.485482070595,1.2567111989483237,block1:zero_tool,fcfs,mixed,1785132270.8881109,1785132270.8893678,1785132271.0930846,1785132278.218857,
block1-000002,582.3552320944145,1534.0256851632148,36,572.5,582.154240924865,1533.8246939936653,0.20099116954952478,block1:s1,fcfs,mixed,1785132271.1150897,1785132271.1152909,1785132271.6974626,1785132272.6491342,
block1-000003,59.10007224883884,16613.65523422137,401,25.0,56.986667099408805,16611.54182907194,2.1134051494300365,block1:zero_tool,fcfs,mixed,1785132271.449322,1785132271.4514358,1785132271.5084321,1785132288.0629873,
block1-000004,126.23924389481544,6092.640418908559,149,177.5,124.4528159731999,6090.853990986943,1.786427921615541,block1:zero_tool,fcfs,mixed,1785132271.5168371,1785132271.5186238,1785132271.6430898,1785132277.6094909,
block1-000005,119.52506366651505,2766.351255704649,67,15.0,118.72705596033484,2765.5532479984686,0.7980077061802149,block1:s1,fcfs,mixed,1785132271.5233781,1785132271.5241764,1785132271.6429117,1785132274.2897377,
block1-000006,64.24284761305898,8328.167503583245,206,85.0,63.950003939680755,8327.874659909867,0.29284367337822914,block1:zero_tool,fcfs,mixed,1785132271.769855,1785132271.770148,1785132271.8341074,1785132280.0980325,
block1-000007,56.487434543669224,6595.793069573119,163,287.5,55.37604994606227,6594.681684975512,1.111384597606957,block1:zero_tool,fcfs,mixed,1785132271.777543,1785132271.7786548,1785132271.8340445,1785132278.37335,
block1-000008,69.88699280191213,6615.775819751434,162,412.5,68.66014609113336,6614.548973040655,1.2268467107787728,block1:zero_tool,fcfs,mixed,1785132272.417103,1785132272.4183302,1785132272.487001,1785132279.0328898,
block1-000009,625.8086562156677,1839.8555832682177,44,145.0,625.6525909993798,1839.6995180519298,0.15606521628797054,block1:s2,fcfs,mixed,1785132272.4868822,1785132272.4870384,1785132273.112698,1785132274.326745,
block1-000010,83.55335204396397,6316.279085003771,155,117.5,82.80973101500422,6315.535463974811,0.7436210289597511,block1:zero_tool,fcfs,mixed,1785132272.5268416,1785132272.5275857,1785132272.6104033,1785132278.8431292,
block1-000011,537.7273935591802,1752.6376185705885,43,287.5,536.7201110348105,1751.6303360462189,1.007282524369657,block1:s2,fcfs,mixed,1785132272.7998533,1785132272.8008611,1785132273.337589,1785132274.5524993,
block1-000012,66.26206275541335,6325.569047825411,156,15.0,64.18003502767533,6323.487020097673,2.082027727738023,block1:zero_tool,fcfs,mixed,1785132273.5910592,1785132273.5931416,1785132273.6573305,1785132279.9166374,
block1-000013,646.390559268184,1845.4681312432513,44,20.0,645.5230630235747,1844.600634998642,0.8674962446093559,block1:s2,fcfs,mixed,1785132273.8304865,1785132273.8313544,1785132274.4768863,1785132275.6759639,
block1-000014,501.41379702836275,1474.0600280929357,36,12.5,501.0740349534899,1473.7202660180628,0.33976207487285137,block1:s2,fcfs,mixed,1785132274.069096,1785132274.069436,1785132274.5705173,1785132275.5431633,
block1-000015,427.66598309390247,1372.4865240510553,34,545.0,427.2295880364254,1372.0501289935783,0.436395057477057,block1:s2,fcfs,mixed,1785132274.6266942,1785132274.627131,1785132275.054368,1785132275.9991887,
block1-000016,692.6329910056666,1980.10664107278,48,155.0,690.5217909952626,1977.995441062376,2.1112000104039907,block1:s3,fcfs,mixed,1785132275.0242352,1785132275.026347,1785132275.716877,1785132277.0043504,
block1-000017,56.078825262375176,6616.165327257477,161,287.5,55.00820989254862,6615.09471188765,1.0706153698265553,block1:zero_tool,fcfs,mixed,1785132275.4310668,1785132275.4321375,1785132275.487153,1785132282.0472398,
block1-000018,70.92071988154203,5258.006575866602,131,12.5,69.1847950220108,5256.270651007071,1.7359248595312238,block1:zero_tool,fcfs,mixed,1785132275.6460264,1785132275.6477625,1785132275.7169552,1785132280.9040415,
block1-000019,697.630652692169,2063.0240086466074,48,100.0,696.9545789761469,2062.3479349305853,0.6760737160220742,block1:s3,fcfs,mixed,1785132276.097576,1785132276.0982523,1785132276.7952151,1785132278.1606085,
block1-000020,73.50046571809798,6180.597162689082,147,572.5,72.37980898935348,6179.476505960338,1.1206567287445068,block1:zero_tool,fcfs,mixed,1785132276.3623095,1785132276.3634305,1785132276.4358187,1785132282.542915,
block1-000021,595.5176929710433,1830.4294949630275,43,10.0,594.6660619229078,1829.577863914892,0.8516310481354594,block1:s3,fcfs,mixed,1785132276.8463397,1785132276.8471916,1785132277.441867,1785132278.6767788,
block1-000022,885.3508612373844,2060.6297593330964,49,412.5,884.3529579462484,2059.6318560419604,0.9979032911360264,block1:s3,fcfs,mixed,1785132277.3501978,1785132277.3511958,1785132278.2355566,1785132279.4108357,
block1-000023,511.44898880738765,1780.7724067242816,43,15.0,511.14401407539845,1780.4674319922924,0.3049747319892049,block1:s3,fcfs,mixed,1785132277.461765,1785132277.4620705,1785132277.9732234,1785132279.2425468,
block1-000024,68.6669098213315,7159.555712714791,172,10.0,67.2536080237478,7158.142410917208,1.4133017975836992,block1:zero_tool,fcfs,mixed,1785132277.6576297,1785132277.6590433,1785132277.7263062,1785132284.8171947,
block1-000025,686.8643610505387,1929.0444270009175,48,152.5,686.4731250097975,1928.6531909601763,0.3912360407412052,block1:s4,fcfs,mixed,1785132277.8926919,1785132277.8930833,1785132278.5795648,1785132279.821745,
block1-000026,63.7615256709978,8097.426773747429,195,132.5,63.16313601564616,8096.828384092078,0.5983896553516388,block1:zero_tool,fcfs,mixed,1785132278.2715986,1785132278.2721975,1785132278.3353686,1785132286.369034,
block1-000027,697.7217319654301,1821.2821419583634,48,320.0,697.1253450028598,1820.685754995793,0.59638696257025,block1:s4,fcfs,mixed,1785132278.6575572,1785132278.658154,1785132279.3552878,1785132280.4788485,
block1-000028,575.3416270017624,2143.4195479378104,48,17.5,574.5507270330563,2142.6286479691043,0.7908999687060714,block1:s4,fcfs,mixed,1785132279.828246,1785132279.8290374,1785132280.403597,1785132281.9716747,
block1-000029,523.0001593008637,2105.295904329978,48,322.5,522.6167009677738,2104.912445996888,0.3834583330899477,block1:s4,fcfs,mixed,1785132279.9043164,1785132279.9047005,1785132280.4273262,1785132282.0096219,
block1-000030,501.1529515031725,2085.149412509054,48,95.0,500.674061011523,2084.6705220174044,0.4788904916495085,block1:s4,fcfs,mixed,1785132279.9998822,1785132280.000362,1785132280.5010457,1785132282.0850422,
block1-000031,715.1095411973074,2212.233999161981,48,132.5,714.3415129976347,2211.4659709623083,0.768028199672699,block1:s4,fcfs,mixed,1785132280.1884947,1785132280.189263,1785132280.9036126,1785132282.400737,
block1-000032,722.265841322951,2128.545384388417,43,280.0,722.039608983323,2128.319152048789,0.2262323396280408,block1:s1,fcfs,mixed,1785132280.4145315,1785132280.4147582,1785132281.1368096,1785132282.5430887,
block1-000033,110.28627259656787,3249.959372682497,71,10.0,109.26571092568338,3248.9388110116124,1.02056167088449,block1:s1,fcfs,mixed,1785132280.4989762,1785132280.4999974,1785132280.6092732,1785132283.7489464,
block1-000034,80.56234882678837,8345.07913782727,192,15.0,79.90058499854058,8344.417373999022,0.6617638282477856,block1:zero_tool,fcfs,mixed,1785132280.5466783,1785132280.5473406,1785132280.6272504,1785132288.8917673,
