request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,771.8636204954237,1967.534513445571,43,20.0,771.3544119615108,1967.0253049116582,0.5092085339128971,block1:s1,stock_fcfs,mixed,1785130419.2905543,1785130419.2910635,1785130420.062425,1785130421.258096,
block1-000001,203.99360510054976,7314.222270157188,176,25.0,203.12321500387043,7313.351880060509,0.8703900966793299,block1:zero_tool,stock_fcfs,mixed,1785130419.2911043,1785130419.2919743,1785130419.4951015,1785130426.60533,
block1-000002,581.5542332129553,1532.9578132368624,36,572.5,581.2722420087084,1532.6758220326155,0.2819912042468786,block1:s1,stock_fcfs,mixed,1785130419.518083,1785130419.518365,1785130420.099652,1785130421.051056,
block1-000003,58.702678070403636,16747.540220967494,397,25.0,56.84894300065935,16745.68648589775,1.853735069744289,block1:zero_tool,stock_fcfs,mixed,1785130419.8523154,1785130419.8541696,1785130419.911031,1785130436.5998688,
block1-000004,125.85308391135186,6077.0785670029,149,177.5,124.47684700600803,6075.702330097556,1.3762369053438306,block1:zero_tool,stock_fcfs,mixed,1785130419.9198306,1785130419.921207,1785130420.0456932,1785130425.9969192,
block1-000005,119.08313469029963,2765.75864572078,67,15.0,118.08308004401624,2764.7585910744965,1.0000546462833881,block1:s1,stock_fcfs,mixed,1785130419.9263716,1785130419.9273717,1785130420.0454633,1785130422.6921387,
block1-000006,63.82733059581369,8217.141104629263,204,85.0,63.385559944435954,8216.699333977886,0.4417706513777375,block1:zero_tool,stock_fcfs,mixed,1785130420.1728485,1785130420.1732905,1785130420.236688,1785130428.390002,
block1-000007,56.0543475439772,6578.5810345551,163,287.5,54.94035896845162,6577.467045979574,1.1139885755255818,block1:zero_tool,stock_fcfs,mixed,1785130420.1805365,1785130420.1816504,1785130420.236601,1785130426.7591279,
block1-000008,69.12618968635798,5920.395515742712,145,412.5,68.90117097645998,5920.170497032814,0.225018709897995,block1:zero_tool,stock_fcfs,mixed,1785130420.8200965,1785130420.8203218,1785130420.8892334,1785130426.7405026,
block1-000009,625.040642102249,1839.3539021490142,44,145.0,624.5570139726624,1838.8702740194276,0.4836281295865774,block1:s2,stock_fcfs,mixed,1785130420.8898757,1785130420.8903596,1785130421.5149252,1785130422.7292385,
block1-000010,82.76568306609988,6296.788673964329,155,117.5,81.88703609630466,6295.910026994534,0.878646969795227,block1:zero_tool,stock_fcfs,mixed,1785130420.929835,1785130420.9307144,1785130421.0126116,1785130427.2266343,
block1-000011,536.8929055985063,1752.015923615545,43,287.5,536.7261280771345,1751.8491460941732,0.16677752137184143,block1:s2,stock_fcfs,mixed,1785130421.2028468,1785130421.203014,1785130421.7397478,1785130422.954871,
block1-000012,65.58594258967787,6286.43635858316,156,15.0,64.201446948573,6285.051862942055,1.384495641104877,block1:zero_tool,stock_fcfs,mixed,1785130421.9940526,1785130421.9954371,1785130422.0596483,1785130428.2804985,
block1-000013,645.628780242987,1844.93108431343,44,20.0,645.1469929888844,1844.4492970593274,0.4817872541025281,block1:s2,stock_fcfs,mixed,1785130422.23348,1785130422.233962,1785130422.8791192,1785130424.0784216,
block1-000014,500.48465211875737,1473.6376891378313,36,12.5,499.9931970378384,1473.1462340569124,0.4914550809189677,block1:s2,stock_fcfs,mixed,1785130422.4720895,1785130422.4725811,1785130422.9725816,1785130423.9457347,
block1-000015,428.4082311205566,1371.8653020914644,34,545.0,428.08692704420537,1371.5439980151132,0.3213040763512254,block1:s2,stock_fcfs,mixed,1785130423.0296876,1785130423.030009,1785130423.458105,1785130424.4015622,
block1-000016,692.0777949271724,1971.369563951157,48,155.0,691.146504948847,1970.4382739728317,0.931289978325367,block1:s3,stock_fcfs,mixed,1785130423.4272287,1785130423.42816,1785130424.1193147,1785130425.3986063,
block1-000017,55.917019257321954,6935.669283266179,161,287.5,55.21898891311139,6934.971252921969,0.6980303442105651,block1:zero_tool,stock_fcfs,mixed,1785130423.8340602,1785130423.8347583,1785130423.889986,1785130430.769738,
block1-000018,70.36600483115762,5903.788876836188,136,12.5,69.20089991763234,5902.623771922663,1.1651049135252833,block1:zero_tool,stock_fcfs,mixed,1785130424.0490198,1785130424.0501847,1785130424.119394,1785130429.9528172,
block1-000019,691.5091427508742,2047.3748786607757,48,100.0,690.3966380050406,2046.2623739149421,1.1125047458335757,block1:s3,stock_fcfs,mixed,1785130424.5005693,1785130424.5016818,1785130425.192087,1785130426.547953,
block1-000020,52.401752793230116,6439.878735807724,147,572.5,51.65782105177641,6439.134804066271,0.7439317414537072,block1:zero_tool,stock_fcfs,mixed,1785130424.765303,1785130424.766047,1785130424.8177137,1785130431.2051907,
block1-000021,582.2891511488706,1809.164904174395,43,10.0,581.3814770663157,1808.25723009184,0.9076740825548768,block1:s3,stock_fcfs,mixed,1785130425.2493331,1785130425.250241,1785130425.831631,1785130427.0585065,
block1-000022,870.1725573046133,2035.8129933010787,49,412.5,869.9719790602103,2035.6124150566757,0.20057824440300465,block1:s3,stock_fcfs,mixed,1785130425.7531912,1785130425.753392,1785130426.623372,1785130427.7890124,
block1-000023,514.3067125463858,1773.6561045749113,43,15.0,513.033133931458,1772.3825259599835,1.2735786149278283,block1:s3,stock_fcfs,mixed,1785130425.8647585,1785130425.8660324,1785130426.3790739,1785130427.638423,
block1-000024,53.48043469712138,7479.87141169142,173,10.0,52.99386696424335,7479.384843958542,0.48656773287802935,block1:zero_tool,stock_fcfs,mixed,1785130426.0606232,1785130426.0611098,1785130426.1141126,1785130433.5405033,
block1-000025,687.8132839919999,1926.6528770094737,48,152.5,686.5498339757323,1925.3894269932061,1.2634500162675977,block1:s4,stock_fcfs,mixed,1785130426.2956853,1785130426.2969487,1785130426.9835076,1785130428.2223475,
block1-000026,66.3790546823293,8477.053371607326,195,132.5,66.02972210384905,8476.704039028846,0.3493325784802437,block1:zero_tool,stock_fcfs,mixed,1785130426.674592,1785130426.6749418,1785130426.74098,1785130435.1516542,
block1-000027,672.5117969326675,2200.5554928909987,48,320.0,672.3519529914483,2200.3956489497796,0.15984394121915102,block1:s4,stock_fcfs,mixed,1785130427.0605507,1785130427.0607107,1785130427.733071,1785130429.2611148,
block1-000028,881.8973818561062,2480.3357168566436,48,17.5,880.5115149589255,2478.949849959463,1.3858668971806765,block1:s4,stock_fcfs,mixed,1785130428.2312396,1785130428.2326255,1785130429.113146,1785130430.7115846,
block1-000029,904.282147414051,2442.569799371995,48,322.5,903.865504078567,2442.153156036511,0.41664333548396826,block1:s4,stock_fcfs,mixed,1785130428.3073099,1785130428.3077266,1785130429.2116003,1785130430.7498882,
block1-000030,910.2160625625402,2477.369855507277,48,95.0,908.8259970303625,2475.9797899750993,1.3900655321776867,block1:s4,stock_fcfs,mixed,1785130428.4028757,1785130428.4042656,1785130429.3131003,1785130430.8802543,
