request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,558.4514294750988,1740.8418875420466,43,20.0,557.3158599436283,1739.706318010576,1.1355695314705372,block1:s1,stock_fcfs,mixed,1785131587.7871106,1785131587.7882462,1785131588.3455691,1785131589.5279596,
block1-000001,74.42247273866087,7339.01330770459,171,25.0,72.78291299007833,7337.373747956008,1.639559748582542,block1:zero_tool,stock_fcfs,mixed,1785131587.8070707,1785131587.8087103,1785131587.8815002,1785131595.1460907,
block1-000002,515.4432544950396,1472.150761517696,36,572.5,515.0433399248868,1471.7508469475433,0.39991457015275955,block1:s1,stock_fcfs,mixed,1785131587.9625618,1785131587.962962,1785131588.4780126,1785131589.43472,
block1-000003,66.18633051402867,16960.295117576607,397,25.0,65.26991596911103,16959.37870303169,0.9164145449176431,block1:zero_tool,stock_fcfs,mixed,1785131588.0952055,1785131588.0961227,1785131588.1614025,1785131605.0555112,
block1-000004,58.54457232635468,6292.099330341443,147,177.5,57.85967595875263,6291.414433973841,0.6848963676020503,block1:zero_tool,stock_fcfs,mixed,1785131588.3641882,1785131588.3648734,1785131588.4227397,1785131594.6562946,
block1-000005,124.92860108613968,2872.7567710448056,67,15.0,124.56120701972395,2872.38937697839,0.36739406641572714,block1:s1,stock_fcfs,mixed,1785131589.138413,1785131589.1387806,1785131589.2633495,1785131592.011178,
block1-000006,87.90590241551399,9285.474501433782,210,85.0,87.4247319297865,9284.993330948055,0.481170485727489,block1:zero_tool,stock_fcfs,mixed,1785131589.1963055,1785131589.1967869,1785131589.28422,1785131598.4817884,
block1-000007,57.34139238484204,12764.104197383858,291,287.5,56.605170015245676,12763.367975014262,0.7362223695963621,block1:zero_tool,stock_fcfs,mixed,1785131589.9932277,1785131589.9939642,1785131590.050577,1785131602.7573402,
block1-000008,66.09260011464357,7488.185961032286,166,412.5,64.07713808584958,7486.170499003492,2.0154620287939906,block1:zero_tool,stock_fcfs,mixed,1785131590.24863,1785131590.2506459,1785131590.3147304,1785131597.7368238,
block1-000009,683.9826791547239,2136.3754821941257,44,145.0,683.436232036911,2135.8290350763127,0.5464471178129315,block1:s2,stock_fcfs,mixed,1785131590.5844612,1785131590.585008,1785131591.268452,1785131592.7208445,
block1-000010,127.13747564703226,7475.77614558395,164,117.5,126.95944006554782,7475.598110002466,0.178035581484437,block1:zero_tool,stock_fcfs,mixed,1785131590.6202195,1785131590.6203978,1785131590.7473786,1785131598.0960174,
block1-000011,609.645803226158,2058.563986211084,43,287.5,608.724353951402,2057.642536936328,0.9214492747560143,block1:s2,stock_fcfs,mixed,1785131590.639075,1785131590.6399975,1785131591.2487304,1785131592.697648,
block1-000012,56.800075341016054,10338.278504321352,234,15.0,56.21561105363071,10337.694040033966,0.5844642873853445,block1:zero_tool,stock_fcfs,mixed,1785131590.7509522,1785131590.751537,1785131590.8077602,1785131601.0892382,
block1-000013,624.2247499758378,2046.3139780331403,44,20.0,623.1417339295149,2045.2309619868174,1.0830160463228822,block1:s2,stock_fcfs,mixed,1785131590.8088424,1785131590.8099256,1785131591.4330757,1785131592.855165,
block1-000014,600.0410318374634,1711.4856109255925,36,12.5,599.7700690058991,1711.2146480940282,0.2709628315642476,block1:s2,stock_fcfs,mixed,1785131591.2444348,1785131591.2447062,1785131591.8444846,1785131592.9559293,
block1-000015,484.7762754652649,1647.1612704917789,34,545.0,484.18431694153696,1646.569311968051,0.5919585237279534,block1:s2,stock_fcfs,mixed,1785131591.4446523,1785131591.4452443,1785131591.9294362,1785131593.0918212,
block1-000016,766.5035567479208,2275.1408497570083,48,155.0,766.2012879736722,2274.8385809827596,0.3022687742486596,block1:s3,stock_fcfs,mixed,1785131591.453072,1785131591.4533746,1785131592.2195842,1785131593.7282217,
block1-000017,57.53793544135988,7208.659956348129,161,287.5,57.23896808922291,7208.360988995992,0.29896735213696957,block1:zero_tool,stock_fcfs,mixed,1785131591.792206,1785131591.7925053,1785131591.849752,1785131599.0008743,
block1-000018,58.49964020308107,7434.765623183921,166,12.5,57.9536659643054,7434.219648945145,0.5459742387756705,block1:zero_tool,stock_fcfs,mixed,1785131591.8523464,1785131591.8528926,1785131591.9108536,1785131599.2871199,
block1-000019,854.5951197156683,2250.2038326347247,48,100.0,854.1741190711036,2249.78283199016,0.4210006445646286,block1:s3,stock_fcfs,mixed,1785131591.9227931,1785131591.9232147,1785131592.777396,1785131594.1730049,
block1-000020,70.5256067449227,6620.623100781813,147,572.5,69.39368299208581,6619.491177028976,1.131923752836883,block1:zero_tool,stock_fcfs,mixed,1785131592.0344813,1785131592.0356135,1785131592.1050327,1785131598.6551304,
block1-000021,714.7493112133816,2063.7962472392246,43,10.0,714.4009850453585,2063.4479210712016,0.34832616802304983,block1:s3,stock_fcfs,mixed,1785131592.2825153,1785131592.2828639,1785131592.997272,1785131594.3463192,
block1-000022,1022.8480953956023,2262.238902389072,49,412.5,1022.2149019828066,2261.605708976276,0.6331934127956629,block1:s3,stock_fcfs,mixed,1785131592.394231,1785131592.3948646,1785131593.4170918,1785131594.656483,
block1-000023,594.5447814883664,2020.4858594806865,43,15.0,594.0259359776974,2019.9670139700174,0.5188455106690526,block1:s3,stock_fcfs,mixed,1785131592.4225366,1785131592.423056,1785131593.017094,1785131594.443035,
block1-000024,106.04161815717816,7709.8789270967245,173,10.0,105.56031099986285,7709.397619939409,0.4813071573153138,block1:zero_tool,stock_fcfs,mixed,1785131592.591397,1785131592.5918787,1785131592.697448,1785131600.301285,
block1-000025,823.8542440813035,2137.9431791137904,48,152.5,822.991436929442,2137.080371961929,0.8628071518614888,block1:s4,stock_fcfs,mixed,1785131592.5931866,1785131592.5940497,1785131593.4170487,1785131594.7311373,
block1-000026,62.9363595508039,8422.278267564252,193,132.5,61.69252493418753,8421.034432947636,1.2438346166163683,block1:zero_tool,stock_fcfs,mixed,1785131592.8732748,1785131592.8745189,1785131592.936218,1785131601.2955601,
block1-000027,781.13483695779,2180.360740981996,48,320.0,780.085148056969,2179.311052081175,1.049688900820911,block1:s4,stock_fcfs,mixed,1785131592.965599,1785131592.966649,1785131593.746742,1785131595.145968,
block1-000028,754.6478974400088,2152.8497544350103,48,17.5,753.707213094458,2151.9090700894594,0.9406843455508351,block1:s4,stock_fcfs,mixed,1785131593.0690548,1785131593.0699959,1785131593.8237107,1785131595.2219126,
block1-000029,768.8298992579803,2165.7768802251667,48,322.5,768.0396820651367,2164.986663032323,0.7902171928435564,block1:s4,stock_fcfs,mixed,1785131593.0749,1785131593.0756903,1785131593.843737,1785131595.240684,
block1-000030,746.2877125944942,2319.917071494274,48,95.0,746.1524259997532,2319.781784899533,0.13528659474104643,block1:s4,stock_fcfs,mixed,1785131593.9282553,1785131593.9283907,1785131594.67455,1785131596.2481794,
block1-000031,689.2858205828816,2301.763490540907,48,132.5,688.9026470016688,2301.380316959694,0.383173581212759,block1:s4,stock_fcfs,mixed,1785131594.1758616,1785131594.176245,1785131594.8651552,1785131596.4776328,
block1-000032,714.3046744167805,2106.848528375849,43,280.0,713.7506860308349,2106.2945399899036,0.5539883859455585,block1:s1,stock_fcfs,mixed,1785131594.9589665,1785131594.9595208,1785131595.6732795,1785131597.0658238,
block1-000033,142.41411979310215,3288.9467118075117,71,10.0,141.88902801834047,3288.42162003275,0.5250917747616768,block1:s1,stock_fcfs,mixed,1785131594.9800303,1785131594.9805555,1785131595.1224525,1785131598.268985,
block1-000034,131.0965787852183,8254.217677749693,189,15.0,130.79055002890527,8253.91164899338,0.30602875631302595,block1:zero_tool,stock_fcfs,mixed,1785131595.0151465,1785131595.0154536,1785131595.146254,1785131603.2693753,
block1-000035,129.92217345163226,3427.608217461966,75,10.0,128.25254700146616,3425.9385910118,1.6696264501661062,block1:s1,stock_fcfs,mixed,1785131595.420536,1785131595.422206,1785131595.5504665,1785131598.8481529,
block1-000036,675.0028405804187,1711.7171715945005,36,105.0,674.4090779684484,1711.1234089825302,0.5937626119703054,block1:s1,stock_fcfs,mixed,1785131595.5094717,1785131595.510066,1785131596.184483,1785131597.2211976,
block1-000037,554.9856594298035,1565.6877354485914,34,170.0,554.4707080116495,1565.1727840304375,0.5149514181539416,block1:s1,stock_fcfs,mixed,1785131595.6937966,1785131595.6943119,1785131596.2487915,1785131597.2594936,
block1-000038,655.0567933591083,1894.761380390264,43,12.5,654.676674050279,1894.3812610814348,0.38011930882930756,block1:s1,stock_fcfs,mixed,1785131595.9183593,1785131595.9187396,1785131596.5734231,1785131597.8131278,
block1-000039,126.74454576335847,2926.543140783906,68,145.0,125.959092983976,2925.7576880045235,0.7854527793824673,block1:s1,stock_fcfs,mixed,1785131596.172019,1785131596.1728048,1785131596.2987716,1785131599.0985703,
block1-000040,105.0525417085737,16109.740587766282,384,10.0,104.19111396186054,16108.87916001957,0.8614277467131615,block1:zero_tool,stock_fcfs,mixed,1785131596.2354963,1785131596.236358,1785131596.3405569,1785131612.3452446,
block1-000041,537.4104919610545,1571.3861319236457,36,17.5,537.1942380443215,1571.1698780069128,0.2162539167329669,block1:s2,stock_fcfs,mixed,1785131596.7982457,1785131596.7984622,1785131597.3356643,1785131598.3696399,
