request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
block1-000000,426.5779833076522,1090.913993306458,43,20.0,424.4755969848484,1088.8116069836542,2.1023863228037953,block1:s1,policy_fcfs,mixed,1785100987.4895954,1785100987.4916983,1785100987.9161825,1785100988.5805187,
block1-000001,78.01849662791938,4098.40141562745,176,25.0,75.4000450251624,4095.782964024693,2.618451602756977,block1:zero_tool,policy_fcfs,mixed,1785100987.4898705,1785100987.4924889,1785100987.5678928,1785100991.5882754,
block1-000002,385.90595417190343,901.8120191758499,36,572.5,385.2058680495247,901.1119330534711,0.7000861223787069,block1:s1,policy_fcfs,mixed,1785100987.6033597,1785100987.6040602,1785100987.9892783,1785100988.5051847,
block1-000003,109.0338040376082,6184.996783034876,242,25.0,107.81375097576529,6183.776729973033,1.2200530618429184,block1:zero_tool,policy_fcfs,mixed,1785100987.7704759,1785100987.7716963,1785100987.8795183,1785100993.955481,
block1-000004,111.89923097845167,3430.238045984879,147,177.5,110.79643398988992,3429.1352489963174,1.1027969885617495,block1:zero_tool,policy_fcfs,mixed,1785100987.8042336,1785100987.8053367,1785100987.9161406,1785100991.2344794,
block1-000005,108.49711578339338,1560.812021838501,67,15.0,107.65195090789348,1559.9668569630012,0.8451648754999042,block1:s1,policy_fcfs,mixed,1785100987.807504,1785100987.8083494,1785100987.9160087,1785100989.3683236,
block1-000006,65.78651326708496,5313.226792262867,210,85.0,65.17760897986591,5312.617887975648,0.6089042872190475,block1:zero_tool,policy_fcfs,mixed,1785100987.9307425,1785100987.9313517,1785100987.996539,1785100993.2439797,
block1-000007,61.83611671440303,7368.371298653074,291,287.5,61.116107972338796,7367.651289911009,0.7200087420642376,block1:zero_tool,policy_fcfs,mixed,1785100987.9345865,1785100987.935307,1785100987.9964335,1785100995.3029685,
block1-000008,111.00452579557896,3393.3959048008546,145,412.5,110.78972299583256,3393.1811020011082,0.21480279974639416,block1:zero_tool,policy_fcfs,mixed,1785100988.2543666,1785100988.2545815,1785100988.365379,1785100991.6477706,
block1-000009,387.7746000653133,1059.8251541377977,44,145.0,386.3446849863976,1058.395239058882,1.4299150789156556,block1:s2,policy_fcfs,mixed,1785100988.289256,1785100988.2906861,1785100988.6770399,1785100989.3490906,
block1-000010,101.46786156110466,3830.2036764798686,164,117.5,100.10219807736576,3828.8380129961297,1.3656634837388992,block1:zero_tool,policy_fcfs,mixed,1785100988.3092358,1785100988.3106017,1785100988.4107106,1785100992.1394463,
block1-000011,327.58376467972994,1035.7237746939063,43,287.5,326.920312945731,1035.0603229599074,0.6634517339989543,block1:s2,policy_fcfs,mixed,1785100988.4457417,1785100988.4464056,1785100988.7733424,1785100989.4814825,
block1-000012,71.91840268205851,3121.7800497543067,135,15.0,71.2109348969534,3121.0725819692016,0.7074677851051092,block1:zero_tool,policy_fcfs,mixed,1785100988.8413446,1785100988.8420525,1785100988.9132712,1785100991.9631326,
block1-000013,407.8068120870739,1073.627810110338,44,20.0,406.7342379130423,1072.5552359363064,1.0725741740316153,block1:s2,policy_fcfs,mixed,1785100988.9610584,1785100988.9621313,1785100989.3688731,1785100990.034694,
block1-000014,307.76423506904393,856.3690751325339,36,12.5,306.7589789861813,855.3638190496713,1.0052560828626156,block1:s2,policy_fcfs,mixed,1785100989.080363,1785100989.0813687,1785100989.388134,1785100989.9367385,
block1-000015,315.56457665283233,812.0336576830596,34,545.0,314.4182210089639,810.8873020391911,1.1463556438684464,block1:s2,policy_fcfs,mixed,1785100989.359162,1785100989.3603086,1785100989.674734,1785100990.1712031,
block1-000016,417.1535345958546,1124.1078675957397,48,155.0,416.5424050297588,1123.496738029644,0.6111295660957694,block1:s3,policy_fcfs,mixed,1785100989.5579326,1785100989.5585444,1785100989.9750953,1785100990.6820495,
block1-000017,72.76588527020067,4324.805060285144,161,287.5,71.76726299803704,4323.80643801298,0.9986222721636295,block1:zero_tool,policy_fcfs,mixed,1785100989.7613485,1785100989.7623472,1785100989.8341215,1785100994.0861604,
