request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,675.121656502597,1356.3334865029901,43,20.0,674.0539360325783,1355.2657660329714,1.0677204700186849,block1:s1,gated_rule_c,mixed,1785184475.5476003,1785184475.5486689,1785184476.2227397,1785184476.9039516,,,
block1-000001,317.06808414310217,4330.172531190328,174,25.0,315.1725180214271,4328.276965068653,1.895566121675074,block1:zero_tool,gated_rule_c,mixed,1785184475.5479407,1785184475.5498369,1785184475.8650174,1785184479.8781211,,,
block1-000002,537.670454243198,1118.262370233424,36,572.5,536.9140669936314,1117.5059829838574,0.7563872495666146,block1:s1,gated_rule_c,mixed,1785184475.6883838,1785184475.6891415,1785184476.2260766,1785184476.806669,,,
block1-000003,118.61174472142011,8610.798131674528,353,25.0,118.4201460564509,8610.606533009559,0.19159866496920586,block1:zero_tool,gated_rule_c,mixed,1785184475.89519,1785184475.895382,1785184476.0138125,1785184484.5059988,,,
block1-000004,128.61134845297784,3441.0486355191097,147,177.5,127.68647295888513,3440.123760025017,0.9248754940927029,block1:zero_tool,gated_rule_c,mixed,1785184475.936965,1785184475.9378912,1785184476.06559,1785184479.3780272,,,
block1-000005,128.88272781856358,1691.8410637881607,67,15.0,128.67012596689165,1691.6284619364887,0.21260185167193413,block1:s1,gated_rule_c,mixed,1785184475.9410124,1785184475.9412253,1785184476.069903,1785184477.6328614,,,
block1-000006,129.43059706594795,4365.664073033258,188,85.0,128.5808760439977,4364.814352011308,0.8497210219502449,block1:zero_tool,gated_rule_c,mixed,1785184476.09352,1785184476.0943701,1785184476.2229602,1785184480.4591947,,,
block1-000007,127.89206998422742,7124.25251188688,291,287.5,127.63345299754292,7123.993894900195,0.25861698668450117,block1:zero_tool,gated_rule_c,mixed,1785184476.0982769,1785184476.0985358,1785184476.2261772,1785184483.2225382,,,
block1-000008,126.699622371234,3384.5285774441436,145,412.5,125.79616799484938,3383.625123067759,0.9034543763846159,block1:zero_tool,gated_rule_c,mixed,1785184476.4940047,1785184476.4949088,1785184476.6207166,1785184479.878545,,,
block1-000009,423.7788199679926,1114.810894941911,44,145.0,421.8897359678522,1112.9218109417707,1.8890840001404285,block1:s2,gated_rule_c,mixed,1785184476.5371804,1785184476.5390701,1785184476.9609702,1785184477.652002,,,
