request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,958.4706004243344,1647.6383655099198,43,20.0,957.4644319945946,1646.63219708018,1.0061684297397733,block1:s1,policy_fcfs,mixed,1785182964.5450716,1785182964.5460794,1785182965.5035641,1785182966.1927326,,,
block1-000001,557.8032281482592,4550.165681052022,171,25.0,555.8226350694895,4548.185087973252,1.9805930787697434,block1:zero_tool,policy_fcfs,mixed,1785182964.545412,1785182964.5473928,1785182965.1032195,1785182969.095582,,,
block1-000002,817.3308070981875,1390.4950361466035,36,572.5,816.8120259651914,1389.9762550136074,0.5187811329960823,block1:s1,policy_fcfs,mixed,1785182964.6858552,1785182964.6863751,1785182965.5032072,1785182966.0763721,,,
block1-000003,364.092513686046,12228.576935594901,495,25.0,363.49188501480967,12227.976306923665,0.6006286712363362,block1:zero_tool,policy_fcfs,mixed,1785182964.8926613,1785182964.8932643,1785182965.2567763,1785182977.1212611,,,
block1-000004,322.5547093898058,3620.951000484638,149,177.5,321.54277991503477,3619.939071009867,1.0119294747710228,block1:zero_tool,policy_fcfs,mixed,1785182964.9344363,1785182964.9354498,1785182965.2570045,1785182968.5554008,,,
block1-000005,372.4396098405123,1840.2749088127166,67,15.0,372.00012302491814,1839.8354219971225,0.4394868155941367,block1:s1,policy_fcfs,mixed,1785182964.9384837,1785182964.9389236,1785182965.3109326,1785182966.7787676,,,
block1-000006,221.78476001136005,4177.751078037545,176,85.0,221.2759490357712,4177.242267061956,0.5088109755888581,block1:zero_tool,policy_fcfs,mixed,1785182965.0909913,1785182965.0915017,1785182965.3127952,1785182969.268762,,,
block1-000007,216.6044720215723,3765.813029021956,158,287.5,216.14726702682674,3765.3558240272105,0.45720499474555254,block1:zero_tool,policy_fcfs,mixed,1785182965.0957482,1785182965.0962055,1785182965.3123608,1785182968.8615696,,,
block1-000008,132.9326262930408,3370.8356773713604,145,412.5,131.8401820026338,3369.7432330809534,1.092444290407002,block1:zero_tool,policy_fcfs,mixed,1785182965.491476,1785182965.4925687,1785182965.6244364,1785182968.8623388,,,
block1-000009,422.72235499694943,1109.5971969189122,44,145.0,422.4846049910411,1109.359446913004,0.2377500059083104,block1:s2,policy_fcfs,mixed,1785182965.5346518,1785182965.5348902,1785182965.9573865,1785182966.6442614,,,
block1-000010,102.82909031957388,3747.5958133582026,164,117.5,101.76474903710186,3746.5314720757306,1.0643412824720144,block1:zero_tool,policy_fcfs,mixed,1785182965.5593767,1785182965.5604424,1785182965.6622193,1785182969.3069856,,,
