request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,710.6657134136185,1395.9533694433048,43,20.0,710.1529149804264,1395.4405710101128,0.5127984331920743,block1:s1,prompt_sjf,mixed,1785183539.0750675,1785183539.0755808,1785183539.7857516,1785183540.4710393,,,
block1-000001,255.334907094948,4315.588230034336,174,25.0,254.03460499364883,4314.287927933037,1.3003021012991667,block1:zero_tool,prompt_sjf,mixed,1785183539.075408,1785183539.0767083,1785183539.3307474,1785183543.3910003,,,
block1-000002,569.4888611324131,1254.5108501799405,42,572.5,568.4615789214149,1253.4835679689422,1.0272822109982371,block1:s1,prompt_sjf,mixed,1785183539.215851,1785183539.2168794,1785183539.785355,1785183540.4703772,,,
block1-000003,118.9893486443907,10551.146472687833,435,25.0,117.87004501093179,10550.027169054374,1.1193036334589124,block1:zero_tool,prompt_sjf,mixed,1785183539.4226573,1785183539.4237773,1785183539.5416584,1785183549.9738147,,,
block1-000004,132.82649242319167,3427.781763486564,147,177.5,132.13529798667878,3427.0905690500513,0.6911944365128875,block1:zero_tool,prompt_sjf,mixed,1785183539.4644322,1785183539.4651244,1785183539.5972688,1785183542.892225,,,
block1-000005,237.55148774944246,1708.964221761562,67,15.0,236.8339899694547,1708.2467239815742,0.7174977799877524,block1:s1,prompt_sjf,mixed,1785183539.4684796,1785183539.4691975,1785183539.7060385,1785183541.1774518,,,
block1-000006,88.70236692018807,3770.1032559853047,165,85.0,88.26365100685507,3769.6645400719717,0.43871591333299875,block1:zero_tool,prompt_sjf,mixed,1785183539.6209872,1785183539.621427,1785183539.7097065,1785183543.3911068,,,
block1-000007,83.52274994831532,3577.308831969276,158,287.5,83.35932798217982,3577.1454100031406,0.16342196613550186,block1:zero_tool,prompt_sjf,mixed,1785183539.625744,1785183539.6259084,1785183539.7092772,1785183543.203064,,,
block1-000008,133.27717641368508,3369.1356934141368,145,412.5,132.57452403195202,3368.4330410324037,0.7026523817330599,block1:zero_tool,prompt_sjf,mixed,1785183540.021472,1785183540.0221758,1785183540.1547618,1785183543.39062,,,
block1-000009,423.9188388455659,1112.9308108938858,44,145.0,423.0581899173558,1112.0701619656757,0.8606489282101393,block1:s2,prompt_sjf,mixed,1785183540.0646477,1785183540.06551,1785183540.4885786,1785183541.1775904,,,
block1-000010,103.31293230410665,3844.575274270028,169,117.5,103.124198038131,3844.386540004052,0.18873426597565413,block1:zero_tool,prompt_sjf,mixed,1785183540.0893726,1785183540.0895624,1785183540.192695,1785183543.9339576,,,
block1-000011,327.1254450082779,1015.9110589884222,43,287.5,325.5134290084243,1014.2990429885685,1.612015999853611,block1:s2,prompt_sjf,mixed,1785183540.2582986,1785183540.259911,1785183540.585432,1785183541.274218,,,
block1-000012,88.20438326802105,3624.207927263342,159,15.0,87.92906394228339,3623.932607937604,0.27531932573765516,block1:zero_tool,prompt_sjf,mixed,1785183540.7478573,1785183540.7481334,1785183540.8360736,1785183544.3720765,,,
block1-000013,434.6874855691567,1105.6174136465415,44,20.0,433.61493898555636,1104.5448670629412,1.0725465836003423,block1:s2,prompt_sjf,mixed,1785183540.896003,1785183540.8970764,1785183541.330701,1785183542.0016308,,,
block1-000014,307.2009690804407,846.5270331362262,36,12.5,306.44607299473137,845.7721370505169,0.7548960857093334,block1:s2,prompt_sjf,mixed,1785183541.0436428,1785183541.0443983,1785183541.3508818,1785183541.8902068,,,
block1-000015,268.68503575678915,805.621042731218,34,545.0,268.1274820351973,805.0634890096262,0.5575537215918303,block1:s2,prompt_sjf,mixed,1785183541.3886564,1785183541.3892152,1785183541.6573536,1785183542.19429,,,
block1-000016,460.06836206652224,1139.6420900709927,48,155.0,459.3220539391041,1138.8957819435745,0.7463081274181604,block1:s3,prompt_sjf,mixed,1785183541.634635,1785183541.6353824,1785183542.094715,1785183542.7742891,,,
block1-000017,76.47238078061491,3860.6578587787226,160,287.5,76.27885602414608,3860.4643340222538,0.1935247564688325,block1:zero_tool,prompt_sjf,mixed,1785183541.8863618,1785183541.8865564,1785183541.9628446,1785183545.7470295,,,
block1-000018,75.27038897387683,2953.9642019663006,128,12.5,75.08832798339427,2953.782140975818,0.18206099048256874,block1:zero_tool,prompt_sjf,mixed,1785183542.0193682,1785183542.019551,1785183542.09465,1785183544.973343,,,
block1-000019,435.2961193071678,1227.0001213764772,48,100.0,434.83460997231305,1226.5386120416224,0.4615093348547816,block1:s3,prompt_sjf,mixed,1785183542.2987645,1785183542.2992265,1785183542.7340734,1785183543.525777,,,
block1-000020,75.69147471804172,3562.6525736879557,147,572.5,74.79702099226415,3561.758119962178,0.8944537257775664,block1:zero_tool,prompt_sjf,mixed,1785183542.4625683,1785183542.4634643,1785183542.5382729,1785183546.0252333,,,
block1-000021,365.08971522562206,1088.89689121861,43,10.0,364.7406039526686,1088.5477799456567,0.3491112729534507,block1:s3,prompt_sjf,mixed,1785183542.762062,1785183542.7624118,1785183543.1271627,1785183543.8509698,,,
block1-000022,567.3666696529835,1202.2500416496769,49,412.5,567.1303609851748,1202.013732981868,0.23630866780877113,block1:s3,prompt_sjf,mixed,1785183543.0738244,1785183543.0740619,1785183543.6412032,1785183544.2760863,,,
block1-000023,382.7693461207673,1055.7861800771207,43,15.0,382.18316808342934,1055.2000020397827,0.5861780373379588,block1:s3,prompt_sjf,mixed,1785183543.1428566,1785183543.143444,1785183543.5256407,1785183544.1986578,,,
block1-000024,85.68975445814431,4377.504814532585,172,10.0,85.07700299378484,4376.892063068226,0.6127514643594623,block1:zero_tool,prompt_sjf,mixed,1785183543.2640479,1785183543.2646618,1785183543.3497505,1785183547.6415658,,,
block1-000025,441.6382535127923,1095.6516516162083,48,152.5,441.4530589710921,1095.466457074508,0.18519454170018435,block1:s4,prompt_sjf,mixed,1785183543.4094925,1785183543.409678,1785183543.8511388,1785183544.5051527,,,
block1-000026,70.4998157452792,4755.640851682983,189,132.5,70.10157709009945,4755.242613027804,0.398238655179739,block1:zero_tool,prompt_sjf,mixed,1785183543.643941,1785183543.6443398,1785183543.7144516,1785183548.3995922,,,
block1-000027,411.35252895765007,1263.3502968819812,48,320.0,410.00970208551735,1262.0074700098485,1.3428268721327186,block1:s4,prompt_sjf,mixed,1785183543.8827531,1785183543.8840985,1785183544.2941234,1785183545.1461213,,,
block1-000028,672.4283145740628,1473.559254547581,48,17.5,670.7465200452134,1471.8774600187317,1.681794528849423,block1:s4,prompt_sjf,mixed,1785183544.6071167,1785183544.6087995,1785183545.2795563,1785183546.0806868,,,
block1-000029,688.8507979456335,1481.9647759431973,48,322.5,688.6932469205931,1481.8072249181569,0.1575510250404477,block1:s4,prompt_sjf,mixed,1785183544.6541853,1785183544.6543438,1785183545.3430488,1785183546.1361625,,,
block1-000030,654.912973055616,1477.5473070330918,48,95.0,654.2599690146744,1476.8943029921502,0.653004040941596,block1:s4,prompt_sjf,mixed,1785183544.7133164,1785183544.7139714,1785183545.3682456,1785183546.1908798,,,
block1-000031,683.3335027331486,1575.3412316553295,48,132.5,681.5937970532104,1573.6015259753913,1.7397056799381971,block1:s4,prompt_sjf,mixed,1785183544.8300204,1785183544.8317618,1785183545.5133662,1785183546.4053748,,,
block1-000032,556.3974730903283,1385.193678084761,43,280.0,555.545098031871,1384.3413030263036,0.8523750584572554,block1:s1,prompt_sjf,mixed,1785183544.9698808,1785183544.9707346,1785183545.5262902,1785183546.355086,,,
block1-000033,130.8563587954268,2034.3416607938707,71,10.0,130.03235205542296,2033.5176540538669,0.8240067400038242,block1:s1,prompt_sjf,mixed,1785183545.022131,1785183545.0229566,1785183545.1530013,1785183547.0564873,,,
block1-000034,101.2923683738336,4921.81817535311,192,15.0,100.57379398494959,4921.099600964226,0.7185743888840079,block1:zero_tool,prompt_sjf,mixed,1785183545.0516467,1785183545.0523667,1785183545.1529543,1785183549.9734805,,,
block1-000035,566.6671411599964,1383.3182342350483,43,10.0,566.1106558982283,1382.7617489732802,0.5564852617681026,block1:s1,prompt_sjf,mixed,1785183545.1396813,1785183545.140239,1785183545.7063608,1785183546.5230122,,,
block1-000036,460.74163215234876,1169.9601151049137,36,105.0,459.82891600579023,1169.0473989583552,0.9127161465585232,block1:s1,prompt_sjf,mixed,1785183545.184901,1785183545.1858144,1785183545.6456501,1785183546.3548694,,,
block1-000037,347.8367064381018,986.3234383519739,34,170.0,347.25370607338846,985.7404379872605,0.5830003647133708,block1:s1,prompt_sjf,mixed,1785183545.2573144,1785183545.257898,1785183545.6051602,1785183546.2436473,,,
block1-000038,429.5837600948289,1292.8542761364952,43,12.5,429.27823902573436,1292.5487550674006,0.3055210690945387,block1:s1,prompt_sjf,mixed,1785183545.3694384,1785183545.369744,1785183545.799034,1785183546.662305,,,
