request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,625.6866103503853,1322.8781534126028,43,20.0,625.4199799150229,1322.6115229772404,0.26663043536245823,block1:s1,pure_ltr,mixed,1785184005.9372993,1785184005.9375672,1785184006.5630052,1785184007.2601972,,,
block1-000001,324.15743404999375,4278.6906430264935,173,25.0,322.94406997971237,4277.477278956212,1.2133640702813864,block1:zero_tool,pure_ltr,mixed,1785184005.9376397,1785184005.938853,1785184006.2618012,1785184010.216334,,,
block1-000002,503.2671921653673,1054.4731901027262,36,572.5,502.3037160281092,1053.509713965468,0.9634761372581124,block1:s1,pure_ltr,mixed,1785184006.0780828,1785184006.0790477,1785184006.5813699,1785184007.132576,,,
block1-000003,123.92008060123771,11349.161314661615,466,25.0,123.02842491772026,11348.269658978097,0.891655683517456,block1:zero_tool,pure_ltr,mixed,1785184006.284889,1785184006.2857807,1785184006.40882,1785184017.6340606,,,
block1-000004,132.93299649376422,3409.7103184321895,147,177.5,132.77755409944803,3409.5548760378733,0.15544239431619644,block1:zero_tool,pure_ltr,mixed,1785184006.326664,1785184006.3268201,1785184006.4596057,1785184009.7363834,,,
block1-000005,132.95665476471186,1657.3069978039712,67,15.0,131.82444195263088,1656.1747849918902,1.1322128120809793,block1:s1,pure_ltr,mixed,1785184006.3307114,1785184006.3318436,1785184006.4636726,1785184007.9880235,,,
block1-000006,79.72446200437844,3966.156099922955,172,85.0,79.49058804661036,3965.922225965187,0.23387395776808262,block1:zero_tool,pure_ltr,mixed,1785184006.483219,1785184006.483454,1785184006.5629594,1785184010.4493914,,,
block1-000007,75.1144599635154,3748.4913809457794,163,287.5,74.93882603012025,3748.3157470123842,0.17563393339514732,block1:zero_tool,pure_ltr,mixed,1785184006.4879758,1785184006.4881518,1785184006.5630982,1785184010.2364755,,,
block1-000008,138.98886530660093,3370.9595032269135,144,412.5,138.57080601155758,3370.54144393187,0.41805929504334927,block1:zero_tool,pure_ltr,mixed,1785184006.8837037,1785184006.8841221,1785184007.022703,1785184010.2546732,,,
block1-000009,430.29602291062474,1121.9752319157124,44,145.0,429.9701889976859,1121.6493980027735,0.32583391293883324,block1:s2,pure_ltr,mixed,1785184006.9268794,1785184006.9272065,1785184007.3571901,1785184008.0488698,,,
