request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,3514.4247823627666,4216.901272418909,43,20.0,3513.547023991123,4216.023514047265,0.8777583716437221,block1:s1,policy_fcfs,mixed,1785182856.0734382,1785182856.0743165,1785182859.5878744,1785182860.2903512,,,
block1-000001,2747.837897972204,7544.067710987292,176,25.0,2746.2522329296917,7542.48204594478,1.5856650425121188,block1:zero_tool,policy_fcfs,mixed,1785182856.0737786,1785182856.0753644,1785182858.8216202,1785182863.61785,,,
block1-000002,3373.6767161171883,3899.6226302115247,36,572.5,3372.470326954499,3898.416241048835,1.2063891626894474,block1:s1,policy_fcfs,mixed,1785182856.2142217,1785182856.215429,1785182859.5879161,1785182860.1138625,,,
block1-000003,2743.2309075957164,13442.08669255022,512,25.0,2742.6530399825424,13441.508824937046,0.5778676131740212,block1:zero_tool,policy_fcfs,mixed,1785182856.421028,1785182856.421607,1785182859.1642742,1785182869.8631296,,,
block1-000004,2702.188521507196,6368.272501509637,149,177.5,2701.1201080167666,6367.204088019207,1.0684134904295206,block1:zero_tool,policy_fcfs,mixed,1785182856.462803,1785182856.463872,1785182859.16501,1785182862.831094,,,
block1-000005,2855.1401037257165,4458.313159761019,67,15.0,2854.97848095838,4458.151536993682,0.16162276733666658,block1:s1,policy_fcfs,mixed,1785182856.4668503,1785182856.4670122,1785182859.3219974,1785182860.9251707,,,
block1-000006,2545.729456935078,7691.883658873849,204,85.0,2544.571865000762,7690.726066939533,1.1575919343158603,block1:zero_tool,policy_fcfs,mixed,1785182856.6193578,1785182856.620516,1785182859.165099,1785182864.3112535,,,
block1-000007,2541.2276739953086,6600.77465896029,163,287.5,2540.5603640247136,6600.107348989695,0.6673099705949426,block1:zero_tool,policy_fcfs,mixed,1785182856.6241148,1785182856.6247823,1785182859.1653516,1785182863.2248986,,,
block1-000008,2145.012331311591,5661.202308372594,145,412.5,2143.520658952184,5659.7106360131875,1.491672359406948,block1:zero_tool,policy_fcfs,mixed,1785182857.0198426,1785182857.0213354,1785182859.1648672,1785182862.6810567,,,
block1-000009,2585.5007108766586,3345.984092913568,44,145.0,2584.662599954754,3345.1459819916636,0.8381109219044447,block1:s2,policy_fcfs,mixed,1785182857.0630183,1785182857.0638576,1785182859.648531,1785182860.4090142,,,
block1-000010,2234.3017511302605,6244.264522218145,164,117.5,2233.977941912599,6243.940713000484,0.3238092176616192,block1:zero_tool,policy_fcfs,mixed,1785182857.0877433,1785182857.088068,1785182859.3220572,1785182863.3320203,,,
block1-000011,2351.1285298736766,3087.9444968886673,43,287.5,2350.525019923225,3087.340986938216,0.6035099504515529,block1:s2,policy_fcfs,mixed,1785182857.2566693,1785182857.2572742,1785182859.607811,1785182860.3446271,,,
block1-000012,1575.6530832732096,5249.672575271688,155,15.0,1573.6917409813032,5247.711232979782,1.961342291906476,block1:zero_tool,policy_fcfs,mixed,1785182857.746228,1785182857.7481904,1785182859.3218944,1785182862.9959137,,,
block1-000013,1754.2007685406134,2514.424752560444,44,20.0,1753.8748499937356,2514.0988340135664,0.3259185468778014,block1:s2,policy_fcfs,mixed,1785182857.8943737,1785182857.894701,1785182859.6486006,1785182860.4088247,,,
block1-000014,1565.986586152576,2132.0155441062525,36,12.5,1564.775368082337,2130.8043260360137,1.2112180702388287,block1:s2,policy_fcfs,mixed,1785182858.0420134,1785182858.0432258,1785182859.6080136,1785182860.1740427,,,
block1-000015,1180.526128737256,1666.6290666908026,34,545.0,1179.7559730475768,1665.8589110011235,0.7701556896790862,block1:s2,policy_fcfs,mixed,1785182858.387027,1785182858.3877983,1785182859.5675652,1785182860.0536683,,,
block1-000016,1988.3570439415053,2665.130684967153,48,155.0,1987.6659739529714,2664.439614978619,0.6910699885338545,block1:s3,policy_fcfs,mixed,1785182858.6330056,1785182858.6336975,1785182860.6213763,1785182861.29815,,,
block1-000017,1341.161617776379,5309.4373607309535,160,287.5,1340.0757489725947,5308.351491927169,1.0858688037842512,block1:zero_tool,policy_fcfs,mixed,1785182858.8847325,1785182858.8858194,1785182860.2259064,1785182864.1941822,,,
block1-000018,1211.7039859294891,4416.743244975805,128,12.5,1210.7815139461309,4415.820772992447,0.922471983358264,block1:zero_tool,policy_fcfs,mixed,1785182859.0177388,1785182859.0186625,1785182860.2294557,1785182863.434495,,,
block1-000019,1463.6127183912322,2190.391749376431,48,100.0,1463.0868210224435,2189.8658520076424,0.5258973687887192,block1:s3,policy_fcfs,mixed,1785182859.297135,1785182859.2976623,1785182860.7607641,1785182861.4875433,,,
block1-000020,947.7526026312262,5192.1132276766,177,572.5,947.1699929563329,5191.530618001707,0.5826096748933196,block1:zero_tool,policy_fcfs,mixed,1785182859.460939,1785182859.461522,1785182860.4087005,1785182864.6530607,,,
block1-000021,1000.8326682727784,1652.609973330982,43,10.0,999.7510040411726,1651.5283090993762,1.0816642316058278,block1:s3,policy_fcfs,mixed,1785182859.7604327,1785182859.7615147,1785182860.7612808,1785182861.4130588,,,
block1-000022,809.7922906745225,1512.288762605749,49,412.5,809.0514440555125,1511.547915986739,0.7408466190099716,block1:s3,policy_fcfs,mixed,1785182860.072195,1785182860.0729373,1785182860.8820035,1785182861.5844996,,,
block1-000023,1056.2884750543162,1811.5035969531164,43,15.0,1055.758691043593,1810.9738129423931,0.5297840107232332,block1:s3,policy_fcfs,mixed,1785182860.1412272,1785182860.141758,1785182861.1975284,1785182861.9527428,,,
block1-000024,1089.959449484013,5080.567662487738,173,10.0,1089.0131660271436,5079.621379030868,0.9462834568694234,block1:zero_tool,policy_fcfs,mixed,1785182860.2624185,1785182860.2633648,1785182861.3523858,1785182865.3429937,,,
