request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,482.13001259136945,1117.517710546963,43,20.0,481.58650705590844,1116.974205011502,0.5435055354610085,block1:s1,gated_rule_c,mixed,1785169405.2842348,1785169405.284779,1785169405.7663746,1785169406.4017625,,,
block1-000001,224.508315208368,3846.396455192007,174,25.0,223.55099208652973,3845.439132070169,0.9573231218382716,block1:zero_tool,gated_rule_c,mixed,1785169405.2847848,1785169405.285742,1785169405.5092964,1785169409.1311843,,,
block1-000002,329.86449624877423,852.8506172588095,36,572.5,329.1564070386812,852.1425280487165,0.7080892100930214,block1:s1,gated_rule_c,mixed,1785169405.5117636,1785169405.512472,1785169405.8416398,1785169406.3646262,,,
block1-000003,55.29449915047735,8161.898452206515,401,25.0,54.43480098620057,8161.038754042238,0.8596981642767787,block1:zero_tool,gated_rule_c,mixed,1785169405.845996,1785169405.8468556,1785169405.9013007,1785169414.0079045,,,
block1-000004,124.99932188075036,3125.631532864645,149,177.5,122.93592095375061,3123.5681319376454,2.0634009269997478,block1:zero_tool,gated_rule_c,mixed,1785169405.913511,1785169405.9155748,1785169406.0385199,1785169409.0391517,,,
block1-000005,118.57596167828888,1458.5648647043854,67,15.0,117.51086101867259,1457.499764044769,1.0651006596162915,block1:s1,gated_rule_c,mixed,1785169405.920052,1785169405.921117,1785169406.0386355,1785169407.3786247,,,
block1-000006,63.92857863102108,4269.644196610898,209,85.0,63.70970397256315,4269.42532195244,0.21887465845793486,block1:zero_tool,gated_rule_c,mixed,1785169406.166529,1785169406.166748,1785169406.23047,1785169410.4361856,,,
block1-000007,56.19555653538555,3391.8127164943144,163,287.5,55.93949998728931,3391.556659946218,0.25605654809623957,block1:zero_tool,gated_rule_c,mixed,1785169406.174217,1785169406.1744733,1785169406.2304206,1785169409.5660374,,,
block1-000008,59.636236750520766,3070.659398683347,145,412.5,59.48113510385156,3070.5042970366776,0.155101646669209,block1:zero_tool,gated_rule_c,mixed,1785169406.813777,1785169406.8139327,1785169406.8734236,1785169409.8844469,,,
block1-000009,382.6790621969849,975.0878991326317,44,145.0,381.6492030164227,974.0580399520695,1.0298591805621982,block1:s2,gated_rule_c,mixed,1785169406.8835561,1785169406.884586,1785169407.266243,1785169407.8586516,,,
block1-000010,93.89412996824831,3400.2508950652555,164,117.5,92.46782993432134,3398.8245950313285,1.4263000339269638,block1:zero_tool,gated_rule_c,mixed,1785169406.9235156,1785169406.9249423,1785169407.0174174,1785169410.323774,,,
block1-000011,334.58446245640516,912.6618624432012,43,287.5,334.02921294327825,912.1066129300743,0.5552495131269097,block1:s2,gated_rule_c,mixed,1785169407.1965272,1785169407.1970835,1785169407.5311224,1785169408.1091998,,,
block1-000012,63.691341783851385,3197.21982779447,156,15.0,62.856171047315,3196.3846570579335,0.8351707365363836,block1:zero_tool,gated_rule_c,mixed,1785169407.9877331,1785169407.9885688,1785169408.0514336,1785169411.1849618,,,
block1-000013,385.1616933243349,999.7371543431655,44,20.0,384.11951600573957,998.6949770245701,1.0421773185953498,block1:s2,gated_rule_c,mixed,1785169408.2271605,1785169408.228203,1785169408.6123304,1785169409.2269053,,,
block1-000014,301.58886208664626,799.0707290591672,36,12.5,300.55913294199854,798.0409999145195,1.0297291446477175,block1:s2,gated_rule_c,mixed,1785169408.46577,1785169408.4668007,1785169408.767368,1785169409.2648501,,,
block1-000015,279.07327213324606,768.925454118289,34,545.0,278.7029000464827,768.5550820315257,0.37037208676338196,block1:s2,gated_rule_c,mixed,1785169409.0233681,1785169409.0237386,1785169409.3024514,1785169409.7923033,,,
block1-000016,408.9607819914818,1015.3866219334304,48,155.0,408.12243602704257,1014.5482759689912,0.8383459644392133,block1:s3,gated_rule_c,mixed,1785169409.4209092,1785169409.4217482,1785169409.8298829,1785169410.4363084,,,
block1-000017,61.358348350040615,3266.7829043930396,161,287.5,59.989931993186474,3265.4144880361855,1.3684163568541408,block1:zero_tool,gated_rule_c,mixed,1785169409.8277407,1785169409.8291092,1785169409.8891065,1785169413.0945313,,,
block1-000018,55.51271582953632,3274.898203788325,160,12.5,54.985307971946895,3274.3707959307358,0.5274078575894237,block1:zero_tool,gated_rule_c,mixed,1785169410.0427003,1785169410.043228,1785169410.0982199,1785169413.3176053,,,
block1-000019,410.19717475865036,1044.43888773676,48,100.0,409.18548905756325,1043.427202035673,1.0116857010871172,block1:s3,gated_rule_c,mixed,1785169410.4942498,1785169410.4952617,1785169410.9044535,1785169411.5386956,,,
block1-000020,52.338881650939584,2985.910122632049,147,572.5,51.55066098086536,2985.121901961975,0.7882206700742245,block1:zero_tool,gated_rule_c,mixed,1785169410.7589834,1785169410.759772,1785169410.81133,1785169413.7449012,,,
block1-000021,350.9667059406638,1001.1632069945335,43,10.0,349.9518329044804,1000.1483339583501,1.0148730361834168,block1:s3,gated_rule_c,mixed,1785169411.2430136,1785169411.2440286,1785169411.5939884,1785169412.2441857,,,
block1-000022,507.0260134525597,1117.9675554158166,49,412.5,506.02114910725504,1116.962691070512,1.004864345304668,block1:s3,gated_rule_c,mixed,1785169411.7468717,1785169411.747877,1785169412.2539074,1785169412.8648484,,,
block1-000023,318.44344455748796,968.3684975607321,43,15.0,317.94106191955507,967.8661149227992,0.5023826379328966,block1:s3,gated_rule_c,mixed,1785169411.858439,1785169411.858942,1785169412.176894,1785169412.8268192,,,
block1-000024,65.63932483550161,3927.0058718975633,173,10.0,65.30629401095212,3926.672841073014,0.3330308245494962,block1:zero_tool,gated_rule_c,mixed,1785169412.0543036,1785169412.054637,1785169412.1199546,1785169415.9813213,,,
block1-000025,434.47830504737794,1064.8723680060357,48,152.5,433.41415806207806,1063.8082210207358,1.0641469852998853,block1:s4,gated_rule_c,mixed,1785169412.2893658,1785169412.2904305,1785169412.7238548,1785169413.354249,,,
block1-000026,61.991330701857805,4371.756707667373,190,132.5,61.11283402424306,4370.878210989758,0.8784966776147485,block1:zero_tool,gated_rule_c,mixed,1785169412.6682725,1785169412.6691515,1785169412.730273,1785169417.0400383,,,
block1-000027,410.89034592732787,1009.4761869404465,48,320.0,410.35449400078505,1008.9403350139037,0.5358519265428185,block1:s4,gated_rule_c,mixed,1785169413.0542312,1785169413.0547674,1785169413.4651284,1785169414.063714,,,
block1-000028,507.11418001446873,1440.9400539007038,48,17.5,506.3641400774941,1440.1900139637291,0.7500399369746447,block1:s4,gated_rule_c,mixed,1785169414.22492,1785169414.2256703,1785169414.7320423,1785169415.6658685,,,
block1-000029,468.6524271965027,1404.6170562505722,48,322.5,468.02586293779314,1403.9904919918627,0.6265642587095499,block1:s4,gated_rule_c,mixed,1785169414.3009903,1785169414.3016174,1785169414.7696512,1785169415.7056158,,,
block1-000030,429.6977495541796,1428.4993004985154,48,95.0,429.45898801553994,1428.2605389598757,0.23876153863966465,block1:s4,gated_rule_c,mixed,1785169414.3965561,1785169414.3967957,1785169414.8262637,1785169415.8250651,,,
block1-000031,502.0503600826487,1431.5357550513,48,132.5,501.2953659752384,1430.7807609438896,0.7549941074103117,block1:s4,gated_rule_c,mixed,1785169414.5851686,1785169414.585924,1785169415.0872278,1785169416.016713,,,
block1-000032,480.2653283113614,1251.4091522898525,43,280.0,479.11551501601934,1250.2593389945105,1.1498132953420281,block1:s1,gated_rule_c,mixed,1785169414.8112054,1785169414.8123553,1785169415.2914798,1785169416.0626233,,,
block1-000033,129.91197675000876,1858.553518773988,71,10.0,129.73377504386008,1858.3753170678392,0.17820170614868402,block1:s1,gated_rule_c,mixed,1785169414.8956501,1785169414.8958285,1785169415.0255687,1785169416.7542105,,,
block1-000034,104.6594757353887,4589.122751844116,204,15.0,104.30989693850279,4588.77317304723,0.34957879688590765,block1:zero_tool,gated_rule_c,mixed,1785169414.9433522,1785169414.9437022,1785169415.048021,1785169419.5324843,,,
block1-000035,119.63816406205297,1935.2333360584453,75,10.0,119.21113100834191,1934.8063030047342,0.4270330537110567,block1:s1,gated_rule_c,mixed,1785169415.0856304,1785169415.086058,1785169415.2052777,1785169417.020873,,,
block1-000036,467.28882007300854,1046.7585300793871,36,105.0,466.80838300380856,1046.2780930101871,0.4804370691999793,block1:s1,gated_rule_c,mixed,1785169415.1587129,1785169415.1591935,1785169415.6260087,1785169416.2054784,,,
block1-000037,370.1101285405457,948.727905517444,34,170.0,369.75949397310615,948.3772709500045,0.3506345674395561,block1:s1,gated_rule_c,mixed,1785169415.2757444,1785169415.2760952,1785169415.6458614,1785169416.2244792,,,
block1-000038,426.1189125245437,1054.645923548378,43,12.5,425.3332290099934,1053.8602400338277,0.7856835145503283,block1:s1,gated_rule_c,mixed,1785169415.4569552,1785169415.4577413,1785169415.8830833,1785169416.5116105,,,
