request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,533.2040644716471,1205.9979875339195,43,20.0,530.9125588973984,1203.7064819596708,2.291505574248731,block1:s1,policy_fcfs,mixed,1785171042.1554384,1785171042.1577315,1785171042.6886647,1785171043.361458,,,
block1-000001,330.2986581111327,3875.8828201098368,171,25.0,327.4438629159704,3873.0280249146745,2.8547951951622963,block1:zero_tool,policy_fcfs,mixed,1785171042.1559885,1785171042.158843,1785171042.4862916,1785171046.0318756,,,
block1-000002,324.5542941149324,880.785925197415,36,572.5,323.18663294427097,879.4182640267536,1.3676611706614494,block1:s1,policy_fcfs,mixed,1785171042.3829672,1785171042.3843367,1785171042.7075486,1785171043.2637806,,,
block1-000003,131.02246110793203,8166.938095120713,397,25.0,130.27900201268494,8166.194636025466,0.7434590952470899,block1:zero_tool,policy_fcfs,mixed,1785171042.7171996,1785171042.7179444,1785171042.8482647,1785171050.88418,,,
block1-000004,124.10655291751027,3136.9613559218124,149,177.5,123.88766999356449,3136.7424729978666,0.21888292394578457,block1:zero_tool,policy_fcfs,mixed,1785171042.7847147,1785171042.7849343,1785171042.9088364,1785171045.9216907,,,
block1-000005,143.02740874700248,1487.8213577903807,67,15.0,142.7684579975903,1487.5624070409685,0.258950749412179,block1:s1,policy_fcfs,mixed,1785171042.7912557,1785171042.7915149,1785171042.9342911,1785171044.2790859,,,
block1-000006,73.90882656909525,4199.146732571535,204,85.0,72.92654796037823,4198.164453962818,0.9822786087170243,block1:zero_tool,policy_fcfs,mixed,1785171043.0377326,1785171043.0387156,1785171043.1116536,1785171047.2368917,,,
block1-000007,66.63235754240304,3401.9895375240594,163,287.5,65.89071592316031,3401.2478959048167,0.7416416192427278,block1:zero_tool,policy_fcfs,mixed,1785171043.0454206,1785171043.0461626,1785171043.1120627,1785171046.4474204,,,
block1-000008,69.79691865853965,4005.7983726728708,192,412.5,68.90197400934994,4004.903428023681,0.8949446491897106,block1:zero_tool,policy_fcfs,mixed,1785171043.6849806,1785171043.685876,1785171043.7547867,1785171047.6907876,,,
block1-000009,377.9472002061084,966.122969170101,44,145.0,377.86633998621255,966.0421089502051,0.08086021989583969,block1:s2,policy_fcfs,mixed,1785171043.7547598,1785171043.7548406,1785171044.132717,1785171044.7208927,,,
block1-000010,85.01016697846353,3406.1032759491354,164,117.5,84.83785402495414,3405.930962995626,0.17231295350939035,block1:zero_tool,policy_fcfs,mixed,1785171043.7947192,1785171043.7948925,1785171043.8797424,1785171047.2008352,,,
block1-000011,325.9117874549702,903.4298134502023,43,287.5,325.2505629789084,902.7685889741406,0.6612244760617614,block1:s2,policy_fcfs,mixed,1785171044.067731,1785171044.0683932,1785171044.3936763,1785171044.9711938,,,
block1-000012,73.60735558904707,3223.0959496228024,156,15.0,72.81175092794001,3222.3003449616954,0.7956046611070633,block1:zero_tool,policy_fcfs,mixed,1785171044.8589368,1785171044.859733,1785171044.9325545,1785171048.082043,,,
block1-000013,394.9962581973523,1010.1800821721554,44,20.0,393.97157495841384,1009.1553989332169,1.0246832389384508,block1:s2,policy_fcfs,mixed,1785171045.098364,1785171045.099389,1785171045.4933705,1785171046.108554,,,
block1-000014,312.7161491429433,809.5850121462718,36,12.5,311.8290019920096,808.697864995338,0.8871471509337425,block1:s2,policy_fcfs,mixed,1785171045.3369737,1785171045.3378618,1785171045.6497014,1785171046.1465702,,,
block1-000015,270.0160430977121,761.0063210595399,34,545.0,269.7913959855214,760.7816739473492,0.22464711219072342,block1:s2,policy_fcfs,mixed,1785171045.8945718,1785171045.894797,1785171046.164599,1785171046.6555896,,,
block1-000016,421.5594239067286,1038.4237049147487,48,155.0,420.56502192281187,1037.429302930832,0.9944019839167595,block1:s3,policy_fcfs,mixed,1785171046.2921128,1785171046.2931075,1785171046.7136827,1785171047.3305469,,,
block1-000017,77.40771630778909,3313.3924782741815,161,287.5,76.50359196122736,3312.4883539276198,0.9041243465617299,block1:zero_tool,policy_fcfs,mixed,1785171046.6989443,1785171046.6998484,1785171046.7763603,1785171050.0123448,,,
block1-000018,58.34569688886404,2657.209755969234,129,12.5,57.542133959941566,2656.4061930403113,0.8035629289224744,block1:zero_tool,policy_fcfs,mixed,1785171046.913904,1785171046.9147081,1785171046.972261,1785171049.5711248,,,
block1-000019,417.3005686607212,1050.2615356817842,48,100.0,416.2299979943782,1049.1909650154412,1.0705706663429737,block1:s3,policy_fcfs,mixed,1785171047.3654535,1785171047.3665242,1785171047.7827618,1785171048.415723,,,
block1-000020,60.50850381143391,3594.4240097887814,177,572.5,60.08696905337274,3594.0024750307202,0.4215347580611706,block1:zero_tool,policy_fcfs,mixed,1785171047.630187,1785171047.630609,1785171047.690705,1785171051.224621,,,
block1-000021,338.1559021072462,984.3093911185861,43,10.0,337.4889800325036,983.6424690438434,0.6669220747426152,block1:s3,policy_fcfs,mixed,1785171048.1142173,1785171048.1148846,1785171048.4523816,1785171049.098536,,,
block1-000022,518.0700682103634,1129.7309203073382,49,412.5,517.3803769284859,1129.0412290254608,0.6896912818774581,block1:s3,policy_fcfs,mixed,1785171048.6180754,1785171048.6187654,1785171049.1361547,1785171049.7478154,,,
block1-000023,330.01563569996506,980.1927057560533,43,15.0,329.59731004666537,979.7743801027536,0.4183256532996893,block1:s3,policy_fcfs,mixed,1785171048.7296426,1785171048.7300618,1785171049.0596702,1785171049.7098472,,,
block1-000024,87.52033370546997,3935.0865457672626,173,10.0,86.7503029294312,3934.316514991224,0.7700307760387659,block1:zero_tool,policy_fcfs,mixed,1785171048.9255073,1785171048.9262779,1785171049.0130372,1785171052.8606029,,,
block1-000025,410.64925002865493,1053.7027219543234,48,152.5,409.55923998262733,1052.6127119082958,1.0900100460276008,block1:s4,policy_fcfs,mixed,1785171049.1605694,1785171049.1616595,1785171049.5712273,1785171050.2142816,,,
block1-000026,74.33928560931236,4374.987018643878,190,132.5,73.70697392616421,4374.35470696073,0.6323116831481457,block1:zero_tool,policy_fcfs,mixed,1785171049.5394762,1785171049.5401094,1785171049.6138287,1785171053.9144773,,,
block1-000027,400.1121959881857,996.1047220276669,48,320.0,399.8794970102608,995.872023049742,0.23269897792488337,block1:s4,policy_fcfs,mixed,1785171049.9254348,1785171049.9256682,1785171050.32556,1785171050.9215527,,,
block1-000028,514.3021529074758,1447.5148799829185,48,17.5,513.217112980783,1446.4298400562257,1.0850399266928434,block1:s4,policy_fcfs,mixed,1785171051.0961237,1785171051.097209,1785171051.6104364,1785171052.543649,,,
block1-000029,474.85211433377117,1412.250713328831,48,322.5,473.9224440418184,1411.321043036878,0.9296702919527888,block1:s4,policy_fcfs,mixed,1785171051.172194,1785171051.1731243,1785171051.647055,1785171052.5844538,,,
block1-000030,436.9761854177341,1437.1532624354586,48,95.0,436.80279492400587,1436.9798719417304,0.17339049372822046,block1:s4,policy_fcfs,mixed,1785171051.2677598,1785171051.2679334,1785171051.704745,1785171052.7049224,,,
block1-000031,489.7602521814406,1404.0847232099622,48,132.5,489.1756640281528,1403.5001350566745,0.5845881532877684,block1:s4,policy_fcfs,mixed,1785171051.4563723,1785171051.4569569,1785171051.9461417,1785171052.8604665,,,
block1-000032,487.409059307538,1259.7794332541525,43,280.0,487.15503397397697,1259.5254079205915,0.2540253335610032,block1:s1,policy_fcfs,mixed,1785171051.682409,1785171051.6826632,1785171052.1698284,1785171052.942198,,,
block1-000033,119.14615763816983,1848.1502677313983,71,10.0,118.69188491255045,1847.695995005779,0.4542727256193757,block1:s1,policy_fcfs,mixed,1785171051.7668538,1785171051.767309,1785171051.8860145,1785171053.615018,,,
block1-000034,93.12009788118303,4587.135564885102,204,15.0,92.61281508952379,4586.628282093443,0.507282791659236,block1:zero_tool,policy_fcfs,mixed,1785171051.814556,1785171051.8150637,1785171051.9076872,1785171056.401703,,,
block1-000035,127.90622003376484,1939.3681189976633,75,10.0,127.47925601433963,1938.941154978238,0.42696401942521334,block1:s1,policy_fcfs,mixed,1785171051.956834,1785171051.9572613,1785171052.0847487,1785171053.8962111,,,
block1-000036,474.69284816179425,1057.9197951592505,36,105.0,474.06927798874676,1057.296224986203,0.623570173047483,block1:s1,policy_fcfs,mixed,1785171052.0299165,1785171052.0305402,1785171052.5046206,1785171053.0878482,,,
