request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,620.0775064062327,1255.0436614546925,43,20.0,619.1316179465503,1254.09777299501,0.9458884596824646,block1:s1,policy_fcfs,mixed,1785172838.4275753,1785172838.4285223,1785172839.0476713,1785172839.6826375,,,
block1-000001,323.26072617433965,4128.122343099676,174,25.0,321.65521604474634,4126.516832970083,1.6055101295933127,block1:zero_tool,policy_fcfs,mixed,1785172838.4279158,1785172838.4295213,1785172838.751181,1785172842.556043,,,
block1-000002,484.44786109030247,999.6174550615251,36,572.5,483.2752069924027,998.4448009636253,1.1726540978997946,block1:s1,policy_fcfs,mixed,1785172838.568359,1785172838.5695343,1785172839.0528383,1785172839.5680082,,,
block1-000003,99.02936965227127,7884.077738621272,333,25.0,98.75847003422678,7883.806839003228,0.2708996180444956,block1:zero_tool,policy_fcfs,mixed,1785172838.775165,1785172838.7754366,1785172838.8742104,1785172846.6592586,,,
block1-000004,108.73425449244678,3290.563115500845,149,177.5,107.22630203235894,3289.055163040757,1.5079524600878358,block1:zero_tool,policy_fcfs,mixed,1785172838.81694,1785172838.8184483,1785172838.9256847,1785172842.1075144,,,
block1-000005,151.18072973564267,1571.476046810858,67,15.0,150.5739379208535,1570.8692549960688,0.606791814789176,block1:s1,policy_fcfs,mixed,1785172838.8209875,1785172838.8215947,1785172838.9721782,1785172840.392474,,,
block1-000006,79.2764489306137,4641.102862893604,210,85.0,78.44527601264417,4640.271689975634,0.8311729179695249,block1:zero_tool,policy_fcfs,mixed,1785172838.973495,1785172838.9743264,1785172839.0527854,1785172843.6146116,,,
block1-000007,74.28648404311389,6899.5680620428175,291,287.5,73.62948905210942,6898.911067051813,0.656994991004467,block1:zero_tool,policy_fcfs,mixed,1785172838.978252,1785172838.9789093,1785172839.0525477,1785172845.87783,,,
block1-000008,62.467477400787175,3810.5878754286095,170,412.5,61.8351650191471,3809.9555630469695,0.6323123816400766,block1:zero_tool,policy_fcfs,mixed,1785172839.3739798,1785172839.3746142,1785172839.4364643,1785172843.1845837,,,
block1-000009,433.4461158141494,1103.851846884936,44,145.0,432.357698911801,1102.7634299825877,1.0884169023483992,block1:s2,policy_fcfs,mixed,1785172839.4171555,1785172839.4182453,1785172839.850619,1785172840.5210245,,,
block1-000010,104.650306282565,3502.436104346998,155,117.5,103.90636196825653,3501.6921600326896,0.7439443143084645,block1:zero_tool,policy_fcfs,mixed,1785172839.4418805,1785172839.4426248,1785172839.5465422,1785172842.9443278,,,
block1-000011,338.2172549609095,1008.2987359492108,43,287.5,338.003693963401,1008.0851749517024,0.21356099750846624,block1:s2,policy_fcfs,mixed,1785172839.6108065,1785172839.6110203,1785172839.9490342,1785172840.6191154,,,
block1-000012,64.62062220089138,3495.7735962234437,156,15.0,62.877921969629824,3494.030895992182,1.7427002312615514,block1:zero_tool,policy_fcfs,mixed,1785172840.1003652,1785172840.102109,1785172840.1649978,1785172843.5961506,,,
block1-000013,426.8531115958467,1087.0331045007333,44,20.0,425.89765100274235,1086.077643907629,0.9554605931043625,block1:s2,policy_fcfs,mixed,1785172840.2485108,1785172840.2494671,1785172840.675376,1785172841.335556,,,
block1-000014,105.99629196804017,1523.4499899670482,67,12.5,105.41634995024651,1522.8700479492545,0.5799420177936554,block1:s2,policy_fcfs,mixed,1785172840.3961506,1785172840.3967307,1785172840.5021548,1785172841.9196084,,,
block1-000015,282.6625717571005,796.3169697904959,34,545.0,282.2049850365147,795.8593830699101,0.45758672058582306,block1:s2,policy_fcfs,mixed,1785172840.7411642,1785172840.7416222,1785172841.0238369,1785172841.5374916,,,
block1-000016,444.5645061787218,1100.379303097725,48,155.0,443.7810560921207,1099.5958530111238,0.7834500866010785,block1:s3,policy_fcfs,mixed,1785172840.9871428,1785172840.987927,1785172841.431722,1785172842.0875366,,,
block1-000017,56.12257367465645,3887.3021967010573,160,287.5,55.16391294077039,3886.343535967171,0.9586607338860631,block1:zero_tool,policy_fcfs,mixed,1785172841.2388697,1785172841.2398295,1785172841.2950046,1785172845.126184,,,
block1-000018,64.23907110001892,2908.878015121445,128,12.5,62.302618054673076,2906.941562076099,1.9364530453458428,block1:zero_tool,policy_fcfs,mixed,1785172841.371876,1785172841.3738146,1785172841.4361327,1785172844.2807715,,,
block1-000019,436.42003438435495,1200.9494653902948,48,100.0,435.8232259983197,1200.3526570042595,0.5968083860352635,block1:s3,policy_fcfs,mixed,1785172841.6512723,1785172841.6518703,1785172842.0877042,1785172842.8522332,,,
block1-000020,74.60804865695536,3709.1002196539193,147,572.5,73.6799529986456,3708.1721239956096,0.9280956583097577,block1:zero_tool,policy_fcfs,mixed,1785172841.815076,1785172841.8160052,1785172841.889695,1785172845.5241861,,,
block1-000021,364.89852622617036,1069.8640493210405,43,10.0,364.4769649254158,1069.442488020286,0.4215613007545471,block1:s3,policy_fcfs,mixed,1785172842.11457,1785172842.1149917,1785172842.4794776,1785172843.1844425,,,
block1-000022,555.4105876944959,1188.1474136607721,49,412.5,554.7079070238397,1187.4447329901159,0.7026806706562638,block1:s3,policy_fcfs,mixed,1785172842.4263322,1785172842.4270358,1785172842.9817557,1785172843.614492,,,
block1-000023,357.27352707181126,1042.4099421361461,43,15.0,356.9631800055504,1042.0995950698853,0.31034706626087427,block1:s3,policy_fcfs,mixed,1785172842.4953644,1785172842.4956763,1785172842.85265,1785172843.5377874,,,
block1-000024,71.60687551368028,4424.646506551653,176,10.0,71.19869301095605,4424.238324048929,0.4081825027242303,block1:zero_tool,policy_fcfs,mixed,1785172842.6165557,1785172842.6169653,1785172842.688179,1785172847.0412185,,,
block1-000025,422.0773605629802,1082.8480964992195,48,152.5,421.67490802239627,1082.4456439586356,0.40245254058390856,block1:s4,policy_fcfs,mixed,1785172842.7620003,1785172842.762403,1785172843.184088,1785172843.844859,,,
block1-000026,67.92396353557706,4715.040158596821,189,132.5,67.13723891880363,4714.253433980048,0.7867246167734265,block1:zero_tool,policy_fcfs,mixed,1785172842.9964488,1785172842.9972363,1785172843.0643857,1785172847.7115011,,,
block1-000027,416.4328078040853,1253.9541657315567,48,320.0,415.93329899478704,1253.4546569222584,0.4995088092982769,block1:s4,policy_fcfs,mixed,1785172843.235261,1785172843.2357612,1785172843.651704,1785172844.4892256,,,
block1-000028,722.8148475987837,1643.7352756038308,48,17.5,721.9290219945833,1642.8494499996305,0.8858256042003632,block1:s4,policy_fcfs,mixed,1785172843.9596245,1785172843.9605117,1785172844.6824555,1785172845.6033762,,,
block1-000029,718.0717579321936,1654.8557890346274,48,322.5,717.5404349109158,1654.3244660133496,0.5313230212777853,block1:s4,policy_fcfs,mixed,1785172844.0066931,1785172844.0072246,1785172844.7247734,1785172845.6615572,,,
block1-000030,690.235577058047,1643.382010050118,48,95.0,689.1720639541745,1642.3184969462454,1.0635131038725376,block1:s4,policy_fcfs,mixed,1785172844.0658243,1785172844.066888,1785172844.7560685,1785172845.7092142,,,
block1-000031,693.975273752585,1587.3785946751013,48,132.5,693.8053470803425,1587.2086680028588,0.16992667224258184,block1:s4,policy_fcfs,mixed,1785172844.1825283,1785172844.182699,1785172844.876516,1785172845.7699182,,,
block1-000032,573.3910980634391,1426.825467031449,43,280.0,572.5319529883564,1425.9663219563663,0.8591450750827789,block1:s1,policy_fcfs,mixed,1785172844.3223886,1785172844.3232489,1785172844.8957913,1785172845.7492256,,,
block1-000033,143.41702463570982,2027.9374356614426,71,10.0,142.03637093305588,2026.5567819587886,1.3806537026539445,block1:s1,policy_fcfs,mixed,1785172844.3746388,1785172844.3760207,1785172844.5180686,1785172846.4025898,,,
block1-000034,113.82007645443082,4892.084795515984,192,15.0,113.05016500409693,4891.31488406565,0.7699114503338933,block1:zero_tool,policy_fcfs,mixed,1785172844.4041545,1785172844.4049246,1785172844.5179865,1785172849.2962503,,,
block1-000035,190.31693821307272,2049.5617241831496,75,10.0,189.80320100672543,2049.0479869768023,0.5137372063472867,block1:s1,policy_fcfs,mixed,1785172844.4921892,1785172844.4927032,1785172844.6825151,1785172846.5417602,,,
block1-000036,521.1688942508772,1191.8193972669542,36,105.0,520.3686150489375,1191.0191180650145,0.800279201939702,block1:s1,policy_fcfs,mixed,1785172844.5374088,1785172844.5382092,1785172845.0585902,1785172845.7292407,,,
block1-000037,427.06892429850996,1099.053776357323,34,170.0,426.32750899065286,1098.3123610494658,0.7414153078570962,block1:s1,policy_fcfs,mixed,1785172844.6098223,1785172844.610565,1785172845.036905,1785172845.70889,,,
block1-000038,516.9047031085938,1290.307472110726,43,12.5,516.1599180428311,1289.5626870449632,0.7447850657626987,block1:s1,policy_fcfs,mixed,1785172844.7219462,1785172844.7226913,1785172845.2388742,1785172846.012276,,,
block1-000039,155.89470928534865,1768.7307322630659,68,145.0,155.09414894040674,1767.930171918124,0.8005603449419141,block1:s1,policy_fcfs,mixed,1785172844.8603942,1785172844.8611958,1785172845.016301,1785172846.6291363,,,
block1-000040,70.76377340126783,9360.952114337124,386,10.0,70.35933807492256,9360.547679010779,0.4044353263452649,block1:zero_tool,policy_fcfs,mixed,1785172845.0324008,1785172845.0328054,1785172845.1031764,1785172854.3933651,,,
block1-000041,413.2803245447576,1026.9202725030482,36,17.5,412.617999012582,1026.2579469708726,0.6623255321756005,block1:s2,policy_fcfs,mixed,1785172845.1106853,1785172845.111348,1785172845.523975,1785172846.1376157,,,
block1-000042,100.8212260203436,1586.084077018313,64,145.0,99.81537400744855,1585.078225005418,1.0058520128950477,block1:s2,policy_fcfs,mixed,1785172845.3616526,1785172845.36266,1785172845.462489,1785172846.9477513,,,
block1-000043,420.6302957609296,1113.3115637348965,45,17.5,419.57675805315375,1112.2580260271206,1.0535377077758312,block1:s2,policy_fcfs,mixed,1785172845.516061,1785172845.517115,1785172845.9366984,1785172846.6293793,,,
