request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,618.5159353772178,1284.297239384614,43,20.0,617.3629630357027,1283.1442670430988,1.1529723415151238,block1:s1,prompt_sjf,mixed,1785176128.149777,1785176128.1509306,1785176128.768303,1785176129.4340854,,,
block1-000001,252.1089700749144,4089.346934109926,174,25.0,250.35229104105383,4087.5902550760657,1.7566790338605642,block1:zero_tool,prompt_sjf,mixed,1785176128.1501174,1785176128.1518745,1785176128.402231,1785176132.2394693,,,
block1-000002,477.7616480132565,1143.7311109621078,42,572.5,477.33443893957883,1143.3039018884301,0.42720907367765903,block1:s1,prompt_sjf,mixed,1785176128.2905605,1785176128.29099,1785176128.7683456,1785176129.434315,,,
block1-000003,123.9954826887697,6589.367719599977,279,25.0,123.41371702495962,6588.785953936167,0.5817656638100743,block1:zero_tool,prompt_sjf,mixed,1785176128.4973667,1785176128.4979503,1785176128.6213815,1785176135.0867534,,,
block1-000004,118.67645347956568,3439.971325453371,155,177.5,117.30296304449439,3438.5978350182995,1.3734904350712895,block1:zero_tool,prompt_sjf,mixed,1785176128.5391417,1785176128.5405157,1785176128.657828,1785176131.9791224,,,
block1-000005,124.96891978662461,1545.0474488316104,67,15.0,124.63892600499094,1544.7174550499767,0.3299937816336751,block1:s1,prompt_sjf,mixed,1785176128.543189,1785176128.5435193,1785176128.668165,1785176130.088244,,,
block1-000006,72.44664779864252,4657.350678811781,211,85.0,71.44762796815485,4656.351658981293,0.9990198304876685,block1:zero_tool,prompt_sjf,mixed,1785176128.6956966,1785176128.696696,1785176128.7681572,1785176133.3530617,,,
block1-000007,67.63532792683691,6891.794211929664,291,287.5,66.59928301814944,6890.7581670209765,1.0360449086874723,block1:zero_tool,prompt_sjf,mixed,1785176128.7004535,1785176128.70149,1785176128.7680979,1785176135.5922565,,,
block1-000008,57.01508419588208,3768.08072719723,168,412.5,56.7369939526543,3767.802636954002,0.27809024322777987,block1:zero_tool,prompt_sjf,mixed,1785176129.0961814,1785176129.0964606,1785176129.1532102,1785176132.8642766,,,
block1-000009,428.10034193098545,1099.6881219325587,44,145.0,427.16663400642574,1098.754414007999,0.9337079245597124,block1:s2,prompt_sjf,mixed,1785176129.139357,1785176129.140292,1785176129.567471,1785176130.2390587,,,
block1-000010,118.58070630114526,3458.8193332310766,152,117.5,116.57572002150118,3456.8143469514325,2.004986279644072,block1:zero_tool,prompt_sjf,mixed,1785176129.164082,1785176129.1660874,1785176129.2826703,1785176132.6229086,,,
block1-000011,335.09097795467824,1002.5254269130528,43,287.5,333.3531430689618,1000.7875920273364,1.7378348857164383,block1:s2,prompt_sjf,mixed,1785176129.333008,1785176129.3347464,1785176129.6681077,1785176130.335542,,,
block1-000012,62.3902992811054,3490.62372231856,156,15.0,61.45566003397107,3489.6890830714256,0.9346392471343279,block1:zero_tool,prompt_sjf,mixed,1785176129.8225667,1785176129.8235033,1785176129.8849742,1785176133.3132074,,,
block1-000013,422.13034559972584,1082.526379614137,44,20.0,421.04721104260534,1081.4432450570166,1.083134557120502,block1:s2,prompt_sjf,mixed,1785176129.9707124,1785176129.971797,1785176130.392856,1785176131.0532525,,,
block1-000014,100.92199104838073,1510.8495940221474,67,12.5,100.46390001662076,1510.3915029903874,0.45809103175997734,block1:s2,prompt_sjf,mixed,1785176130.1183522,1785176130.1188107,1785176130.2192826,1785176131.6292098,,,
block1-000015,276.63829165976495,790.4199436306953,34,545.0,275.55633801966906,789.3379899905995,1.0819536400958896,block1:s2,prompt_sjf,mixed,1785176130.4633658,1785176130.4644492,1785176130.7400174,1785176131.2537987,,,
block1-000016,445.74728899169713,1115.6050460413098,48,155.0,445.1456980314106,1115.0034550810233,0.6015909602865577,block1:s3,prompt_sjf,mixed,1785176130.7093444,1785176130.709947,1785176131.155104,1785176131.8249607,,,
block1-000017,71.46510679740459,3905.872588744387,160,287.5,70.65906608477235,3905.066548031755,0.8060407126322389,block1:zero_tool,prompt_sjf,mixed,1785176130.9610713,1785176130.9618793,1785176131.0325594,1785176134.8669667,,,
block1-000018,61.18472490925342,2906.826101941988,128,12.5,60.60242897365242,2906.243806006387,0.582295935600996,block1:zero_tool,prompt_sjf,mixed,1785176131.0940776,1785176131.0946612,1785176131.155276,1785176134.0009184,,,
block1-000019,431.2731963582337,1197.0921544125304,48,100.0,430.32990500796586,1196.1488630622625,0.9432913502678275,block1:s3,prompt_sjf,mixed,1785176131.373474,1785176131.3744185,1785176131.8047602,1785176132.5705795,,,
block1-000020,71.15076761692762,3845.2577375574037,150,572.5,69.87365300301462,3843.9806229434907,1.2771146139129996,block1:zero_tool,prompt_sjf,mixed,1785176131.5372777,1785176131.5385559,1785176131.6084385,1785176135.3825455,,,
block1-000021,361.9779911823571,1066.0993811907247,43,10.0,361.3731829682365,1065.494572976604,0.6048082141205668,block1:s3,prompt_sjf,mixed,1785176131.8367715,1785176131.8373768,1785176132.1987607,1785176132.902882,,,
block1-000022,554.2684065876529,1184.33535262011,49,412.5,554.04473899398,1184.111685026437,0.2236675936728716,block1:s3,prompt_sjf,mixed,1785176132.1485338,1785176132.1487582,1785176132.7028155,1785176133.3328822,,,
block1-000023,353.13920595217496,1036.063960986212,43,15.0,352.73149400018156,1035.6562490342185,0.4077119519934058,block1:s3,prompt_sjf,mixed,1785176132.217566,1785176132.217974,1785176132.5707161,1785176133.2536414,,,
block1-000024,68.95259441807866,4412.485622335225,176,10.0,67.84370203968138,4411.376729956828,1.108892378397286,block1:zero_tool,prompt_sjf,mixed,1785176132.3387573,1785176132.3398669,1785176132.4077218,1785176136.751255,,,
block1-000025,418.7872326001525,1078.2749356003478,48,152.5,417.0304380822927,1076.518141082488,1.7567945178598166,block1:s4,prompt_sjf,mixed,1785176132.484202,1785176132.4859595,1785176132.9029999,1785176133.5624886,,,
block1-000026,64.87737852148712,4704.611532506533,189,132.5,64.52703196555376,4704.2611859506,0.3503465559333563,block1:zero_tool,prompt_sjf,mixed,1785176132.7186503,1785176132.7190018,1785176132.7835426,1785176137.4232762,,,
block1-000027,412.35519980546087,1238.8713768450543,48,320.0,411.81071603205055,1238.326893071644,0.5444837734103203,block1:s4,prompt_sjf,mixed,1785176132.9574625,1785176132.9580078,1785176133.369833,1785176134.1963491,,,
block1-000028,720.9352134959772,1644.5374004542828,48,17.5,719.8661640286446,1643.46835098695,1.0690494673326612,block1:s4,prompt_sjf,mixed,1785176133.681826,1785176133.6828969,1785176134.4027746,1785176135.3263788,,,
