request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,628.8295693229884,1298.8985884003341,43,20.0,628.0109129147604,1298.0799319921061,0.8186564082279801,block1:s1,pure_ltr,mixed,1785175644.3704207,1785175644.37124,1785175644.999264,1785175645.6693335,,,
block1-000001,356.71989317052066,4140.459283138625,173,25.0,355.08943209424615,4138.828822062351,1.6304610762745142,block1:zero_tool,pure_ltr,mixed,1785175644.3707612,1785175644.3723917,1785175644.727485,1785175648.5112243,,,
block1-000002,508.219555253163,1026.8518992234021,36,572.5,507.9105350887403,1026.5428790589795,0.30902016442269087,block1:s1,pure_ltr,mixed,1785175644.5112042,1785175644.5115151,1785175645.0194538,1785175645.538086,,,
block1-000003,132.7958427136764,5447.669397690333,242,25.0,131.73096999526024,5446.604524971917,1.0648727184161544,block1:zero_tool,pure_ltr,mixed,1785175644.7180104,1785175644.7190762,1785175644.8508205,1785175650.1656945,,,
block1-000004,135.03171945922077,3262.4697705032304,147,177.5,134.6441019559279,3262.0821529999375,0.3876175032928586,block1:zero_tool,pure_ltr,mixed,1785175644.7597854,1785175644.7601736,1785175644.8948338,1785175648.0222728,,,
block1-000005,136.7783477762714,1559.1879087733105,67,15.0,135.93453995417804,1558.3441009512171,0.8438078220933676,block1:s1,pure_ltr,mixed,1785175644.7638328,1785175644.7646768,1785175644.9006188,1785175646.323029,,,
block1-000006,63.68826993275434,4616.452015936375,209,85.0,63.201248995028436,4615.964994998649,0.4870209377259016,block1:zero_tool,pure_ltr,mixed,1785175644.9163404,1785175644.9168277,1785175644.9800408,1785175649.5328045,,,
block1-000007,59.052148018963635,6898.818138986826,291,287.5,58.63781203515828,6898.403803003021,0.4143359838053584,block1:zero_tool,pure_ltr,mixed,1785175644.9210973,1785175644.921512,1785175644.9801593,1785175651.8199258,,,
block1-000008,119.0195654053241,3749.182589352131,166,412.5,118.25134605169296,3748.4143699984998,0.7682193536311388,block1:zero_tool,pure_ltr,mixed,1785175645.3168252,1785175645.3175943,1785175645.435859,1785175649.0660212,,,
block1-000009,403.09162088669837,1075.7830059155822,44,145.0,402.15401293244213,1074.845397961326,0.9376079542562366,block1:s2,pure_ltr,mixed,1785175645.3600008,1785175645.3609393,1785175645.763103,1785175646.4357944,,,
block1-000010,95.02116427756846,3680.432397290133,164,117.5,93.96600199397653,3679.377235006541,1.055162283591926,block1:zero_tool,pure_ltr,mixed,1785175645.3847258,1785175645.3857815,1785175645.4797552,1785175649.0651665,,,
block1-000011,326.0709979804233,998.5931549454108,43,287.5,325.37114003207535,997.8932969970629,0.6998579483479261,block1:s2,pure_ltr,mixed,1785175645.5536518,1785175645.554352,1785175645.8797321,1785175646.5522544,,,
block1-000012,72.443314245902,3509.0424983063713,156,15.0,71.29078393336385,3507.889967993833,1.152530312538147,block1:zero_tool,pure_ltr,mixed,1785175646.0432105,1785175646.0443652,1785175646.1156707,1785175649.55227,,,
block1-000013,415.29266664292663,1076.7705156467855,44,20.0,414.6670460468158,1076.1448950506747,0.6256205961108208,block1:s2,pure_ltr,mixed,1785175646.1913562,1785175646.1919827,1785175646.6066608,1785175647.2681386,,,
block1-000014,96.6614211210981,1506.3527510501444,67,12.5,96.37210005894303,1506.0634299879894,0.2893210621550679,block1:s2,pure_ltr,mixed,1785175646.338996,1785175646.3392859,1785175646.4356697,1785175647.845361,,,
block1-000015,270.0697217369452,787.4831167282537,34,545.0,269.8111090576276,787.2245040489361,0.2586126793175936,block1:s2,pure_ltr,mixed,1785175646.6840096,1785175646.684269,1785175646.954091,1785175647.4715042,,,
block1-000016,457.40147517062724,1110.8589310897514,48,155.0,457.1501890895888,1110.607645008713,0.25128608103841543,block1:s3,pure_ltr,mixed,1785175646.9299881,1785175646.9302409,1785175647.387403,1785175648.0408602,,,
block1-000017,66.39603769872338,3956.816702731885,161,287.5,66.08936295378953,3956.510027986951,0.3066747449338436,block1:zero_tool,pure_ltr,mixed,1785175647.181715,1785175647.1820226,1785175647.2481244,1785175651.138545,,,
block1-000018,76.6307138837874,2942.0129959471524,128,12.5,74.53469291795045,2939.9169749813154,2.096020965836942,block1:zero_tool,pure_ltr,mixed,1785175647.3147213,1785175647.3168182,1785175647.3913631,1785175650.2567458,,,
block1-000019,428.28878527507186,1171.221814234741,48,100.0,427.31755797285587,1170.250586932525,0.9712273022159934,block1:s3,pure_ltr,mixed,1785175647.5941176,1785175647.59509,1785175648.022419,1785175648.7653527,,,
block1-000020,67.25907081272453,3700.109542813152,147,572.5,66.66788610164076,3699.5183581020683,0.5911847110837698,block1:zero_tool,pure_ltr,mixed,1785175647.7579215,1785175647.758514,1785175647.8251915,1785175651.4580414,,,
block1-000021,356.0614553280175,1066.5519282920286,43,10.0,355.4142590146512,1065.9047319786623,0.6471963133662939,block1:s3,pure_ltr,mixed,1785175648.0574152,1785175648.0580628,1785175648.4134858,1785175649.1239762,,,
block1-000022,567.0942147262394,1202.5906486669555,49,412.5,566.1258110776544,1201.6222450183704,0.9684036485850811,block1:s3,pure_ltr,mixed,1785175648.3691776,1785175648.3701465,1785175648.9362822,1785175649.571778,,,
block1-000023,366.00212508346885,1057.274267077446,43,15.0,365.7880930695683,1057.0602350635454,0.21403201390057802,block1:s3,pure_ltr,mixed,1785175648.4382098,1785175648.438424,1785175648.8042207,1785175649.4954927,,,
block1-000024,63.48996644373983,4298.544563353062,172,10.0,63.146400032565,4298.200996941887,0.3435664111748338,block1:zero_tool,pure_ltr,mixed,1785175648.559401,1785175648.5597453,1785175648.6229014,1785175652.857956,,,
block1-000025,436.97519460693,1097.515773610212,48,152.5,435.94604707323015,1096.486626076512,1.02914753369987,block1:s4,pure_ltr,mixed,1785175648.7048457,1785175648.7058754,1785175649.1418304,1785175649.8023713,,,
block1-000026,66.0614186199382,4699.574454687536,189,132.5,65.93270401936024,4699.445740086958,0.12871460057795048,block1:zero_tool,pure_ltr,mixed,1785175648.939294,1785175648.9394236,1785175649.0053663,1785175653.6388783,,,
block1-000027,412.33092395123094,1261.0238548368216,48,320.0,411.90726205240935,1260.600192938,0.42366189882159233,block1:s4,pure_ltr,mixed,1785175649.1781063,1785175649.1785305,1785175649.590451,1785175650.439144,,,
block1-000028,717.5949134398252,1596.2166854878888,48,17.5,717.1052609337494,1595.727032981813,0.48965250607579947,block1:s4,pure_ltr,mixed,1785175649.9024699,1785175649.9029608,1785175650.620077,1785175651.4986987,,,
block1-000029,704.1664130520076,1606.4256250392646,48,322.5,703.3048400189728,1605.5640520062298,0.8615730330348015,block1:s4,pure_ltr,mixed,1785175649.9495385,1785175649.950401,1785175650.6537166,1785175651.555975,,,
block1-000030,682.3073411360383,1641.8116370914504,48,95.0,681.572103057988,1641.0763990134,0.7352380780503154,block1:s4,pure_ltr,mixed,1785175650.0086696,1785175650.0094073,1785175650.6909933,1785175651.6504972,,,
block1-000031,685.2757367305458,1573.5412487993017,48,132.5,683.9760009897873,1572.2415130585432,1.2997357407584786,block1:s4,pure_ltr,mixed,1785175650.1253736,1785175650.1266754,1785175650.810667,1785175651.6989324,,,
block1-000032,563.8391571119428,1417.030857061036,43,280.0,561.9239410152659,1415.115640964359,1.915216096676886,block1:s1,pure_ltr,mixed,1785175650.265234,1785175650.2671497,1785175650.8290823,1785175651.6822743,,,
block1-000033,139.03757079970092,2015.0966857327148,71,10.0,137.98406103160232,2014.0431759646162,1.0535097680985928,block1:s1,pure_ltr,mixed,1785175650.3174841,1785175650.318538,1785175650.4565284,1785175652.332588,,,
block1-000034,109.02855533640832,4877.597681363113,192,15.0,108.48073696251959,4877.0498629892245,0.547818373888731,block1:zero_tool,pure_ltr,mixed,1785175650.347,1785175650.347548,1785175650.4560368,1785175655.2246065,,,
block1-000035,185.29573420528322,2035.7225282350555,75,10.0,184.59701596293598,2035.0238099927083,0.6987182423472404,block1:s1,pure_ltr,mixed,1785175650.4350345,1785175650.4357347,1785175650.6203477,1785175652.4707751,,,
block1-000036,511.3950042286888,1177.601361181587,36,105.0,510.94368705525994,1177.1500440081581,0.4513171734288335,block1:s1,pure_ltr,mixed,1785175650.4802542,1785175650.480706,1785175650.9916613,1785175651.657867,,,
block1-000037,396.6604262823239,1060.974850319326,34,170.0,396.1150199174881,1060.4294439544901,0.5454063648357987,block1:s1,pure_ltr,mixed,1785175650.5526676,1785175650.5532138,1785175650.9493406,1785175651.613655,,,
block1-000038,514.6349711576477,1274.4088240433484,43,12.5,514.0937080141157,1273.8675608998165,0.5412631435319781,block1:s1,pure_ltr,mixed,1785175650.6647916,1785175650.6653333,1785175651.1794386,1785175651.9392123,,,
block1-000039,145.62154724262655,1729.323223233223,68,145.0,144.52991995494813,1728.2315959455445,1.0916272876784205,block1:s1,pure_ltr,mixed,1785175650.8032396,1785175650.804332,1785175650.9488974,1785175652.5325985,,,
block1-000040,85.56435129139572,9340.358867309988,387,10.0,84.67337896581739,9339.46789498441,0.890972325578332,block1:zero_tool,pure_ltr,mixed,1785175650.9752462,1785175650.9761372,1785175651.0608187,1785175660.3156137,,,
block1-000041,404.3333245208487,1010.5024514487013,36,17.5,404.0038960520178,1010.1730229798704,0.3294284688308835,block1:s2,pure_ltr,mixed,1785175651.0535307,1785175651.0538623,1785175651.4578817,1785175652.0640507,,,
block1-000042,112.73956904187799,1590.0792990578339,64,145.0,111.83240497484803,1589.172134990804,0.907164067029953,block1:s2,pure_ltr,mixed,1785175651.304498,1785175651.305406,1785175651.4172528,1785175652.8945906,,,
block1-000043,419.98417559079826,1124.7196225449443,45,17.5,419.57418096717447,1124.3096279213205,0.40999462362378836,block1:s2,pure_ltr,mixed,1785175651.4589064,1785175651.4593165,1785175651.8788981,1785175652.5836332,,,
block1-000044,358.46310143824667,887.2725324472412,35,412.5,357.99615597352386,886.8055869825184,0.4669454647228122,block1:s2,pure_ltr,mixed,1785175651.4646015,1785175651.465069,1785175651.8230722,1785175652.3518817,,,
block1-000045,106.98719532229006,3426.09561025165,141,572.5,105.31841707415879,3424.426832003519,1.6687782481312752,block1:zero_tool,pure_ltr,mixed,1785175651.550595,1785175651.5522654,1785175651.6575959,1785175654.976705,,,
