request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,620.4256134806201,1284.770425525494,43,20.0,619.5282209664583,1283.8730330113322,0.8973925141617656,block1:s1,gated_rule_c,mixed,1785177793.4323835,1785177793.433282,1785177794.0528262,1785177794.7171712,,,
block1-000001,331.95606514345855,4201.762135140598,175,25.0,330.5858880048618,4200.391958002001,1.3701771385967731,block1:zero_tool,gated_rule_c,mixed,1785177793.432724,1785177793.4340942,1785177793.764684,1785177797.6344898,,,
block1-000002,484.00658008176833,1161.4817291265354,42,572.5,483.4712839219719,1160.946432966739,0.5352961597964168,block1:s1,gated_rule_c,mixed,1785177793.573167,1785177793.5737038,1785177794.0571969,1785177794.734672,,,
block1-000003,130.7959306286648,11081.329208682291,468,25.0,129.95166494511068,11080.484942998737,0.8442656835541129,block1:zero_tool,gated_rule_c,mixed,1785177793.7799733,1785177793.7808177,1785177793.9107802,1785177804.8613133,,,
block1-000004,129.99398249667138,3273.118168581277,147,177.5,129.7189339529723,3272.843120037578,0.2750485436990857,block1:zero_tool,gated_rule_c,mixed,1785177793.8217483,1785177793.822024,1785177793.9517581,1785177797.094882,,,
block1-000005,130.37559774238616,1565.281125716865,67,15.0,129.75033395923674,1564.6558619337156,0.6252637831494212,block1:s1,gated_rule_c,mixed,1785177793.8257957,1785177793.8264213,1785177793.9561808,1785177795.391086,,,
block1-000006,78.9687680080533,4641.158999060281,209,85.0,77.9191330075264,4640.109364059754,1.049635000526905,block1:zero_tool,gated_rule_c,mixed,1785177793.9783032,1785177793.9793537,1785177794.0572865,1785177798.6194763,,,
block1-000007,74.05654701869935,4808.829838060774,218,287.5,73.10905097983778,4807.882342021912,0.9474960388615727,block1:zero_tool,gated_rule_c,mixed,1785177793.9830601,1785177793.9840078,1785177794.057126,1785177798.7918987,,,
block1-000008,121.95195734966546,3751.901756389998,166,412.5,121.70344695914537,3751.653245999478,0.24851039052009583,block1:zero_tool,gated_rule_c,mixed,1785177794.378788,1785177794.3790371,1785177794.5007524,1785177798.1307018,,,
block1-000009,409.83307699207217,1078.95130594261,44,145.0,408.8775690179318,1077.9957979684696,0.955507974140346,block1:s2,gated_rule_c,mixed,1785177794.4219637,1785177794.4229205,1785177794.8318121,1785177795.5009305,,,
block1-000010,99.54686427954584,3446.0491322679445,152,117.5,98.69853500276804,3445.2008029911667,0.8483292767778039,block1:zero_tool,gated_rule_c,mixed,1785177794.4466887,1785177794.4475384,1785177794.5462494,1785177797.8927522,,,
block1-000011,332.59541005827487,1000.8405880071223,43,287.5,330.65300504677,998.8981829956174,1.9424050115048885,block1:s2,gated_rule_c,mixed,1785177794.6156147,1785177794.6175578,1785177794.9482193,1785177795.6164649,,,
block1-000012,59.75497025065124,3495.1436932897195,156,15.0,58.64155292510986,3494.030275964178,1.113417325541377,block1:zero_tool,gated_rule_c,mixed,1785177795.1051733,1785177795.106287,1785177795.1649373,1785177798.6003253,,,
block1-000013,420.6340085947886,1080.8430885663256,44,20.0,420.09818099904805,1080.307260970585,0.5358275957405567,block1:s2,gated_rule_c,mixed,1785177795.253319,1785177795.2538557,1785177795.6739655,1785177796.3341744,,,
block1-000014,100.14145111199468,1517.665412160568,67,12.5,99.7984439600259,1517.3224050085992,0.3430071519687772,block1:s2,gated_rule_c,mixed,1785177795.4009588,1785177795.401302,1785177795.50111,1785177796.9186342,,,
block1-000015,274.6203006245196,787.9606576170772,34,545.0,273.66119995713234,787.00155694969,0.9591006673872471,block1:s2,gated_rule_c,mixed,1785177795.7459724,1785177795.746932,1785177796.0206025,1785177796.533943,,,
block1-000016,442.88507499732077,1121.8471110332757,48,155.0,442.3848579172045,1121.3468939531595,0.500217080116272,block1:s3,gated_rule_c,mixed,1785177795.991951,1785177795.9924517,1785177796.4348443,1785177797.1138062,,,
block1-000017,70.06094185635448,3900.86078888271,160,287.5,69.7368870023638,3900.5367340287194,0.324054853990674,block1:zero_tool,gated_rule_c,mixed,1785177796.2436779,1785177796.2440028,1785177796.313751,1785177800.1445508,,,
block1-000018,58.11103212181479,2912.2771880356595,128,12.5,57.78382101561874,2911.9499769294634,0.3272111061960459,block1:zero_tool,gated_rule_c,mixed,1785177796.3766842,1785177796.3770115,1785177796.434804,1785177799.28897,,,
block1-000019,438.8812844408676,1200.1921384362504,48,100.0,438.34168603643775,1199.6525400318205,0.539598404429853,block1:s3,gated_rule_c,mixed,1785177796.6560805,1785177796.6566203,1785177797.0949702,1785177797.856281,,,
