request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,626.9237553933635,1292.2482274007052,43,20.0,626.6191810136661,1291.9436530210078,0.30457437969744205,block1:s1,pure_ltr,mixed,1785178767.1130278,1785178767.113333,1785178767.7399662,1785178768.4052916,,,
block1-000001,246.01053004153073,4099.491553031839,174,25.0,244.5765360025689,4098.057558992878,1.4339940389618278,block1:zero_tool,pure_ltr,mixed,1785178767.1133683,1785178767.1148024,1785178767.3593884,1785178771.212869,,,
block1-000002,486.0660801641643,1004.1337691945955,36,572.5,484.82150805648416,1002.8891970869154,1.244572107680142,block1:s1,pure_ltr,mixed,1785178767.2538114,1785178767.2550578,1785178767.7399085,1785178768.2579765,,,
block1-000003,99.54545367509127,7886.3274896284565,333,25.0,98.64808700513095,7885.430122958496,0.89736666996032,block1:zero_tool,pure_ltr,mixed,1785178767.4606175,1785178767.4615157,1785178767.560179,1785178775.3469603,,,
block1-000004,108.47401130013168,3301.1560373706743,149,177.5,107.89435391779989,3300.5763799883425,0.5796573823317885,block1:zero_tool,pure_ltr,mixed,1785178767.5023925,1785178767.5029724,1785178767.6108763,1785178770.803559,,,
block1-000005,153.76796782948077,1572.69109680783,67,15.0,153.09399308171123,1572.0171220600605,0.6739747477695346,block1:s1,pure_ltr,mixed,1785178767.50644,1785178767.507114,1785178767.6602166,1785178769.0791404,,,
block1-000006,61.72582588624209,4613.094178843312,209,85.0,61.539820046164095,4612.908173003234,0.18600584007799625,block1:zero_tool,pure_ltr,mixed,1785178767.6589475,1785178767.6591344,1785178767.7206888,1785178772.272057,,,
block1-000007,57.08768393378705,6898.447225918062,291,287.5,56.827506981790066,6898.187048966065,0.2601769519969821,block1:zero_tool,pure_ltr,mixed,1785178767.6637044,1785178767.663965,1785178767.7208004,1785178774.562161,,,
block1-000008,112.21276631113142,3744.7515153326094,166,412.5,111.30806198343635,3743.8468110049143,0.9047043276950717,block1:zero_tool,pure_ltr,mixed,1785178768.0594323,1785178768.060338,1785178768.171659,1785178771.8041975,,,
block1-000009,399.91978788748384,1068.4610978933051,44,145.0,398.92049494665116,1067.4618049524724,0.9992929408326745,block1:s2,pure_ltr,mixed,1785178768.102608,1785178768.103608,1785178768.5025373,1785178769.1710782,,,
block1-000010,89.7823452251032,3676.6006072284654,164,117.5,87.65160699840635,3674.4698690017685,2.130738226696849,block1:zero_tool,pure_ltr,mixed,1785178768.127333,1785178768.1294644,1785178768.2171266,1785178771.8039453,,,
