request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,647.0393814379349,1303.286481415853,43,20.0,646.7528360662982,1302.9999360442162,0.2865453716367483,block1:s1,policy_fcfs,mixed,1785172139.1317437,1785172139.1320314,1785172139.7788014,1785172140.435049,,,
block1-000001,330.9037460712716,4216.157856979407,175,25.0,329.9068750347942,4215.16098594293,0.996871036477387,block1:zero_tool,policy_fcfs,mixed,1785172139.1320841,1785172139.1330807,1785172139.4629924,1785172143.3482459,,,
block1-000002,509.894656133838,1033.1294940551743,36,572.5,509.16419201530516,1032.3990299366415,0.7304641185328364,block1:s1,policy_fcfs,mixed,1785172139.2725272,1785172139.2732584,1785172139.7824376,1785172140.3056724,,,
block1-000003,129.3273667106405,5432.647440698929,241,25.0,128.94147401675582,5432.2615480050445,0.38589269388467073,block1:zero_tool,policy_fcfs,mixed,1785172139.4793334,1785172139.4797206,1785172139.6086755,1785172144.9119956,,,
block1-000004,127.33498343732208,3329.4877693988383,149,177.5,126.44603499211371,3328.59882095363,0.8889484452083707,block1:zero_tool,policy_fcfs,mixed,1785172139.5211084,1785172139.5219986,1785172139.6484556,1785172142.8506086,,,
block1-000005,130.1130907377228,1587.7326637273654,67,15.0,129.0833839448169,1586.7029569344595,1.0297067929059267,block1:s1,policy_fcfs,mixed,1785172139.5251558,1785172139.5261855,1785172139.6552737,1785172141.1128933,,,
block1-000006,100.88260506745428,4083.6155470460653,182,85.0,100.42904608417302,4083.161988062784,0.45355898328125477,block1:zero_tool,policy_fcfs,mixed,1785172139.6776633,1785172139.678117,1785172139.7785552,1785172143.761288,,,
block1-000007,99.82981393113732,3665.6467439606786,163,287.5,99.2223359644413,3665.0392659939826,0.6074779666960239,block1:zero_tool,policy_fcfs,mixed,1785172139.6824203,1785172139.6830277,1785172139.782257,1785172143.3480735,,,
block1-000008,126.57456228043884,3682.711293338798,162,412.5,124.87438798416406,3681.011119042523,1.7001742962747812,block1:zero_tool,policy_fcfs,mixed,1785172140.0781481,1785172140.079849,1785172140.2047346,1785172143.7608716,,,
block1-000009,409.7760799340904,1081.8742018891498,44,145.0,407.7194150304422,1079.8175369855016,2.0566649036481977,block1:s2,policy_fcfs,mixed,1785172140.1213238,1785172140.1233811,1785172140.5311096,1785172141.2032082,,,
block1-000010,100.84990120958537,3679.972256300971,164,117.5,100.55036493577063,3679.672720027156,0.2995362738147378,block1:zero_tool,policy_fcfs,mixed,1785172140.1460488,1785172140.1463487,1785172140.2469063,1785172143.826029,,,
block1-000011,332.8168820589781,1004.3965190416202,43,287.5,331.7813801113516,1003.3610170939937,1.0355019476264715,block1:s2,policy_fcfs,mixed,1785172140.3149748,1785172140.3160117,1785172140.6478078,1785172141.3193877,,,
block1-000012,59.18011232279241,3483.0248382641003,156,15.0,58.5613549919799,3482.4060809332877,0.6187573308125138,block1:zero_tool,policy_fcfs,mixed,1785172140.8045335,1785172140.8051524,1785172140.863721,1785172144.2875662,,,
block1-000013,422.97324258834124,1084.4677005661651,44,20.0,422.5580260390416,1084.0524840168655,0.41521654929965734,block1:s2,policy_fcfs,mixed,1785172140.9526792,1785172140.953095,1785172141.3756623,1785172142.0371566,,,
block1-000014,103.02788706030697,1512.4452250311151,67,12.5,101.97564400732517,1511.3929819781333,1.0522430529817939,block1:s2,policy_fcfs,mixed,1785172141.100319,1785172141.1013722,1785172141.2033615,1785172142.612779,,,
block1-000015,277.8339667711407,792.4429957056418,34,545.0,277.56534109357744,792.1743700280786,0.26862567756325006,block1:s2,policy_fcfs,mixed,1785172141.4453325,1785172141.4456017,1785172141.7231772,1785172142.237786,,,
block1-000016,442.92794703505933,1098.2442060485482,48,155.0,442.61225301306695,1097.9285120265558,0.3156940219923854,block1:s3,policy_fcfs,mixed,1785172141.6913111,1785172141.691628,1785172142.134252,1785172142.789568,,,
block1-000017,74.21408675145358,3652.430947753601,152,287.5,73.36713594850153,3651.5839969506487,0.8469508029520512,block1:zero_tool,policy_fcfs,mixed,1785172141.943038,1785172141.9438858,1785172142.0172617,1785172145.595478,,,
block1-000018,60.925152036361396,2895.5618360778317,128,12.5,60.68931904155761,2895.326003083028,0.23583299480378628,block1:zero_tool,policy_fcfs,mixed,1785172142.0760443,1785172142.0762808,1785172142.1369789,1785172144.9716165,,,
block1-000019,414.0010924311355,1157.712186453864,48,100.0,412.9153840476647,1156.6264780703932,1.0857083834707737,block1:s3,policy_fcfs,mixed,1785172142.3554406,1785172142.3565266,1785172142.76945,1785172143.5131614,,,
