request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,636.6050954675302,1307.7760884771124,43,20.0,635.7487550703809,1306.919748079963,0.8563403971493244,block1:s1,policy_fcfs,mixed,1785172599.5692573,1785172599.570114,1785172600.2058675,1785172600.8770385,,,
block1-000001,272.3231241106987,4088.6888321256265,173,25.0,271.18692407384515,4087.552632088773,1.1362000368535519,block1:zero_tool,policy_fcfs,mixed,1785172599.5695977,1785172599.570734,1785172599.8419254,1785172603.6582904,,,
block1-000002,495.76483911368996,1020.2835751697421,36,572.5,495.0216219294816,1019.5403579855338,0.7432171842083335,block1:s1,policy_fcfs,mixed,1785172599.7100408,1785172599.7107859,1785172600.2058275,1785172600.7303467,,,
block1-000003,123.77732573077083,5413.437382667325,242,25.0,123.40853607747704,5413.068593014032,0.36878965329378843,block1:zero_tool,policy_fcfs,mixed,1785172599.916847,1785172599.9172175,1785172600.040645,1785172605.330305,,,
block1-000004,122.42027546744794,3252.1617964375764,147,177.5,121.09559401869774,3250.837114988826,1.3246814487501979,block1:zero_tool,policy_fcfs,mixed,1785172599.958622,1785172599.9599476,1785172600.0810785,1785172603.2108212,,,
block1-000005,125.64647174440324,1552.2164347348735,67,15.0,124.8628149041906,1551.4327778946608,0.7836568402126431,block1:s1,policy_fcfs,mixed,1785172599.9626694,1785172599.9634533,1785172600.088324,1785172601.514895,,,
block1-000006,71.85179088264704,4642.3876689514145,210,85.0,70.89950796216726,4641.435386030935,0.9522829204797745,block1:zero_tool,policy_fcfs,mixed,1785172600.115177,1785172600.1161296,1785172600.1870399,1785172604.7575758,,,
block1-000007,67.04682996496558,6693.897088989615,291,287.5,66.49333098903298,6693.343590013683,0.5534989759325981,block1:zero_tool,policy_fcfs,mixed,1785172600.1199338,1785172600.1204877,1785172600.186989,1785172606.8138397,,,
block1-000008,130.5853093508631,3833.991033374332,170,412.5,129.6609080163762,3833.066632039845,0.9244013344869018,block1:zero_tool,policy_fcfs,mixed,1785172600.5156617,1785172600.5165873,1785172600.6462593,1785172604.3496656,,,
block1-000009,416.88585095107555,1085.8307419111952,44,145.0,416.76748101599514,1085.7123719761148,0.11836993508040905,block1:s2,policy_fcfs,mixed,1785172600.5588374,1785172600.5589564,1785172600.9757304,1785172601.644675,,,
block1-000010,105.5969912558794,3685.4365703184158,164,117.5,103.53704798035324,3683.3766270428896,2.059943275526166,block1:zero_tool,policy_fcfs,mixed,1785172600.5835624,1785172600.5856225,1785172600.689164,1785172604.269004,,,
block1-000011,339.9573960341513,1008.2005519652739,43,287.5,338.91736704390496,1007.1605229750276,1.0400289902463555,block1:s2,policy_fcfs,mixed,1785172600.7524884,1785172600.7535288,1785172601.0924528,1785172601.7606964,,,
block1-000012,65.07668341509998,3495.400307350792,156,15.0,64.81140409596264,3495.1350280316547,0.2652793191373348,block1:zero_tool,policy_fcfs,mixed,1785172601.242047,1785172601.2423131,1785172601.3071375,1785172604.737461,,,
block1-000013,427.3196265567094,1088.9904545620084,44,20.0,426.8530629342422,1088.5238909395412,0.46656362246721983,block1:s2,policy_fcfs,mixed,1785172601.3901927,1785172601.3906603,1785172601.8175232,1785172602.479195,,,
block1-000014,106.36488115414977,1515.3647101251408,67,12.5,106.0876080300659,1515.087437001057,0.2772731240838766,block1:s2,policy_fcfs,mixed,1785172601.5378325,1785172601.538111,1785172601.6442113,1785172603.053211,,,
block1-000015,284.1634637443349,795.0535947456956,34,545.0,283.2335230195895,794.1236540209502,0.9299407247453928,block1:s2,policy_fcfs,mixed,1785172601.882846,1785172601.8837771,1785172602.167021,1785172602.677911,,,
block1-000016,444.41354705486447,1102.6104910997674,48,155.0,443.82641394622624,1102.0233579911292,0.587133108638227,block1:s3,policy_fcfs,mixed,1785172602.1288247,1785172602.129413,1785172602.5732527,1785172603.2314494,,,
block1-000017,56.70428869780153,3901.078548748046,161,287.5,55.82889192737639,3900.203151977621,0.8753967704251409,block1:zero_tool,policy_fcfs,mixed,1785172602.3805516,1785172602.3814287,1785172602.4372694,1785172606.281643,,,
block1-000018,64.51684702187777,2911.4007169846445,128,12.5,63.789412030018866,2910.6732819927856,0.7274349918588996,block1:zero_tool,policy_fcfs,mixed,1785172602.513558,1785172602.5142863,1785172602.5780864,1785172605.4249701,,,
block1-000019,418.03084034472704,1161.3938433583826,48,100.0,417.51871502492577,1160.8817180385813,0.512125319801271,block1:s3,policy_fcfs,mixed,1785172602.7929542,1785172602.7934673,1785172603.210998,1785172603.9543614,,,
block1-000020,76.57927367836237,3604.652863694355,147,572.5,75.06710605230182,3603.1406960682943,1.5121676260605454,block1:zero_tool,policy_fcfs,mixed,1785172602.956758,1785172602.9582713,1785172603.0333505,1785172606.561423,,,
block1-000021,363.62252617254853,1071.4361312566325,43,10.0,361.69832292944193,1069.511928013526,1.9242032431066036,block1:s3,policy_fcfs,mixed,1785172603.2562518,1785172603.2581763,1785172603.619884,1785172604.3276968,,,
block1-000022,556.5043286187574,1189.3893466331065,49,412.5,556.1591249424964,1189.0441429568455,0.3452036762610078,block1:s3,policy_fcfs,mixed,1785172603.5680141,1785172603.5683606,1785172604.124531,1785172604.7574162,,,
block1-000023,355.20364611875266,1041.8672531377524,43,15.0,353.13254804350436,1039.796155062504,2.071098075248301,block1:s3,policy_fcfs,mixed,1785172603.6370463,1785172603.6391177,1785172603.9922605,1785172604.678924,,,
block1-000024,71.9487244496122,3750.8779424242675,162,10.0,71.4879030128941,3750.4171209875494,0.46082143671810627,block1:zero_tool,policy_fcfs,mixed,1785172603.7582376,1785172603.7587,1785172603.8302004,1785172607.5091298,,,
block1-000025,423.6008075531572,1083.8208565255627,48,152.5,423.07522299233824,1083.2952719647437,0.5255845608189702,block1:s4,policy_fcfs,mixed,1785172603.9036822,1785172603.904209,1785172604.3272958,1785172604.9875162,,,
