request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,757.4787264456972,1930.213779443875,43,20.0,756.9938859669492,1929.7289389651269,0.4848404787480831,block1:s1,stock_fcfs,mixed,1785153941.591288,1785153941.5917737,1785153942.3487756,1785153943.5215108,,,
block1-000001,212.96479308512062,7286.860666121356,175,25.0,212.0767820160836,7285.972655052319,0.8880110690370202,block1:zero_tool,stock_fcfs,mixed,1785153941.5918381,1785153941.5927262,1785153941.8048065,1785153948.8787024,,,
block1-000002,600.2930500544608,1810.0764921400696,42,572.5,600.1446439186111,1809.92808600422,0.14840613584965467,block1:s1,stock_fcfs,mixed,1785153941.818817,1785153941.8189654,1785153942.4191186,1785153943.6289022,,,
block1-000003,57.87238304037601,16715.719672036357,397,25.0,57.049863040447235,16714.89715203643,0.8225199999287724,block1:zero_tool,stock_fcfs,mixed,1785153942.1530492,1785153942.1538725,1785153942.210934,1785153958.868781,,,
block1-000004,128.13144188839942,5956.7006069701165,147,177.5,127.58315401151776,5956.152319093235,0.548287876881659,block1:zero_tool,stock_fcfs,mixed,1785153942.2205644,1785153942.2211127,1785153942.3487058,1785153948.177275,,,
block1-000005,135.988887748681,2775.5788137437776,67,15.0,135.35494508687407,2774.9448710819706,0.633942661806941,block1:s1,stock_fcfs,mixed,1785153942.2271054,1785153942.2277393,1785153942.3631015,1785153945.0026913,,,
block1-000006,63.0617446731776,8535.598277696408,210,85.0,62.066953047178686,8534.60348607041,0.9947916259989142,block1:zero_tool,stock_fcfs,mixed,1785153942.4735823,1785153942.4745774,1785153942.536653,1785153951.0091898,,,
block1-000007,55.51001150161028,8910.88948759716,218,287.5,55.101239937357605,8910.480716032907,0.4087715642526746,block1:zero_tool,stock_fcfs,mixed,1785153942.4812703,1785153942.4816794,1785153942.5367916,1785153951.392171,,,
block1-000008,69.70241654198617,6822.641666512936,168,412.5,68.11731995549053,6821.056569926441,1.585096586495638,block1:zero_tool,stock_fcfs,mixed,1785153943.1208303,1785153943.1224155,1785153943.190541,1785153949.9434803,,,
block1-000009,642.5857110880315,1848.6852881032974,44,145.0,641.5351659525186,1847.6347429677844,1.050545135512948,block1:s2,stock_fcfs,mixed,1785153943.1906095,1785153943.19166,1785153943.8332012,1785153945.039301,,,
