request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,288.3154359878972,852.2572279907763,43,20.0,288.1038759369403,852.0456679398194,0.2115600509569049,block1:s1,gated_rule_c,mixed,1785150782.4159536,1785150782.4161658,1785150782.7042751,1785150783.2682168,,,
block1-000001,53.24693757575005,3310.9634296270087,173,25.0,52.53628303762525,3310.252775088884,0.7106545381247997,block1:zero_tool,gated_rule_c,mixed,1785150782.5402472,1785150782.5409584,1785150782.5935035,1785150785.85122,,,
block1-000002,271.9016930786893,721.5890131192282,36,572.5,271.4111829409376,721.0985029814765,0.4905101377516985,block1:s1,gated_rule_c,mixed,1785150783.0142574,1785150783.0147483,1785150783.2861676,1785150783.7358553,,,
block1-000003,68.20625416003168,7914.0781462192535,397,25.0,67.1070299576968,7912.978922016919,1.0992242023348808,block1:zero_tool,gated_rule_c,mixed,1785150783.1998372,1785150783.2009368,1785150783.2680516,1785150791.1139238,,,
block1-000004,64.66921151150018,2833.5532845230773,147,177.5,63.800684991292655,2832.68475800287,0.8685265202075243,block1:zero_tool,gated_rule_c,mixed,1785150783.7109005,1785150783.7117696,1785150783.7755783,1785150786.5444632,,,
block1-000005,68.66325531154871,1316.2245493149385,67,15.0,68.38726706337184,1315.9485610667616,0.27598824817687273,block1:s1,gated_rule_c,mixed,1785150783.8110723,1785150783.8113484,1785150783.8797433,1785150785.1273048,,,
block1-000006,54.12534484639764,3950.165651855059,204,85.0,53.23282198514789,3949.273128993809,0.8925228612497449,block1:zero_tool,gated_rule_c,mixed,1785150784.2060678,1785150784.2069607,1785150784.2602022,1785150788.1562424,,,
block1-000007,60.20053452812135,3022.019154508598,156,287.5,59.89868100732565,3021.7173009878024,0.30185352079570293,block1:zero_tool,gated_rule_c,mixed,1785150784.6870387,1785150784.6873407,1785150784.7472465,1785150787.7090652,,,
block1-000008,52.698475774377584,2352.0053097745404,121,412.5,52.300074021331966,2351.6069080214947,0.39840175304561853,block1:zero_tool,gated_rule_c,mixed,1785150784.7918627,1785150784.7922616,1785150784.8445687,1785150787.1438758,,,
block1-000009,306.03972217068076,876.5779801178724,44,145.0,305.6567159947008,876.1949739418924,0.3830061759799719,block1:s2,gated_rule_c,mixed,1785150785.23808,1785150785.2384634,1785150785.5441272,1785150786.1146655,,,
block1-000010,57.49942862894386,3021.2634396739304,155,117.5,57.112985057756305,3020.876996102743,0.3864435711875558,block1:zero_tool,gated_rule_c,mixed,1785150785.774159,1785150785.7745457,1785150785.8316689,1785150788.795432,,,
