request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,302.2104304982349,871.170183410868,43,20.0,300.9194890037179,869.879241916351,1.2909414945170283,block1:s1,gated_rule_c,mixed,1785151336.8018978,1785151336.8031888,1785151337.1041172,1785151337.6730766,,,
block1-000001,75.00597962643951,3457.1810566121712,176,25.0,74.27316496614367,3456.4482419518754,0.7328146602958441,block1:zero_tool,gated_rule_c,mixed,1785151336.821858,1785151336.822591,1785151336.8968692,1785151340.2790444,,,
block1-000002,280.78739857301116,732.9742815345526,36,572.5,280.5035760393366,732.690459000878,0.28382253367453814,block1:s1,gated_rule_c,mixed,1785151336.977349,1785151336.977633,1785151337.2581437,1785151337.710331,,,
block1-000003,53.929165471345186,8431.882061529905,401,25.0,53.636169992387295,8431.589066050947,0.29299547895789146,block1:zero_tool,gated_rule_c,mixed,1785151337.1099927,1785151337.1102858,1785151337.163931,1785151345.541884,,,
block1-000004,71.02714234497398,2972.8204692946747,149,177.5,70.80685195978731,2972.600178909488,0.2202903851866722,block1:zero_tool,gated_rule_c,mixed,1785151337.3789754,1785151337.379196,1785151337.4500098,1785151340.3518028,,,
block1-000005,72.24659714847803,1313.7209920678288,67,15.0,71.6571700759232,1313.131564995274,0.5894270725548267,block1:s1,gated_rule_c,mixed,1785151338.1532001,1785151338.15379,1785151338.2254558,1785151339.4669302,,,
block1-000006,54.725989466533065,4722.420067409985,216,85.0,54.430869058705866,4722.124947002158,0.2951204078271985,block1:zero_tool,gated_rule_c,mixed,1785151338.2110927,1785151338.211388,1785151338.2658265,1785151342.9335206,,,
block1-000007,60.633662389591336,3768.22334935423,165,287.5,59.447927051223814,3767.0376140158623,1.1857353383675218,block1:zero_tool,gated_rule_c,mixed,1785151339.008015,1785151339.0092015,1785151339.06866,1785151342.7762496,,,
block1-000008,71.09995698556304,3394.164180965163,145,412.5,70.75292197987437,3393.817145959474,0.3470350056886673,block1:zero_tool,gated_rule_c,mixed,1785151339.2634172,1785151339.2637646,1785151339.3345273,1785151342.6575916,,,
block1-000009,366.6020840173587,1055.836757994257,44,145.0,365.87943497579545,1055.1141089526936,0.7226490415632725,block1:s2,gated_rule_c,mixed,1785151339.5992484,1785151339.599971,1785151339.965858,1785151340.6550927,,,
block1-000010,88.0915445741266,3820.427364553325,164,117.5,87.33011595904827,3819.6659359382465,0.76142861507833,block1:zero_tool,gated_rule_c,mixed,1785151339.6350067,1785151339.6357684,1785151339.7231064,1785151343.455442,,,
block1-000011,331.33445819839835,1020.5342031549662,43,287.5,330.3176530171186,1019.5173979736865,1.0168051812797785,block1:s2,gated_rule_c,mixed,1785151339.6538622,1785151339.6548793,1785151339.9852052,1785151340.6744049,,,
block1-000012,59.79975627269596,4517.050580237992,200,15.0,59.32959704659879,4516.580421011895,0.47015922609716654,block1:zero_tool,gated_rule_c,mixed,1785151339.7657394,1785151339.7662098,1785151339.825549,1785151344.2827997,,,
