request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,495.2717755222693,1141.9397805584595,43,20.0,494.6442840155214,1141.3122890517116,0.6274915067479014,block1:s1,gated_rule_c,mixed,1785150222.619538,1785150222.620166,1785150223.114823,1785150223.7614915,,,
block1-000001,226.06521204579622,3868.900055065751,173,25.0,224.9506589723751,3867.78550199233,1.1145530734211206,block1:zero_tool,gated_rule_c,mixed,1785150222.620088,1785150222.6212027,1785150222.846157,1785150226.4889917,,,
block1-000002,344.20098608825356,989.5334340399131,42,572.5,343.9518599770963,989.2843079287559,0.24912611115723848,block1:s1,gated_rule_c,mixed,1785150222.8470669,1785150222.847316,1785150223.19128,1785150223.8366127,,,
block1-000003,69.31704212911427,7886.719588073902,384,25.0,68.58496007043868,7885.987506015226,0.7320820586755872,block1:zero_tool,gated_rule_c,mixed,1785150223.1812992,1785150223.1820314,1785150223.2506258,1785150231.0680282,,,
block1-000004,104.7683818032965,3110.0056647555903,147,177.5,104.04007195029408,3109.277354902588,0.728309853002429,block1:zero_tool,gated_rule_c,mixed,1785150223.2488143,1785150223.2495441,1785150223.3536012,1785150226.3588386,,,
block1-000005,147.0743966056034,1517.8887227084488,67,15.0,146.0908359149471,1516.9051620177925,0.9835606906563044,block1:s1,gated_rule_c,mixed,1785150223.2553554,1785150223.2563388,1785150223.4024394,1785150224.7732534,,,
block1-000006,85.69980459287763,3769.9835025705397,181,85.0,85.4141740128398,3769.697871990502,0.28563058003783226,block1:zero_tool,gated_rule_c,mixed,1785150223.5018322,1785150223.502118,1785150223.5875437,1785150227.2718267,,,
block1-000007,80.31064551323652,3436.686468543485,163,287.5,79.62868001777679,3436.004503048025,0.6819654954597354,block1:zero_tool,gated_rule_c,mixed,1785150223.5095203,1785150223.5102024,1785150223.5898404,1785150226.9462168,,,
block1-000008,65.09348750114441,3556.5693675307557,170,412.5,64.87584090791643,3556.3517209375277,0.21764659322798252,block1:zero_tool,gated_rule_c,mixed,1785150224.1490803,1785150224.1492982,1785150224.2141845,1785150227.7056606,,,
block1-000009,418.7883911654353,996.6009361669421,44,145.0,418.33605500869453,996.1486000102013,0.45233615674078465,block1:s2,gated_rule_c,mixed,1785150224.2188594,1785150224.2193117,1785150224.637657,1785150225.2154691,,,
block1-000010,96.45692992489785,3185.45797187835,152,117.5,94.78838799986988,3183.789429953322,1.6685419250279665,block1:zero_tool,gated_rule_c,mixed,1785150224.2588189,1785150224.2604878,1785150224.3552883,1785150227.4442892,,,
block1-000011,336.8597064400092,916.1047075176612,43,287.5,336.5961810341105,915.8411821117625,0.2635254058986902,block1:s2,gated_rule_c,mixed,1785150224.5318305,1785150224.5320945,1785150224.8687012,1785150225.4479463,,,
block1-000012,66.77664362359792,2870.2679536072537,138,15.0,65.74537802953273,2869.2366880131885,1.0312655940651894,block1:zero_tool,gated_rule_c,mixed,1785150225.3230364,1785150225.3240678,1785150225.3898225,1785150228.1933138,,,
block1-000013,408.3283580839634,1022.8925311239436,44,20.0,407.5261749094352,1022.0903479494154,0.8021831745281816,block1:s2,gated_rule_c,mixed,1785150225.5624638,1785150225.563266,1785150225.970802,1785150226.5853662,,,
block1-000014,92.09513897076249,1433.273156057112,67,12.5,91.37990791350603,1432.5579249998555,0.7152310572564602,block1:s2,gated_rule_c,mixed,1785150225.8010733,1785150225.801789,1785150225.8931777,1785150227.2343552,,,
block1-000015,264.92162293288857,758.4545100107789,34,545.0,264.6542589645833,758.1871460424736,0.26736396830528975,block1:s2,gated_rule_c,mixed,1785150226.3586714,1785150226.3589387,1785150226.6236014,1785150227.117134,,,
block1-000016,417.4158599926159,1023.3707568841055,48,155.0,417.2342780511826,1023.1891749426723,0.1815819414332509,block1:s3,gated_rule_c,mixed,1785150226.7562125,1785150226.756394,1785150227.173659,1785150227.7796142,,,
block1-000017,71.62236131262034,3253.9007733576,160,287.5,70.32763597089797,3252.6060480158776,1.2947253417223692,block1:zero_tool,gated_rule_c,mixed,1785150227.163044,1785150227.1643386,1785150227.2346737,1785150230.4169524,,,
block1-000018,66.05137279257178,2639.833836699836,128,12.5,65.16806001309305,2638.950523920357,0.8833127794787288,block1:zero_tool,gated_rule_c,mixed,1785150227.3780036,1785150227.378887,1785150227.4440625,1785150230.0178447,,,
block1-000019,400.3699766471982,1033.6413586046547,48,100.0,399.5897959684953,1032.8611779259518,0.7801806787028909,block1:s3,gated_rule_c,mixed,1785150227.8295531,1785150227.8303332,1785150228.2299325,1785150228.8632042,,,
block1-000020,61.27290555741638,3048.6668465891853,150,572.5,59.94114396162331,3047.3350849933922,1.3317615957930684,block1:zero_tool,gated_rule_c,mixed,1785150228.0942867,1785150228.0956185,1785150228.1555667,1785150231.14296,,,
block1-000021,340.1755280792713,982.104066060856,43,10.0,339.5799220306799,981.5084600122645,0.595606048591435,block1:s3,gated_rule_c,mixed,1785150228.578317,1785150228.5789127,1785150228.9184992,1785150229.5604277,,,
block1-000022,496.59241118934005,1107.3633442865685,49,412.5,496.0636399919167,1106.8345730891451,0.5287711974233389,block1:s3,gated_rule_c,mixed,1785150229.082175,1785150229.0827038,1785150229.5787764,1785150230.1895473,,,
block1-000023,309.1831716010347,958.2105196313933,43,15.0,308.56675701215863,957.5941050425172,0.6164145888760686,block1:s3,gated_rule_c,mixed,1785150229.1937423,1785150229.194359,1785150229.5029337,1785150230.151961,,,
block1-000024,56.14666373003274,3849.6110687265173,173,10.0,55.77476602047682,3849.2391710169613,0.37189770955592394,block1:zero_tool,gated_rule_c,mixed,1785150229.389607,1785150229.3899791,1785150229.445763,1785150233.239227,,,
