request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,296.5460302075371,860.4724731994793,43,20.0,295.9094140678644,859.8358570598066,0.6366161396726966,block1:s1,policy_fcfs,mixed,1785149013.9761813,1785149013.976819,1785149014.2727373,1785149014.8366637,,,
block1-000001,61.499030562117696,3320.188258541748,173,25.0,61.045447015203536,3319.7346749948338,0.45358354691416025,block1:zero_tool,policy_fcfs,mixed,1785149014.1004748,1785149014.1009293,1785149014.161987,1785149017.4206767,,,
block1-000002,280.2910751197487,746.437078109011,36,572.5,279.59310193546116,745.7391049247235,0.6979731842875481,block1:s1,policy_fcfs,mixed,1785149014.574485,1785149014.5751834,1785149014.8547857,1785149015.320932,,,
block1-000003,57.22708522807807,10393.709203228354,512,25.0,56.78042699582875,10393.262544996105,0.44665823224931955,block1:zero_tool,policy_fcfs,mixed,1785149014.7600648,1785149014.7605116,1785149014.817301,1785149025.1537833,,,
block1-000004,55.11374946217984,3063.7894335668534,158,177.5,54.68551197554916,3063.3611960802227,0.4282374866306782,block1:zero_tool,policy_fcfs,mixed,1785149015.2711282,1785149015.2715566,1785149015.3262508,1785149018.3349268,,,
block1-000005,78.00912531092763,1325.703768292442,67,15.0,77.83375703729689,1325.5284000188112,0.17536827363073826,block1:s1,policy_fcfs,mixed,1785149015.3713,1785149015.3714755,1785149015.449318,1785149016.697012,,,
block1-000006,63.30567679833621,3886.56725990586,200,85.0,62.18522391282022,3885.446807020344,1.1204528855159879,block1:zero_tool,policy_fcfs,mixed,1785149015.7662954,1785149015.7674162,1785149015.829612,1785149019.6528738,,,
block1-000007,69.15625359397382,3255.2277765935287,166,287.5,68.37122002616525,3254.44274302572,0.7850335678085685,block1:zero_tool,policy_fcfs,mixed,1785149016.2472663,1785149016.2480521,1785149016.316434,1785149019.5025055,,,
block1-000008,80.49952087458223,2381.697439821437,121,412.5,79.2216140544042,2380.419533001259,1.277906820178032,block1:zero_tool,policy_fcfs,mixed,1785149016.3520904,1785149016.3533685,1785149016.4325998,1785149018.7337978,,,
block1-000009,315.247887163423,885.4889941867441,44,145.0,314.0240400098264,884.2651470331475,1.22384715359658,block1:s2,policy_fcfs,mixed,1785149016.7983077,1785149016.7995317,1785149017.1135643,1785149017.6838052,,,
block1-000010,66.6351115796715,3032.169292564504,155,117.5,65.46781596262008,3031.0019969474524,1.1672956170514226,block1:zero_tool,policy_fcfs,mixed,1785149017.3343866,1785149017.3355541,1785149017.401031,1785149020.3665652,,,
block1-000011,325.51117008551955,897.3509731004015,43,287.5,324.1651249118149,896.0049279266968,1.3460451737046242,block1:s2,policy_fcfs,mixed,1785149018.1780097,1785149018.179356,1785149018.5035315,1785149019.0753713,,,
block1-000012,54.00257708970457,3242.1606390271336,156,15.0,53.4419440664351,3241.600006003864,0.5606330232694745,block1:zero_tool,policy_fcfs,mixed,1785149018.528667,1785149018.5292277,1785149018.5826788,1785149021.7708366,,,
block1-000013,327.44300726335496,908.2130482420325,44,20.0,327.0217489916831,907.7917899703607,0.4212582716718316,block1:s2,policy_fcfs,mixed,1785149019.0059028,1785149019.0063243,1785149019.333353,1785149019.9141233,,,
block1-000014,95.06993473041803,1413.195896660909,67,12.5,93.98998809047043,1412.1159500209615,1.0799466399475932,block1:s2,policy_fcfs,mixed,1785149019.2745163,1785149019.2755966,1785149019.369593,1785149020.6877189,,,
block1-000015,302.74519277736545,796.3227778673172,34,545.0,302.6591769885272,796.2367620784789,0.08601578883826733,block1:s2,policy_fcfs,mixed,1785149020.3467903,1785149020.3468766,1785149020.6495419,1785149021.1431193,,,
block1-000016,414.3016564194113,1156.422235420905,48,155.0,413.9479330042377,1156.0685120057315,0.3537234151735902,block1:s3,policy_fcfs,mixed,1785149020.385435,1785149020.3857892,1785149020.799744,1785149021.5418644,,,
block1-000017,112.7159568713978,3587.196777923964,160,287.5,112.3940049437806,3586.8748259963468,0.32195192761719227,block1:zero_tool,policy_fcfs,mixed,1785149020.4017546,1785149020.402077,1785149020.514478,1785149023.9889593,,,
block1-000018,64.00824233423918,2902.0232453476638,128,12.5,63.02192201837897,2901.0369250318035,0.9863203158602118,block1:zero_tool,policy_fcfs,mixed,1785149020.566772,1785149020.5677583,1785149020.6307871,1785149023.468802,,,
block1-000019,475.57313612196594,1170.4193571349606,48,100.0,475.3990089520812,1170.2452299650759,0.1741271698847413,block1:s3,policy_fcfs,mixed,1785149020.9304464,1785149020.9306207,1785149021.4060266,1785149022.1008725,,,
block1-000020,69.17635723948479,3289.0736971748993,147,572.5,67.8645899752155,3287.76192991063,1.3117672642692924,block1:zero_tool,policy_fcfs,mixed,1785149021.0159528,1785149021.0172646,1785149021.085137,1785149024.3050344,,,
block1-000021,435.23080239538103,1054.4249803060666,43,10.0,434.1519570443779,1053.3461349550635,1.0788453510031104,block1:s3,policy_fcfs,mixed,1785149021.2190278,1785149021.2201068,1785149021.6542654,1785149022.2734594,,,
block1-000022,531.19975712616,1148.723790072836,49,412.5,530.7673480128869,1148.291380959563,0.43240911327302456,block1:s3,policy_fcfs,mixed,1785149021.2580068,1785149021.2584395,1785149021.7892144,1785149022.4067385,,,
block1-000023,314.82543039601296,969.9442244600505,43,15.0,312.8786409506574,967.9974350146949,1.9467894453555346,block1:s3,policy_fcfs,mixed,1785149021.4559152,1785149021.4578621,1785149021.7707503,1785149022.4258687,,,
block1-000024,70.17747487407178,3677.356688771397,172,10.0,69.87081503029913,3677.050028927624,0.30665984377264977,block1:zero_tool,policy_fcfs,mixed,1785149021.8219078,1785149021.8222146,1785149021.8920934,1785149025.4992726,,,
block1-000025,402.248413534835,1128.3178095472977,48,152.5,401.16814395878464,1127.2375399712473,1.0802695760503411,block1:s4,policy_fcfs,mixed,1785149021.8515785,1785149021.852659,1785149022.2538345,1785149022.979904,,,
block1-000026,68.85576469358057,4061.760473647155,190,132.5,68.67517798673362,4061.579886940308,0.18058670684695244,block1:zero_tool,policy_fcfs,mixed,1785149022.6224601,1785149022.6226408,1785149022.6913218,1785149026.6842263,,,
block1-000027,575.3759912913665,1241.4946183562279,48,320.0,574.9548339517787,1241.07346101664,0.42115733958780766,block1:s4,policy_fcfs,mixed,1785149022.689916,1785149022.6903372,1785149023.2653012,1785149023.9314198,,,
block1-000028,572.6655337493867,1238.6836207006127,48,17.5,571.6096709948033,1237.6277579460293,1.0558627545833588,block1:s4,policy_fcfs,mixed,1785149022.6925867,1785149022.6936424,1785149023.265258,1785149023.9312763,,,
block1-000029,525.855484767817,1192.4715107306838,48,322.5,525.1914410619065,1191.8074670247734,0.6640437059104443,block1:s4,policy_fcfs,mixed,1785149022.7587242,1785149022.7593887,1785149023.2845902,1785149023.9512064,,,
block1-000030,453.2342173624784,1116.5513503365219,48,95.0,452.7685610810295,1116.085694055073,0.4656562814489007,block1:s4,policy_fcfs,mixed,1785149022.9492214,1785149022.9496875,1785149023.4024665,1785149024.0657833,,,
block1-000031,468.0214835098013,1121.0805014707148,48,132.5,467.0308770146221,1120.0898949755356,0.9906064951792359,block1:s4,policy_fcfs,mixed,1785149023.0002878,1785149023.0012784,1785149023.468316,1785149024.121375,,,
