request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,295.64474849030375,864.497150410898,43,20.0,294.18728000018746,863.0396819207817,1.4574684901162982,block1:s1,policy_fcfs,mixed,1785149566.8076642,1785149566.8091216,1785149567.1033149,1785149567.672167,,,
block1-000001,68.46443458925933,3452.253185561858,176,25.0,67.81389995012432,3451.602650922723,0.6505346391350031,block1:zero_tool,policy_fcfs,mixed,1785149566.8276243,1785149566.828275,1785149566.8960938,1785149570.2798827,,,
block1-000002,273.9800716517493,839.2432226100937,42,572.5,273.1885170796886,838.451668038033,0.7915545720607042,block1:s1,policy_fcfs,mixed,1785149566.9831154,1785149566.983907,1785149567.257103,1785149567.822366,,,
block1-000003,66.18171860463917,8448.678440530784,401,25.0,64.46115905418992,8446.957880980335,1.7205595504492521,block1:zero_tool,policy_fcfs,mixed,1785149567.1157591,1785149567.1174796,1785149567.1819484,1785149575.5644453,,,
block1-000004,64.3794434145093,2949.5963853551075,149,177.5,63.742200029082596,2948.959141969681,0.6372433854267001,block1:zero_tool,policy_fcfs,mixed,1785149567.3847418,1785149567.385379,1785149567.449129,1785149570.334346,,,
block1-000005,67.48751504346728,1308.1862760009244,67,15.0,66.94309203885496,1307.641852996312,0.5444230046123266,block1:s1,policy_fcfs,mixed,1785149568.1589665,1785149568.1595109,1785149568.2264605,1785149569.467159,,,
block1-000006,67.90826236829162,4598.81258837413,209,85.0,67.36639200244099,4598.27071800828,0.5418703658506274,block1:zero_tool,policy_fcfs,mixed,1785149568.216859,1785149568.217401,1785149568.284775,1785149572.8156793,,,
block1-000007,54.881296353414655,3583.0520913004875,156,287.5,54.40353602170944,3582.5743309687823,0.4777603317052126,block1:zero_tool,policy_fcfs,mixed,1785149569.0137813,1785149569.014259,1785149569.0686703,1785149572.5968409,,,
block1-000008,65.58289704844356,3388.331647031009,145,412.5,64.7098480258137,3387.4585980083793,0.8730490226298571,block1:zero_tool,policy_fcfs,mixed,1785149569.2691836,1785149569.2700567,1785149569.334774,1785149572.657523,,,
block1-000009,380.89401414617896,1070.3248761128634,44,145.0,380.39498205762357,1069.825844024308,0.4990320885553956,block1:s2,policy_fcfs,mixed,1785149569.6050148,1785149569.605514,1785149569.9859164,1785149570.6753476,,,
block1-000010,102.51148662064224,3833.387963590212,164,117.5,101.47911100648344,3832.3555879760534,1.0323756141588092,block1:zero_tool,policy_fcfs,mixed,1785149569.640773,1785149569.6418056,1785149569.7432916,1785149573.4741683,,,
block1-000011,345.5560312140733,1035.1549022598192,43,287.5,345.2843650011346,1034.8832360468805,0.27166621293872595,block1:s2,policy_fcfs,mixed,1785149569.6596286,1785149569.6599004,1785149570.0051916,1785149570.6947908,,,
block1-000012,74.9783442588523,4416.500221239403,194,15.0,74.18557303026319,4415.707450010814,0.7927712285891175,block1:zero_tool,policy_fcfs,mixed,1785149569.7715058,1785149569.7722988,1785149569.8464916,1785149574.1880136,,,
block1-000013,331.896226038225,1037.2502760728821,44,20.0,330.6096940068528,1035.96374404151,1.2865320313721895,block1:s2,policy_fcfs,mixed,1785149569.829396,1785149569.8306832,1785149570.161304,1785149570.8666582,,,
block1-000014,105.39643070660532,1691.0780556499958,67,12.5,105.1443109754473,1690.8259359188378,0.2521197311580181,block1:s2,policy_fcfs,mixed,1785149570.2649884,1785149570.2652407,1785149570.3703938,1785149571.9560754,,,
block1-000015,306.45072157494724,823.8282594829798,34,545.0,305.3206710610539,822.6982089690864,1.1300505138933659,block1:s2,policy_fcfs,mixed,1785149570.465206,1785149570.466336,1785149570.7716634,1785149571.2890408,,,
block1-000016,454.11656063515693,1265.7861086772755,48,155.0,453.37773801293224,1265.0472860550508,0.7388226222246885,block1:s3,policy_fcfs,mixed,1785149570.4736257,1785149570.4743648,1785149570.9277494,1785149571.739419,,,
block1-000017,59.80052729137242,3625.9998503373936,160,287.5,59.197283000685275,3625.3966060467064,0.6032442906871438,block1:zero_tool,policy_fcfs,mixed,1785149570.8127596,1785149570.8133633,1785149570.8725681,1785149574.4387672,,,
block1-000018,61.279002111405134,3640.946908155456,160,12.5,60.4484899668023,3640.1163960108534,0.8305121446028352,block1:zero_tool,policy_fcfs,mixed,1785149570.8729,1785149570.8737307,1785149570.934187,1785149574.5138547,,,
block1-000019,444.68999363016337,1340.400528628379,48,100.0,443.54545301757753,1339.2559880157933,1.1445406125858426,block1:s3,policy_fcfs,mixed,1785149570.9433467,1785149570.9444916,1785149571.388045,1785149572.2837555,,,
block1-000020,75.94518666155636,3345.5521056894213,147,572.5,75.1283309655264,3344.7352499933913,0.8168556960299611,block1:zero_tool,policy_fcfs,mixed,1785149571.0550349,1785149571.0558522,1785149571.1309903,1785149574.4005973,,,
block1-000021,475.8789741899818,1209.7576282685623,43,10.0,475.4900400293991,1209.3686941079795,0.38893416058272123,block1:s3,policy_fcfs,mixed,1785149571.3030689,1785149571.3034577,1785149571.778955,1785149572.5128336,,,
block1-000022,569.2302433308214,1302.0472902571782,49,412.5,568.739012000151,1301.5560589265078,0.49123133067041636,block1:s3,policy_fcfs,mixed,1785149571.4147847,1785149571.415276,1785149571.9840238,1785149572.7168407,,,
block1-000023,396.1419095285237,1174.2030264576897,43,15.0,395.2468620846048,1173.3079790137708,0.8950474439188838,block1:s3,policy_fcfs,mixed,1785149571.4430902,1785149571.4439855,1785149571.8392408,1785149572.6173015,,,
block1-000024,100.030817091465,3763.7305001262575,173,10.0,99.78926496114582,3763.4889479959384,0.2415521303191781,block1:zero_tool,policy_fcfs,mixed,1785149571.6119506,1785149571.6121926,1785149571.7119915,1785149575.3756912,,,
block1-000025,450.3527490887791,1202.0465860841796,48,152.5,449.71246703062207,1201.4063040260226,0.6402820581570268,block1:s4,policy_fcfs,mixed,1785149571.6137402,1785149571.6143806,1785149572.0641096,1785149572.815803,,,
block1-000026,70.29862666968256,4027.8155306586996,190,132.5,69.74588404409587,4027.262788033113,0.5527426255866885,block1:zero_tool,policy_fcfs,mixed,1785149571.8938284,1785149571.8943815,1785149571.9641354,1785149575.9216523,,,
block1-000027,505.9919818304479,1178.9651978760958,48,320.0,504.8715010052547,1177.8447170509025,1.1204808251932263,block1:s4,policy_fcfs,mixed,1785149571.9861526,1785149571.9872732,1785149572.4921522,1785149573.1651258,,,
block1-000028,485.5430502211675,1157.444938318804,48,17.5,483.78723696805537,1155.6891250656918,1.7558132531121373,block1:s4,policy_fcfs,mixed,1785149572.0896084,1785149572.0913641,1785149572.5751588,1785149573.2470608,,,
block1-000029,500.5562541773543,1186.8319942150265,48,322.5,500.2309640403837,1186.506704078056,0.3252901369705796,block1:s4,policy_fcfs,mixed,1785149572.0954535,1785149572.0957787,1785149572.596017,1785149573.2822924,,,
block1-000030,447.37423956394196,1082.4365655425936,48,95.0,445.80845802556723,1080.8707840042189,1.565781538374722,block1:s4,policy_fcfs,mixed,1785149572.948809,1785149572.9503746,1785149573.396192,1785149574.031254,,,
block1-000031,411.6497964132577,1069.2079324508086,48,132.5,409.8178729182109,1067.3760089557618,1.8319234950467944,block1:s4,policy_fcfs,mixed,1785149573.1964152,1785149573.1982472,1785149573.6080735,1785149574.2656317,,,
block1-000032,324.39366541802883,924.0196453174576,43,280.0,323.29805206973106,922.9240319691598,1.0956133482977748,block1:s1,policy_fcfs,mixed,1785149573.97952,1785149573.9806156,1785149574.3039212,1785149574.9035468,,,
block1-000033,103.55758864898235,1488.8959536328912,71,10.0,103.00271597225219,1488.341080956161,0.554872676730156,block1:s1,policy_fcfs,mixed,1785149574.000584,1785149574.0011387,1785149574.1041486,1785149575.489487,,,
block1-000034,73.88679077848792,4176.643995684572,204,15.0,73.10989603865892,4175.867100944743,0.7768947398290038,block1:zero_tool,policy_fcfs,mixed,1785149574.0357,1785149574.036477,1785149574.109594,1785149578.2123516,,,
block1-000035,384.35915240552276,934.8349923966452,43,10.0,383.4672629600391,933.9431029511616,0.8918894454836845,block1:s1,policy_fcfs,mixed,1785149574.4410896,1785149574.4419818,1785149574.8254573,1785149575.3759332,,,
block1-000036,276.3090565567836,779.9645505147055,36,105.0,276.1234870413318,779.7789809992537,0.1855695154517889,block1:s1,policy_fcfs,mixed,1785149574.5300252,1785149574.5302107,1785149574.8063416,1785149575.309997,,,
block1-000037,246.8457182403654,737.2266972670332,34,170.0,246.57418590504676,736.9551649317145,0.271532335318625,block1:s1,policy_fcfs,mixed,1785149574.7143502,1785149574.7146218,1785149574.9612048,1785149575.4515855,,,
block1-000038,320.63632004428655,887.8926461329684,43,12.5,320.2433598926291,887.4996859813109,0.3929601516574621,block1:s1,policy_fcfs,mixed,1785149574.9389129,1785149574.9393058,1785149575.2595565,1785149575.826813,,,
block1-000039,82.13068370241672,1351.4466166961938,68,145.0,81.32699399720877,1350.6429269909859,0.8036897052079439,block1:s1,policy_fcfs,mixed,1785149575.1925726,1785149575.1933765,1785149575.2747104,1785149576.5440266,,,
block1-000040,60.41115871630609,7859.226260799915,382,10.0,59.768902021460235,7858.584004105069,0.6422566948458552,block1:zero_tool,policy_fcfs,mixed,1785149575.2560499,1785149575.2566924,1785149575.3164704,1785149583.1152852,,,
block1-000041,271.839213790372,725.349280750379,36,17.5,270.55556199047714,724.0656289504841,1.2836517998948693,block1:s2,policy_fcfs,mixed,1785149575.8187993,1785149575.820083,1785149576.0906472,1785149576.5441573,,,
block1-000042,93.23638665955514,1407.6348396483809,64,145.0,92.79153298120946,1407.1899859700352,0.44485367834568024,block1:s2,policy_fcfs,mixed,1785149576.5198774,1785149576.5203223,1785149576.613122,1785149577.9275208,,,
block1-000043,95.24267492815852,1700.8139149984345,78,17.5,94.906797981821,1700.478038052097,0.3358769463375211,block1:s2,policy_fcfs,mixed,1785149576.8153832,1785149576.8157191,1785149576.910634,1785149578.5162048,,,
block1-000044,313.4986206423491,806.051873601973,35,412.5,313.28996806405485,805.8432210236788,0.2086525782942772,block1:s2,policy_fcfs,mixed,1785149576.8363361,1785149576.8365448,1785149577.1498415,1785149577.6423955,,,
block1-000045,53.444142919033766,3011.820481857285,143,572.5,52.717171027325094,3011.0935099655762,0.726971891708672,block1:zero_tool,policy_fcfs,mixed,1785149577.0590315,1785149577.0597584,1785149577.1124833,1785149580.0708594,,,
block1-000046,58.50689159706235,6478.940609609708,314,107.5,57.87416605744511,6478.307884070091,0.6327255396172404,block1:zero_tool,policy_fcfs,mixed,1785149577.2635798,1785149577.2642124,1785149577.3220944,1785149583.742528,,,
block1-000047,267.1374542405829,744.471158250235,34,10.0,266.5876829996705,743.9213870093226,0.5497712409123778,block1:s2,policy_fcfs,mixed,1785149577.375348,1785149577.375898,1785149577.6424935,1785149578.1198277,,,
block1-000048,91.0561295459047,3009.850343572907,145,10.0,90.84738895762712,3009.6416029846296,0.20874058827757835,block1:zero_tool,policy_fcfs,mixed,1785149577.6983514,1785149577.69856,1785149577.7894144,1785149580.7082086,,,
block1-000049,74.21713648363948,2688.677157391794,128,17.5,73.77502403687686,2688.2350449450314,0.4421124467626214,block1:zero_tool,policy_fcfs,mixed,1785149577.7182727,1785149577.718715,1785149577.792496,1785149580.406956,,,
