request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,514.6313735749573,1160.6393535621464,43,20.0,513.9592729974538,1159.967252984643,0.6721005775034428,block1:s1,policy_fcfs,mixed,1785148452.413095,1785148452.4137673,1785148452.9277384,1785148453.5737467,,,
block1-000001,212.541246204637,3849.3250642204657,173,25.0,211.61082200706005,3848.394640022889,0.9304241975769401,block1:zero_tool,policy_fcfs,mixed,1785148452.413645,1785148452.4145756,1785148452.6261904,1785148456.2629743,,,
block1-000002,344.0312732709572,989.3380432622507,42,572.5,343.9888210268691,989.2955910181627,0.0424522440880537,block1:s1,policy_fcfs,mixed,1785148452.6406238,1785148452.6406667,1785148452.9846668,1785148453.6299736,,,
block1-000003,69.27723519038409,5027.453024173155,242,25.0,69.0816780552268,5027.257467037998,0.19555713515728712,block1:zero_tool,policy_fcfs,mixed,1785148452.9748561,1785148452.975052,1785148453.0441446,1785148458.0023203,,,
block1-000004,105.16075883060694,3108.8843778707087,147,177.5,104.12022797390819,3107.84384701401,1.0405308566987514,block1:zero_tool,policy_fcfs,mixed,1785148453.0423713,1785148453.0434124,1785148453.147544,1785148456.1512675,,,
block1-000005,148.3424367615953,1517.6208117045462,67,15.0,147.471716045402,1516.750090988353,0.8707207161933184,block1:s1,policy_fcfs,mixed,1785148453.0489123,1785148453.0497832,1785148453.197265,1785148454.5665429,,,
block1-000006,85.29859862755984,3768.457521684468,181,85.0,84.88675695843995,3768.045680015348,0.4118416691198945,block1:zero_tool,policy_fcfs,mixed,1785148453.2953892,1785148453.2958014,1785148453.380698,1785148457.0638568,,,
block1-000007,80.38243150804192,3435.4163645766675,163,287.5,80.10575396474451,3435.13968703337,0.27667754329741,block1:zero_tool,policy_fcfs,mixed,1785148453.3030772,1785148453.3033538,1785148453.3834684,1785148456.7385025,,,
block1-000008,64.81681973673403,3084.814167697914,145,412.5,63.78627708181739,3083.7836250429973,1.030542654916644,block1:zero_tool,policy_fcfs,mixed,1785148453.9426372,1785148453.9436681,1785148454.007464,1785148457.0274613,,,
block1-000009,437.06938717514277,1015.6794741051272,44,145.0,436.82949303183705,1015.4395799618214,0.2398941433057189,block1:s2,policy_fcfs,mixed,1785148454.0124164,1785148454.0126565,1785148454.4494936,1785148455.028103,,,
block1-000010,115.26651703752577,3425.194449024275,164,117.5,114.28534402512014,3424.2132760118693,0.9811730124056339,block1:zero_tool,policy_fcfs,mixed,1785148454.0523758,1785148454.0533574,1785148454.1676512,1785148457.4775782,,,
block1-000011,336.24780154787004,915.6281155301258,43,287.5,335.5230310698971,914.9033450521529,0.7247704779729247,block1:s2,policy_fcfs,mixed,1785148454.3253875,1785148454.3261127,1785148454.6616433,1785148455.2410238,,,
block1-000012,66.77282671444118,2867.221037740819,138,15.0,66.02227396797389,2866.470484994352,0.7505527464672923,block1:zero_tool,policy_fcfs,mixed,1785148455.1165934,1785148455.1173441,1785148455.1833758,1785148457.9838235,,,
block1-000013,407.14616829063743,1022.0548482611775,44,20.0,406.39488701708615,1021.3035669876263,0.7512812735512853,block1:s2,policy_fcfs,mixed,1785148455.3560207,1785148455.3567727,1785148455.7631774,1785148456.378086,,,
block1-000014,91.64382610470057,1432.526585063897,67,12.5,91.26150596421212,1432.1442649234086,0.38232014048844576,block1:s2,policy_fcfs,mixed,1785148455.5946302,1785148455.595013,1785148455.6862853,1785148457.0271666,,,
block1-000015,263.3106110151857,757.2992279892787,34,545.0,262.9324860172346,756.9211029913276,0.37812499795109034,block1:s2,policy_fcfs,mixed,1785148456.1522284,1785148456.152607,1785148456.4155467,1785148456.9095354,,,
