request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,496.4056834578514,1145.5231005093083,43,20.0,495.9258259041235,1145.0432429555804,0.4798575537279248,block1:s1,prompt_sjf,mixed,1785144915.68901,1785144915.6894903,1785144916.185427,1785144916.8345447,,,
block1-000001,226.4731131726876,3916.5500391973183,176,25.0,225.09271407034248,3915.169640094973,1.380399102345109,block1:zero_tool,prompt_sjf,mixed,1785144915.68956,1785144915.6909406,1785144915.9160376,1785144919.6061149,,,
block1-000002,345.50734027288854,992.8601002320647,42,572.5,344.86558206845075,992.2183420276269,0.6417582044377923,block1:s1,prompt_sjf,mixed,1785144915.9165387,1785144915.9171808,1785144916.2620566,1785144916.9094093,,,
block1-000003,69.60683804936707,8120.610658079386,397,25.0,68.76841897610575,8119.772239006124,0.8384190732613206,block1:zero_tool,prompt_sjf,mixed,1785144916.250771,1785144916.2516098,1785144916.3203905,1785144924.3713942,,,
block1-000004,124.66925580520183,3098.9339627558365,147,177.5,123.80333198234439,3098.068038932979,0.8659238228574395,block1:zero_tool,prompt_sjf,mixed,1785144916.3182862,1785144916.3191526,1785144916.4429655,1785144919.4172306,,,
block1-000005,132.84436974208802,1488.3307906566188,67,15.0,132.09507707506418,1487.581497989595,0.7492926670238376,block1:s1,prompt_sjf,mixed,1785144916.3248272,1785144916.325577,1785144916.4576802,1785144917.8131666,,,
block1-000006,88.84693158324808,3759.6961986273527,181,85.0,87.96443499159068,3758.8137020356953,0.8824965916574001,block1:zero_tool,prompt_sjf,mixed,1785144916.571304,1785144916.5721872,1785144916.66016,1785144920.3310094,,,
block1-000007,83.98209360893816,3426.1584415799007,163,287.5,83.67163210641593,3425.8479800773785,0.31046150252223015,block1:zero_tool,prompt_sjf,mixed,1785144916.5789921,1785144916.579303,1785144916.6629832,1785144920.0051596,,,
block1-000008,68.57709062751383,3545.7633966580033,170,412.5,67.85152095835656,3545.037826988846,0.7255696691572666,block1:zero_tool,prompt_sjf,mixed,1785144917.218552,1785144917.2192783,1785144917.2871392,1785144920.7643254,,,
block1-000009,408.6594100808725,986.4100920967758,44,145.0,407.7086809556931,985.4593629715964,0.9507291251793504,block1:s2,prompt_sjf,mixed,1785144917.2883313,1785144917.2892823,1785144917.6969998,1785144918.27475,,,
block1-000010,86.80245594587177,3175.459927879274,152,117.5,86.44621702842414,3175.1036889618263,0.3562389174476266,block1:zero_tool,prompt_sjf,mixed,1785144917.3282907,1785144917.3286479,1785144917.4151073,1785144920.5037642,,,
block1-000011,326.23632752802223,905.7412855327129,43,287.5,325.1193470787257,904.6243050834164,1.116980449296534,block1:s2,prompt_sjf,mixed,1785144917.6013024,1785144917.6024199,1785144917.9275515,1785144918.5070567,,,
block1-000012,56.575224618427455,3196.48579263594,156,15.0,55.8780119754374,3195.78857999295,0.6972126429900527,block1:zero_tool,prompt_sjf,mixed,1785144918.3925083,1785144918.3932061,1785144918.449095,1785144921.589005,,,
block1-000013,416.48609621915966,1031.5069012576714,44,20.0,416.2623459706083,1031.28315100912,0.2237502485513687,block1:s2,prompt_sjf,mixed,1785144918.6319356,1785144918.63216,1785144919.0484314,1785144919.663452,,,
block1-000014,100.67193803843111,1442.0047610765323,67,12.5,100.2548539545387,1441.58767699264,0.41708408389240503,block1:s2,prompt_sjf,mixed,1785144918.8705451,1785144918.8709629,1785144918.9712272,1785144920.3125598,,,
block1-000015,273.2309609418735,766.8372389161959,34,545.0,272.67907897476107,766.2853569490835,0.551881967112422,block1:s2,prompt_sjf,mixed,1785144919.4281433,1785144919.4286954,1785144919.7013845,1785144920.1949909,,,
block1-000016,406.4024200197309,1012.8759989747778,48,155.0,405.6242440128699,1012.0978229679167,0.778176006861031,block1:s3,prompt_sjf,mixed,1785144919.8256843,1785144919.826463,1785144920.2320964,1785144920.8385704,,,
block1-000017,60.378472320735455,3242.255041259341,160,287.5,59.55010501202196,3241.4266739506274,0.8283673087134957,block1:zero_tool,prompt_sjf,mixed,1785144920.2325158,1785144920.2333446,1785144920.2929034,1785144923.4747798,,,
block1-000018,56.18598987348378,2627.7236588066444,128,12.5,55.97528105136007,2627.5129499845207,0.21070882212370634,block1:zero_tool,prompt_sjf,mixed,1785144920.4474754,1785144920.4476864,1785144920.5036707,1785144923.0752084,,,
block1-000019,408.87910465244204,1043.7159126158804,48,100.0,408.65375904832035,1043.4905670117587,0.22534560412168503,block1:s3,prompt_sjf,mixed,1785144920.899025,1785144920.8992507,1785144921.3079119,1785144921.942749,,,
block1-000020,69.18467965442687,3001.0422486811876,147,572.5,68.10402998235077,2999.9615990091115,1.080649672076106,block1:zero_tool,prompt_sjf,mixed,1785144921.1637585,1785144921.1648405,1785144921.2329562,1785144924.164814,,,
block1-000021,350.18835810478777,991.2707160692662,43,10.0,349.8835820937529,990.9659400582314,0.3047760110348463,block1:s3,prompt_sjf,mixed,1785144921.6477888,1785144921.648094,1785144921.9979866,1785144922.639069,,,
block1-000022,505.5851691868156,1116.5462601929903,49,412.5,505.0719769205898,1116.0330679267645,0.5131922662258148,block1:s3,prompt_sjf,mixed,1785144922.1516469,1785144922.1521604,1785144922.65724,1785144923.2682009,,,
block1-000023,317.9322755895555,967.2032775124535,43,15.0,317.1276500215754,966.3986519444734,0.8046255679801106,block1:s3,prompt_sjf,mixed,1785144922.263214,1785144922.2640195,1785144922.5811543,1785144923.2304251,,,
block1-000024,65.0919396430254,3859.02836068999,173,10.0,64.2820259090513,3858.218446956016,0.8099137339740992,block1:zero_tool,prompt_sjf,mixed,1785144922.4590788,1785144922.4598892,1785144922.5241795,1785144926.318116,,,
block1-000025,399.2137530585751,1042.0197560451925,48,152.5,398.92958605196327,1041.7355890385807,0.28416700661182404,block1:s4,prompt_sjf,mixed,1785144922.694141,1785144922.6944256,1785144923.0933633,1785144923.73617,,,
block1-000026,61.73967057839036,4358.287619543262,193,132.5,60.36050303373486,4356.908451998606,1.3791675446555018,block1:zero_tool,prompt_sjf,mixed,1785144923.0730476,1785144923.074428,1785144923.1347988,1785144927.4313467,,,
block1-000027,407.1709339041263,1006.0289649991319,48,320.0,406.12780093215406,1004.9858320271596,1.043132971972227,block1:s4,prompt_sjf,mixed,1785144923.4590063,1785144923.4600503,1785144923.8661895,1785144924.4650474,,,
block1-000028,502.9985528672114,1377.2681849077344,48,17.5,501.95422291290015,1376.2238549534231,1.0443299543112516,block1:s4,prompt_sjf,mixed,1785144924.6296952,1785144924.63074,1785144925.1327014,1785144926.0069711,,,
block1-000029,464.56041117198765,1339.18722323142,48,322.5,464.07914895098656,1338.7059610104188,0.4812622210010886,block1:s4,prompt_sjf,mixed,1785144924.7057655,1785144924.706247,1785144925.1703353,1785144926.044962,,,
block1-000030,444.5393735077232,1352.944496436976,48,95.0,444.3018240854144,1352.706947014667,0.2375494223088026,block1:s4,prompt_sjf,mixed,1785144924.8013313,1785144924.8015695,1785144925.24588,1785144926.154285,,,
block1-000031,491.7031371733174,1347.374043194577,48,132.5,491.47319002076983,1347.1440960420296,0.22994715254753828,block1:s4,prompt_sjf,mixed,1785144924.9899437,1785144924.9901743,1785144925.4816558,1785144926.3373268,,,
block1-000032,485.01839325763285,1202.9055922757834,43,280.0,484.83876197133213,1202.7259609894827,0.17963128630071878,block1:s1,prompt_sjf,mixed,1785144925.2159805,1785144925.2161608,1785144925.7010083,1785144926.418895,,,
