request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,298.2885704841465,867.2763154609129,43,20.0,297.6131740724668,866.6009190492332,0.6753964116796851,block1:s1,prompt_sjf,mixed,1785146028.0579274,1785146028.058603,1785146028.3562238,1785146028.9252117,,,
block1-000001,71.10376772470772,3394.795469706878,173,25.0,70.77961601316929,3394.4713179953396,0.32415171153843403,block1:zero_tool,prompt_sjf,mixed,1785146028.0778875,1785146028.0782118,1785146028.1489964,1785146031.4726882,,,
block1-000002,276.8231665249914,729.1950845392421,36,572.5,276.4248000457883,728.796718060039,0.398366479203105,block1:s1,prompt_sjf,mixed,1785146028.2333786,1785146028.233777,1785146028.510209,1785146028.962581,,,
block1-000003,49.97297853697091,8357.244516490027,397,25.0,49.599232035689056,8356.870769988745,0.3737465012818575,block1:zero_tool,prompt_sjf,mixed,1785146028.3660223,1785146028.3663962,1785146028.4160028,1785146036.7232745,,,
block1-000004,67.06401123665273,2968.230591272004,149,177.5,66.64592493325472,2967.812504968606,0.4180863033980131,block1:zero_tool,prompt_sjf,mixed,1785146028.635005,1785146028.6354234,1785146028.7020772,1785146031.603244,,,
block1-000005,68.5095590306446,1309.5413140254095,67,15.0,67.03103496693075,1308.0627899616957,1.4785240637138486,block1:s1,prompt_sjf,mixed,1785146029.4092298,1785146029.4107084,1785146029.4777465,1785146030.7187784,,,
block1-000006,50.911362282931805,4540.032313321717,207,85.0,50.193600938655436,4539.314551977441,0.7177613442763686,block1:zero_tool,prompt_sjf,mixed,1785146029.4671223,1785146029.4678402,1785146029.5180397,1785146034.007161,,,
block1-000007,56.33084231521934,3563.9608742203563,155,287.5,55.37641001865268,3563.0064419237897,0.9544322965666652,block1:zero_tool,prompt_sjf,mixed,1785146030.2640445,1785146030.2649992,1785146030.320382,1785146033.828013,,,
block1-000008,66.951651009731,3388.6682769516483,145,412.5,66.72660505864769,3388.443231000565,0.2250459510833025,block1:zero_tool,prompt_sjf,mixed,1785146030.5194468,1785146030.5196724,1785146030.5864062,1785146033.9081228,,,
block1-000009,382.63604906387627,1071.457683108747,44,145.0,381.8938300246373,1070.715464069508,0.7422190392389894,block1:s2,prompt_sjf,mixed,1785146030.855278,1785146030.8560205,1785146031.2379227,1785146031.926744,,,
block1-000010,104.61625445168465,3832.45268848259,164,117.5,104.38377293758094,3832.2202069684863,0.23248151410371065,block1:zero_tool,prompt_sjf,mixed,1785146030.8910363,1785146030.8912692,1785146030.9956605,1785146034.7234967,,,
block1-000011,347.37234527710825,1036.4667893154547,43,287.5,346.33223805576563,1035.426682094112,1.0401072213426232,block1:s2,prompt_sjf,mixed,1785146030.9098918,1785146030.9109328,1785146031.2572742,1785146031.9463685,,,
block1-000012,56.63396627642214,6472.4691902520135,300,15.0,56.022098986431956,6471.857322962023,0.6118672899901867,block1:zero_tool,prompt_sjf,mixed,1785146031.021769,1785146031.0223813,1785146031.0784113,1785146037.4942465,,,
block1-000013,314.32894710451365,1002.9687320347875,44,20.0,313.42699902597815,1002.066783956252,0.9019480785354972,block1:s2,prompt_sjf,mixed,1785146031.0796592,1785146031.0805612,1785146031.393995,1785146032.082635,,,
block1-000014,87.5484828138724,1657.2596327168867,67,12.5,86.93204110022634,1656.6431910032406,0.6164417136460543,block1:s2,prompt_sjf,mixed,1785146031.5152516,1785146031.5158682,1785146031.6028068,1785146033.1725178,,,
block1-000015,307.9912634566426,825.4923995118588,34,545.0,307.70711100194603,825.2082470571622,0.28415245469659567,block1:s2,prompt_sjf,mixed,1785146031.7154691,1785146031.7157536,1785146032.0234675,1785146032.5409687,,,
block1-000016,454.92706960067153,1267.5940146436915,48,155.0,454.4827729696408,1267.1497180126607,0.44429663103073835,block1:s3,prompt_sjf,mixed,1785146031.7238889,1785146031.7243335,1785146032.1788235,1785146032.9914904,,,
block1-000017,60.93142938334495,3621.307976427488,160,287.5,60.04402006510645,3620.4205671092495,0.8874093182384968,block1:zero_tool,prompt_sjf,mixed,1785146032.0630229,1785146032.0639107,1785146032.123961,1785146035.6843376,,,
block1-000018,62.851032125763595,2965.9593971446157,128,12.5,62.03557504341006,2965.143940062262,0.8154570823535323,block1:zero_tool,prompt_sjf,mixed,1785146032.1231632,1785146032.1239789,1785146032.1860216,1785146035.08913,,,
block1-000019,445.6429035635665,1341.7747565545142,48,100.0,445.0687529752031,1341.2006059661508,0.574150588363409,block1:s3,prompt_sjf,mixed,1785146032.19361,1785146032.1941845,1785146032.6392605,1785146033.5353925,,,
block1-000020,57.55248467903584,3321.8136446084827,147,572.5,57.30570503510535,3321.566864964552,0.24677964393049479,block1:zero_tool,prompt_sjf,mixed,1785146032.305298,1785146032.3055453,1785146032.362859,1785146035.6271198,,,
block1-000021,478.4475960768759,1211.5390941035002,43,10.0,476.5816549770534,1209.6731530036777,1.8659410998225212,block1:s3,prompt_sjf,mixed,1785146032.553332,1785146032.5551982,1785146033.031788,1785146033.7648797,,,
block1-000022,571.0183862829581,1302.1801692666486,49,412.5,569.5709419669583,1300.7327249506488,1.4474443159997463,block1:s3,prompt_sjf,mixed,1785146032.665048,1785146032.6664956,1785146033.236076,1785146033.967238,,,
block1-000023,398.4959323424846,1175.210154382512,43,15.0,396.54883893672377,1173.2630609767511,1.9470934057608247,block1:s3,prompt_sjf,mixed,1785146032.6933534,1785146032.6953006,1785146033.091857,1785146033.8685713,,,
block1-000024,102.95033815782517,3765.8203911269084,173,10.0,102.20926802139729,3765.0793209904805,0.7410701364278793,block1:zero_tool,prompt_sjf,mixed,1785146032.8622139,1785146032.862955,1785146032.9651725,1785146036.6280422,,,
block1-000025,452.5588001124561,1203.2624601852149,48,152.5,451.55942800920457,1202.2630880819634,0.9993721032515168,block1:s4,prompt_sjf,mixed,1785146032.8640034,1785146032.865003,1785146033.3165696,1785146034.067273,,,
block1-000026,72.63269950635731,4032.7112885424867,190,132.5,70.73587598279119,4030.8144650189206,1.8968235235661268,block1:zero_tool,prompt_sjf,mixed,1785146033.1440916,1785146033.1459887,1785146033.216733,1785146037.1768115,,,
block1-000027,507.2679709410295,1178.4487928962335,48,320.0,507.1022290503606,1178.2830510055646,0.16574189066886902,block1:s4,prompt_sjf,mixed,1785146033.2364159,1785146033.2365818,1785146033.74369,1785146034.414871,,,
block1-000028,488.3666052483022,1156.3952242722735,48,17.5,487.3824210371822,1155.4110400611535,0.9841842111200094,block1:s4,prompt_sjf,mixed,1785146033.3398716,1785146033.340856,1785146033.8282475,1785146034.4962761,,,
block1-000029,501.9201220711693,1187.0959040243179,48,322.5,501.58641999587417,1186.7622019490227,0.3337020752951503,block1:s4,prompt_sjf,mixed,1785146033.3457167,1785146033.3460505,1785146033.8476446,1785146034.5328202,,,
block1-000030,465.90801456477493,1100.1074265222996,48,95.0,464.36802204698324,1098.567434004508,1.5399925177916884,block1:s4,prompt_sjf,mixed,1785146034.1990721,1785146034.2006123,1785146034.664989,1785146035.2991884,,,
block1-000031,410.8668954577297,1064.8139044642448,48,132.5,409.4170209718868,1063.364029978402,1.4498744858428836,block1:s4,prompt_sjf,mixed,1785146034.4466784,1785146034.4481285,1785146034.8575537,1785146035.5115008,,,
block1-000032,338.5716963093728,941.8649952858686,43,280.0,338.39681500103325,941.6901139775291,0.1748813083395362,block1:s1,prompt_sjf,mixed,1785146035.2297833,1785146035.2299583,1785146035.5683632,1785146036.1716564,,,
block1-000033,105.64581968355924,1510.3092286735773,71,10.0,104.6486230334267,1509.3120320234448,0.9971966501325369,block1:s1,prompt_sjf,mixed,1785146035.250847,1785146035.2518446,1785146035.3565,1785146036.7611635,,,
block1-000034,70.47826575580984,4176.47461569868,204,15.0,69.66478901449591,4175.661138957366,0.8134767413139343,block1:zero_tool,prompt_sjf,mixed,1785146035.2859633,1785146035.286777,1785146035.356451,1785146039.4624474,,,
block1-000035,382.4576383922249,936.468364438042,43,10.0,382.27548997383565,936.2862160196528,0.18214841838926077,block1:s1,prompt_sjf,mixed,1785146035.6913528,1785146035.691535,1785146036.0738175,1785146036.6278281,,,
block1-000036,293.74825139530003,788.6181764770299,36,105.0,293.3917419286445,788.2616670103744,0.3565094666555524,block1:s1,prompt_sjf,mixed,1785146035.7802885,1785146035.7806456,1785146036.0740478,1785146036.568918,,,
block1-000037,246.53139535803348,739.6744644502178,34,170.0,246.3148150127381,739.4578841049224,0.21658034529536963,block1:s1,prompt_sjf,mixed,1785146035.9646134,1785146035.9648302,1785146036.2111547,1785146036.7042975,,,
block1-000038,321.34202925954014,890.9073722315952,43,12.5,320.3681940212846,889.9335369933397,0.9738352382555604,block1:s1,prompt_sjf,mixed,1785146036.189176,1785146036.1901503,1785146036.5105252,1785146037.0800905,,,
block1-000039,83.13507866114378,1353.120210696943,68,145.0,81.87910099513829,1351.8642330309376,1.2559776660054922,block1:s1,prompt_sjf,mixed,1785146036.4428358,1785146036.4440923,1785146036.525981,1785146037.795966,,,
block1-000040,62.73310084361583,7990.383386844769,389,10.0,61.76483607850969,7989.415122079663,0.9682647651061416,block1:zero_tool,prompt_sjf,mixed,1785146036.506313,1785146036.5072818,1785146036.5690534,1785146044.496704,,,
block1-000041,275.16550675500184,726.4632867882028,36,17.5,273.60256598331034,724.9003460165113,1.5629407716915011,block1:s2,prompt_sjf,mixed,1785146037.0690625,1785146037.0706258,1785146037.3442366,1785146037.7955344,,,
block1-000042,94.29186570923775,1407.9997517401353,64,145.0,93.67312700487673,1407.3810130357742,0.6187387043610215,block1:s2,prompt_sjf,mixed,1785146037.7701406,1785146037.7707596,1785146037.8644412,1785146039.1781487,,,
block1-000043,97.22915396559983,1700.971330050379,78,17.5,96.99232899583876,1700.734505080618,0.2368249697610736,block1:s2,prompt_sjf,mixed,1785146038.0656464,1785146038.0658834,1785146038.162883,1785146039.766625,,,
block1-000044,314.07351850066334,806.859107571654,35,412.5,313.00498999189585,805.7905790628865,1.0685285087674856,block1:s2,prompt_sjf,mixed,1785146038.0865993,1785146038.0876684,1785146038.4006803,1785146038.8934658,,,
