request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,480.0898527028039,1126.2500477023423,43,20.0,479.5123990625143,1125.6725940620527,0.5774536402896047,block1:s1,pure_ltr,mixed,1785146681.2917345,1785146681.2923124,1785146681.7718337,1785146682.4179938,,,
block1-000001,211.79674623999745,3872.327710269019,174,25.0,210.96195303834975,3871.4929170673713,0.8347932016476989,block1:zero_tool,pure_ltr,mixed,1785146681.2922845,1785146681.2931192,1785146681.5040848,1785146685.1646156,,,
block1-000002,346.47429129108787,992.3043492017314,42,572.5,345.4696700209752,991.2997279316187,1.0046212701126933,block1:s1,pure_ltr,mixed,1785146681.5192633,1785146681.520268,1785146681.86575,1785146682.5115802,,,
block1-000003,53.072729147970676,9732.916636159644,461,25.0,52.656720974482596,9732.500627986155,0.4160081734880805,block1:zero_tool,pure_ltr,mixed,1785146681.8534956,1785146681.8539119,1785146681.9065819,1785146691.5864255,,,
block1-000004,108.9974029455334,3113.5046968702227,147,177.5,108.20699599571526,3112.7142899204046,0.7904069498181343,block1:zero_tool,pure_ltr,mixed,1785146681.9210107,1785146681.9218016,1785146682.0300221,1785146685.034529,,,
block1-000005,151.66993369348347,1521.6277396539226,67,15.0,150.71360499132425,1520.6714109517634,0.9563287021592259,block1:s1,pure_ltr,mixed,1785146681.9275517,1785146681.928508,1785146682.0792305,1785146683.449188,,,
block1-000006,88.5011536302045,3717.1674226410687,178,85.0,88.04388099815696,3716.710150009021,0.457272632047534,block1:zero_tool,pure_ltr,mixed,1785146682.1740286,1785146682.1744862,1785146682.2625437,1785146685.8912094,,,
block1-000007,83.5417757043615,3440.231451764703,163,287.5,83.34090805146843,3440.0305841118097,0.2008676528930664,block1:zero_tool,pure_ltr,mixed,1785146682.1817167,1785146682.1819177,1785146682.2652678,1785146685.6219575,,,
block1-000008,67.79718468897045,3503.9096836699173,167,412.5,67.63039599172771,3503.7428949726745,0.16678869724273682,block1:zero_tool,pure_ltr,mixed,1785146682.8212767,1785146682.8214436,1785146682.8890812,1785146686.3251936,,,
block1-000009,421.6700472170487,1000.5069292383268,44,145.0,421.30345304030925,1000.1403350615874,0.36659417673945427,block1:s2,pure_ltr,mixed,1785146682.8910558,1785146682.8914225,1785146683.3127332,1785146683.8915696,,,
block1-000010,100.08232097607106,3244.7996189584956,155,117.5,99.65842496603727,3244.3757229484618,0.4238960100337863,block1:zero_tool,pure_ltr,mixed,1785146682.9310153,1785146682.9314396,1785146683.031105,1785146686.1758223,,,
block1-000011,320.8992285653949,900.2020985353738,43,287.5,320.00085699837655,899.3037269683555,0.8983715670183301,block1:s2,pure_ltr,mixed,1785146683.204027,1785146683.2049258,1785146683.524936,1785146684.1042385,,,
block1-000012,70.24793373420835,2873.6424647504464,138,15.0,69.5669959532097,2872.9615269694477,0.6809377809986472,block1:zero_tool,pure_ltr,mixed,1785146683.9952328,1785146683.995914,1785146684.0654898,1785146686.8688836,,,
block1-000013,411.20251826941967,1026.3502382440493,44,20.0,409.33965402655303,1024.4873740011826,1.8628642428666353,block1:s2,pure_ltr,mixed,1785146684.2346601,1785146684.236524,1785146684.6458733,1785146685.2610211,,,
block1-000014,94.99080409295857,1436.7517860373482,67,12.5,94.8234440293163,1436.584425973706,0.1673600636422634,block1:s2,pure_ltr,mixed,1785146684.4732697,1785146684.4734378,1785146684.5682719,1785146685.9100327,,,
block1-000015,267.7936120890081,762.1901570819318,34,545.0,267.1042999718338,761.5008449647576,0.6893121171742678,block1:s2,pure_ltr,mixed,1785146685.0308678,1785146685.0315576,1785146685.2986717,1785146685.7930682,,,
block1-000016,401.8040130613372,1007.9119490692392,48,155.0,401.1364720063284,1007.2444080142304,0.667541055008769,block1:s3,pure_ltr,mixed,1785146685.4284089,1785146685.4290767,1785146685.8302207,1785146686.4363286,,,
block1-000017,56.096767308190465,3256.864274269901,161,287.5,55.9218639973551,3256.689370959066,0.17490331083536148,block1:zero_tool,pure_ltr,mixed,1785146685.8352404,1785146685.8354156,1785146685.8913445,1785146689.0921125,,,
block1-000018,68.7897908501327,2640.9412547945976,128,12.5,67.75841698981822,2639.909880934283,1.0313738603144884,block1:zero_tool,pure_ltr,mixed,1785146686.0502,1785146686.0512314,1785146686.1189978,1785146688.6911495,,,
block1-000019,403.72903272509575,1036.6201407741755,48,100.0,403.38011202402413,1036.271220073104,0.34892070107162,block1:s3,pure_ltr,mixed,1785146686.5017495,1785146686.5020988,1785146686.9054866,1785146687.5383778,,,
block1-000020,64.34441765304655,2994.8597917100415,147,572.5,64.0541089233011,2994.569482980296,0.29030872974544764,block1:zero_tool,pure_ltr,mixed,1785146686.766483,1785146686.766774,1785146686.8308392,1785146689.7613544,,,
block1-000021,343.16403116099536,984.4642431708053,43,10.0,342.13395905680954,983.4341710666195,1.0300721041858196,block1:s3,pure_ltr,mixed,1785146687.2505133,1785146687.2515438,1785146687.593686,1785146688.2349863,,,
block1-000022,499.1171053843573,1110.047681373544,49,412.5,498.5621980158612,1109.492774005048,0.5549073684960604,block1:s3,pure_ltr,mixed,1785146687.7543714,1785146687.7549267,1785146688.2534952,1785146688.8644257,,,
block1-000023,311.3039577146992,960.6256667757407,43,15.0,310.258531011641,959.5802400726825,1.0454267030581832,block1:s3,pure_ltr,mixed,1785146687.8659387,1785146687.8669846,1785146688.1772501,1785146688.8265717,,,
block1-000024,58.32298286259174,3865.5384158482775,173,10.0,57.54596507176757,3864.7613980574533,0.7770177908241749,block1:zero_tool,pure_ltr,mixed,1785146688.0618033,1785146688.062581,1785146688.1201344,1785146691.9273496,,,
block1-000025,428.33723907824606,1054.2645821115002,48,152.5,428.16150502767414,1054.0888480609283,0.1757340505719185,block1:s4,pure_ltr,mixed,1785146688.2968655,1785146688.2970414,1785146688.7252092,1785146689.351137,,,
block1-000026,55.516326683573425,4312.539804726839,190,132.5,54.92710997350514,4311.950588016771,0.5892167100682855,block1:zero_tool,pure_ltr,mixed,1785146688.6757722,1785146688.676362,1785146688.7313004,1785146692.9883232,,,
block1-000027,400.4498660797253,1000.4836460575461,48,320.0,399.93769803550094,999.9714780133218,0.5121680442243814,block1:s4,pure_ltr,mixed,1785146689.0617309,1785146689.0622432,1785146689.4621887,1785146690.0622225,,,
block1-000028,521.2550909491256,1402.2962959716097,48,17.5,520.4586409963667,1401.4998460188508,0.7964499527588487,block1:s4,pure_ltr,mixed,1785146690.2324197,1785146690.2332165,1785146690.7536838,1785146691.634725,,,
block1-000029,483.02314325701445,1365.7592883100733,48,322.5,482.75431292131543,1365.4904579743743,0.2688303356990218,block1:s4,pure_ltr,mixed,1785146690.30849,1785146690.3087595,1785146690.7915215,1785146691.674258,,,
block1-000030,444.42450045607984,1359.086865442805,48,95.0,443.84064292535186,1358.503007912077,0.5838575307279825,block1:s4,pure_ltr,mixed,1785146690.4040558,1785146690.40464,1785146690.8484883,1785146691.763151,,,
block1-000031,492.4008392263204,1353.8715952308849,48,132.5,492.11267102509737,1353.5834270296618,0.2881682012230158,block1:s4,pure_ltr,mixed,1785146690.5926683,1785146690.5929568,1785146691.0850778,1785146691.9465482,,,
block1-000032,490.4143234016374,1209.3946103705093,43,280.0,488.57496201526374,1207.5552489841357,1.839361386373639,block1:s1,pure_ltr,mixed,1785146690.818705,1785146690.8205447,1785146691.309128,1785146692.0281084,,,
block1-000033,143.63375073298812,1819.222412770614,71,10.0,142.8108550608158,1818.3995170984417,0.822895672172308,block1:s1,pure_ltr,mixed,1785146690.9031498,1785146690.903973,1785146691.0467923,1785146692.7223809,,,
block1-000034,96.15855780430138,4414.3032528227195,198,15.0,95.87959002237767,4414.024285040796,0.2789677819237113,block1:zero_tool,pure_ltr,mixed,1785146690.950852,1785146690.951131,1785146691.0470197,1785146695.3651645,,,
block1-000035,215.8882941585034,1933.6390100652352,75,10.0,215.49723809584975,1933.2479540025815,0.3910560626536608,block1:s1,pure_ltr,mixed,1785146691.09313,1785146691.0935214,1785146691.3090286,1785146693.0267792,,,
block1-000036,448.9714781520888,1007.4216981884092,36,105.0,448.4429090516642,1006.8931290879846,0.5285691004246473,block1:s1,pure_ltr,mixed,1785146691.1662126,1785146691.1667418,1785146691.6151938,1785146692.173644,,,
block1-000037,302.9929206240922,841.4993436308578,34,170.0,302.25060996599495,840.7570329727605,0.7423106580972672,block1:s1,pure_ltr,mixed,1785146691.2832441,1785146691.283987,1785146691.5862458,1785146692.1247523,,,
block1-000038,443.17829760257155,1088.5573715204373,43,12.5,442.6595710683614,1088.0386449862272,0.5187265342101455,block1:s1,pure_ltr,mixed,1785146691.464455,1785146691.464974,1785146691.9076416,1785146692.5530207,,,
block1-000039,141.38319937046617,1588.3873293641955,68,145.0,141.1175769753754,1588.1217069691047,0.2656223950907588,block1:s1,pure_ltr,mixed,1785146691.6882093,1785146691.6884751,1785146691.8296006,1785146693.2766047,,,
block1-000040,61.62039889022708,7727.223600959405,365,10.0,61.04881700593978,7726.652019075118,0.5715818842872977,block1:zero_tool,pure_ltr,mixed,1785146691.9661994,1785146691.9667711,1785146692.0278273,1785146699.6934304,,,
block1-000041,347.4249175051227,914.8436195682734,36,17.5,346.45424399059266,913.8729460537434,0.9706735145300627,block1:s2,pure_ltr,mixed,1785146692.0927198,1785146692.093691,1785146692.4401562,1785146693.007575,,,
block1-000042,89.98051332309842,1409.2754243174568,64,145.0,89.71930597908795,1409.0142169734463,0.2612073440104723,block1:s2,pure_ltr,mixed,1785146692.498324,1785146692.4985855,1785146692.588313,1785146693.907608,,,
block1-000043,372.68521066289395,1040.221803705208,45,17.5,371.6961520258337,1039.2327450681478,0.989058637060225,block1:s2,pure_ltr,mixed,1785146692.7478726,1785146692.7488618,1785146693.1205654,1785146693.7881026,,,
block1-000044,325.84993657656014,837.009996525012,35,412.5,325.3091729711741,836.4692329196259,0.5407636053860188,block1:s2,pure_ltr,mixed,1785146692.757077,1785146692.7576182,1785146693.0829349,1785146693.5940948,,,
block1-000045,53.157727466896176,2981.632021488622,143,572.5,52.835703012533486,2981.309997034259,0.32202445436269045,block1:zero_tool,pure_ltr,mixed,1785146692.8960564,1785146692.896379,1785146692.9492207,1785146695.8776944,,,
block1-000046,63.49376356229186,6593.47024851013,314,107.5,62.82989808823913,6592.806383036077,0.6638654740527272,block1:zero_tool,pure_ltr,mixed,1785146693.2128098,1785146693.213474,1785146693.2763116,1785146699.8062878,,,
block1-000047,287.75640844833106,732.4358524056152,34,10.0,287.35300700645894,732.032450963743,0.4034014418721199,block1:s2,pure_ltr,mixed,1785146693.3064642,1785146693.306868,1785146693.594228,1785146694.0389073,,,
block1-000048,59.72724640741944,2874.78528637439,139,10.0,58.74067998956889,2873.7987199565396,0.986566417850554,block1:zero_tool,pure_ltr,mixed,1785146693.539588,1785146693.5405755,1785146693.5993254,1785146696.4143834,,,
block1-000049,65.05169393494725,2667.2386089339852,128,17.5,64.61498700082302,2666.801901999861,0.43670693412423134,block1:zero_tool,pure_ltr,mixed,1785146693.7280686,1785146693.7285054,1785146693.793127,1785146696.395314,,,
block1-000050,440.95717009622604,1096.4697861345485,48,160.0,440.53447898477316,1096.0470950230956,0.4226911114528775,block1:s3,pure_ltr,mixed,1785146694.38396,1785146694.384383,1785146694.824925,1785146695.4804375,,,
block1-000051,282.1799652883783,899.2816072423011,39,17.5,281.7423000233248,898.8439419772476,0.43766526505351067,block1:s3,pure_ltr,mixed,1785146694.6609666,1785146694.6614046,1785146694.9431543,1785146695.560256,,,
block1-000052,407.80776320025325,1097.2812391119078,48,170.0,407.1451190393418,1096.6185949509963,0.6626441609114408,block1:s3,pure_ltr,mixed,1785146694.898555,1785146694.8992178,1785146695.306373,1785146695.995846,,,
block1-000053,56.82014231570065,3119.3838722538203,142,160.0,56.31428398191929,3118.878013920039,0.5058583337813616,block1:zero_tool,pure_ltr,mixed,1785146695.1725433,1785146695.1730497,1785146695.2293732,1785146698.2919362,,,
block1-000054,496.59538990817964,952.7928868774325,43,282.5,495.8869710098952,952.084467979148,0.7084188982844353,block1:s3,pure_ltr,mixed,1785146695.517816,1785146695.5185246,1785146696.014421,1785146696.4706187,,,
block1-000055,410.8234803425148,1056.5185652812943,48,282.5,409.82930501922965,1055.5243899580091,0.9941753232851624,block1:s3,pure_ltr,mixed,1785146695.756065,1785146695.7570593,1785146696.1668954,1785146696.8125906,,,
block1-000056,73.67579115089029,3336.6826421115547,154,115.0,72.76855199597776,3335.775402956642,0.9072391549125314,block1:zero_tool,pure_ltr,mixed,1785146695.8449595,1785146695.845867,1785146695.9186425,1785146699.1816492,,,
block1-000057,62.49994121026248,4089.324259199202,193,15.0,61.61996501032263,4088.444282999262,0.879976199939847,block1:zero_tool,pure_ltr,mixed,1785146696.448573,1785146696.4494536,1785146696.5110805,1785146700.537905,,,
block1-000058,414.15285773109645,1203.3986537717283,48,105.0,413.84580300655216,1203.091599047184,0.30705472454428673,block1:s4,pure_ltr,mixed,1785146696.5309355,1785146696.5312428,1785146696.945096,1785146697.7343419,,,
block1-000059,499.5680428110063,1253.0976388370618,49,25.0,497.77369492221624,1251.3032909482718,1.794347888790071,block1:s4,pure_ltr,mixed,1785146696.861752,1785146696.8635464,1785146697.3613281,1785146698.1148574,,,
block1-000060,495.1086462242529,1211.4991501439363,48,412.5,494.9842820642516,1211.374785983935,0.12436416000127792,block1:s4,pure_ltr,mixed,1785146696.9034858,1785146696.9036102,1785146697.3986003,1785146698.114991,,,
block1-000061,485.7245940947905,1162.4424310866743,48,282.5,485.49395403824747,1162.2117910301313,0.2306400565430522,block1:s4,pure_ltr,mixed,1785146697.1102612,1785146697.1104922,1785146697.5959935,1785146698.2727115,,,
block1-000062,456.4977907575667,1132.81272968743,48,15.0,456.37950696982443,1132.6944458996877,0.11828378774225712,block1:s4,pure_ltr,mixed,1785146697.2785127,1785146697.278631,1785146697.7350185,1785146698.4113333,,,
block1-000063,423.749094363302,1098.961430368945,48,282.5,422.96951403841376,1098.1818500440568,0.7795803248882294,block1:s4,pure_ltr,mixed,1785146697.466597,1785146697.467377,1785146697.8903544,1785146698.5655668,,,
block1-000064,92.10217336658388,2458.2091133343056,117,10.0,91.90708596725017,2458.014025934972,0.19508739933371544,block1:zero_tool,pure_ltr,mixed,1785146697.47796,1785146697.4781554,1785146697.5700698,1785146699.9361765,,,
block1-000065,84.81239795219153,4093.052990967408,194,282.5,83.84621108416468,4092.086804099381,0.9661868680268526,block1:zero_tool,pure_ltr,mixed,1785146697.511414,1785146697.5123804,1785146697.5962348,1785146701.6044755,,,
block1-000066,362.7007344039157,936.5027584135532,43,12.5,362.52457392401993,936.3265979336575,0.17616047989577055,block1:s1,pure_ltr,mixed,1785146698.0096467,1785146698.009823,1785146698.3723557,1785146698.9461582,,,
block1-000067,70.45166136231273,3040.7136033754796,145,140.0,70.16788702458143,3040.4298290377483,0.2837743377313018,block1:zero_tool,pure_ltr,mixed,1785146698.301861,1785146698.3021452,1785146698.3723207,1785146701.3425825,,,
block1-000068,338.30240194220096,884.1046749148518,39,10.0,336.7466899799183,882.5489629525691,1.5557119622826576,block1:s1,pure_ltr,mixed,1785146699.0709472,1785146699.072503,1785146699.4092577,1785146699.95506,,,
block1-000069,89.72150273621082,1315.3260258259252,61,15.0,89.51110998168588,1315.1156330714002,0.2103927545249462,block1:s1,pure_ltr,mixed,1785146699.7905624,1785146699.7907732,1785146699.880292,1785146701.1058962,,,
block1-000070,89.98661581426859,15658.453208743595,743,12.5,89.04152305331081,15657.508115982637,0.9450927609577775,block1:zero_tool,pure_ltr,mixed,1785146699.8085628,1785146699.8095078,1785146699.898557,1785146715.4670234,,,
block1-000071,82.26247760467231,1526.3489726930857,69,177.5,81.56206493731588,1525.6485600257292,0.7004126673564315,block1:s1,pure_ltr,mixed,1785146699.8163617,1785146699.8170621,1785146699.8986297,1785146701.3427162,,,
block1-000072,310.0505827460438,1048.843414755538,41,105.0,309.736612951383,1048.5294449608773,0.31396979466080666,block1:s2,pure_ltr,mixed,1785146700.651336,1785146700.6516502,1785146700.9613945,1785146701.7001872,,,
block1-000073,366.6494300123304,1034.63357698638,40,20.0,366.24628910794854,1034.230436081998,0.4031409043818712,block1:s2,pure_ltr,mixed,1785146700.9761593,1785146700.9765627,1785146701.342818,1785146702.0108023,,,
block1-000074,98.81660621613264,3959.3148332787678,183,545.0,98.62502990290523,3959.1232569655403,0.19157631322741508,block1:zero_tool,pure_ltr,mixed,1785146701.1708856,1785146701.1710777,1785146701.2697098,1785146705.1302083,,,
block1-000075,99.91286345757544,3028.8001184817404,142,357.5,99.14338705129921,3028.030642075464,0.769476406276226,block1:zero_tool,pure_ltr,mixed,1785146701.205805,1785146701.206575,1785146701.3057246,1785146704.2346117,,,
block1-000076,93.5564017854631,3176.570169744082,149,282.5,92.81250298954546,3175.826270948164,0.7438987959176302,block1:zero_tool,pure_ltr,mixed,1785146701.248712,1785146701.2494562,1785146701.342275,1785146704.4252887,,,
block1-000077,297.5793401710689,950.3674531588331,41,115.0,296.9465850619599,949.7346980497241,0.6327551091089845,block1:s2,pure_ltr,mixed,1785146701.2714036,1785146701.2720366,1785146701.5689902,1785146702.2217784,,,
block1-000078,97.58805634919554,1430.2559724310413,67,50.0,95.95306497067213,1428.620981052518,1.6349913785234094,block1:s2,pure_ltr,mixed,1785146701.3751214,1785146701.3767564,1785146701.4727159,1785146702.8053837,,,
block1-000079,304.8872402869165,766.6840982856229,34,160.0,304.67033199965954,766.4671899983659,0.2169082872569561,block1:s2,pure_ltr,mixed,1785146701.550127,1785146701.5503442,1785146701.8550222,1785146702.316819,,,
block1-000080,92.83790492918342,2898.6438208958134,139,115.0,91.24165098182857,2897.0475669484586,1.5962539473548532,block1:zero_tool,pure_ltr,mixed,1785146701.7359693,1785146701.737566,1785146701.8288145,1785146704.6346204,,,
block1-000081,267.89999078027904,725.1237147720531,33,60.0,267.1725619584322,724.3962859502062,0.7274288218468428,block1:s3,pure_ltr,mixed,1785146701.742795,1785146701.7435226,1785146702.0107021,1785146702.467926,,,
block1-000082,66.6860262863338,3559.3404232058674,161,10.0,65.74348406866193,3558.3978809881955,0.9425422176718712,block1:zero_tool,pure_ltr,mixed,1785146703.340168,1785146703.341111,1785146703.4068618,1785146706.899516,,,
block1-000083,267.1113455435261,992.1819635201246,41,115.0,266.56208699569106,991.6327049722895,0.549258547835052,block1:s3,pure_ltr,mixed,1785146703.3617604,1785146703.3623102,1785146703.6288815,1785146704.353952,,,
block1-000084,475.5678891669959,1198.1174021493644,48,17.5,474.5748509885743,1197.1243639709428,0.993038178421557,block1:s3,pure_ltr,mixed,1785146703.7393117,1785146703.7403052,1785146704.2148907,1785146704.9374404,,,
block1-000085,483.7600588798523,1151.7084668157622,46,145.0,483.57312206644565,1151.5215300023556,0.18693681340664625,block1:s3,pure_ltr,mixed,1785146703.97862,1785146703.9788072,1785146704.4623876,1785146705.1303358,,,
block1-000086,496.790686622262,1151.974935666658,46,155.0,496.22317194007337,1151.4074209844694,0.5675146821886301,block1:s3,pure_ltr,mixed,1785146703.9848251,1785146703.9853928,1785146704.4816217,1785146705.1368062,,,
