request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,289.41422898788005,853.5204019863158,43,20.0,289.0908739063889,853.1970469048247,0.3233550814911723,block1:s1,pure_ltr,mixed,1785147241.1171563,1785147241.1174803,1785147241.4065762,1785147241.9706824,,,
block1-000001,54.29697351064533,3312.416882487014,173,25.0,54.031988023780286,3312.151897000149,0.26498548686504364,block1:zero_tool,pure_ltr,mixed,1785147241.2414498,1785147241.2417152,1785147241.2957556,1785147244.5538754,,,
block1-000002,273.2629260281101,723.1732300715521,36,572.5,272.57605793420225,722.4863619776443,0.6868680939078331,block1:s1,pure_ltr,mixed,1785147241.71546,1785147241.7161472,1785147241.9887311,1785147242.4386413,,,
block1-000003,69.74987813737243,7916.093043168075,397,25.0,69.36864694580436,7915.711811976507,0.3812311915680766,block1:zero_tool,pure_ltr,mixed,1785147241.9010398,1785147241.9014213,1785147241.9707978,1785147249.8171413,,,
block1-000004,66.3346474757418,2834.9564514355734,147,177.5,65.96735096536577,2834.5891549251974,0.36729651037603617,block1:zero_tool,pure_ltr,mixed,1785147242.4121032,1785147242.4124708,1785147242.4784462,1785147245.2470682,,,
block1-000005,70.17299416474998,1317.6250071264803,67,15.0,69.40055696759373,1316.852569929324,0.7724371971562505,block1:s1,pure_ltr,mixed,1785147242.512275,1785147242.5130477,1785147242.5824554,1785147243.8299074,,,
block1-000006,55.69508683402091,3952.1555729443207,204,85.0,55.16360292676836,3951.624089037068,0.5314839072525501,block1:zero_tool,pure_ltr,mixed,1785147242.9072704,1785147242.9078023,1785147242.9629734,1785147246.859434,,,
block1-000007,61.61507859360427,3023.635819554329,156,287.5,61.28852907568216,3023.309270036407,0.3265495179221034,block1:zero_tool,pure_ltr,mixed,1785147243.3882413,1785147243.3885684,1785147243.4498641,1785147246.411885,,,
block1-000008,54.33307692874223,2353.466766886413,121,412.5,54.101398098282516,2353.2350880559534,0.23167883045971394,block1:zero_tool,pure_ltr,mixed,1785147243.4930654,1785147243.4932976,1785147243.5474067,1785147245.84654,,,
block1-000009,307.63769207987934,878.035954083316,44,145.0,307.01060499995947,877.4088670033962,0.6270870799198747,block1:s2,pure_ltr,mixed,1785147243.9392827,1785147243.9399104,1785147244.2469301,1785147244.8173285,,,
