request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,293.6920345528051,862.5298405531794,43,20.0,293.2116480078548,862.0494540082291,0.4803865449503064,block1:s1,pure_ltr,mixed,1785147795.565772,1785147795.5662525,1785147795.8594706,1785147796.4283085,,,
block1-000001,66.46347674541175,3450.784099753946,176,25.0,65.90198003686965,3450.222603045404,0.5614967085421085,block1:zero_tool,pure_ltr,mixed,1785147795.5857322,1785147795.5862935,1785147795.6521995,1785147799.0365202,,,
block1-000002,272.2235395340249,837.3194275191054,42,572.5,271.4026119792834,836.4984999643639,0.8209275547415018,block1:s1,pure_ltr,mixed,1785147795.7412233,1785147795.7420444,1785147796.0134544,1785147796.57855,,,
block1-000003,64.16721956338733,8447.535805520602,401,25.0,63.39900800958276,8446.767593966797,0.7682115538045764,block1:zero_tool,pure_ltr,mixed,1785147795.873867,1785147795.8746352,1785147795.9380417,1785147804.3214104,,,
block1-000004,62.31124931946397,2947.8119923733175,149,177.5,61.56684400048107,2947.0675870543346,0.7444053189828992,block1:zero_tool,pure_ltr,mixed,1785147796.1428497,1785147796.1435945,1785147796.2051687,1785147799.0906696,,,
block1-000005,64.38242201693356,1306.098976987414,67,15.0,63.83805593941361,1305.554610909894,0.5443660775199533,block1:s1,pure_ltr,mixed,1785147796.9170744,1785147796.917619,1785147796.9814641,1785147798.2231808,,,
block1-000006,65.83101546857506,4597.802562406287,209,85.0,65.17726206220686,4597.148808999918,0.653753406368196,block1:zero_tool,pure_ltr,mixed,1785147796.974967,1785147796.9756207,1785147797.040805,1785147801.5727768,,,
block1-000007,52.65242338646203,3561.8179944576696,155,287.5,52.34368401579559,3561.509255087003,0.3087393706664443,block1:zero_tool,pure_ltr,mixed,1785147797.7718892,1785147797.7721982,1785147797.8245475,1785147801.333713,,,
block1-000008,63.274250947870314,3387.1727020014077,145,412.5,62.71095992997289,3386.6094109835103,0.5632910178974271,block1:zero_tool,pure_ltr,mixed,1785147798.0272915,1785147798.027855,1785147798.0905726,1785147801.414471,,,
block1-000009,379.32979210745543,1069.040974136442,44,145.0,378.8560020038858,1068.5671840328723,0.4737901035696268,block1:s2,pure_ltr,mixed,1785147798.3631227,1785147798.363597,1785147798.742461,1785147799.4321723,,,
block1-000010,101.43581160809845,3832.0978926494718,164,117.5,99.40536704380065,3830.067448085174,2.0304445642977953,block1:zero_tool,pure_ltr,mixed,1785147798.398881,1785147798.4009116,1785147798.5003269,1785147802.230989,,,
block1-000011,344.035956193693,1033.6855482310057,43,287.5,343.8246300211176,1033.4742220584303,0.21132617257535458,block1:s2,pure_ltr,mixed,1785147798.4177365,1785147798.417948,1785147798.76178,1785147799.4514296,,,
block1-000012,73.4742193017155,4414.38705928158,194,15.0,72.98434595577419,4413.897185935639,0.48987334594130516,block1:zero_tool,pure_ltr,mixed,1785147798.5296137,1785147798.530104,1785147798.6030972,1785147802.9440098,,,
block1-000013,330.5781410308555,1036.0045620473102,44,20.0,329.73273599054664,1035.1591570070013,0.8454050403088331,block1:s2,pure_ltr,mixed,1785147798.587504,1785147798.5883493,1785147798.9180894,1785147799.623516,,,
block1-000014,103.77244174014777,1690.7913027098402,67,12.5,103.2922649756074,1690.3111259452999,0.4801767645403743,block1:s2,pure_ltr,mixed,1785147799.0230963,1785147799.0235765,1785147799.126877,1785147800.713896,,,
block1-000015,305.1688325358555,822.8348605334759,34,545.0,304.2352020274848,821.9012300251052,0.9336305083706975,block1:s2,pure_ltr,mixed,1785147799.2233138,1785147799.2242475,1785147799.52849,1785147800.046156,,,
block1-000016,459.3232315964997,1284.699581679888,48,155.0,459.14041390642524,1284.5167639898136,0.18281769007444382,block1:s3,pure_ltr,mixed,1785147799.2317336,1785147799.2319164,1785147799.691064,1785147800.5164402,,,
block1-000017,58.39007941540331,3624.0470743505284,160,287.5,58.148525073193014,3623.805520008318,0.24155434221029282,block1:zero_tool,pure_ltr,mixed,1785147799.5708675,1785147799.5711093,1785147799.6292653,1785147803.1949224,,,
block1-000018,60.15236012171954,3639.715428231284,160,12.5,59.732739930041134,3639.2958080396056,0.4196201916784048,block1:zero_tool,pure_ltr,mixed,1785147799.631008,1785147799.6314275,1785147799.691168,1785147803.2707314,,,
