request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,1086.4854605169967,2311.7932095192373,43,20.0,1085.897671058774,2311.2054200610146,0.5877894582226872,block1:s1,fcfs,mixed,1785143103.1765194,1785143103.177108,1785143104.2630172,1785143105.488325,,,
block1-000001,235.54937401786447,7684.764979057945,176,25.0,234.31614192668349,7683.531746966764,1.2332320911809802,block1:zero_tool,fcfs,mixed,1785143103.1770694,1785143103.1783032,1785143103.4126265,1785143110.8618417,,,
block1-000002,915.4615331208333,2140.7445720396936,42,572.5,914.5875200629234,2139.8705589817837,0.8740130579099059,block1:s1,fcfs,mixed,1785143103.4040482,1785143103.4049227,1785143104.3195195,1785143105.5448027,,,
block1-000003,126.9657580414787,14114.12936495617,334,25.0,126.03832106105983,14113.201927975751,0.9274369804188609,block1:zero_tool,fcfs,mixed,1785143103.7382805,1785143103.739209,1785143103.8652627,1785143117.852426,,,
block1-000004,109.41079386975616,6103.375461883843,149,177.5,108.48755901679397,6102.452227030881,0.9232348529621959,block1:zero_tool,fcfs,mixed,1785143103.8057957,1785143103.8067207,1785143103.9152255,1785143109.9091902,,,
block1-000005,150.63795866444707,2827.4325967067853,67,15.0,149.67819501180202,2826.47283305414,0.9597636526450515,block1:s1,fcfs,mixed,1785143103.8123367,1785143103.8132968,1785143103.9629834,1785143106.639778,,,
block1-000006,90.72052361443639,8271.814162610099,204,85.0,89.6107490407303,8270.704388036393,1.1097745737060905,block1:zero_tool,fcfs,mixed,1785143104.0588136,1785143104.059924,1785143104.149549,1785143112.3306425,,,
block1-000007,85.26881656143814,6625.926464563236,163,287.5,84.39560607075691,6625.053254072554,0.873210490681231,block1:zero_tool,fcfs,mixed,1785143104.0665016,1785143104.0673757,1785143104.1517835,1785143110.6924422,,,
block1-000008,65.57974661700428,6607.060464681126,162,412.5,64.6539879962802,6606.134706060402,0.925758620724082,block1:zero_tool,fcfs,mixed,1785143104.7060616,1785143104.7069883,1785143104.7716537,1785143111.3131342,,,
block1-000009,674.3036491097882,1882.7407910721377,44,145.0,673.3089289627969,1881.7460709251463,0.9947201469913125,block1:s2,fcfs,mixed,1785143104.7758408,1785143104.776836,1785143105.450155,1785143106.658592,,,
block1-000010,116.73309397883713,6328.2997539499775,155,117.5,115.63112703152001,6327.19778700266,1.1019669473171234,block1:zero_tool,fcfs,mixed,1785143104.8158002,1785143104.816903,1785143104.9325452,1785143111.1441114,,,
block1-000011,548.3153974637389,1756.4967604121193,43,287.5,547.524205991067,1755.7055689394474,0.791191472671926,block1:s2,fcfs,mixed,1785143105.0888119,1785143105.0896041,1785143105.6371386,1785143106.84532,,,
block1-000012,59.576666564680636,6284.584732609801,156,15.0,58.883456978946924,6283.891523024067,0.6932095857337117,block1:zero_tool,fcfs,mixed,1785143105.8800178,1785143105.8807113,1785143105.9396024,1785143112.1646106,,,
block1-000013,650.642063235864,1868.2672482682392,44,20.0,649.360814015381,1866.9859990477562,1.281249220483005,block1:s2,fcfs,mixed,1785143106.119445,1785143106.120727,1785143106.7700958,1785143107.9877214,,,
block1-000014,92.43076399434358,2688.084018067457,67,12.5,91.76112501882017,2687.4143790919334,0.6696389755234122,block1:s2,fcfs,mixed,1785143106.3580546,1785143106.3587248,1785143106.4504933,1785143109.0461466,,,
block1-000015,435.92620093841106,1376.546572893858,34,545.0,435.71161094587296,1376.3319829013199,0.21458999253809452,block1:s2,fcfs,mixed,1785143106.9156528,1785143106.9158678,1785143107.3515878,1785143108.292208,,,
block1-000016,696.7297060182318,1975.5350099876523,48,155.0,696.5319990413263,1975.3373030107468,0.19770697690546513,block1:s3,fcfs,mixed,1785143107.3131938,1785143107.3133922,1785143108.0099318,1785143109.288737,,,
block1-000017,61.36579636950046,6892.772032297216,161,287.5,60.550074093043804,6891.95631002076,0.8157222764566541,block1:zero_tool,fcfs,mixed,1785143107.7200253,1785143107.7208416,1785143107.7813988,1785143114.6128047,,,
block1-000018,56.585994781926274,5421.755245770328,128,12.5,55.99120201077312,5421.160452999175,0.594792771153152,block1:zero_tool,fcfs,mixed,1785143107.934985,1785143107.9355805,1785143107.991582,1785143113.3567512,,,
