request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,724.2362516699359,1932.0377726107836,43,20.0,723.7508030375466,1931.5523239783943,0.485448632389307,block1:s1,stock_fcfs,mixed,1785151992.6865973,1785151992.6870835,1785151993.4108453,1785151994.6186466,,,
block1-000001,198.06573912501335,7248.968603089452,173,25.0,197.09258794318885,7247.995451907627,0.9731511818245053,block1:zero_tool,stock_fcfs,mixed,1785151992.6871474,1785151992.6881208,1785151992.8852167,1785151999.9361196,,,
block1-000002,600.7654292043298,1832.1401831926778,42,572.5,600.5019539734349,1831.8767079617828,0.2634752308949828,block1:s1,stock_fcfs,mixed,1785151992.9141262,1785151992.91439,1785151993.514903,1785151994.7462778,,,
block1-000003,61.45384011324495,16774.839468067512,397,25.0,60.43205305468291,16773.81768100895,1.0217870585620403,block1:zero_tool,stock_fcfs,mixed,1785151993.2483585,1785151993.2493806,1785151993.3098214,1785152010.0232072,,,
block1-000004,95.03786696586758,5995.256200898439,147,177.5,93.92426104750484,5994.142594980076,1.1136059183627367,block1:zero_tool,stock_fcfs,mixed,1785151993.3158736,1785151993.3169878,1785151993.4109194,1785151999.3111377,,,
block1-000005,136.56878960318863,2806.9277396425605,67,15.0,135.9863579273224,2806.3453079666942,0.5824316758662462,block1:s1,stock_fcfs,mixed,1785151993.3224146,1785151993.3229976,1785151993.4589915,1785151996.1293504,,,
block1-000006,78.75349756795913,8320.826131501235,204,85.0,78.23619898408651,8320.308832917362,0.5172985838726163,block1:zero_tool,stock_fcfs,mixed,1785151993.5688915,1785151993.5694094,1785151993.6476593,1785152001.8897321,,,
block1-000007,71.18604460265487,12208.97654152941,291,287.5,70.39997808169574,12208.19047500845,0.7860665209591389,block1:zero_tool,stock_fcfs,mixed,1785151993.5765796,1785151993.577366,1785151993.6477747,1785152005.7855651,,,
block1-000008,69.31147363502532,5952.057688613422,145,412.5,68.37754300795496,5951.123757986352,0.9339306270703673,block1:zero_tool,stock_fcfs,mixed,1785151994.2161396,1785151994.217074,1785151994.28546,1785152000.168206,,,
block1-000009,648.0890132952482,1863.2889062864706,44,145.0,647.3713601008058,1862.5712530920282,0.7176531944423914,block1:s2,stock_fcfs,mixed,1785151994.2859187,1785151994.2866368,1785151994.9340148,1785151996.1492147,,,
block1-000010,86.3338049966842,6677.994149969891,164,117.5,85.42225102428347,6677.08259599749,0.9115539724007249,block1:zero_tool,stock_fcfs,mixed,1785151994.3258781,1785151994.3267903,1785151994.4122205,1785152001.0038807,,,
block1-000011,541.0829335451126,1756.3959555700421,43,287.5,540.3113010106608,1755.6243230355904,0.7716325344517827,block1:s2,stock_fcfs,mixed,1785151994.5988898,1785151994.5996623,1785151995.1399834,1785151996.3552969,,,
block1-000012,54.94228459428996,6330.846078577451,156,15.0,54.17179793585092,6330.075591919012,0.7704866584390402,block1:zero_tool,stock_fcfs,mixed,1785151995.3900957,1785151995.3908668,1785151995.445047,1785152001.7209508,,,
block1-000013,650.0026762951165,1873.6340382602066,44,20.0,649.1928260074928,1872.8241879725829,0.8098502876237035,block1:s2,stock_fcfs,mixed,1785151995.629523,1785151995.6303337,1785151996.2795372,1785151997.5031688,,,
block1-000014,92.04833209514618,2703.5341151058674,67,12.5,90.98239801824093,2702.468181028962,1.0659340769052505,block1:s2,stock_fcfs,mixed,1785151995.8681326,1785151995.8691993,1785151995.9601922,1785151998.5716774,,,
block1-000015,439.2353929579258,1388.6090649757534,34,545.0,438.6836689664051,1388.0573409842327,0.5517239915207028,block1:s2,stock_fcfs,mixed,1785151996.4257307,1785151996.4262831,1785151996.8649771,1785151997.8143508,,,
block1-000016,703.4826129674911,1990.84166996181,48,155.0,703.1496029812843,1990.5086599756032,0.33300998620688915,block1:s3,stock_fcfs,mixed,1785151996.8232718,1785151996.8236055,1785151997.5267634,1785151998.8141224,,,
block1-000017,67.26760230958462,6931.975047336891,161,287.5,67.09620601031929,6931.803651037626,0.17139629926532507,block1:zero_tool,stock_fcfs,mixed,1785151997.2301033,1785151997.2302752,1785151997.2973804,1785152004.1620877,,,
block1-000018,63.90746694523841,5483.723749988712,128,12.5,63.17509606014937,5482.991379103623,0.7323708850890398,block1:zero_tool,stock_fcfs,mixed,1785151997.4450629,1785151997.4457955,1785151997.5089798,1785152002.9287958,,,
block1-000019,692.4394526286051,2056.3263526419178,48,100.0,691.8196509359404,2055.706550949253,0.6198016926646233,block1:s3,stock_fcfs,mixed,1785151997.8966124,1785151997.8972325,1785151998.5890617,1785151999.9529486,,,
block1-000020,69.44349070545286,6432.806058786809,147,572.5,68.99108097422868,6432.353649055585,0.45240973122417927,block1:zero_tool,stock_fcfs,mixed,1785151998.161346,1785151998.1617987,1785151998.2307973,1785152004.5941596,,,
block1-000021,590.4770161723718,1829.3962901225314,43,10.0,590.2809090912342,1829.2001830413938,0.19610708113759756,block1:s3,stock_fcfs,mixed,1785151998.6453762,1785151998.6455731,1785151999.235865,1785152000.474784,,,
block1-000022,879.9162242794409,2060.7485602376983,49,412.5,879.526122007519,2060.3584579657763,0.3901022719219327,block1:s3,stock_fcfs,mixed,1785151999.1492343,1785151999.149625,1785152000.0291603,1785152001.2099922,,,
block1-000023,523.6327536404133,1798.2138806255534,43,15.0,523.3831519726664,1797.9642789578065,0.2496016677469015,block1:s3,stock_fcfs,mixed,1785151999.2608016,1785151999.2610517,1785151999.7844467,1785152001.059027,,,
block1-000024,62.357595772482455,7460.475634783506,173,10.0,62.163347960449755,7460.281386971474,0.19424781203269958,block1:zero_tool,stock_fcfs,mixed,1785151999.4566662,1785151999.456861,1785151999.5190322,1785152006.9171505,,,
block1-000025,705.5507489712909,1954.4504890218377,48,152.5,705.1471079466864,1954.0468479972333,0.40364102460443974,block1:s4,stock_fcfs,mixed,1785151999.6917284,1785151999.6921327,1785152000.397289,1785152001.646189,,,
block1-000026,59.13310463074595,8437.953775632195,195,132.5,58.49397799465805,8437.314648996107,0.6391266360878944,block1:zero_tool,stock_fcfs,mixed,1785152000.070635,1785152000.071275,1785152000.1297781,1785152008.508599,,,
block1-000027,677.513767965138,2196.451387950219,48,320.0,676.7383980331942,2195.6760180182755,0.7753699319437146,block1:s4,stock_fcfs,mixed,1785152000.4565938,1785152000.4573696,1785152001.1341147,1785152002.6530523,,,
block1-000028,890.2363070519641,2437.046958017163,48,17.5,889.6371780429035,2436.4478290081024,0.5991290090605617,block1:s4,stock_fcfs,mixed,1785152001.6272826,1785152001.6278822,1785152002.5175285,1785152004.0643394,,,
block1-000029,899.7511522611603,2438.148614251986,49,322.5,898.3845149632543,2436.78197695408,1.3666372979059815,block1:s4,stock_fcfs,mixed,1785152001.703353,1785152001.70472,1785152002.6031146,1785152004.1415124,,,
block1-000030,916.7613945901394,2362.7032425720245,48,95.0,916.134083061479,2362.075931043364,0.627311528660357,block1:s4,stock_fcfs,mixed,1785152001.7989187,1785152001.7995467,1785152002.7156901,1785152004.1616316,,,
block1-000031,890.7181571703404,2394.8885932331905,48,132.5,890.4791240347549,2394.649560097605,0.2390331355854869,block1:s4,stock_fcfs,mixed,1785152001.9875312,1785152001.9877708,1785152002.8782585,1785152004.3824286,,,
block1-000032,750.2780633512884,2144.1968373255804,43,280.0,749.3916800012812,2143.310453975573,0.886383350007236,block1:s1,stock_fcfs,mixed,1785152002.213568,1785152002.214455,1785152002.963856,1785152004.3577747,,,
block1-000033,143.87431065551937,3260.0050986511633,71,10.0,142.96441001351923,3259.095198009163,0.9099006420001388,block1:s1,stock_fcfs,mixed,1785152002.2980127,1785152002.298923,1785152002.441894,1785152005.5580251,,,
block1-000034,96.34471882600337,8220.998808857985,189,15.0,96.14743501879275,8220.801525050774,0.19728380721062422,block1:zero_tool,stock_fcfs,mixed,1785152002.3457148,1785152002.3459122,1785152002.4420671,1785152010.5667214,,,
block1-000035,164.7195330588147,3374.694062047638,75,10.0,163.40142104309052,3373.375950031914,1.3181120157241821,block1:s1,stock_fcfs,mixed,1785152002.487993,1785152002.4893117,1785152002.6527228,1785152005.8626971,,,
block1-000036,699.1837051464245,1797.0270731020719,36,105.0,698.504024068825,1796.3473920244724,0.6796810775995255,block1:s1,stock_fcfs,mixed,1785152002.5610754,1785152002.5617557,1785152003.2602842,1785152004.3581276,,,
block1-000037,544.6038065711036,1625.11343753431,34,170.0,544.2999700317159,1624.8096009949222,0.30383653938770294,block1:s1,stock_fcfs,mixed,1785152002.678107,1785152002.6784112,1785152003.2227192,1785152004.303229,,,
block1-000038,656.1987954191864,2002.9466154519469,43,12.5,655.6357089430094,2002.3835289757699,0.5630864761769772,block1:s1,stock_fcfs,mixed,1785152002.8593178,1785152002.8598812,1785152003.515526,1785152004.8622746,,,
block1-000039,139.59521346259862,2946.637306478806,68,145.0,139.33359005022794,2946.375683066435,0.26162341237068176,block1:s1,stock_fcfs,mixed,1785152003.0830722,1785152003.0833342,1785152003.2226772,1785152006.0297194,,,
block1-000040,57.98290786333382,16465.59103776235,389,10.0,56.946200085803866,16464.55432998482,1.036707777529955,block1:zero_tool,stock_fcfs,mixed,1785152003.3610623,1785152003.3620994,1785152003.4190538,1785152019.8266618,,,
block1-000041,594.6988324867561,1625.7515934994444,36,17.5,592.9488310357556,1624.0015920484439,1.7500014510005713,block1:s2,stock_fcfs,mixed,1785152003.4875827,1785152003.4893339,1785152004.0822933,1785152005.1133466,,,
block1-000042,92.98189543187618,2735.442459466867,64,145.0,92.77389303315431,2735.2344570681453,0.20800239872187376,block1:s2,stock_fcfs,mixed,1785152003.8931868,1785152003.8933954,1785152003.9861796,1785152006.62864,,,
block1-000043,89.93481053039432,3286.7297005141154,78,17.5,88.76444294583052,3285.5593329295516,1.1703675845637918,block1:s2,stock_fcfs,mixed,1785152004.1427355,1785152004.1439064,1785152004.2326796,1785152007.4294746,,,
block1-000044,522.2266966011375,1482.0134725887328,35,412.5,521.4789860183373,1481.2657620059326,0.7477105828002095,block1:s2,stock_fcfs,mixed,1785152004.1519399,1785152004.152688,1785152004.6741743,1785152005.6339607,,,
block1-000045,74.14163136854768,5923.681059386581,141,572.5,73.88635899405926,5923.425787012093,0.25527237448841333,block1:zero_tool,stock_fcfs,mixed,1785152004.2909193,1785152004.2911751,1785152004.3650699,1785152010.214609,,,
block1-000046,66.67091930285096,13220.637171296403,314,107.5,65.85078896023333,13219.817040953785,0.820130342617631,block1:zero_tool,stock_fcfs,mixed,1785152004.6076727,1785152004.6084933,1785152004.6743524,1785152017.8283188,,,
block1-000047,448.79142730496824,1406.557577312924,34,10.0,448.17610597237945,1405.9422559803352,0.6153213325887918,block1:s2,stock_fcfs,mixed,1785152004.701327,1785152004.7019427,1785152005.1501267,1785152006.107893,,,
block1-000048,63.75859538093209,5996.182439383119,143,10.0,62.14609800372273,5994.56994200591,1.6124973772093654,block1:zero_tool,stock_fcfs,mixed,1785152004.9344509,1785152004.9360642,1785152004.9982202,1785152010.9306438,,,
block1-000049,69.66253696009517,5409.087119973265,128,17.5,69.01789200492203,5408.4424750180915,0.6446449551731348,block1:zero_tool,stock_fcfs,mixed,1785152005.1229315,1785152005.1235766,1785152005.1926033,1785152010.5320282,,,
block1-000050,757.3719760403037,2047.0296951243654,48,160.0,756.2946620164439,2045.9523811005056,1.077314023859799,block1:s3,stock_fcfs,mixed,1785152005.778823,1785152005.779901,1785152006.536207,1785152007.8258648,,,
block1-000051,460.5915432330221,1675.3876152215526,39,17.5,460.3463349631056,1675.142406951636,0.24520826991647482,block1:s3,stock_fcfs,mixed,1785152006.0558295,1785152006.0560753,1785152006.5164287,1785152007.7312255,,,
block1-000052,736.5926812635735,2047.5874681724235,48,170.0,736.056812107563,2047.051599016413,0.5358691560104489,block1:s3,stock_fcfs,mixed,1785152006.293418,1785152006.2939541,1785152007.0300188,1785152008.3410137,,,
block1-000053,66.78002618718892,7129.771405248903,168,160.0,66.09854893758893,7129.089927999303,0.6814772495999932,block1:zero_tool,stock_fcfs,mixed,1785152006.5674062,1785152006.568088,1785152006.6341941,1785152013.6971848,,,
block1-000054,837.5773258740082,1936.9755298830569,43,282.5,836.4629260031506,1935.8611300121993,1.1143998708575964,block1:s3,stock_fcfs,mixed,1785152006.912679,1785152006.9137938,1785152007.7502658,1785152008.849664,,,
block1-000055,693.4571091551334,2144.4938231725246,48,282.5,691.3676109397784,2142.4043249571696,2.089498215354979,block1:s3,stock_fcfs,mixed,1785152007.1509278,1785152007.1530178,1785152007.844393,1785152009.2954297,,,
block1-000056,75.84161206614226,6534.265698050149,154,115.0,75.32737602014095,6533.7514620041475,0.5142360460013151,block1:zero_tool,stock_fcfs,mixed,1785152007.2398224,1785152007.2403371,1785152007.3156729,1785152013.7740965,,,
block1-000057,61.42255919985473,7836.777016171254,185,15.0,61.170489992946386,7836.524946964346,0.2520692069083452,block1:zero_tool,stock_fcfs,mixed,1785152007.843436,1785152007.8436887,1785152007.904867,1785152015.680221,,,
block1-000058,829.4541676295921,2173.957582679577,48,105.0,828.4960349556059,2172.999450005591,0.9581326739862561,block1:s4,stock_fcfs,mixed,1785152007.9257984,1785152007.926757,1785152008.7552607,1785152010.099764,,,
