request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,513.5306465672329,1647.5040646037087,43,20.0,512.2949620708823,1646.268380107358,1.2356844963505864,block1:s1,stock_fcfs,mixed,1785153144.6656864,1785153144.6669223,1785153145.1792243,1785153146.3131976,,,
block1-000001,74.09041177015752,7328.4876947291195,176,25.0,72.69218505825847,7327.0894680172205,1.3982267118990421,block1:zero_tool,stock_fcfs,mixed,1785153144.6856465,1785153144.687045,1785153144.759744,1785153152.0141408,,,
block1-000002,471.40361450146884,1602.5874054757878,42,572.5,469.5342539343983,1600.7180449087173,1.8693605670705438,block1:s1,stock_fcfs,mixed,1785153144.8411376,1785153144.8430073,1785153145.3125517,1785153146.4437356,,,
block1-000003,57.724424405023456,17768.312720465474,433,25.0,57.42451793048531,17768.012813990936,0.29990647453814745,block1:zero_tool,stock_fcfs,mixed,1785153144.9737813,1785153144.9740818,1785153145.0315135,1785153162.7421017,,,
block1-000004,69.70062735490501,6195.34024130553,147,177.5,67.97576800454408,6193.615381955169,1.72485935036093,block1:zero_tool,stock_fcfs,mixed,1785153145.242764,1785153145.2444892,1785153145.3124735,1785153151.438113,,,
block1-000005,68.16013797651976,2727.6404569856822,67,15.0,66.55552494339645,2726.035843952559,1.6046130331233144,block1:s1,stock_fcfs,mixed,1785153146.0169888,1785153146.0185938,1785153146.0851572,1785153148.7446375,,,
block1-000006,68.94558039493859,7493.329054443166,178,85.0,68.53768497239798,7492.921159020625,0.40789542254060507,block1:zero_tool,stock_fcfs,mixed,1785153146.0748813,1785153146.0752895,1785153146.1438334,1785153153.5682168,,,
block1-000007,58.346979320049286,6929.585385369137,163,287.5,57.58093798067421,6928.819344029762,0.7660413393750787,block1:zero_tool,stock_fcfs,mixed,1785153146.8718035,1785153146.87257,1785153146.9301593,1785153153.8013976,,,
block1-000008,67.17784504871815,7093.695492018014,167,412.5,66.048567998223,7092.566214967519,1.1292770504951477,block1:zero_tool,stock_fcfs,mixed,1785153147.1272058,1785153147.1283357,1785153147.194392,1785153154.2209096,,,
block1-000009,617.8325110813603,2036.314010154456,44,145.0,617.2279079910368,2035.7094070641324,0.6046030903235078,block1:s2,stock_fcfs,mixed,1785153147.463037,1785153147.4636421,1785153148.080878,1785153149.4993591,,,
block1-000010,97.96199155971408,7000.658650533296,164,117.5,96.10014501959085,6998.796803993173,1.8618465401232243,block1:zero_tool,stock_fcfs,mixed,1785153147.4987953,1785153147.5006576,1785153147.5967655,1785153154.4994621,,,
block1-000011,563.2582291727886,1981.5238491864875,43,287.5,562.9459449555725,1981.2115649692714,0.31228421721607447,block1:s2,stock_fcfs,mixed,1785153147.5176508,1785153147.517964,1785153148.080917,1785153149.499183,,,
block1-000012,69.81515721417964,6628.635510220192,156,15.0,69.69855993520468,6628.518912941217,0.11659727897495031,block1:zero_tool,stock_fcfs,mixed,1785153147.629528,1785153147.629645,1785153147.699351,1785153154.2581708,,,
block1-000013,596.5769871836528,2022.0783731201664,44,20.0,596.083659096621,2021.5850450331345,0.4933280870318413,block1:s2,stock_fcfs,mixed,1785153147.6874182,1785153147.687912,1785153148.2840028,1785153149.709504,,,
block1-000014,105.68424663506448,3122.4651016527787,67,12.5,105.21734191570431,3121.9981969334185,0.46690471936017275,block1:s2,stock_fcfs,mixed,1785153148.1230106,1785153148.123478,1785153148.2287056,1785153151.2454858,,,
block1-000015,482.4384314706549,1644.7079344652593,34,545.0,481.7860899493098,1644.0555929439142,0.652341521345079,block1:s2,stock_fcfs,mixed,1785153148.3232281,1785153148.3238807,1785153148.8056753,1785153149.9679449,,,
block1-000016,783.366561634466,2294.115277705714,48,155.0,782.849755953066,2293.598472024314,0.516805681400001,block1:s3,stock_fcfs,mixed,1785153148.3316479,1785153148.332165,1785153149.1150215,1785153150.6257703,,,
block1-000017,74.04176332056522,6843.133170274086,161,287.5,72.8670849930495,6841.958491946571,1.1746783275157213,block1:zero_tool,stock_fcfs,mixed,1785153148.6707819,1785153148.6719575,1785153148.7448325,1785153155.5139241,,,
block1-000018,74.6711342362687,6802.970234188251,160,12.5,74.35220805928111,6802.651308011264,0.3189261769875884,block1:zero_tool,stock_fcfs,mixed,1785153148.7309222,1785153148.7312417,1785153148.8056014,1785153155.5339003,,,
block1-000019,851.1942236218601,2249.4771926430985,48,100.0,850.0785300275311,2248.3614990487695,1.1156935943290591,block1:s3,stock_fcfs,mixed,1785153148.801369,1785153148.802485,1785153149.6525726,1785153151.0508556,,,
block1-000020,65.26000367011875,6222.50622860156,147,572.5,64.69313404522836,6221.93935897667,0.5668696248903871,block1:zero_tool,stock_fcfs,mixed,1785153148.913057,1785153148.9136245,1785153148.9783275,1785153155.1355734,,,
block1-000021,708.5993421496823,2063.182929181494,43,10.0,706.6530579468235,2061.236644978635,1.9462842028588057,block1:s3,stock_fcfs,mixed,1785153149.161091,1785153149.1630378,1785153149.8696992,1785153151.224283,,,
block1-000022,1019.2255093716085,2259.938895353116,49,412.5,1018.8949020812288,2259.6082880627364,0.33060729037970304,block1:s3,stock_fcfs,mixed,1785153149.272807,1785153149.2731378,1785153150.292041,1785153151.5327547,,,
