request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error,http_status,decision_fail_open
block1-000000,3158.7542785564438,3807.6120755868033,43,20.0,3156.604439020157,3805.4622360505164,2.1498395362868905,block1:s1,policy_fcfs,mixed,1785142973.848038,1785142973.850188,1785142977.006798,1785142977.6556559,,,
block1-000001,2873.386969207786,6508.815366192721,174,25.0,2871.2372250156477,6506.6656220005825,2.1497441921383142,block1:zero_tool,policy_fcfs,mixed,1785142973.848588,1785142973.8507378,1785142976.7219787,1785142980.357407,,,
block1-000002,2950.937455170788,3617.960778181441,42,572.5,2950.407051946968,3617.430374957621,0.5304032238200307,block1:s1,policy_fcfs,mixed,1785142974.0755668,1785142974.0760984,1785142977.026523,1785142977.6935465,,,
block1-000003,2312.5665261177346,9351.350827026181,331,25.0,2311.625891015865,9350.410191924311,0.9406351018697023,block1:zero_tool,policy_fcfs,mixed,1785142974.409799,1785142974.4107416,1785142976.7223973,1785142983.7611823,,,
block1-000004,2245.0100699206814,5365.869391825981,149,177.5,2244.772106059827,5365.631427965127,0.2379638608545065,block1:zero_tool,policy_fcfs,mixed,1785142974.4773142,1785142974.4775536,1785142976.7223387,1785142979.8431983,,,
block1-000005,2278.2390386564657,3732.268199673854,67,15.0,2277.1270039957017,3731.15616501309,1.1120346607640386,block1:s1,policy_fcfs,mixed,1785142974.4838552,1785142974.4849677,1785142976.7621038,1785142978.2161329,,,
block1-000006,1991.8044585501775,5584.917829604819,172,85.0,1990.7684099161997,5583.881780970842,1.0360486339777708,block1:zero_tool,policy_fcfs,mixed,1785142974.7303321,1785142974.7313688,1785142976.7221456,1785142980.315259,,,
block1-000007,1984.4265956198797,5250.71298959665,155,287.5,1984.0059590060264,5250.292352982797,0.4206366138532758,block1:zero_tool,policy_fcfs,mixed,1785142974.7380202,1785142974.7384415,1785142976.7224588,1785142979.9887457,,,
block1-000008,1344.924490666017,4381.271202699281,145,412.5,1344.1677460214123,4380.514458054677,0.7567446446046233,block1:zero_tool,policy_fcfs,mixed,1785142975.3775802,1785142975.3783379,1785142976.7225122,1785142979.7588592,,,
block1-000009,1636.0236402833834,2285.4396261973307,44,145.0,1635.1309830788523,2284.5469689927995,0.8926572045311332,block1:s2,policy_fcfs,mixed,1785142975.4473593,1785142975.4482522,1785142977.08339,1785142977.732806,,,
block1-000010,1275.0864109257236,4694.5671669673175,164,117.5,1274.3727159686387,4693.8534720102325,0.7136949570849538,block1:zero_tool,policy_fcfs,mixed,1785142975.4873188,1785142975.4880335,1785142976.7624168,1785142980.1818976,,,
block1-000011,1286.4415604854003,1952.616314520128,43,287.5,1285.313720931299,1951.4884749660268,1.1278395541012287,block1:s2,policy_fcfs,mixed,1785142975.7603304,1785142975.7614589,1785142977.0467901,1785142977.7129648,,,
block1-000012,228.13150961883366,5613.711709622294,259,15.0,227.60271793231368,5613.182917935774,0.5287916865199804,block1:zero_tool,policy_fcfs,mixed,1785142976.5515363,1785142976.5520658,1785142976.7796755,1785142982.1652558,,,
block1-000013,428.26958326622844,1059.8036822630093,44,20.0,427.22026095725596,1058.7543599540368,1.049322308972478,block1:s2,policy_fcfs,mixed,1785142976.7909636,1785142976.7920134,1785142977.2192445,1785142977.8507786,,,
block1-000014,309.4673561863601,821.3209072127938,36,12.5,309.33213303796947,821.1856840644032,0.13522314839065075,block1:s2,policy_fcfs,mixed,1785142977.0295732,1785142977.0297089,1785142977.3390484,1785142977.850902,,,
block1-000015,281.41690616030246,783.2361301407218,34,545.0,280.410350067541,782.2295740479603,1.006556092761457,block1:s2,policy_fcfs,mixed,1785142977.5871713,1785142977.5881782,1785142977.8685968,1785142978.3704162,,,
block1-000016,423.6018169904128,1052.1437869174406,48,155.0,423.3304050285369,1051.8723749555647,0.2714119618758559,block1:s3,policy_fcfs,mixed,1785142977.9847124,1785142977.984984,1785142978.4083226,1785142979.0368645,,,
block1-000017,58.90862236265093,3358.2103583030403,160,287.5,58.27202508226037,3357.5737610226497,0.6365972803905606,block1:zero_tool,policy_fcfs,mixed,1785142978.3915439,1785142978.3921807,1785142978.4504626,1785142981.7497647,,,
block1-000018,60.38860394619405,3465.1839119615033,166,12.5,59.62461302988231,3464.4199210451916,0.7639909163117409,block1:zero_tool,policy_fcfs,mixed,1785142978.6065035,1785142978.6072676,1785142978.666899,1785142982.0716944,,,
block1-000019,426.334073767066,1085.4963917518035,48,100.0,425.7120810216293,1084.8743990063667,0.621992745436728,block1:s3,policy_fcfs,mixed,1785142979.058053,1785142979.0586753,1785142979.4843948,1785142980.1435568,,,
block1-000020,63.71640274301171,3046.9245116692036,147,572.5,61.68881105259061,3044.8969199787825,2.0275916904211044,block1:zero_tool,policy_fcfs,mixed,1785142979.3227866,1785142979.3248148,1785142979.3865135,1785142982.3697214,,,
