tool_ratio,qps,seed,policy,count,mean_wait,p95_wait,p99_wait,max_wait,starvation_count,mean_speedup_vs_fcfs,p95_speedup_vs_fcfs,p99_ratio_vs_fcfs
0.0,2.0,42,fcfs,500,241.955,1021.629,1457.116,2555.851,0,1.0,1.0,1.0
0.0,2.0,42,pure_ltr,500,191.946,816.619,1576.585,2521.368,0,1.261,1.251,1.082
0.0,2.0,42,ltr_aging,500,193.608,907.371,1447.493,2190.558,0,1.25,1.126,0.993
0.0,2.0,42,tail_safe,500,241.955,1021.629,1457.116,2555.851,0,1.0,1.0,1.0
0.0,2.0,42,gated_hybrid,500,193.608,907.371,1447.493,2190.558,0,1.25,1.126,0.993
0.0,3.0,42,fcfs,500,994.792,2640.644,3113.843,3288.027,0,1.0,1.0,1.0
0.0,3.0,42,pure_ltr,500,629.718,2383.934,5323.431,16675.195,7,1.58,1.108,1.71
0.0,3.0,42,ltr_aging,500,666.493,2283.229,3414.348,4715.92,0,1.493,1.157,1.097
0.0,3.0,42,tail_safe,500,994.792,2640.644,3113.843,3288.027,0,1.0,1.0,1.0
0.0,3.0,42,gated_hybrid,500,666.493,2283.229,3414.348,4715.92,0,1.493,1.157,1.097
0.0,4.0,42,fcfs,500,7091.932,13112.701,13632.924,13971.995,297,1.0,1.0,1.0
0.0,4.0,42,pure_ltr,500,3601.487,19258.09,79624.365,114320.696,48,1.969,0.681,5.841
0.0,4.0,42,ltr_aging,500,4643.281,14791.945,19660.313,21486.403,184,1.527,0.886,1.442
0.0,4.0,42,tail_safe,500,7091.932,13112.701,13632.924,13971.995,297,1.0,1.0,1.0
0.0,4.0,42,gated_hybrid,500,4643.281,14791.945,19660.313,21486.403,184,1.527,0.886,1.442
0.0,5.0,42,fcfs,500,22650.123,41340.007,42787.153,43551.307,430,1.0,1.0,1.0
0.0,5.0,42,pure_ltr,500,10489.428,77162.961,112237.145,120519.028,89,2.159,0.536,2.623
0.0,5.0,42,ltr_aging,500,14745.798,47177.036,59942.646,72778.459,304,1.536,0.876,1.401
0.0,5.0,42,tail_safe,500,22650.123,41340.007,42787.153,43551.307,430,1.0,1.0,1.0
0.0,5.0,42,gated_hybrid,500,14745.798,47177.036,59942.646,72778.459,304,1.536,0.876,1.401
0.0,2.0,6806,fcfs,500,330.894,1683.662,2321.792,3314.722,0,1.0,1.0,1.0
0.0,2.0,6806,pure_ltr,500,250.747,1056.617,2295.263,5612.816,1,1.32,1.593,0.989
0.0,2.0,6806,ltr_aging,500,253.254,1114.726,2375.086,4011.826,0,1.307,1.51,1.023
0.0,2.0,6806,tail_safe,500,330.894,1683.662,2321.792,3314.722,0,1.0,1.0,1.0
0.0,2.0,6806,gated_hybrid,500,253.254,1114.726,2375.086,4011.826,0,1.307,1.51,1.023
0.0,3.0,6806,fcfs,500,970.53,3552.133,4029.786,4544.961,0,1.0,1.0,1.0
0.0,3.0,6806,pure_ltr,500,567.638,1925.354,7806.491,14976.133,10,1.71,1.845,1.937
0.0,3.0,6806,ltr_aging,500,612.669,2422.16,4914.883,6299.387,5,1.584,1.467,1.22
0.0,3.0,6806,tail_safe,500,970.53,3552.133,4029.786,4544.961,0,1.0,1.0,1.0
0.0,3.0,6806,gated_hybrid,500,612.669,2422.16,4914.883,6299.387,5,1.584,1.467,1.22
0.0,4.0,6806,fcfs,500,9019.988,18619.016,21503.127,22708.142,366,1.0,1.0,1.0
0.0,4.0,6806,pure_ltr,500,4095.408,19787.414,86222.458,110496.168,55,2.202,0.941,4.01
0.0,4.0,6806,ltr_aging,500,5932.577,19527.14,24837.318,29954.307,217,1.52,0.953,1.155
0.0,4.0,6806,tail_safe,500,9019.988,18619.016,21503.127,22708.142,366,1.0,1.0,1.0
0.0,4.0,6806,gated_hybrid,500,5932.577,19527.14,24837.318,29954.307,217,1.52,0.953,1.155
0.0,5.0,6806,fcfs,500,18492.126,35572.85,36969.165,38101.296,431,1.0,1.0,1.0
0.0,5.0,6806,pure_ltr,500,8274.712,71387.3,103189.245,114439.666,83,2.235,0.498,2.791
0.0,5.0,6806,ltr_aging,500,12161.95,36519.05,46003.388,52091.336,304,1.52,0.974,1.244
0.0,5.0,6806,tail_safe,500,18492.126,35572.85,36969.165,38101.296,431,1.0,1.0,1.0
0.0,5.0,6806,gated_hybrid,500,12161.95,36519.05,46003.388,52091.336,304,1.52,0.974,1.244
0.0,2.0,20260709,fcfs,500,263.212,1151.289,1678.589,2003.767,0,1.0,1.0,1.0
