method  rate   TTFT_ms   TPOT_ms  p99_TPOT
FCFS      2      50.5     24.40     28.13
FCFS      4      95.6     34.39     62.01
FCFS      8     137.1     67.27     97.94
FCFS     16   17274.2    115.06    145.19
FCFS     32   91581.5    134.77    158.86
FCFS     64  258346.9    143.70    171.19
LTR       2     103.2     30.44     44.18
LTR       4     121.6     44.73     65.48
LTR       8     203.1     94.17    159.98
LTR      16    6043.7    159.26    332.94
LTR      32   48088.8    206.25    715.43
LTR      64  157546.3    264.16   1400.29
