request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_820-177-3:0000,1191.6448131669313,2119.1937061958015,65,162.5,1189.5748181268573,2117.1237111557275,2.069995040073991,ood:bfcl,gated_hybrid,ood,1784523664.8850677,1784523664.8871384,1784523666.0767248,1784523667.0042734,
bfcl:live_simple_14-3-10:0000,671.1397308390588,1262.0558547787368,43,107.5,669.2899269983172,1260.2060509379953,1.8498038407415152,ood:bfcl,gated_hybrid,ood,1784523667.7824254,1784523667.7842758,1784523668.4535766,1784523669.0444922,
bfcl:live_irrelevance_219-34-8:0000,782.0676083210856,3153.047446394339,133,290.0,779.1427418123931,3150.1225798856467,2.924866508692503,ood:bfcl,gated_hybrid,ood,1784523671.513168,1784523671.5160928,1784523672.2952402,1784523674.66622,
bfcl:java_20:0000,695.5010751262307,1324.0873680915684,46,115.0,694.917269051075,1323.5035620164126,0.583806075155735,ood:bfcl,gated_hybrid,ood,1784523672.317839,1784523672.3184226,1784523673.0133476,1784523673.6419342,
bfcl:parallel_multiple_68:0000,1224.9343204312027,5073.9944614470005,235,587.5,1220.545743824914,5069.605884840712,4.388576606288552,ood:bfcl,gated_hybrid,ood,1784523681.2558103,1784523681.2601993,1784523682.4807587,1784523686.329819,
bfcl:live_irrelevance_400-83-0:0000,435.8020960353315,805.6713750120252,21,52.5,435.5845379177481,805.4538168944418,0.21755811758339405,ood:bfcl,gated_hybrid,ood,1784523684.9652317,1784523684.9654489,1784523685.401042,1784523685.770911,
bfcl:live_simple_165-98-0:0000,755.5342230480164,1761.8555270601064,69,172.5,753.9413599297404,1760.2626639418304,1.592863118276,ood:bfcl,gated_hybrid,ood,1784523687.2072978,1784523687.2088907,1784523687.9628384,1784523688.9691594,
bfcl:multi_turn_long_context_64:0000,1101.7068966757506,1416.4842215832323,28,70.0,1101.3548700138927,1416.1321949213743,0.3520266618579626,ood:bfcl,gated_hybrid,ood,1784523689.2602773,1784523689.260629,1784523690.3619893,1784523690.6767664,
bfcl:multi_turn_long_context_128:0000,1145.6376921851188,2216.5707321837544,62,85.0,1144.1031629219651,2215.0362029206008,1.5345292631536722,ood:bfcl,gated_hybrid,ood,1784523691.3991494,1784523691.4006848,1784523692.5448005,1784523693.6157334,
bfcl:multi_turn_composite_195:0000,1224.9694517813623,1558.1756827887148,32,80.0,1223.7390470691025,1556.945278076455,1.2304047122597694,ood:bfcl,gated_hybrid,ood,1784523694.8662567,1784523694.867488,1784523696.0912402,1784523696.4244466,
bfcl:live_irrelevance_653-206-2:0000,1083.6756848730147,1696.7664638068527,36,90.0,1081.5685661509633,1694.6593450848013,2.107118722051382,ood:bfcl,gated_hybrid,ood,1784523695.5697935,1784523695.571901,1784523696.6534815,1784523697.2665727,
bfcl:simple_252:0000,722.7069255895913,1745.7804025616497,70,175.0,716.7325101327151,1739.8059871047735,5.974415456876159,ood:bfcl,gated_hybrid,ood,1784523703.0797434,1784523703.0857186,1784523703.802464,1784523704.8255367,
bfcl:multiple_194:0000,1132.371939951554,1742.5859430804849,45,112.5,1131.8119568750262,1742.0259600039572,0.5599830765277147,ood:bfcl,gated_hybrid,ood,1784523704.0436716,1784523704.0442312,1784523705.1760514,1784523705.7862651,
bfcl:multi_turn_long_context_152:0000,1015.8209439832717,3722.700012847781,143,467.5,1015.2201370801777,3722.099205944687,0.6008069030940533,ood:bfcl,gated_hybrid,ood,1784523705.7410564,1784523705.7416568,1784523706.7568836,1784523709.4637625,
bfcl:live_irrelevance_691-225-1:0000,1070.400477387011,2180.9231624938548,61,152.5,1069.5557571016252,2180.078442208469,0.8447202853858471,ood:bfcl,gated_hybrid,ood,1784523707.3010297,1784523707.3018744,1784523708.3714397,1784523709.481962,
bfcl:live_relevance_14-14-0:0000,1069.7938117664307,2029.5158356893808,53,132.5,1068.762353155762,2028.484377078712,1.0314586106687784,ood:bfcl,gated_hybrid,ood,1784523710.1707702,1784523710.1718016,1784523711.2405736,1784523712.2002954,
bfcl:live_simple_246-128-0:0000,668.0346154607832,1439.3649492412806,53,132.5,667.8790941368788,1439.2094279173762,0.1555213239043951,ood:bfcl,gated_hybrid,ood,1784523711.420413,1784523711.4205678,1784523712.0884526,1784523712.859783,
bfcl:rest_61:0000,1189.98834467493,2777.658906765282,100,250.0,1188.8953549787402,2776.5659170690924,1.0929896961897612,ood:bfcl,gated_hybrid,ood,1784523712.3913255,1784523712.392419,1784523713.581327,1784523715.1689975,
bfcl:live_irrelevance_725-241-1:0000,694.4336325395852,2601.1485445778817,111,295.0,692.5049920100719,2599.2199040483683,1.928640529513359,ood:bfcl,gated_hybrid,ood,1784523715.9584448,1784523715.9603746,1784523716.6528947,1784523718.5596097,
bfcl:live_irrelevance_647-205-1:0000,1245.8737113047391,1790.370581438765,43,107.5,1245.6181419547647,1790.1150120887905,0.25556934997439384,ood:bfcl,gated_hybrid,ood,1784523718.4709792,1784523718.4712346,1784523719.7168612,1784523720.261358,
bfcl:live_irrelevance_549-169-2:0000,980.974841862917,4916.092231869698,205,800.0,979.2552250437438,4914.3726150505245,1.7196168191730976,ood:bfcl,gated_hybrid,ood,1784523721.6283822,1784523721.630103,1784523722.609371,1784523726.544488,
bfcl:parallel_67:0000,604.5262743718922,2240.6099224463105,85,212.5,603.8533039391041,2239.9369520135224,0.6729704327881336,ood:bfcl,gated_hybrid,ood,1784523724.4709527,1784523724.4716256,1784523725.0754867,1784523726.7115705,
bfcl:multi_turn_base_26:0000,1147.101860260591,2308.6392420809716,61,152.5,1146.6078839730471,2308.145265793428,0.49397628754377365,ood:bfcl,gated_hybrid,ood,1784523725.023123,1784523725.023617,1784523726.1702342,1784523727.331771,
bfcl:rest_30:0000,1086.9129681959748,1755.648888181895,47,117.5,1086.1810850910842,1754.9170050770044,0.731883104890585,ood:bfcl,gated_hybrid,ood,1784523726.1511765,1784523726.1519084,1784523727.2380998,1784523727.9068356,
bfcl:live_multiple_113-44-0:0000,1179.759226506576,1548.9955905359238,29,72.5,1176.81181197986,1546.048176009208,2.9474145267158747,ood:bfcl,gated_hybrid,ood,1784523729.874167,1784523729.8771145,1784523731.053937,1784523731.4231732,
bfcl:simple_246:0000,611.3105302210897,941.5660921949893,32,80.0,603.2580940518528,933.5136560257524,8.052436169236898,ood:bfcl,gated_hybrid,ood,1784523738.9019144,1784523738.909968,1784523739.5132394,1784523739.8434942,
bfcl:live_multiple_198-90-0:0000,1131.458823569119,1237.2156067285687,16,40.0,1130.4378418717533,1236.194625031203,1.0209816973656416,ood:bfcl,gated_hybrid,ood,1784523739.8204768,1784523739.8214982,1784523740.9519455,1784523741.0577018,
bfcl:live_irrelevance_791-300-0:0000,883.798397378996,1996.1158654186875,65,162.5,880.8491318486631,1993.1665998883545,2.949265530332923,ood:bfcl,gated_hybrid,ood,1784523743.7686756,1784523743.771625,1784523744.6524854,1784523745.764803,
bfcl:simple_167:0000,589.3641572911292,1230.901251314208,50,125.0,587.1858529280871,1228.7229469511658,2.178304363042116,ood:bfcl,gated_hybrid,ood,1784523747.0341096,1784523747.0362883,1784523747.6234863,1784523748.2650232,
bfcl:live_simple_181-106-0:0000,802.882113493979,1932.900128653273,70,175.0,797.3315969575197,1927.3496121168137,5.550516536459327,ood:bfcl,gated_hybrid,ood,1784523753.6131735,1784523753.6187248,1784523754.4160686,1784523755.5460863,
bfcl:multi_turn_miss_func_187:0000,1010.690493742004,3786.618710728362,155,527.5,1010.2936099283397,3786.221826914698,0.39688381366431713,ood:bfcl,gated_hybrid,ood,1784523754.6500082,1784523754.6504052,1784523755.6607065,1784523758.4366348,
bfcl:parallel_multiple_45:0000,941.697716480121,2274.767049588263,84,210.0,940.5416420195252,2273.610975127667,1.1560744605958462,ood:bfcl,gated_hybrid,ood,1784523754.8655348,1784523754.8666906,1784523755.8072395,1784523757.1403086,
bfcl:live_simple_112-68-0:0000,1010.5240135453641,2801.872043637559,103,257.5,1010.19701291807,2801.5450430102646,0.3270006272941828,ood:bfcl,gated_hybrid,ood,1784523758.182911,1784523758.1832378,1784523759.193443,1784523760.9847908,
bfcl:live_simple_140-93-0:0000,638.7309425044805,1451.8209085799754,53,132.5,638.1517108529806,1451.2416769284755,0.5792316514998674,ood:bfcl,gated_hybrid,ood,1784523758.799598,1784523758.8001776,1784523759.43834,1784523760.2514293,
bfcl:live_simple_211-117-3:0000,903.4776417538524,1483.0979767721146,45,112.5,903.1426040455699,1482.7629390638322,0.3350377082824707,ood:bfcl,gated_hybrid,ood,1784523759.9698827,1784523759.9702182,1784523760.8733706,1784523761.4529905,
bfcl:multi_turn_miss_func_197:0000,952.020411612466,3208.4672066848725,130,550.0,951.3188288547099,3207.7656239271164,0.701582757756114,ood:bfcl,gated_hybrid,ood,1784523761.3180892,1784523761.3187912,1784523762.2701206,1784523764.5265675,
bfcl:parallel_152:0000,432.90291423909366,2286.3371272105724,103,257.5,432.1333961561322,2285.567609127611,0.7695180829614401,ood:bfcl,gated_hybrid,ood,1784523764.920425,1784523764.9211943,1784523765.3533344,1784523767.2067683,
bfcl:live_multiple_259-123-0:0000,1217.181691667065,1832.8686838503927,52,130.0,1216.3698158692569,1832.0568080525845,0.8118757978081703,ood:bfcl,gated_hybrid,ood,1784523765.8783183,1784523765.87913,1784523767.0955076,1784523767.7111945,
bfcl:live_multiple_155-58-9:0000,1318.2132148649544,1652.6223998516798,30,75.0,1317.3144890461117,1651.7236740328372,0.8987258188426495,ood:bfcl,gated_hybrid,ood,1784523768.0539758,1784523768.0548744,1784523769.3721986,1784523769.7066076,
bfcl:live_irrelevance_593-188-0:0000,939.8748928215355,1371.8700017780066,24,60.0,935.2380819618702,1367.2331909183413,4.636810859665275,ood:bfcl,gated_hybrid,ood,1784523773.3049152,1784523773.309553,1784523774.244805,1784523774.6768,
bfcl:live_irrelevance_457-124-0:0000,862.2535900212824,1525.120371952653,46,115.0,861.4673870615661,1524.3341689929366,0.78620295971632,ood:bfcl,gated_hybrid,ood,1784523773.5133343,1784523773.51412,1784523774.375595,1784523775.038462,
bfcl:simple_379:0000,663.190103834495,1241.6399877984077,40,100.0,661.9708449579775,1240.4207289218903,1.219258876517415,ood:bfcl,gated_hybrid,ood,1784523773.6750708,1784523773.6762908,1784523774.3382757,1784523774.9167254,
bfcl:live_multiple_291-130-0:0000,1122.2607500385493,1489.338834071532,34,85.0,1121.3846600148827,1488.4627440478653,0.8760900236666203,ood:bfcl,gated_hybrid,ood,1784523774.8678706,1784523774.8687465,1784523775.9901383,1784523776.357217,
bfcl:live_multiple_962-205-2:0000,994.5786639582366,1402.987465960905,30,75.0,993.1563260033727,1401.565128006041,1.422337954863906,ood:bfcl,gated_hybrid,ood,1784523779.3807428,1784523779.3821664,1784523780.375338,1784523780.783747,
bfcl:live_irrelevance_49-2-37:0000,472.6694729179144,2190.9869408700615,78,195.0,471.73741389997303,2190.05488185212,0.9320590179413557,ood:bfcl,gated_hybrid,ood,1784523780.1449072,1784523780.1458397,1784523780.6175864,1784523782.3359034,
bfcl:multi_turn_long_context_132:0000,1169.8431838303804,2107.487002853304,46,107.5,1168.8611409626901,2106.504959985614,0.9820428676903248,ood:bfcl,gated_hybrid,ood,1784523780.321307,1784523780.3222897,1784523781.4911633,1784523782.428807,
bfcl:live_multiple_227-101-0:0000,1254.4093874748796,2480.956961400807,79,197.5,1253.8607991300523,2480.4083730559796,0.5485883448272943,ood:bfcl,gated_hybrid,ood,1784523781.0054214,1784523781.0059698,1784523782.259838,1784523783.4863856,
bfcl:multi_turn_composite_53:0000,1139.5810178946704,1492.5747108645737,30,90.0,1138.4226579684764,1491.4163509383798,1.1583599261939526,ood:bfcl,gated_hybrid,ood,1784523781.9056387,1784523781.9067974,1784523783.0452285,1784523783.3982217,
bfcl:live_multiple_930-191-18:0000,1127.0806326065212,1478.0996644403785,30,75.0,1125.0600861385465,1476.0791179724038,2.020546467974782,ood:bfcl,gated_hybrid,ood,1784523785.7560937,1784523785.758115,1784523786.883184,1784523787.2342029,
bfcl:irrelevance_40:0000,397.3796560894698,2869.0229312051088,132,330.0,396.4843039866537,2868.1275791022927,0.8953521028161049,ood:bfcl,gated_hybrid,ood,1784523787.5369232,1784523787.5378187,1784523787.934315,1784523790.4059577,
bfcl:parallel_161:0000,589.3154931254685,13028.391843196005,668,1670.0,588.178105885163,13027.254455955699,1.137387240305543,ood:bfcl,gated_hybrid,ood,1784523788.2980943,1784523788.2992315,1784523788.8874183,1784523801.3264947,
bfcl:live_simple_242-126-0:0000,488.4591638110578,889.3959338311106,27,67.5,487.3903328552842,888.327102875337,1.068830955773592,ood:bfcl,gated_hybrid,ood,1784523789.4596918,1784523789.4607606,1784523789.9481587,1784523790.3490958,
bfcl:exec_parallel_1:0000,859.7275004722178,5699.351257411763,273,682.5,859.2050741426647,5698.82883108221,0.5224263295531273,ood:bfcl,gated_hybrid,ood,1784523789.6742516,1784523789.6747737,1784523790.5339859,1784523795.3736098,
bfcl:java_88:0000,922.3580311518162,2347.248427104205,84,210.0,921.260884962976,2346.1512809153646,1.09714618884027,ood:bfcl,gated_hybrid,ood,1784523798.1631303,1784523798.1642272,1784523799.0854979,1784523800.510388,
bfcl:multi_turn_miss_func_161:0000,1101.4541110489517,3949.7749011497945,157,397.5,1101.0001078248024,3949.320897925645,0.45400322414934635,ood:bfcl,gated_hybrid,ood,1784523798.414394,1784523798.4148474,1784523799.5158553,1784523802.3641758,
bfcl:live_multiple_526-151-2:0000,1101.898823166266,2078.6329712718725,65,162.5,1100.6663020234555,2077.400450129062,1.2325211428105831,ood:bfcl,gated_hybrid,ood,1784523802.431183,1784523802.4324152,1784523803.5330884,1784523804.5098224,
bfcl:live_irrelevance_637-202-1:0000,927.9864749405533,2247.3122379742563,72,180.0,927.604747004807,2246.93051003851,0.38172793574631214,ood:bfcl,gated_hybrid,ood,1784523803.5265996,1784523803.5269814,1784523804.4545956,1784523805.773921,
bfcl:sql_17:0000,1077.9899330809712,2258.8643222115934,76,190.0,1077.2394340019673,2258.1138231325895,0.7504990790039301,ood:bfcl,gated_hybrid,ood,1784523804.4549642,1784523804.4557142,1784523805.5329614,1784523806.7138357,
bfcl:live_multiple_487-147-2:0000,1304.1076126974076,3574.6823067311198,134,335.0,1303.2291899435222,3573.8038839772344,0.8784227538853884,ood:bfcl,gated_hybrid,ood,1784523805.9959838,1784523805.9968622,1784523807.3000994,1784523809.5706742,
bfcl:live_multiple_724-165-11:0000,1202.1874743513763,2148.6285785213113,64,160.0,1201.1317508295178,2147.572854999453,1.0557235218584538,ood:bfcl,gated_hybrid,ood,1784523807.0874426,1784523807.0884988,1784523808.2896407,1784523809.2360818,
bfcl:live_multiple_529-151-5:0000,1095.4142799600959,2108.585908776149,65,162.5,1091.7318100109696,2104.903438827023,3.6824699491262436,ood:bfcl,gated_hybrid,ood,1784523812.5692885,1784523812.5729718,1784523813.6647162,1784523814.6778882,
bfcl:live_irrelevance_228-35-3:0000,927.8267519548535,1801.8905681092292,49,102.5,926.990645006299,1801.0544611606747,0.8361069485545158,ood:bfcl,gated_hybrid,ood,1784523813.1021748,1784523813.103011,1784523814.0300112,1784523814.9040747,
bfcl:javascript_40:0000,613.5412997100502,1187.3199646361172,34,85.0,613.0268000997603,1186.8054650258273,0.5144996102899313,ood:bfcl,gated_hybrid,ood,1784523815.274082,1784523815.274597,1784523815.8876343,1784523816.4614127,
bfcl:live_simple_74-36-2:0000,731.8325589876622,1357.5019089039415,48,120.0,725.59863794595,1351.2679878622293,6.233921041712165,ood:bfcl,gated_hybrid,ood,1784523821.052985,1784523821.0592196,1784523821.7848306,1784523822.410499,
bfcl:multi_turn_miss_func_76:0000,1109.9246642552316,2367.7595432382077,82,205.0,1108.1713810563087,2366.006260039285,1.7532831989228725,ood:bfcl,gated_hybrid,ood,1784523823.1627047,1784523823.1644583,1784523824.2726426,1784523825.5304773,
bfcl:live_multiple_17-4-9:0000,1198.7701889593154,1759.9752540700138,43,107.5,1197.0060339663178,1758.2110990770161,1.7641549929976463,ood:bfcl,gated_hybrid,ood,1784523833.571039,1784523833.5728037,1784523834.7698243,1784523835.331029,
bfcl:exec_simple_15:0000,635.7130017131567,3237.6325766090304,159,397.5,633.634519064799,3235.5540939606726,2.078482648357749,ood:bfcl,gated_hybrid,ood,1784523836.3122816,1784523836.3143609,1784523836.9480085,1784523839.549928,
bfcl:live_irrelevance_399-82-0:0000,492.83374729566276,649.6677023824304,10,25.0,489.3678310327232,646.2017861194909,3.4659162629395723,ood:bfcl,gated_hybrid,ood,1784523839.3668947,1784523839.3703616,1784523839.859747,1784523840.0165808,
bfcl:multiple_171:0000,846.8074668198824,1920.9176257718354,56,140.0,843.6242849566042,1917.7344439085573,3.1831818632781506,ood:bfcl,gated_hybrid,ood,1784523842.4001133,1784523842.403297,1784523843.2469342,1784523844.321044,
bfcl:live_parallel_multiple_2-2-0:0000,1294.4291669409722,2461.700689746067,73,182.5,1293.5580320190638,2460.8295548241585,0.8711349219083786,ood:bfcl,gated_hybrid,ood,1784523842.6499474,1784523842.650818,1784523843.944384,1784523845.1116552,
bfcl:live_parallel_multiple_15-13-0:0000,1174.2570903152227,2553.566640475765,78,195.0,1173.9161489531398,2553.225699113682,0.3409413620829582,ood:bfcl,gated_hybrid,ood,1784523842.6676714,1784523842.6680121,1784523843.8419352,1784523845.2212443,
bfcl:live_irrelevance_367-81-28:0000,950.3634569700807,9832.328245043755,490,1230.0,948.2180990744382,9830.182887148112,2.145357895642519,ood:bfcl,gated_hybrid,ood,1784523842.9559782,1784523842.9581232,1784523843.906349,1784523852.7883139,
