request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_820-177-3:0000,1340.385979739949,2268.586255609989,65,162.5,1339.3439550418407,2267.5442309118807,1.0420246981084347,ood:bfcl,gated_hybrid,ood,1784523051.5163739,1784523051.517417,1784523052.856774,1784523053.7849739,
bfcl:live_simple_14-3-10:0000,642.2529625706375,1233.503482537344,43,107.5,641.8188409879804,1233.069360954687,0.43412158265709877,ood:bfcl,gated_hybrid,ood,1784523053.3576286,1784523053.3580632,1784523053.9998982,1784523054.5911493,
bfcl:live_irrelevance_219-34-8:0000,749.3606810458004,2950.7639510557055,116,290.0,749.1405480541289,2950.543818064034,0.2201329916715622,ood:bfcl,gated_hybrid,ood,1784523054.1500769,1784523054.1502972,1784523054.8994453,1784523057.100849,
bfcl:java_20:0000,673.0473020579666,1376.599889015779,46,115.0,672.777864150703,1376.3304511085153,0.2694379072636366,ood:bfcl,gated_hybrid,ood,1784523054.9278944,1784523054.928164,1784523055.600952,1784523056.3045044,
bfcl:parallel_multiple_68:0000,1258.660029154271,5154.096502112225,235,587.5,1258.1931741442531,5153.629647102207,0.46685501001775265,ood:bfcl,gated_hybrid,ood,1784523055.0263577,1784523055.026825,1784523056.285025,1784523060.1804616,
bfcl:live_irrelevance_400-83-0:0000,432.921928120777,802.2057751659304,21,52.5,432.5401319656521,801.8239790108055,0.3817961551249027,ood:bfcl,gated_hybrid,ood,1784523058.122454,1784523058.122836,1784523058.5553885,1784523058.9246724,
bfcl:live_simple_165-98-0:0000,758.3800971042365,1765.183020150289,69,172.5,758.0455299466848,1764.8484529927373,0.33456715755164623,ood:bfcl,gated_hybrid,ood,1784523059.8295028,1784523059.829838,1784523060.5878983,1784523061.5947013,
bfcl:multi_turn_long_context_64:0000,1127.7863422874361,1443.3400752022862,28,70.0,1126.5146860387176,1442.0684189535677,1.2716562487185001,ood:bfcl,gated_hybrid,ood,1784523061.2081175,1784523061.2093904,1784523062.3359184,1784523062.6514719,
bfcl:multi_turn_long_context_128:0000,1157.9601329285651,2227.6449019555002,62,85.0,1156.414306955412,2226.099075982347,1.5458259731531143,ood:bfcl,gated_hybrid,ood,1784523062.7181818,1784523062.7197278,1784523063.8761516,1784523064.9458363,
bfcl:multi_turn_composite_195:0000,1232.4150244239718,1565.902310423553,32,80.0,1231.1840399634093,1564.6713259629905,1.2309844605624676,ood:bfcl,gated_hybrid,ood,1784523065.4734614,1784523065.4746926,1784523066.705885,1784523067.0393722,
bfcl:live_irrelevance_653-206-2:0000,1066.6487384587526,1679.82610152103,36,90.0,1061.5266480017453,1674.7040110640228,5.122090457007289,ood:bfcl,gated_hybrid,ood,1784523071.6961002,1784523071.7012231,1784523072.7627602,1784523073.3759377,
bfcl:simple_252:0000,718.6544556170702,1741.7759457603097,70,175.0,713.3551558945328,1736.4766460377723,5.299299722537398,ood:bfcl,gated_hybrid,ood,1784523078.4650567,1784523078.4703574,1784523079.1837256,1784523080.2068472,
bfcl:multiple_194:0000,1141.0411200486124,1751.364529831335,45,112.5,1139.0430820174515,1749.3664918001741,1.9980380311608315,ood:bfcl,gated_hybrid,ood,1784523081.3430626,1784523081.3450618,1784523082.4841163,1784523083.0944395,
bfcl:multi_turn_long_context_152:0000,1031.219680327922,3519.186729332432,143,467.5,1030.8984951116145,3518.8655441161245,0.3211852163076401,ood:bfcl,gated_hybrid,ood,1784523082.5750093,1784523082.5753305,1784523083.6062374,1784523086.0942047,
bfcl:live_irrelevance_691-225-1:0000,1102.3417098913342,2205.80374985002,64,152.5,1096.946535864845,2200.4085758235306,5.395174026489258,ood:bfcl,gated_hybrid,ood,1784523091.1241605,1784523091.1295567,1784523092.226516,1784523093.3299778,
bfcl:live_relevance_14-14-0:0000,1045.048059662804,2116.3724465295672,53,132.5,1044.672191143036,2115.996578009799,0.37586851976811886,ood:bfcl,gated_hybrid,ood,1784523092.8478642,1784523092.8482401,1784523093.8929193,1784523094.9642432,
bfcl:live_simple_246-128-0:0000,657.5658053625375,1552.3574415128678,53,132.5,655.5027379654348,1550.294374115765,2.0630673971027136,ood:bfcl,gated_hybrid,ood,1784523093.504441,1784523093.5065045,1784523094.1620152,1784523095.0568066,
bfcl:rest_61:0000,1108.9633826632053,2724.139475496486,100,250.0,1108.5516021121293,2723.72769494541,0.41178055107593536,ood:bfcl,gated_hybrid,ood,1784523093.535274,1784523093.5356858,1784523094.6442451,1784523096.259421,
bfcl:live_irrelevance_725-241-1:0000,691.7727156542242,2600.822604727,111,295.0,688.3246630895883,2597.374552162364,3.448052564635873,ood:bfcl,gated_hybrid,ood,1784523098.0280771,1784523098.031526,1784523098.719863,1784523100.6289132,
bfcl:live_irrelevance_647-205-1:0000,1271.0323804058135,1957.1700834203511,43,107.5,1267.810160992667,1953.9478640072048,3.2222194131463766,ood:bfcl,gated_hybrid,ood,1784523103.3567364,1784523103.3599598,1784523104.627784,1784523105.3139215,
bfcl:live_irrelevance_549-169-2:0000,984.3495106324553,7046.664657769725,320,800.0,983.2606888376176,7045.575835974887,1.0888217948377132,ood:bfcl,gated_hybrid,ood,1784523103.8599806,1784523103.8610709,1784523104.8443477,1784523110.9066627,
