request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_820-177-3:0000,1319.5322547107935,2247.8274246677756,65,162.5,1318.4712331276387,2246.766403084621,1.0610215831547976,ood:bfcl,pure_ltr,ood,1784521022.6413012,1784521022.6423628,1784521023.9608467,1784521024.8891408,
bfcl:live_simple_14-3-10:0000,644.0903844777495,1234.684114344418,43,107.5,643.670798977837,1234.2645288445055,0.4195854999125004,ood:bfcl,pure_ltr,ood,1784521024.4825559,1784521024.4829762,1784521025.1266615,1784521025.717255,
bfcl:live_irrelevance_219-34-8:0000,759.8151860293001,3273.4511208254844,133,290.0,758.6781221907586,3272.314056986943,1.1370638385415077,ood:bfcl,pure_ltr,ood,1784521025.2750041,1784521025.2761416,1784521026.0348313,1784521028.5484667,
bfcl:java_20:0000,683.017703704536,1385.5898617766798,46,115.0,682.6527679804713,1385.224926052615,0.36493572406470776,ood:bfcl,pure_ltr,ood,1784521026.0528216,1784521026.053187,1784521026.7358508,1784521027.4384227,
bfcl:parallel_multiple_68:0000,1308.0016567837447,5216.759005794302,235,587.5,1305.9857769403607,5214.743125950918,2.0158798433840275,ood:bfcl,pure_ltr,ood,1784521026.151285,1784521026.1533022,1784521027.4593055,1784521031.3680634,
bfcl:live_irrelevance_400-83-0:0000,424.46518200449646,793.9994940534234,21,52.5,423.56274905614555,793.0970611050725,0.9024329483509064,ood:bfcl,pure_ltr,ood,1784521029.2473812,1784521029.2482843,1784521029.671858,1784521030.0413918,
bfcl:live_simple_165-98-0:0000,733.8945372030139,1740.4008582234383,69,172.5,733.2282271236181,1739.7345481440425,0.666310079395771,ood:bfcl,pure_ltr,ood,1784521030.95443,1784521030.9550967,1784521031.688336,1784521032.6948423,
bfcl:multi_turn_long_context_64:0000,1113.3618743624538,1428.6588933318853,28,70.0,1111.528358189389,1426.8253771588206,1.8335161730647087,ood:bfcl,pure_ltr,ood,1784521032.3330448,1784521032.3348794,1784521033.4464226,1784521033.7617197,
bfcl:multi_turn_long_context_128:0000,1108.3547186572105,2178.6070086527616,62,85.0,1107.3874398134649,2177.639729809016,0.9672788437455893,ood:bfcl,pure_ltr,ood,1784521033.8431091,1784521033.8440766,1784521034.9514732,1784521036.0217257,
bfcl:multi_turn_composite_195:0000,1217.9725014138967,1551.3571044430137,32,80.0,1216.749822953716,1550.134425982833,1.2226784601807594,ood:bfcl,pure_ltr,ood,1784521036.5983887,1784521036.5996118,1784521037.8163698,1784521038.1497538,
