request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_820-177-3:0000,1221.6700040735304,2149.131137179211,65,162.5,1219.472564989701,2146.9336980953813,2.197439083829522,ood:bfcl,pure_ltr,ood,1784521636.0969346,1784521636.0991318,1784521637.3186133,1784521638.2460744,
bfcl:live_simple_14-3-10:0000,651.498646941036,1242.2367739491165,43,107.5,649.6203080751002,1240.3584350831807,1.8783388659358025,ood:bfcl,pure_ltr,ood,1784521638.9942923,1784521638.9961712,1784521639.645804,1784521640.2365422,
bfcl:live_irrelevance_219-34-8:0000,802.0450046751648,2878.062828676775,116,290.0,798.6806931439787,2874.698517145589,3.364311531186104,ood:bfcl,pure_ltr,ood,1784521642.725035,1784521642.7284005,1784521643.527095,1784521645.6031125,
bfcl:java_20:0000,697.7389419917017,1326.0727310553193,46,115.0,697.2095728851855,1325.543361948803,0.529369106516242,ood:bfcl,pure_ltr,ood,1784521643.5297058,1784521643.5302348,1784521644.2274544,1784521644.8557882,
bfcl:parallel_multiple_68:0000,1268.7653684988618,5113.70316054672,235,587.5,1263.851139927283,5108.788931975141,4.91422857157886,ood:bfcl,pure_ltr,ood,1784521652.467677,1784521652.4725919,1784521653.7364545,1784521657.5813918,
bfcl:live_irrelevance_400-83-0:0000,424.11457328125834,793.6550732702017,21,52.5,423.6188370268792,793.1593370158225,0.49573625437915325,ood:bfcl,pure_ltr,ood,1784521656.1770985,1784521656.1775942,1784521656.6012235,1784521656.9707632,
bfcl:live_simple_165-98-0:0000,730.3779730573297,1736.8982499465346,69,172.5,729.1801329702139,1735.7004098594189,1.1978400871157646,ood:bfcl,pure_ltr,ood,1784521658.4191647,1784521658.4203622,1784521659.149549,1784521660.1560693,
bfcl:multi_turn_long_context_64:0000,1115.377411711961,1430.7062719017267,28,70.0,1114.9089399259537,1430.2378001157194,0.4684717860072851,ood:bfcl,pure_ltr,ood,1784521660.4721441,1784521660.4726129,1784521661.5875313,1784521661.9028597,
bfcl:multi_turn_long_context_128:0000,1111.9341081939638,2183.8563261553645,62,85.0,1111.0377828590572,2182.960000820458,0.8963253349065781,ood:bfcl,pure_ltr,ood,1784521662.6110163,1784521662.6119137,1784521663.722964,1784521664.794886,
bfcl:multi_turn_composite_195:0000,1176.8333707004786,1510.1393957156688,32,80.0,1174.5670579839498,1507.87308299914,2.2663127165287733,ood:bfcl,pure_ltr,ood,1784521666.0781236,1784521666.08039,1784521667.2549663,1784521667.5882723,
bfcl:live_irrelevance_653-206-2:0000,1012.9480760078877,1625.7783598266542,36,90.0,1010.407789144665,1623.2380729634315,2.5402868632227182,ood:bfcl,pure_ltr,ood,1784521666.7816603,1784521666.7842011,1784521667.7946205,1784521668.407451,
bfcl:simple_252:0000,743.371419608593,1767.4468434415758,70,175.0,737.2845730278641,1761.3599968608469,6.0868465807288885,ood:bfcl,pure_ltr,ood,1784521674.2916102,1784521674.2976983,1784521675.0349972,1784521676.0590725,
bfcl:multiple_194:0000,1094.5652420632541,1705.051463097334,45,112.5,1093.6213519889861,1704.107573023066,0.9438900742679834,ood:bfcl,pure_ltr,ood,1784521675.2555385,1784521675.2564821,1784521676.350111,1784521676.9605968,
bfcl:multi_turn_long_context_152:0000,1049.1516317706555,3756.7835508380085,143,467.5,1048.3271889388561,3755.959108006209,0.8244428317993879,ood:bfcl,pure_ltr,ood,1784521676.9529233,1784521676.9537477,1784521678.0020828,1784521680.7097142,
bfcl:live_irrelevance_691-225-1:0000,1083.7963323574513,2197.0177243929356,61,152.5,1083.5615759715438,2196.782968007028,0.23475638590753078,ood:bfcl,pure_ltr,ood,1784521678.5128965,1784521678.5131316,1784521679.5967028,1784521680.7099233,
bfcl:live_relevance_14-14-0:0000,1067.3624107148498,2028.0076847411692,53,132.5,1066.3158509414643,2026.9611249677837,1.0465597733855247,ood:bfcl,pure_ltr,ood,1784521681.382637,1784521681.383684,1784521682.450006,1784521683.4106514,
