request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_820-177-3:0000,1184.5483668148518,2318.665637867525,65,162.5,1182.358818827197,2316.4760898798704,2.189547987654805,ood:bfcl,fcfs,ood,1784519553.3294866,1784519553.3316782,1784519554.5140507,1784519555.6481678,
bfcl:live_simple_14-3-10:0000,687.8114964347333,1396.8890195246786,43,107.5,685.8320599421859,1394.9095830321312,1.9794364925473928,ood:bfcl,fcfs,ood,1784519554.4117515,1784519554.4137316,1784519555.0995743,1784519555.8086517,
bfcl:live_irrelevance_219-34-8:0000,771.3005249388516,5404.594950843602,132,290.0,770.6573070026934,5403.951732907444,0.6432179361581802,ood:bfcl,fcfs,ood,1784519555.5783703,1784519555.5790136,1784519556.3496811,1784519560.982976,
bfcl:java_20:0000,705.9044202324003,1420.9829191677272,46,115.0,704.129054909572,1419.207553844899,1.7753653228282928,ood:bfcl,fcfs,ood,1784519555.6436832,1784519555.6454585,1784519556.3495917,1784519557.0646703,
bfcl:parallel_multiple_68:0000,1513.9419995248318,8351.834896719083,235,587.5,1513.5509218089283,8351.44381900318,0.3910777159035206,ood:bfcl,fcfs,ood,1784519556.2709317,1784519556.2713242,1784519557.7848883,1784519564.6227818,
bfcl:live_irrelevance_400-83-0:0000,408.84549519978464,1174.0518470760435,21,52.5,408.75004697591066,1173.9563988521695,0.09544822387397289,ood:bfcl,fcfs,ood,1784519557.2146401,1784519557.2147355,1784519557.623492,1784519558.3886986,
bfcl:live_simple_165-98-0:0000,929.3881414923817,3344.5218715351075,69,172.5,928.7776700221002,3343.911400064826,0.6104714702814817,ood:bfcl,fcfs,ood,1784519557.4764874,1784519557.4770994,1784519558.405892,1784519560.821026,
bfcl:multi_turn_long_context_64:0000,1306.6524167079479,2192.80989584513,28,70.0,1306.5158068202436,2192.673285957426,0.1366098877042532,ood:bfcl,fcfs,ood,1784519557.9626324,1784519557.9627705,1784519559.2692993,1784519560.1554568,
bfcl:multi_turn_long_context_128:0000,1137.1207241900265,3446.3614891283214,62,85.0,1136.8679439183325,3446.1087088566273,0.25278027169406414,ood:bfcl,fcfs,ood,1784519558.9267735,1784519558.927027,1784519560.063905,1784519562.373145,
bfcl:multi_turn_composite_195:0000,1363.360312068835,2046.8922660220414,32,80.0,1362.498166039586,2046.0301199927926,0.8621460292488337,ood:bfcl,fcfs,ood,1784519560.2215295,1784519560.222392,1784519561.5848992,1784519562.2684317,
bfcl:live_irrelevance_653-206-2:0000,968.9879261422902,1709.083555964753,36,90.0,968.1008199695498,1708.1964497920126,0.8871061727404594,ood:bfcl,fcfs,ood,1784519562.3147967,1784519562.3156838,1784519563.2837913,1784519564.023887,
bfcl:simple_252:0000,720.4688279889524,1892.0728641096503,70,175.0,718.5674908105284,1890.1715269312263,1.9013371784240007,ood:bfcl,fcfs,ood,1784519564.7641656,1784519564.766067,1784519565.4846404,1784519566.6562457,
bfcl:multiple_194:0000,1084.1896343044937,1783.044651383534,45,112.5,1080.6926989462227,1779.547716025263,3.4969353582710028,ood:bfcl,fcfs,ood,1784519569.9243171,1784519569.9278162,1784519571.0085263,1784519571.7073812,
bfcl:multi_turn_long_context_152:0000,999.9655657447875,4074.5744586456567,143,467.5,998.3369319234043,4072.9458248242736,1.6286338213831186,ood:bfcl,fcfs,ood,1784519571.11107,1784519571.1126988,1784519572.1110463,1784519575.1856558,
bfcl:live_irrelevance_691-225-1:0000,1042.3354874365032,2307.265116367489,61,152.5,1042.1666710171849,2307.096299948171,0.16881641931831837,ood:bfcl,fcfs,ood,1784519572.8978364,1784519572.8980055,1784519573.9401836,1784519575.2051125,
bfcl:live_relevance_14-14-0:0000,1042.3318753018975,2125.088302185759,53,132.5,1041.0850790794939,2123.8415059633553,1.2467962224036455,ood:bfcl,fcfs,ood,1784519575.7925894,1784519575.7938364,1784519576.8349273,1784519577.917684,
bfcl:live_simple_246-128-0:0000,643.7415101099759,1735.8373480383307,53,132.5,642.9935821797699,1735.0894201081246,0.7479279302060604,ood:bfcl,fcfs,ood,1784519575.901616,1784519575.902366,1784519576.5453763,1784519577.6374717,
bfcl:rest_61:0000,1148.5578287392855,2963.2854065857828,100,250.0,1145.7743090577424,2960.5018869042397,2.783519681543112,ood:bfcl,fcfs,ood,1784519579.7912264,1784519579.7940114,1784519580.9398358,1784519582.754564,
