request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_820-177-3:0000,1340.5274662654847,2269.966931315139,65,162.5,1339.2814719118178,2268.720936961472,1.2459943536669016,ood:bfcl,tail_safe,ood,1784522036.0445893,1784522036.0458372,1784522037.3851361,1784522038.3145757,
bfcl:live_simple_14-3-10:0000,655.4890412371606,1246.4539383072406,43,107.5,654.2557629290968,1245.2206599991769,1.2332783080637455,ood:bfcl,tail_safe,ood,1784522037.885844,1784522037.8870776,1784522038.5413535,1784522039.1323183,
bfcl:live_irrelevance_219-34-8:0000,783.4171440917999,3299.102035118267,133,290.0,783.1524221692234,3298.8373131956905,0.26472192257642746,ood:bfcl,tail_safe,ood,1784522038.6782923,1784522038.678557,1784522039.4617224,1784522041.9774077,
bfcl:java_20:0000,671.52198869735,1375.9245846886188,46,115.0,670.0671999715269,1374.4697959627956,1.454788725823164,ood:bfcl,tail_safe,ood,1784522039.4561098,1784522039.4575646,1784522040.127643,1784522040.8320456,
bfcl:parallel_multiple_68:0000,1277.1735778078437,5189.730160869658,235,587.5,1276.5202219597995,5189.076805021614,0.653355848044157,ood:bfcl,tail_safe,ood,1784522039.554573,1784522039.5552266,1784522040.8317544,1784522044.744311,
bfcl:live_irrelevance_400-83-0:0000,416.0345597192645,785.7875498011708,21,52.5,415.1037158444524,784.8567059263587,0.9308438748121262,ood:bfcl,tail_safe,ood,1784522042.6506693,1784522042.6516008,1784522043.0667245,1784522043.4364777,
bfcl:live_simple_165-98-0:0000,734.9789729341865,1742.1462188940495,69,172.5,733.7140419986099,1740.881287958473,1.2649309355765581,ood:bfcl,tail_safe,ood,1784522044.3577182,1784522044.3589842,1784522045.092715,1784522046.0998821,
bfcl:multi_turn_long_context_64:0000,1140.0106840301305,1455.45964804478,28,70.0,1138.1592778488994,1453.6082418635488,1.851406181231141,ood:bfcl,tail_safe,ood,1784522045.736333,1784522045.738185,1784522046.8763633,1784522047.1918125,
bfcl:multi_turn_long_context_128:0000,1181.4836557023227,2251.579255796969,62,85.0,1180.712876841426,2250.808476936072,0.7707788608968258,ood:bfcl,tail_safe,ood,1784522047.2463973,1784522047.247168,1784522048.4278893,1784522049.4979844,
bfcl:multi_turn_composite_195:0000,1273.796224500984,1606.7314606625587,32,80.0,1272.6856409572065,1605.6208771187812,1.1105835437774658,ood:bfcl,tail_safe,ood,1784522050.0016768,1784522050.0027878,1784522051.2754862,1784522051.6084204,
bfcl:live_irrelevance_653-206-2:0000,1015.1163241825998,1627.8731562197208,36,90.0,1010.8519499190152,1623.6087819561362,4.264374263584614,ood:bfcl,tail_safe,ood,1784522056.2243156,1784522056.2285817,1784522057.2394485,1784522057.8522053,
bfcl:simple_252:0000,719.2687555216253,1743.0608635768294,70,175.0,717.363968025893,1741.1560760810971,1.9047874957323074,ood:bfcl,tail_safe,ood,1784522062.993272,1784522062.9951792,1784522063.7125585,1784522064.7363505,
bfcl:multiple_194:0000,1079.4270508922637,1689.440235728398,45,112.5,1077.936310088262,1687.9494949243963,1.490740804001689,ood:bfcl,tail_safe,ood,1784522065.871278,1784522065.872771,1784522066.950725,1784522067.5607383,
bfcl:multi_turn_long_context_152:0000,1034.8546791356057,3521.5105931274593,143,467.5,1033.9374830946326,3520.593397086486,0.9171960409730673,ood:bfcl,tail_safe,ood,1784522067.1032248,1784522067.1041415,1784522068.1380863,1784522070.6247416,
bfcl:live_irrelevance_691-225-1:0000,1049.8656667768955,2153.9714836981148,64,152.5,1044.1062659956515,2148.2120829168707,5.7594007812440395,ood:bfcl,tail_safe,ood,1784522075.652376,1784522075.6581364,1784522076.7022595,1784522077.8063655,
bfcl:live_relevance_14-14-0:0000,1042.6867103669792,2111.041083233431,53,132.5,1041.8682189192623,2110.222591785714,0.8184914477169514,ood:bfcl,tail_safe,ood,1784522077.3760796,1784522077.3768985,1784522078.4187756,1784522079.4871304,
bfcl:live_simple_246-128-0:0000,635.4877622798085,1529.2062163352966,53,132.5,634.2158981133252,1527.9343521688133,1.271864166483283,ood:bfcl,tail_safe,ood,1784522078.0326564,1784522078.0339284,1784522078.668157,1784522079.5618763,
bfcl:rest_61:0000,1141.4185005705804,2752.0895556081086,100,250.0,1140.5409891158342,2751.2120441533625,0.8775114547461271,ood:bfcl,tail_safe,ood,1784522078.0634894,1784522078.0643668,1784522079.2049158,1784522080.815587,
bfcl:live_irrelevance_725-241-1:0000,695.6609135959297,2602.682421449572,111,295.0,693.2669901289046,2600.2884979825467,2.393923467025161,ood:bfcl,tail_safe,ood,1784522082.5562925,1784522082.558688,1784522083.2519708,1784522085.1589918,
bfcl:live_irrelevance_647-205-1:0000,1340.954763116315,2027.7452941518277,43,107.5,1337.7908999100327,2024.5814309455454,3.163863206282258,ood:bfcl,tail_safe,ood,1784522087.8849518,1784522087.8881178,1784522089.2259252,1784522089.9127152,
bfcl:live_irrelevance_549-169-2:0000,979.5485087670386,7046.379502862692,320,800.0,978.343348018825,7045.174342114478,1.2051607482135296,ood:bfcl,tail_safe,ood,1784522088.388196,1784522088.3894026,1784522089.367758,1784522095.4345891,
bfcl:parallel_67:0000,710.1537920534611,2086.449158145115,85,212.5,709.4599821139127,2085.7553482055664,0.6938099395483732,ood:bfcl,tail_safe,ood,1784522088.7131712,1784522088.713865,1784522089.4233313,1784522090.799627,
bfcl:multi_turn_base_26:0000,1182.6308246236295,2358.4608556702733,61,152.5,1182.3394990060478,2358.1695300526917,0.2913256175816059,ood:bfcl,tail_safe,ood,1784522092.835142,1784522092.835434,1784522094.0177872,1784522095.193617,
bfcl:rest_30:0000,1120.0526291504502,1793.828765163198,47,117.5,1119.789230870083,1793.5653668828309,0.2633982803672552,ood:bfcl,tail_safe,ood,1784522094.1286633,1784522094.1289268,1784522095.2487257,1784522095.9225025,
