request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1269.1768396180123,1863.2407495751977,43,107.5,1265.7343100290745,1859.79821998626,3.4425295889377594,ood:bfcl,gated_hybrid,mixed,1784508558.6579695,1784508558.6614137,1784508559.9271603,1784508560.521224,
toolace-003460:0000,1240.925008431077,4617.235073354095,193,482.5,1240.3565309941769,4616.666595917195,0.5684774369001389,id:toolace,gated_hybrid,mixed,1784508558.8531363,1784508558.853706,1784508560.0940747,1784508563.4703846,
toolace-000149:0001,960.9562014229596,3244.458295404911,121,375.0,960.5406539049,3244.0427478868514,0.4155475180596113,id:toolace,gated_hybrid,mixed,1784508560.373493,1784508560.373909,1784508561.3344588,1784508563.617961,
bfcl:live_simple_112-68-0:0000,1085.1647716481239,2799.3783105630428,103,257.5,1084.275043103844,2798.488582018763,0.889728544279933,ood:bfcl,gated_hybrid,mixed,1784508561.670453,1784508561.671343,1784508562.7556264,1784508564.4698403,
toolace-003764:0000,1126.218585530296,1651.010375469923,41,102.5,1125.6358760874718,1650.427666027099,0.5827094428241253,id:toolace,gated_hybrid,mixed,1784508564.3005075,1784508564.3010914,1784508565.4267387,1784508565.9515305,
toolace-008645:0000,1279.0914515499026,2144.8697776068,54,135.0,1272.8736109565943,2138.651937013492,6.21784059330821,id:toolace,gated_hybrid,mixed,1784508571.8707035,1784508571.8769224,1784508573.149809,1784508574.015587,
bfcl:multi_turn_miss_func_161:0000,1098.7823356408626,3721.43057663925,149,397.5,1097.4652180448174,3720.113459043205,1.3171175960451365,ood:bfcl,gated_hybrid,mixed,1784508572.4367642,1784508572.438083,1784508573.5355604,1784508576.1582088,
bfcl:parallel_161:0000,565.2791406027973,12979.397994698957,662,1670.0,560.5760780163109,12974.69493211247,4.70306258648634,ood:bfcl,gated_hybrid,mixed,1784508580.2288935,1784508580.233598,1784508580.7941859,1784508593.2083046,
toolace-001438:0000,743.1864880491048,1740.9400371834636,64,160.0,742.8458819631487,1740.5994310975075,0.34060608595609665,id:toolace,gated_hybrid,mixed,1784508582.7261605,1784508582.7265017,1784508583.4693568,1784508584.4671104,
toolace-008412:0000,1116.3686136715114,1971.6817256994545,42,72.5,1114.6922779735178,1970.005390001461,1.6763356979936361,id:toolace,gated_hybrid,mixed,1784508586.0098424,1784508586.0115192,1784508587.1262205,1784508587.9815338,
toolace-007683:0000,1393.8658321276307,4541.183743160218,174,422.5,1392.797749955207,4540.115660987794,1.0680821724236012,id:toolace,gated_hybrid,mixed,1784508586.3594792,1784508586.3605478,1784508587.7533543,1784508590.9006724,
bfcl:live_irrelevance_647-205-1:0000,1266.353069106117,1887.9604830872267,43,107.5,1265.293792122975,1886.9012061040848,1.059276983141899,ood:bfcl,gated_hybrid,mixed,1784508586.5438447,1784508586.5449045,1784508587.8102064,1784508588.431814,
bfcl:multiple_171:0000,906.2300592195243,1851.355651160702,56,140.0,904.3766029644758,1849.5021949056536,1.8534562550485134,ood:bfcl,gated_hybrid,mixed,1784508587.6377556,1784508587.63961,1784508588.5439978,1784508589.4891233,
toolace-008773:0000,1246.7982931993902,4269.9656372424215,177,442.5,1246.1343328468502,4269.3016768898815,0.6639603525400162,id:toolace,gated_hybrid,mixed,1784508588.2037914,1784508588.2044559,1784508589.4505987,1784508592.473766,
toolace-000038:0003,1020.7081057596952,15451.60651858896,717,1532.5,1020.5095750279725,15451.407987857237,0.19853073172271252,id:toolace,gated_hybrid,mixed,1784508592.4629169,1784508592.463116,1784508593.4836361,1784508607.9145346,
bfcl:simple_379:0000,550.8660972118378,1173.1986152008176,40,100.0,550.5535101983696,1172.8860281873494,0.3125870134681463,ood:bfcl,gated_hybrid,mixed,1784508594.4205997,1784508594.420913,1784508594.9714756,1784508595.593808,
toolace-006489:0000,1146.0673189722002,3312.1061578858644,130,325.0,1145.5221141222864,3311.5609530359507,0.5452048499137163,id:toolace,gated_hybrid,mixed,1784508594.5029275,1784508594.503473,1784508595.6490026,1784508597.8150418,
toolace-004698:0000,1193.4946479741484,4700.981522910297,177,447.5,1193.024834152311,4700.51170908846,0.469813821837306,id:toolace,gated_hybrid,mixed,1784508597.8189037,1784508597.8193738,1784508599.012406,1784508602.519893,
bfcl:multi_turn_base_26:0000,1221.4684863574803,2502.43386416696,61,152.5,1221.0835341829807,2502.0489119924605,0.38495217449963093,ood:bfcl,gated_hybrid,mixed,1784508598.4069414,1784508598.4073267,1784508599.6284192,1784508600.9093843,
toolace-000051:0001,981.6992678679526,3837.8251888789237,150,375.0,980.907570105046,3837.033491116017,0.7916977629065514,id:toolace,gated_hybrid,mixed,1784508599.095755,1784508599.0965471,1784508600.0774634,1784508602.9335887,
toolace-001546:0000,834.1541385743767,4207.9808346461505,184,460.0,833.1790459342301,4207.005742006004,0.9750926401466131,id:toolace,gated_hybrid,mixed,1784508600.1878169,1784508600.1887922,1784508601.021981,1784508604.3958075,
toolace-001092:0000,993.6133748851717,1727.418240858242,40,100.0,992.7143380045891,1726.5192039776593,0.899036880582571,id:toolace,gated_hybrid,mixed,1784508602.613038,1784508602.6139374,1784508603.6066587,1784508604.3404634,
bfcl:multi_turn_long_context_13:0000,1165.6216469127685,2507.4205100536346,69,172.5,1165.0730988476425,2506.8719619885087,0.5485480651259422,ood:bfcl,gated_hybrid,mixed,1784508603.7053695,1784508603.7059183,1784508604.871,1784508606.2127993,
toolace-006436:0000,982.1233786642551,2378.751275828108,75,117.5,981.5325739327818,2378.160471096635,0.5908047314733267,id:toolace,gated_hybrid,mixed,1784508603.982135,1784508603.982726,1784508604.964266,1784508606.3608942,
