request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1317.1486358623952,1910.5753398034722,43,107.5,1314.3797251395881,1907.806429080665,2.7689107228070498,ood:bfcl,ltr_aging,mixed,1784510957.5422375,1784510957.5450063,1784510958.8593943,1784510959.4528208,
toolace-003460:0000,1233.129290631041,4610.31887261197,193,482.5,1232.4229769874364,4609.612558968365,0.706313643604517,id:toolace,ltr_aging,mixed,1784510957.7374043,1784510957.7381105,1784510958.9705408,1784510962.3477304,
toolace-000149:0001,990.8348685130477,3274.47427646257,121,375.0,989.9510170798749,3273.590425029397,0.883851433172822,id:toolace,ltr_aging,mixed,1784510959.257761,1784510959.2586448,1784510960.248604,1784510962.5322437,
bfcl:live_simple_112-68-0:0000,1059.5308446791023,2777.725822525099,103,257.5,1058.812048053369,2777.0070258993655,0.7187966257333755,ood:bfcl,ltr_aging,mixed,1784510960.554721,1784510960.55544,1784510961.61426,1784510963.3324547,
toolace-003764:0000,1126.7551162745804,1651.92602830939,41,102.5,1125.84153492935,1651.0124469641596,0.913581345230341,id:toolace,ltr_aging,mixed,1784510963.1847756,1784510963.185689,1784510964.311539,1784510964.83671,
toolace-008645:0000,1276.105196448043,2142.255528597161,54,135.0,1268.2153559289873,2134.3656880781054,7.889840519055724,id:toolace,ltr_aging,mixed,1784510970.7549715,1784510970.7628624,1784510972.0310888,1784510972.8972392,
bfcl:multi_turn_miss_func_161:0000,1113.7461266480386,3772.2099835518748,151,397.5,1112.4253389425576,3770.8891958463937,1.3207877054810524,ood:bfcl,ltr_aging,mixed,1784510971.3210323,1784510971.3223531,1784510972.434786,1784510975.0932493,
bfcl:parallel_161:0000,571.7222038656473,12975.462601752952,662,1670.0,566.3272880483419,12970.067685935646,5.394915817305446,ood:bfcl,ltr_aging,mixed,1784510979.1131616,1784510979.1185572,1784510979.6848967,1784510992.0886369,
toolace-001438:0000,745.9959380794317,1743.7802129425108,64,160.0,745.0125310570002,1742.7968059200794,0.9834070224314928,id:toolace,ltr_aging,mixed,1784510981.6104286,1784510981.611412,1784510982.356433,1784510983.354218,
toolace-008412:0000,1150.432750582695,2005.5287997238338,42,72.5,1150.0245588831604,2005.1206080242991,0.4081916995346546,id:toolace,ltr_aging,mixed,1784510984.8941104,1784510984.8945189,1784510986.044552,1784510986.8996482,
toolace-007683:0000,1408.8012534193695,4555.122575489804,174,422.5,1407.7203371562064,4554.041659226641,1.0809162631630898,id:toolace,ltr_aging,mixed,1784510985.2437472,1784510985.2448285,1784510986.6525576,1784510989.798879,
bfcl:live_irrelevance_647-205-1:0000,1281.3949100673199,1902.9053950216621,43,107.5,1280.32770100981,1901.8381859641522,1.0672090575098991,ood:bfcl,ltr_aging,mixed,1784510985.4281127,1784510985.4291801,1784510986.7095153,1784510987.3310258,
bfcl:multiple_171:0000,883.6457950528711,1828.7224781233817,56,140.0,883.0478608142585,1828.124543884769,0.5979342386126518,ood:bfcl,ltr_aging,mixed,1784510986.5220237,1784510986.5226216,1784510987.4056783,1784510988.350755,
toolace-008773:0000,1243.161584250629,4265.787748387083,177,442.5,1242.567486828193,4265.1936509646475,0.5940974224358797,id:toolace,ltr_aging,mixed,1784510987.0880594,1784510987.0886536,1784510988.3312275,1784510991.3538537,
toolace-000038:0003,1012.2001385316253,15899.24337551929,743,1532.5,1010.0836448837072,15897.126881871372,2.116493647918105,id:toolace,ltr_aging,mixed,1784510991.347185,1784510991.3493016,1784510992.3593931,1784511007.246436,
bfcl:simple_379:0000,559.9358309991658,1182.7701141592115,40,100.0,559.0520328842103,1181.886316044256,0.8837981149554253,ood:bfcl,ltr_aging,mixed,1784510993.3048677,1784510993.3057516,1784510993.8648107,1784510994.487645,
toolace-006489:0000,1155.9158880263567,3321.4119800832123,130,325.0,1154.2488520499319,3319.7449441067874,1.6670359764248133,id:toolace,ltr_aging,mixed,1784510993.3871956,1784510993.3888626,1784510994.5431182,1784510996.7086146,
toolace-004698:0000,1202.6279068086296,4711.213995935395,177,447.5,1202.1313239820302,4710.717413108796,0.4965828265994787,id:toolace,ltr_aging,mixed,1784510996.7031717,1784510996.7036686,1784510997.905809,1784511001.4143949,
bfcl:multi_turn_base_26:0000,1173.6689554527402,2455.66508336924,61,152.5,1173.3659701421857,2455.3620980586857,0.3029853105545044,ood:bfcl,ltr_aging,mixed,1784510997.2912095,1784510997.2915123,1784510998.4648852,1784510999.7468815,
toolace-000051:0001,990.7516236416996,3847.9190706275403,150,375.0,989.7948410362005,3846.9622880220413,0.9567826054990292,id:toolace,ltr_aging,mixed,1784510997.9800231,1784510997.98098,1784510998.970782,1784511001.8279495,
toolace-001546:0000,844.3657045718282,4218.865741509944,184,460.0,844.1057580057532,4218.605794943869,0.2599465660750866,id:toolace,ltr_aging,mixed,1784510999.072085,1784510999.0723448,1784510999.9164588,1784511003.290959,
toolace-001092:0000,1058.8966619689018,1793.2870220392942,40,100.0,1057.507558958605,1791.8979190289974,1.3891030102968216,id:toolace,ltr_aging,mixed,1784511001.497306,1784511001.4986951,1784511002.5562115,1784511003.2906017,
bfcl:multi_turn_long_context_13:0000,1175.6682579871267,2517.4311329610646,69,172.5,1174.7619430534542,2516.524818027392,0.9063149336725473,ood:bfcl,ltr_aging,mixed,1784511002.5896375,1784511002.590544,1784511003.7653153,1784511005.107078,
toolace-006436:0000,992.9300758522004,2388.7603958137333,75,117.5,992.0068671926856,2387.8371871542186,0.9232086595147848,id:toolace,ltr_aging,mixed,1784511002.866403,1784511002.8673265,1784511003.8593428,1784511005.2551723,
bfcl:live_multiple_724-165-11:0000,1286.5806526970118,2236.506179673597,64,160.0,1285.5623881332576,2235.487915109843,1.018264563754201,ood:bfcl,ltr_aging,mixed,1784511004.5174823,1784511004.5185006,1784511005.8040721,1784511006.7539978,
bfcl:live_irrelevance_593-188-0:0000,1062.2059260495007,1495.7501410972327,24,60.0,1061.7637489922345,1495.3079640399665,0.44217705726623535,ood:bfcl,ltr_aging,mixed,1784511004.534981,1784511004.5354233,1784511005.5971944,1784511006.0307386,
toolace-000399:0002,996.9902890734375,2140.9620160702616,62,107.5,995.9003939293325,2139.8721209261566,1.0898951441049576,id:toolace,ltr_aging,mixed,1784511007.273621,1784511007.2747111,1784511008.2706196,1784511009.4145916,
toolace-007141:0000,1164.0790284145623,3828.7171204574406,153,382.5,1163.8740738853812,3828.5121659282595,0.20495452918112278,id:toolace,ltr_aging,mixed,1784511008.1763473,1784511008.1765525,1784511009.3404367,1784511012.0050747,
bfcl:exec_parallel_1:0000,840.3177985455841,5582.758809439838,273,682.5,839.5096010062844,5581.950611900538,0.8081975392997265,ood:bfcl,ltr_aging,mixed,1784511009.1879141,1784511009.1887224,1784511010.028242,1784511014.7706833,
toolace-008090:0000,1207.395360339433,2391.077765263617,78,195.0,1206.3799249008298,2390.062329825014,1.0154354386031628,id:toolace,ltr_aging,mixed,1784511009.2450664,1784511009.246082,1784511010.452469,1784511011.6361513,
toolace-003354:0000,726.7819934058934,1439.611210487783,42,92.5,722.9810419958085,1435.810259077698,3.800951410084963,id:toolace,ltr_aging,mixed,1784511017.5889862,1784511017.5927873,1784511018.3157768,1784511019.0286062,
bfcl:live_simple_242-126-0:0000,463.15706754103303,793.6815975699574,27,67.5,461.4140910562128,791.9386210851371,1.7429764848202467,ood:bfcl,ltr_aging,mixed,1784511020.0100253,1784511020.011768,1784511020.4731898,1784511020.8037145,
bfcl:parallel_multiple_45:0000,802.8655219823122,2247.5813678465784,84,210.0,798.9356021862477,2243.651448050514,3.929919796064496,ood:bfcl,ltr_aging,mixed,1784511027.6670518,1784511027.6709824,1784511028.4699295,1784511029.9146452,
