request_id,ttft_ms,ttlt_ms,output_tokens,baseline_service_ms,send_ttft_ms,send_ttlt_ms,dispatch_lag_ms,category,policy,profile,scheduled_at_unix_s,dispatched_at_unix_s,first_token_at_unix_s,completed_at_unix_s,error
bfcl:live_multiple_17-4-9:0000,1191.8608152773231,1753.3204082865268,43,107.5,1189.4064769148827,1750.8660699240863,2.454338362440467,ood:bfcl,ltr_aging,mixed,1784510600.5013142,1784510600.5037696,1784510601.6931882,1784510602.2546475,
toolace-003460:0000,1213.2404004223645,4325.019319308922,193,482.5,1212.4994390178472,4324.278357904404,0.740961404517293,id:toolace,ltr_aging,mixed,1784510601.7166276,1784510601.7173688,1784510602.9298778,1784510606.0416565,
toolace-000149:0001,941.6667881887406,3101.322135189548,121,375.0,940.8612179104239,3100.5165649112314,0.8055702783167362,id:toolace,ltr_aging,mixed,1784510606.3513954,1784510606.352201,1784510607.2930696,1784510609.4527247,
bfcl:live_simple_112-68-0:0000,1064.3674170132726,2729.1505089960992,103,257.5,1063.456617994234,2728.2397099770606,0.9107990190386772,ood:bfcl,ltr_aging,mixed,1784510608.1659522,1784510608.1668634,1784510609.2303295,1784510610.8951128,
toolace-003764:0000,1148.0959525797516,1673.0391706805676,41,102.5,1145.493643824011,1670.436861924827,2.6023087557405233,id:toolace,ltr_aging,mixed,1784510613.163017,1784510613.1656206,1784510614.3111272,1784510614.8360705,
toolace-008645:0000,1207.284080563113,1853.551139589399,54,135.0,1207.1525959763676,1853.4196550026536,0.13148458674550056,id:toolace,ltr_aging,mixed,1784510614.1424732,1784510614.142605,1784510615.3497672,1784510615.9960341,
bfcl:multi_turn_miss_func_161:0000,1095.8995649125427,3835.2845187764615,157,397.5,1093.2845170609653,3832.669470924884,2.615047851577401,ood:bfcl,ltr_aging,mixed,1784510618.0046513,1784510618.007268,1784510619.1005647,1784510621.83995,
bfcl:parallel_161:0000,566.3248361088336,12412.080844165757,662,1670.0,564.7339050192386,12410.489913076162,1.5909310895949602,ood:bfcl,ltr_aging,mixed,1784510622.707478,1784510622.7090707,1784510623.2738183,1784510635.119574,
toolace-001438:0000,757.0653348229825,1754.9461459275335,64,160.0,756.0269900131971,1753.907801117748,1.0383448097854853,id:toolace,ltr_aging,mixed,1784510623.7324255,1784510623.733464,1784510624.4895005,1784510625.4873812,
toolace-008412:0000,1138.9945631381124,1731.4582981634885,42,72.5,1138.7536621186882,1731.2173971440643,0.24090101942420006,id:toolace,ltr_aging,mixed,1784510628.095439,1784510628.0956798,1784510629.2344387,1784510629.8269024,
toolace-007683:0000,1207.6927088201046,4036.2647296860814,174,422.5,1205.8186281938106,4034.3906490597874,1.8740806262940168,id:toolace,ltr_aging,mixed,1784510633.3370984,1784510633.3389726,1784510634.5448,1784510637.3733718,
bfcl:live_irrelevance_647-205-1:0000,1236.4844311960042,1780.8929961174726,43,107.5,1231.5479451790452,1775.9565101005137,4.936486016958952,ood:bfcl,ltr_aging,mixed,1784510641.5858576,1784510641.5907955,1784510642.8223555,1784510643.3667638,
bfcl:multiple_171:0000,870.981726795435,1653.2513899728656,56,140.0,867.8965598810464,1650.166223058477,3.0851669143885374,ood:bfcl,ltr_aging,mixed,1784510645.0145075,1784510645.0175931,1784510645.8854992,1784510646.6677685,
toolace-008773:0000,1218.9516830258071,4202.4892079643905,177,442.5,1215.6757791526616,4199.213304091245,3.2759038731455803,id:toolace,ltr_aging,mixed,1784510649.6808124,1784510649.6840885,1784510650.8997731,1784510653.8833106,
toolace-000038:0003,1057.7906244434416,14842.304832534865,748,1532.5,1056.3126588240266,14840.82686691545,1.4779656194150448,id:toolace,ltr_aging,mixed,1784510652.3072567,1784510652.3087347,1784510653.3650563,1784510667.1495702,
bfcl:simple_379:0000,570.3949253074825,1145.5306732095778,40,100.0,568.605347070843,1143.7410949729383,1.7895782366394997,ood:bfcl,ltr_aging,mixed,1784510662.791714,1784510662.7935038,1784510663.3621156,1784510663.9372516,
toolace-006489:0000,1261.1105390824378,3734.229109948501,130,325.0,1259.3581229448318,3732.476693810895,1.7524161376059055,id:toolace,ltr_aging,mixed,1784510663.1695735,1784510663.1713262,1784510664.430692,1784510666.9038103,
toolace-004698:0000,1213.9672462362796,4527.594950282946,177,447.5,1212.999357841909,4526.627061888576,0.9678883943706751,id:toolace,ltr_aging,mixed,1784510663.329142,1784510663.3301098,1784510664.543113,1784510667.8567402,
bfcl:multi_turn_base_26:0000,1182.0561268832535,2318.702179007232,61,152.5,1181.0331919696182,2317.679244093597,1.022934913635254,ood:bfcl,ltr_aging,mixed,1784510664.9426446,1784510664.9436677,1784510666.124708,1784510667.2613535,
toolace-000051:0001,959.2016651295125,3832.7430461067706,150,375.0,958.1479190383106,3831.6893000155687,1.0537460912019014,id:toolace,ltr_aging,mixed,1784510668.4985728,1784510668.4996266,1784510669.457783,1784510672.3313243,
toolace-001546:0000,825.6922026630491,4413.227134849876,184,460.0,824.8839778825641,4412.418910069391,0.808224780485034,id:toolace,ltr_aging,mixed,1784510669.334634,1784510669.3354428,1784510670.160334,1784510673.747869,
toolace-001092:0000,993.6238287482411,1982.655206695199,40,100.0,992.297702934593,1981.329080881551,1.3261258136481047,id:toolace,ltr_aging,mixed,1784510671.320256,1784510671.3215823,1784510672.3138885,1784510673.3029199,
bfcl:multi_turn_long_context_13:0000,1207.0563845336437,2451.5807535499334,69,172.5,1206.7301769275218,2451.2545459438115,0.3262076061218977,ood:bfcl,ltr_aging,mixed,1784510671.7013865,1784510671.7017126,1784510672.90845,1784510674.152974,
toolace-006436:0000,938.1398796103895,2226.0974096134305,75,117.5,937.4957769177854,2225.4533069208264,0.6441026926040649,id:toolace,ltr_aging,mixed,1784510673.6364896,1784510673.6371338,1784510674.5746365,1784510675.8625944,
